"ValgId";"Storkreds Nr";"Parti";"Orden";"KandidatNavn";"PostNr";"By";"Erhverv";"Fødselsdag"
"276";"1";"A";"1";"Jeppe Kofod";"";"";"";"0"
"276";"1";"A";"2";"Christel Schaldemose";"";"";"";"0"
"276";"1";"A";"3";"Niels Fuglsang";"";"";"";"0"
"276";"1";"A";"4";"Marianne Vind";"";"";"";"0"
"276";"1";"A";"5";"Morten Klessen";"";"";"";"0"
"276";"1";"A";"6";"Jakob Thiemann";"";"";"";"0"
"276";"1";"A";"7";"Mette Poulsen";"";"";"";"0"
"276";"1";"A";"8";"Lasse Holm Grønning";"";"";"";"0"
"276";"1";"A";"9";"Anders Baun Sørensen";"";"";"";"0"
"276";"1";"B";"1";"Morten Helveg Petersen";"";"";"";"0"
"276";"1";"B";"2";"Karen Melchior";"";"";"";"0"
"276";"1";"B";"3";"Philip Tarning-Andersen";"";"";"";"0"
"276";"1";"B";"4";"Sissel van Run-Kvist";"";"";"";"0"
"276";"1";"B";"5";"Alexander Bjørn Jensen";"";"";"";"0"
"276";"1";"B";"6";"David Munis Zepernick";"";"";"";"0"
"276";"1";"B";"7";"Mathias von Jessen";"";"";"";"0"
"276";"1";"B";"8";"Eva Borchorst Mejnertz";"";"";"";"0"
"276";"1";"B";"9";"Amalie Søgaard Nielsen";"";"";"";"0"
"276";"1";"B";"10";"Camilla Kampmann";"";"";"";"0"
"276";"1";"B";"11";"Frederik Aagaard";"";"";"";"0"
"276";"1";"B";"12";"Kristian Kirk Mailand";"";"";"";"0"
"276";"1";"B";"13";"Jannie Valentin Dexter Jakobsen";"";"";"";"0"
"276";"1";"B";"14";"Poul Elmegård";"";"";"";"0"
"276";"1";"B";"15";"Ole Lynggaard Jørgensen";"";"";"";"0"
"276";"1";"B";"16";"Kim Pagels";"";"";"";"0"
"276";"1";"B";"17";"Peter Miltersen Sørensen";"";"";"";"0"
"276";"1";"B";"18";"Maria Mejse Mortensen";"";"";"";"0"
"276";"1";"B";"19";"Nadeem Farooq";"";"";"";"0"
"276";"1";"B";"20";"Anton Ebsen";"";"";"";"0"
"276";"1";"C";"1";"Pernille Weiss";"";"";"";"0"
"276";"1";"C";"2";"Ali Aminali";"";"";"";"0"
"276";"1";"C";"3";"Jens Kindberg";"";"";"";"0"
"276";"1";"C";"4";"Kuzma Pavlov Jensen";"";"";"";"0"
"276";"1";"C";"5";"Charlotte Libach";"";"";"";"0"
"276";"1";"C";"6";"Lasse Bork Schmidt";"";"";"";"0"
"276";"1";"C";"7";"Louisa Schønnemann Bøttkjær";"";"";"";"0"
"276";"1";"C";"8";"Anders Guldhammer";"";"";"";"0"
"276";"1";"C";"9";"Inge Carlé";"";"";"";"0"
"276";"1";"C";"10";"Dino Selimovic";"";"";"";"0"
"276";"1";"C";"11";"Jane Christensen";"";"";"";"0"
"276";"1";"C";"12";"Jakob Sejergaard";"";"";"";"0"
"276";"1";"C";"13";"Dina Myrup Raabjerg";"";"";"";"0"
"276";"1";"C";"14";"Thomas von Jessen";"";"";"";"0"
"276";"1";"C";"15";"Henrik Mielke Ravn";"";"";"";"0"
"276";"1";"C";"16";"Torsten Nielsen";"";"";"";"0"
"276";"1";"F";"1";"Margrete Auken";"";"";"";"0"
"276";"1";"F";"2";"Karsten Hønge";"";"";"";"0"
"276";"1";"F";"3";"Peter Westermann";"";"";"";"0"
"276";"1";"F";"4";"Kira Marie Peter-Hansen";"";"";"";"0"
"276";"1";"F";"5";"Kirstine Bille";"";"";"";"0"
"276";"1";"F";"6";"Troels Stru Schmidt";"";"";"";"0"
"276";"1";"F";"7";"Rikke Lauritsen";"";"";"";"0"
"276";"1";"F";"8";"Thue Grum-Schwenssen";"";"";"";"0"
"276";"1";"F";"9";"Jens Rane Holck";"";"";"";"0"
"276";"1";"F";"10";"Annemette Schønberg Johnsen";"";"";"";"0"
"276";"1";"F";"11";"Lucas Zukunft";"";"";"";"0"
"276";"1";"F";"12";"Inger Staahl Jensen";"";"";"";"0"
"276";"1";"F";"13";"Allan Norré Pedersen";"";"";"";"0"
"276";"1";"F";"14";"Gül Özcan";"";"";"";"0"
"276";"1";"F";"15";"Bo Vesterlund";"";"";"";"0"
"276";"1";"F";"16";"Rune Frøding";"";"";"";"0"
"276";"1";"F";"17";"Anita Lundgren Fischer";"";"";"";"0"
"276";"1";"I";"1";"Mette Bock";"";"";"";"0"
"276";"1";"I";"2";"Anders Burlund";"";"";"";"0"
"276";"1";"I";"3";"Bo Ritterbusch";"";"";"";"0"
"276";"1";"I";"4";"Mick Keller";"";"";"";"0"
"276";"1";"I";"5";"Henrik Boye";"";"";"";"0"
"276";"1";"I";"6";"Kenny Olsen";"";"";"";"0"
"276";"1";"I";"7";"Lene Foged";"";"";"";"0"
"276";"1";"I";"8";"Rigge Nørmark";"";"";"";"0"
"276";"1";"I";"9";"Karen Westergaard Nielsen";"";"";"";"0"
"276";"1";"I";"10";"Charlotte Bie";"";"";"";"0"
"276";"1";"N";"1";"Rina Ronja Kari";"";"";"";"0"
"276";"1";"N";"2";"Lave K. Broch";"";"";"";"0"
"276";"1";"N";"3";"Ole Nors Nielsen";"";"";"";"0"
"276";"1";"N";"4";"Karina Rohr Sørensen";"";"";"";"0"
"276";"1";"N";"5";"Susanna Dyre-Greensite";"";"";"";"0"
"276";"1";"N";"6";"Christian Juhl";"";"";"";"0"
"276";"1";"N";"7";"Jesper Bræmer";"";"";"";"0"
"276";"1";"N";"8";"Erik Bach";"";"";"";"0"
"276";"1";"N";"9";"Thorkil Sohn";"";"";"";"0"
"276";"1";"N";"10";"Åge Staun";"";"";"";"0"
"276";"1";"N";"11";"Jørgen Grøn";"";"";"";"0"
"276";"1";"N";"12";"Mette Langdal";"";"";"";"0"
"276";"1";"N";"13";"Niels Jørgen Bæk Paulsen";"";"";"";"0"
"276";"1";"N";"14";"Carsten Rasmussen";"";"";"";"0"
"276";"1";"N";"15";"Pernille Grumme";"";"";"";"0"
"276";"1";"N";"16";"Hedvig Vestergaard";"";"";"";"0"
"276";"1";"N";"17";"Jean Thierry";"";"";"";"0"
"276";"1";"N";"18";"Hasan Daher";"";"";"";"0"
"276";"1";"O";"1";"Peter Kofod";"";"";"";"0"
"276";"1";"O";"2";"Anders Vistisen";"";"";"";"0"
