"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1979 - Stemmeberettigede";"EV1979 - Afgivne stemmer";"EV1979 - Blanke stemmer";"EV1979 - Andre ugyldige stemmer";"EV1979 - Gyldige stemmer";"EV1979 - A. Socialdemokratiet";"EV1979 - B. Det Radikale Venstre";"EV1979 - C. Det Konservative Folkeparti";"EV1979 - E. Danmarks Retsforbund";"EV1979 - F. Socialistisk Folkeparti";"EV1979 - M. Centrum-Demokraterne";"EV1979 - N. Folkebevægelsen mod EF";"EV1979 - Q. Kristeligt Folkeparti";"EV1979 - V. Venstre, Danmarks Liberale Parti";"EV1979 - Y. Venstresocialisterne";"EV1979 - Z. Fremskridtspartiet"
"101042";"101042";"15";"3";"1";"7685";"3680";"43";"31";"3606";"894";"45";"189";"131";"273";"70";"1520";"22";"48";"304";"110"
"101044";"101044";"15";"3";"1";"7223";"3364";"36";"23";"3305";"687";"35";"150";"110";"261";"66";"1508";"19";"38";"353";"78"
"101046";"101046";"16";"3";"1";"3873";"2080";"18";"14";"2048";"661";"25";"81";"82";"159";"47";"806";"9";"26";"118";"34"
"101048";"101048";"16";"3";"1";"6038";"2975";"32";"11";"2932";"771";"30";"194";"108";"222";"73";"1195";"14";"34";"229";"62"
"101050";"101050";"16";"3";"1";"3984";"1980";"25";"8";"1947";"461";"34";"209";"90";"147";"89";"688";"16";"31";"127";"55"
"101052";"101052";"12";"2";"1";"18323";"8835";"106";"43";"8686";"2702";"139";"661";"372";"506";"281";"3239";"56";"140";"376";"214"
"101054";"101054";"12";"2";"1";"5016";"2720";"24";"15";"2681";"691";"50";"328";"97";"167";"165";"834";"40";"69";"150";"90"
"101056";"101056";"8";"2";"1";"5013";"2700";"32";"16";"2652";"810";"50";"282";"79";"156";"166";"808";"22";"49";"118";"112"
"101058";"101058";"8";"2";"1";"7224";"3623";"36";"35";"3552";"1024";"70";"311";"147";"237";"157";"1248";"19";"72";"146";"121"
"101060";"101060";"13";"2";"1";"6068";"3363";"37";"18";"3308";"840";"84";"427";"136";"215";"172";"1032";"19";"100";"150";"133"
"101062";"101062";"8";"2";"1";"9386";"4898";"68";"30";"4800";"1266";"86";"506";"212";"325";"251";"1616";"33";"113";"222";"170"
"101064";"101064";"13";"2";"1";"11671";"6037";"93";"25";"5919";"1319";"141";"849";"231";"410";"324";"1845";"63";"175";"334";"228"
"101066";"101066";"13";"2";"1";"5252";"2809";"37";"12";"2760";"655";"90";"408";"105";"189";"144";"824";"28";"62";"140";"115"
"101068";"101068";"6";"2";"1";"9648";"5081";"60";"29";"4992";"1226";"115";"627";"179";"374";"211";"1564";"44";"133";"371";"148"
"101070";"101070";"6";"2";"1";"4455";"2539";"20";"5";"2514";"854";"70";"256";"86";"106";"121";"794";"17";"51";"82";"77"
"101072";"101072";"6";"2";"1";"16188";"7741";"85";"48";"7608";"1941";"165";"945";"331";"526";"297";"2359";"93";"194";"529";"228"
"101074";"101074";"3";"1";"1";"9716";"4688";"53";"33";"4602";"1200";"83";"419";"229";"336";"157";"1663";"21";"86";"257";"151"
"101076";"101076";"3";"1";"1";"4614";"2488";"37";"14";"2437";"560";"37";"332";"127";"168";"123";"759";"18";"70";"125";"118"
"101078";"101078";"3";"1";"1";"14610";"6970";"68";"31";"6871";"1578";"128";"756";"294";"510";"296";"2477";"64";"119";"402";"247"
"101080";"101080";"14";"3";"1";"7311";"3807";"49";"16";"3742";"1047";"70";"478";"159";"231";"174";"1067";"49";"84";"247";"136"
"101082";"101082";"14";"3";"1";"5560";"2776";"48";"16";"2712";"764";"36";"265";"115";"209";"104";"948";"24";"44";"114";"89"
"101084";"101084";"14";"3";"1";"7256";"3499";"39";"13";"3447";"940";"43";"259";"170";"292";"105";"1295";"26";"31";"174";"112"
"101086";"101086";"9";"2";"1";"5932";"3108";"34";"16";"3058";"543";"69";"782";"89";"137";"205";"712";"37";"143";"185";"156"
