"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1979 - Stemmeberettigede";"EV1979 - Afgivne stemmer";"EV1979 - Blanke stemmer";"EV1979 - Andre ugyldige stemmer";"EV1979 - Gyldige stemmer";"EV1979 - A. Socialdemokratiet";"EV1979 - B. Det Radikale Venstre";"EV1979 - C. Det Konservative Folkeparti";"EV1979 - E. Danmarks Retsforbund";"EV1979 - F. Socialistisk Folkeparti";"EV1979 - M. Centrum-Demokraterne";"EV1979 - N. Folkebevægelsen mod EF";"EV1979 - Q. Kristeligt Folkeparti";"EV1979 - V. Venstre, Danmarks Liberale Parti";"EV1979 - Y. Venstresocialisterne";"EV1979 - Z. Fremskridtspartiet"
"337004";"337004";"39";"7";"2";"887";"433";"5";"1";"427";"83";"17";"25";"16";"6";"32";"75";"19";"91";"17";"46"
"337005";"337005";"39";"7";"2";"582";"262";"3";"1";"258";"46";"19";"32";"6";"10";"10";"51";"4";"62";"6";"12"
"337007";"337007";"39";"7";"2";"485";"270";"7";"1";"262";"59";"13";"23";"4";"9";"10";"37";"9";"83";"5";"10"
"339001";"339001";"37";"7";"2";"513";"223";"7";"4";"212";"38";"18";"13";"3";"3";"14";"32";"0";"64";"8";"19"
"339002";"339002";"37";"7";"2";"1777";"883";"24";"3";"856";"214";"74";"94";"20";"26";"43";"131";"7";"167";"15";"65"
"339003";"339003";"37";"7";"2";"1195";"581";"17";"3";"561";"81";"98";"26";"16";"13";"24";"56";"11";"184";"10";"42"
"339004";"339004";"37";"7";"2";"876";"448";"18";"1";"429";"100";"43";"28";"19";"9";"13";"54";"11";"102";"14";"36"
"341001";"341001";"36";"7";"2";"369";"197";"3";"0";"194";"16";"8";"37";"9";"6";"13";"36";"1";"41";"5";"22"
"341002";"341002";"36";"7";"2";"2828";"1258";"34";"2";"1222";"275";"65";"180";"33";"49";"88";"165";"31";"250";"26";"60"
"341004";"341004";"36";"7";"2";"795";"374";"10";"2";"362";"114";"29";"25";"11";"16";"15";"46";"4";"74";"4";"24"
"341006";"341006";"36";"7";"2";"1364";"534";"11";"1";"522";"156";"35";"61";"10";"25";"24";"81";"9";"77";"18";"26"
"341007";"341007";"36";"7";"2";"495";"254";"11";"3";"240";"77";"22";"16";"7";"4";"9";"34";"4";"57";"2";"8"
"341008";"341008";"36";"7";"2";"514";"268";"1";"2";"265";"32";"20";"20";"9";"12";"11";"36";"6";"78";"10";"31"
"343001";"343001";"37";"7";"2";"1104";"539";"11";"3";"525";"108";"43";"39";"17";"11";"27";"83";"5";"160";"13";"19"
"343002";"343002";"37";"7";"2";"1924";"866";"20";"7";"839";"144";"111";"65";"48";"24";"39";"169";"3";"169";"19";"48"
"343003";"343003";"37";"7";"2";"514";"276";"4";"2";"270";"46";"23";"15";"7";"9";"10";"43";"3";"93";"5";"16"
"343004";"343004";"37";"7";"2";"895";"368";"10";"5";"353";"66";"20";"38";"11";"6";"18";"53";"4";"102";"6";"29"
"343005";"343005";"37";"7";"2";"955";"403";"9";"4";"390";"92";"29";"16";"15";"21";"21";"89";"2";"78";"11";"16"
"343006";"343006";"37";"7";"2";"2022";"953";"16";"10";"927";"153";"80";"118";"37";"21";"48";"113";"11";"252";"17";"77"
"345001";"345001";"36";"7";"2";"2190";"1172";"15";"7";"1150";"238";"94";"117";"24";"53";"47";"212";"12";"245";"33";"75"
"345003";"345003";"36";"7";"2";"1063";"533";"14";"1";"518";"76";"60";"30";"16";"26";"24";"93";"5";"118";"17";"53"
"345005";"345005";"36";"7";"2";"947";"486";"7";"1";"478";"100";"45";"47";"12";"11";"26";"59";"21";"107";"13";"37"
"345102";"345102";"36";"7";"2";"520";"258";"3";"1";"254";"41";"18";"21";"5";"7";"10";"50";"0";"64";"13";"25"
"345104";"345104";"36";"7";"2";"1310";"673";"14";"1";"658";"126";"63";"68";"23";"31";"36";"118";"3";"141";"17";"32"
"351002";"351002";"42";"8";"2";"3144";"1395";"34";"6";"1355";"476";"34";"180";"24";"45";"74";"174";"5";"238";"28";"77"
"351003";"351003";"42";"8";"2";"1960";"944";"18";"6";"920";"279";"31";"157";"25";"35";"44";"138";"2";"134";"24";"51"
"351004";"351004";"42";"8";"2";"637";"321";"5";"0";"316";"65";"21";"23";"13";"20";"15";"57";"0";"66";"12";"24"
"351006";"351006";"42";"8";"2";"1729";"817";"17";"3";"797";"153";"38";"115";"24";"30";"43";"103";"5";"198";"28";"60"
"351008";"351008";"42";"8";"2";"554";"288";"3";"1";"284";"72";"9";"22";"9";"7";"5";"46";"2";"93";"4";"15"
"353001";"353001";"42";"8";"2";"840";"454";"10";"1";"443";"92";"16";"43";"4";"16";"22";"80";"4";"106";"10";"50"
"353002";"353002";"42";"8";"2";"1323";"637";"17";"1";"619";"139";"18";"90";"8";"28";"62";"72";"9";"140";"17";"36"
"353003";"353003";"42";"8";"2";"1603";"851";"12";"4";"835";"171";"27";"87";"19";"32";"53";"118";"7";"221";"25";"75"
"353004";"353004";"42";"8";"2";"1177";"612";"7";"0";"605";"94";"21";"51";"18";"21";"41";"94";"13";"190";"11";"51"
"355001";"355001";"46";"8";"2";"930";"484";"14";"5";"465";"150";"15";"37";"14";"17";"15";"54";"3";"104";"3";"53"
"355002";"355002";"46";"8";"2";"761";"417";"13";"1";"403";"162";"15";"25";"7";"11";"21";"72";"0";"58";"4";"28"
"355003";"355003";"46";"8";"2";"1586";"869";"37";"10";"822";"400";"36";"83";"24";"25";"24";"110";"0";"57";"13";"50"
"355004";"355004";"46";"8";"2";"287";"162";"0";"1";"161";"61";"1";"18";"3";"5";"4";"29";"0";"28";"2";"10"
"357001";"357001";"43";"8";"2";"2321";"1121";"28";"6";"1087";"470";"29";"100";"35";"45";"49";"187";"4";"115";"18";"35"
"357002";"357002";"43";"8";"2";"714";"355";"9";"1";"345";"99";"7";"22";"12";"9";"20";"49";"1";"92";"6";"28"
"357003";"357003";"43";"8";"2";"1024";"524";"12";"4";"508";"130";"12";"40";"13";"15";"18";"88";"5";"150";"12";"25"
"359001";"359001";"45";"8";"2";"599";"321";"5";"0";"316";"77";"41";"25";"5";"3";"25";"30";"1";"88";"8";"13"
"359002";"359002";"45";"8";"2";"369";"176";"5";"1";"170";"40";"8";"16";"4";"4";"14";"17";"0";"46";"4";"17"
"359003";"359003";"45";"8";"2";"658";"349";"18";"3";"328";"85";"19";"27";"10";"9";"24";"32";"2";"78";"8";"34"
"359006";"359006";"45";"8";"2";"538";"280";"4";"2";"274";"67";"12";"41";"8";"6";"18";"53";"8";"44";"6";"11"
"359101";"359101";"45";"8";"2";"1108";"569";"23";"0";"546";"200";"23";"65";"10";"11";"38";"71";"2";"74";"7";"45"
"359108";"359108";"45";"8";"2";"237";"140";"1";"2";"137";"30";"10";"9";"4";"5";"11";"14";"2";"36";"0";"16"
"361001";"361001";"44";"8";"2";"1252";"590";"14";"3";"573";"174";"27";"59";"13";"14";"31";"104";"5";"91";"19";"36"
"361002";"361002";"44";"8";"2";"500";"240";"4";"3";"233";"78";"11";"25";"10";"4";"14";"51";"0";"21";"10";"9"
"361003";"361003";"44";"8";"2";"1112";"576";"19";"5";"552";"168";"28";"61";"18";"46";"20";"84";"2";"83";"9";"33"
"361004";"361004";"44";"8";"2";"759";"334";"3";"3";"328";"101";"18";"33";"13";"4";"14";"44";"3";"67";"9";"22"
"361005";"361005";"44";"8";"2";"234";"149";"4";"0";"145";"19";"9";"3";"13";"4";"8";"20";"0";"56";"1";"12"
"361006";"361006";"44";"8";"2";"463";"248";"6";"0";"242";"47";"10";"23";"4";"6";"10";"32";"1";"77";"12";"20"
"363001";"363001";"46";"8";"2";"4102";"2261";"48";"17";"2196";"1005";"42";"354";"56";"65";"115";"282";"16";"122";"31";"108"
"363002";"363002";"46";"8";"2";"82";"53";"0";"0";"53";"12";"5";"3";"5";"0";"1";"10";"3";"7";"0";"7"
"363003";"363003";"46";"8";"2";"847";"474";"19";"0";"455";"218";"14";"52";"14";"7";"22";"46";"2";"42";"6";"32"
"363004";"363004";"46";"8";"2";"459";"275";"3";"2";"270";"113";"3";"25";"3";"8";"16";"20";"3";"48";"2";"29"
"363005";"363005";"46";"8";"2";"1395";"808";"15";"3";"790";"425";"39";"73";"10";"18";"31";"84";"3";"60";"5";"42"
"363007";"363007";"46";"8";"2";"938";"598";"15";"1";"582";"198";"28";"68";"21";"18";"26";"42";"2";"125";"7";"47"
"363106";"363106";"46";"8";"2";"803";"447";"12";"1";"434";"147";"15";"47";"7";"7";"29";"49";"2";"64";"7";"60"
"363107";"363107";"46";"8";"2";"426";"210";"7";"1";"202";"68";"3";"23";"7";"5";"8";"19";"1";"29";"6";"33"
"365002";"365002";"44";"8";"2";"587";"327";"8";"0";"319";"45";"14";"25";"17";"2";"28";"66";"0";"83";"7";"32"
"365006";"365006";"44";"8";"2";"1627";"915";"32";"7";"876";"357";"27";"58";"17";"15";"40";"120";"1";"186";"14";"41"
"365007";"365007";"44";"8";"2";"1208";"674";"11";"2";"661";"116";"35";"43";"5";"4";"43";"111";"1";"235";"13";"55"
"365101";"365101";"44";"8";"2";"2364";"1268";"37";"2";"1229";"360";"50";"212";"21";"23";"70";"230";"11";"160";"14";"78"
"365103";"365103";"44";"8";"2";"580";"294";"4";"1";"289";"61";"10";"28";"4";"4";"15";"45";"0";"104";"5";"13"
"365104";"365104";"44";"8";"2";"575";"289";"7";"4";"278";"70";"11";"22";"5";"4";"17";"25";"1";"96";"6";"21"
"365106";"365106";"44";"8";"2";"307";"181";"4";"0";"177";"37";"7";"11";"3";"2";"8";"36";"0";"60";"3";"10"
"365107";"365107";"44";"8";"2";"414";"204";"6";"1";"197";"32";"8";"23";"0";"2";"9";"31";"1";"79";"6";"6"
"365109";"365109";"44";"8";"2";"513";"308";"6";"0";"302";"60";"22";"27";"0";"3";"15";"21";"3";"131";"11";"9"
"365110";"365110";"44";"8";"2";"710";"381";"16";"1";"364";"75";"25";"22";"13";"10";"25";"52";"1";"96";"5";"40"
"365112";"365112";"44";"8";"2";"67";"34";"2";"0";"32";"6";"3";"2";"0";"2";"6";"4";"0";"9";"0";"0"
"367101";"367101";"45";"8";"2";"819";"346";"9";"0";"337";"95";"5";"85";"11";"13";"22";"74";"5";"9";"5";"13"
"367102";"367102";"45";"8";"2";"843";"324";"8";"4";"312";"104";"4";"54";"10";"11";"19";"80";"5";"6";"3";"16"
"367103";"367103";"45";"8";"2";"1641";"687";"17";"3";"667";"305";"4";"58";"26";"44";"24";"145";"3";"13";"21";"24"
"367104";"367104";"45";"8";"2";"1683";"724";"33";"5";"686";"309";"12";"30";"19";"48";"19";"189";"5";"26";"8";"21"
"367105";"367105";"45";"8";"2";"1599";"733";"20";"4";"709";"288";"13";"97";"19";"19";"34";"162";"5";"31";"21";"20"
"367106";"367106";"45";"8";"2";"1311";"617";"22";"3";"592";"233";"6";"73";"20";"31";"27";"133";"11";"17";"13";"28"
"367107";"367107";"45";"8";"2";"1692";"808";"39";"7";"762";"310";"14";"83";"16";"59";"33";"174";"6";"26";"17";"24"
"367108";"367108";"45";"8";"2";"549";"205";"11";"5";"189";"91";"4";"5";"5";"5";"9";"57";"2";"4";"1";"6"
"367109";"367109";"45";"8";"2";"770";"333";"12";"5";"316";"128";"3";"21";"14";"21";"8";"95";"1";"8";"4";"13"
"367110";"367110";"45";"8";"2";"1153";"625";"25";"1";"599";"251";"14";"68";"13";"31";"25";"131";"4";"30";"12";"20"
"367111";"367111";"45";"8";"2";"562";"304";"11";"3";"290";"141";"4";"23";"2";"27";"8";"57";"2";"6";"7";"13"
"367112";"367112";"45";"8";"2";"460";"224";"3";"1";"220";"87";"7";"12";"10";"8";"6";"49";"0";"24";"2";"15"
"369001";"369001";"47";"8";"2";"2231";"1065";"23";"7";"1035";"334";"29";"206";"27";"30";"56";"178";"21";"50";"11";"93"
"369002";"369002";"47";"8";"2";"3536";"1694";"56";"8";"1630";"660";"34";"185";"55";"49";"93";"319";"23";"78";"27";"107"
"369003";"369003";"47";"8";"2";"3165";"1519";"49";"10";"1460";"500";"53";"178";"44";"71";"104";"274";"12";"82";"19";"123"
"369004";"369004";"47";"8";"2";"2079";"1021";"36";"13";"972";"369";"32";"139";"20";"41";"44";"188";"19";"40";"13";"67"
"369005";"369005";"47";"8";"2";"2308";"1259";"31";"6";"1222";"476";"27";"153";"32";"61";"64";"234";"9";"69";"27";"70"
"369006";"369006";"47";"8";"2";"621";"349";"7";"2";"340";"106";"17";"34";"1";"8";"18";"34";"2";"83";"0";"37"
"369007";"369007";"47";"8";"2";"1165";"586";"8";"3";"575";"240";"15";"64";"15";"20";"29";"79";"1";"55";"8";"49"
"369008";"369008";"47";"8";"2";"822";"417";"8";"2";"407";"101";"26";"34";"7";"18";"30";"55";"11";"79";"5";"41"
"369009";"369009";"47";"8";"2";"992";"524";"10";"6";"508";"142";"34";"42";"5";"18";"27";"53";"11";"116";"5";"55"
"369010";"369010";"47";"8";"2";"583";"294";"17";"3";"274";"103";"4";"15";"10";"6";"13";"44";"4";"26";"4";"45"
"369011";"369011";"47";"8";"2";"2096";"1209";"37";"3";"1169";"289";"51";"224";"20";"22";"118";"138";"8";"155";"28";"116"
"371001";"371001";"46";"8";"2";"1577";"844";"33";"4";"807";"240";"37";"90";"15";"21";"61";"116";"5";"117";"11";"94"
"371002";"371002";"46";"8";"2";"1164";"650";"29";"4";"617";"184";"52";"33";"13";"15";"34";"58";"2";"156";"8";"62"
"371003";"371003";"46";"8";"2";"943";"511";"15";"6";"490";"113";"37";"41";"7";"16";"39";"40";"4";"127";"12";"54"
"371004";"371004";"46";"8";"2";"916";"488";"11";"2";"475";"116";"33";"46";"4";"10";"28";"39";"1";"124";"19";"55"
"373021";"373021";"43";"8";"2";"2749";"1212";"35";"5";"1172";"382";"29";"189";"29";"60";"74";"232";"7";"77";"47";"46"
"373022";"373022";"43";"8";"2";"4968";"2110";"58";"13";"2039";"826";"43";"174";"70";"121";"109";"387";"17";"161";"54";"77"
"373023";"373023";"43";"8";"2";"4034";"1879";"39";"9";"1831";"569";"51";"302";"70";"97";"78";"297";"27";"184";"53";"103"
"373024";"373024";"43";"8";"2";"3116";"1278";"40";"8";"1230";"469";"33";"126";"30";"72";"81";"225";"12";"77";"28";"77"
"373025";"373025";"43";"8";"2";"1574";"693";"11";"4";"678";"286";"12";"50";"22";"26";"46";"102";"8";"74";"18";"34"
"373026";"373026";"43";"8";"2";"5310";"2421";"57";"9";"2355";"763";"66";"358";"69";"98";"158";"332";"16";"317";"45";"133"
"373027";"373027";"43";"8";"2";"2306";"1067";"28";"6";"1033";"288";"42";"139";"31";"35";"68";"149";"20";"163";"19";"79"
"373028";"373028";"43";"8";"2";"3662";"1350";"44";"6";"1300";"407";"31";"124";"47";"91";"68";"308";"18";"92";"46";"68"
"373029";"373029";"43";"8";"2";"622";"308";"6";"0";"302";"82";"8";"34";"6";"21";"19";"48";"0";"51";"11";"22"
"373030";"373030";"43";"8";"2";"570";"331";"3";"1";"327";"59";"14";"60";"9";"10";"22";"35";"5";"79";"11";"23"
"373031";"373031";"43";"8";"2";"598";"330";"8";"1";"321";"91";"11";"20";"6";"11";"21";"32";"1";"81";"15";"32"
"373032";"373032";"43";"8";"2";"1128";"517";"10";"0";"507";"111";"21";"91";"12";"25";"36";"80";"8";"73";"14";"36"
"373033";"373033";"43";"8";"2";"478";"245";"3";"0";"242";"40";"8";"20";"3";"5";"13";"14";"2";"110";"8";"19"
"373034";"373034";"43";"8";"2";"416";"219";"2";"0";"217";"36";"8";"29";"2";"6";"6";"28";"1";"84";"3";"14"
"373035";"373035";"43";"8";"2";"1450";"730";"20";"0";"710";"137";"33";"161";"16";"26";"67";"101";"3";"100";"12";"54"
"375001";"375001";"47";"8";"2";"525";"269";"5";"2";"262";"50";"17";"20";"4";"6";"18";"34";"0";"86";"2";"25"
"375002";"375002";"47";"8";"2";"1236";"552";"21";"3";"528";"122";"23";"59";"22";"16";"29";"61";"0";"112";"11";"73"
"375003";"375003";"47";"8";"2";"1885";"957";"34";"3";"920";"243";"56";"127";"20";"25";"52";"97";"8";"189";"17";"86"
"375005";"375005";"47";"8";"2";"515";"270";"4";"0";"266";"53";"22";"18";"1";"10";"20";"32";"2";"82";"1";"25"
"375006";"375006";"47";"8";"2";"613";"317";"6";"4";"307";"66";"19";"20";"7";"3";"16";"37";"7";"103";"4";"25"
"375007";"375007";"47";"8";"2";"415";"238";"7";"2";"229";"49";"21";"21";"11";"3";"12";"22";"2";"66";"0";"22"
"375008";"375008";"47";"8";"2";"631";"302";"10";"3";"289";"78";"13";"27";"9";"10";"13";"39";"6";"62";"2";"30"
"375009";"375009";"47";"8";"2";"652";"302";"9";"3";"290";"85";"16";"33";"9";"4";"34";"42";"4";"37";"3";"23"
"375010";"375010";"47";"8";"2";"1048";"592";"18";"4";"570";"186";"35";"62";"6";"14";"43";"74";"3";"77";"9";"61"
"377001";"377001";"42";"8";"2";"2880";"1512";"23";"3";"1486";"393";"40";"211";"40";"47";"91";"238";"7";"252";"31";"136"
"377002";"377002";"42";"8";"2";"561";"300";"1";"1";"298";"65";"23";"31";"10";"8";"15";"39";"3";"85";"3";"16"
"377003";"377003";"42";"8";"2";"616";"338";"6";"5";"327";"59";"10";"27";"6";"8";"19";"51";"6";"113";"8";"20"
"377004";"377004";"42";"8";"2";"973";"462";"11";"3";"448";"90";"21";"31";"11";"15";"33";"56";"1";"134";"9";"47"
"379001";"379001";"45";"8";"2";"759";"378";"18";"5";"355";"93";"13";"54";"10";"11";"22";"38";"5";"64";"6";"39"
"379002";"379002";"45";"8";"2";"623";"269";"5";"3";"261";"51";"11";"24";"4";"11";"22";"34";"6";"52";"0";"46"
"379003";"379003";"45";"8";"2";"247";"124";"4";"1";"119";"18";"6";"13";"2";"2";"8";"13";"0";"45";"2";"10"
"379005";"379005";"45";"8";"2";"1615";"802";"20";"4";"778";"219";"12";"86";"11";"20";"49";"124";"12";"139";"21";"85"
"379007";"379007";"45";"8";"2";"545";"271";"10";"0";"261";"84";"5";"27";"4";"5";"12";"39";"3";"50";"1";"31"
"379008";"379008";"45";"8";"2";"826";"465";"24";"0";"441";"112";"14";"50";"16";"8";"19";"89";"6";"86";"8";"33"
"379009";"379009";"45";"8";"2";"687";"364";"13";"4";"347";"120";"10";"23";"5";"6";"19";"59";"3";"78";"3";"21"
"379010";"379010";"45";"8";"2";"311";"138";"1";"0";"137";"50";"4";"7";"5";"2";"11";"23";"0";"25";"1";"9"
"381001";"381001";"45";"8";"2";"420";"253";"9";"0";"244";"80";"6";"22";"6";"6";"2";"31";"9";"50";"4";"28"
"381002";"381002";"45";"8";"2";"360";"167";"3";"0";"164";"48";"3";"26";"1";"0";"11";"15";"5";"28";"2";"25"
"381003";"381003";"45";"8";"2";"531";"285";"13";"1";"271";"97";"13";"19";"6";"13";"17";"34";"1";"58";"2";"11"
"381004";"381004";"45";"8";"2";"645";"330";"4";"0";"326";"96";"7";"28";"12";"8";"11";"59";"1";"89";"1";"14"
"381005";"381005";"45";"8";"2";"1215";"625";"21";"4";"600";"165";"16";"55";"17";"12";"26";"67";"1";"149";"5";"87"
"383001";"383001";"46";"8";"2";"2714";"1236";"44";"5";"1187";"358";"57";"178";"20";"40";"78";"172";"8";"176";"16";"84"
"383002";"383002";"46";"8";"2";"1972";"747";"26";"2";"719";"260";"20";"71";"42";"56";"24";"140";"4";"34";"14";"54"
"383103";"383103";"46";"8";"2";"1166";"601";"14";"9";"578";"142";"27";"52";"17";"19";"38";"64";"19";"147";"9";"44"
"385001";"385001";"42";"8";"2";"2028";"944";"19";"1";"924";"196";"50";"93";"27";"33";"59";"136";"12";"244";"23";"51"
"385002";"385002";"42";"8";"2";"2278";"1001";"11";"1";"989";"209";"50";"121";"21";"22";"66";"173";"8";"241";"19";"59"
"387001";"387001";"46";"8";"2";"2017";"974";"27";"4";"943";"417";"23";"131";"14";"57";"31";"108";"9";"71";"12";"70"
"387002";"387002";"46";"8";"2";"909";"462";"10";"9";"443";"119";"14";"52";"5";"11";"27";"42";"6";"85";"8";"74"
"387003";"387003";"46";"8";"2";"784";"432";"15";"4";"413";"146";"13";"34";"6";"5";"15";"55";"2";"101";"10";"26"
"387005";"387005";"46";"8";"2";"650";"411";"10";"6";"395";"109";"22";"39";"9";"29";"9";"38";"4";"114";"1";"21"
"387006";"387006";"46";"8";"2";"679";"341";"15";"4";"322";"76";"24";"39";"4";"5";"17";"27";"1";"88";"3";"38"
"387007";"387007";"46";"8";"2";"714";"366";"10";"2";"354";"114";"16";"26";"3";"13";"18";"35";"1";"88";"7";"33"
"387104";"387104";"46";"8";"2";"1536";"801";"30";"9";"762";"319";"31";"54";"12";"38";"51";"104";"4";"84";"9";"56"
"389001";"389001";"42";"8";"2";"3245";"1636";"31";"2";"1603";"428";"40";"272";"31";"40";"112";"190";"9";"371";"32";"78"
"389002";"389002";"42";"8";"2";"1570";"821";"20";"4";"797";"182";"28";"115";"24";"30";"39";"127";"1";"187";"14";"50"
"389003";"389003";"42";"8";"2";"885";"506";"5";"2";"499";"90";"29";"47";"4";"19";"33";"74";"1";"163";"11";"28"
"389004";"389004";"42";"8";"2";"890";"501";"12";"3";"486";"125";"19";"74";"12";"10";"23";"65";"2";"112";"12";"32"
"389005";"389005";"42";"8";"2";"804";"405";"5";"2";"398";"55";"29";"38";"6";"20";"11";"51";"3";"138";"17";"30"
"391005";"391005";"47";"8";"2";"1062";"621";"13";"1";"607";"160";"32";"29";"6";"17";"40";"85";"5";"180";"10";"43"
"391101";"391101";"47";"8";"2";"1579";"868";"15";"3";"850";"291";"27";"125";"33";"35";"44";"155";"4";"79";"11";"46"
"391104";"391104";"47";"8";"2";"862";"480";"12";"1";"467";"98";"30";"33";"6";"2";"24";"80";"3";"122";"4";"65"
"391105";"391105";"47";"8";"2";"273";"182";"3";"1";"178";"44";"7";"6";"2";"3";"9";"27";"0";"61";"1";"18"
"391106";"391106";"47";"8";"2";"259";"170";"1";"2";"167";"28";"6";"30";"1";"2";"5";"22";"4";"51";"1";"17"
"391107";"391107";"47";"8";"2";"362";"226";"7";"0";"219";"53";"9";"17";"1";"15";"9";"34";"0";"57";"10";"14"
"391108";"391108";"47";"8";"2";"1002";"517";"6";"0";"511";"113";"29";"43";"9";"21";"35";"61";"4";"124";"14";"58"
"393001";"393001";"43";"8";"2";"1897";"998";"24";"5";"969";"264";"33";"102";"26";"39";"64";"151";"16";"208";"25";"41"
"393002";"393002";"43";"8";"2";"454";"254";"6";"1";"247";"55";"13";"7";"5";"6";"10";"37";"9";"80";"7";"18"
"393003";"393003";"43";"8";"2";"509";"252";"3";"0";"249";"41";"12";"30";"7";"13";"11";"31";"3";"79";"4";"18"
"393004";"393004";"43";"8";"2";"1925";"849";"28";"3";"818";"202";"38";"70";"25";"50";"41";"137";"9";"148";"28";"70"
"393005";"393005";"43";"8";"2";"671";"373";"1";"4";"368";"90";"21";"30";"6";"12";"19";"42";"6";"97";"10";"35"
"395001";"395001";"47";"8";"2";"1393";"707";"21";"1";"685";"187";"35";"64";"18";"29";"45";"64";"1";"154";"10";"78"
"395002";"395002";"47";"8";"2";"1859";"1048";"36";"2";"1010";"214";"37";"134";"36";"32";"57";"121";"23";"205";"15";"136"
"395003";"395003";"47";"8";"2";"419";"249";"9";"1";"239";"56";"3";"23";"6";"5";"19";"33";"6";"56";"6";"26"
"395004";"395004";"47";"8";"2";"1134";"551";"21";"1";"529";"160";"9";"65";"16";"29";"29";"101";"7";"49";"13";"51"
"397002";"397002";"44";"8";"2";"1954";"878";"25";"5";"848";"338";"20";"73";"36";"43";"31";"190";"12";"52";"17";"36"
"397003";"397003";"44";"8";"2";"1354";"707";"13";"0";"694";"157";"24";"91";"26";"34";"44";"129";"5";"133";"17";"34"
"397004";"397004";"44";"8";"2";"1689";"800";"18";"6";"776";"196";"16";"99";"13";"50";"44";"182";"8";"111";"24";"33"
"397005";"397005";"44";"8";"2";"661";"407";"11";"2";"394";"98";"21";"66";"9";"9";"29";"54";"8";"59";"9";"32"
"397006";"397006";"44";"8";"2";"895";"424";"6";"1";"417";"87";"8";"54";"9";"16";"20";"94";"4";"80";"5";"40"
"397007";"397007";"44";"8";"2";"194";"114";"1";"0";"113";"14";"1";"22";"2";"5";"15";"8";"1";"23";"1";"21"
"397008";"397008";"44";"8";"2";"781";"386";"10";"1";"375";"69";"16";"21";"13";"10";"21";"76";"6";"106";"9";"28"
"397009";"397009";"44";"8";"2";"1389";"666";"22";"3";"641";"184";"19";"55";"16";"19";"33";"117";"5";"135";"14";"44"
"397010";"397010";"44";"8";"2";"295";"163";"5";"1";"157";"21";"4";"17";"4";"4";"6";"12";"1";"60";"5";"23"
"397101";"397101";"44";"8";"2";"5472";"2573";"55";"17";"2501";"794";"86";"415";"46";"94";"156";"505";"17";"231";"53";"104"
"401001";"401001";"49";"9";"2";"1610";"643";"13";"2";"628";"156";"9";"58";"23";"14";"15";"158";"29";"91";"19";"56"
"401002";"401002";"49";"9";"2";"1305";"601";"22";"1";"578";"83";"15";"64";"13";"18";"12";"168";"33";"103";"18";"51"
"401003";"401003";"49";"9";"2";"474";"271";"7";"2";"262";"38";"7";"20";"11";"5";"9";"38";"8";"90";"7";"29"
"401004";"401004";"49";"9";"2";"858";"454";"11";"3";"440";"53";"6";"28";"12";"7";"15";"48";"63";"152";"11";"45"
"401005";"401005";"49";"9";"2";"699";"332";"14";"0";"318";"37";"5";"42";"15";"12";"8";"86";"20";"62";"7";"24"
"401006";"401006";"49";"9";"2";"1506";"800";"13";"2";"785";"103";"27";"54";"12";"26";"23";"130";"107";"220";"22";"61"
"403001";"403001";"48";"9";"2";"1429";"649";"20";"2";"627";"178";"8";"69";"12";"9";"21";"130";"50";"89";"14";"47"
"403002";"403002";"48";"9";"2";"1596";"744";"16";"5";"723";"97";"11";"63";"16";"14";"20";"95";"71";"251";"11";"74"
"403003";"403003";"48";"9";"2";"1305";"590";"17";"2";"571";"171";"13";"51";"24";"13";"19";"93";"38";"119";"9";"21"
"403005";"403005";"48";"9";"2";"654";"370";"12";"1";"357";"83";"3";"24";"7";"6";"10";"72";"23";"104";"6";"19"
"405001";"405001";"49";"9";"2";"2722";"983";"19";"2";"962";"185";"35";"88";"19";"38";"23";"183";"106";"215";"9";"61"
"405003";"405003";"49";"9";"2";"942";"443";"8";"4";"431";"50";"16";"38";"11";"13";"18";"74";"40";"143";"4";"24"
"405004";"405004";"49";"9";"2";"891";"334";"2";"1";"331";"60";"8";"42";"10";"9";"12";"53";"29";"72";"5";"31"
"405005";"405005";"49";"9";"2";"868";"355";"7";"1";"347";"59";"15";"29";"13";"5";"15";"52";"24";"105";"2";"28"
"405102";"405102";"49";"9";"2";"921";"478";"13";"0";"465";"91";"7";"51";"22";"17";"15";"124";"27";"70";"22";"19"
"405105";"405105";"49";"9";"2";"250";"125";"4";"0";"121";"18";"2";"16";"0";"1";"3";"20";"17";"35";"1";"8"
"407001";"407001";"48";"9";"2";"11737";"5248";"169";"23";"5056";"1462";"115";"554";"138";"188";"197";"1103";"232";"681";"94";"292"
"409001";"409001";"49";"9";"2";"2726";"1191";"28";"5";"1158";"217";"31";"103";"34";"18";"46";"125";"118";"349";"15";"102"
"409003";"409003";"49";"9";"2";"766";"340";"5";"2";"333";"80";"8";"52";"9";"6";"8";"44";"8";"85";"5";"28"
"409004";"409004";"49";"9";"2";"631";"308";"7";"1";"300";"54";"7";"15";"2";"6";"8";"40";"29";"108";"4";"27"
"409005";"409005";"49";"9";"2";"1237";"544";"8";"1";"535";"90";"16";"55";"13";"10";"19";"54";"41";"179";"7";"51"
"411001";"411001";"49";"9";"2";"82";"61";"1";"1";"59";"7";"4";"5";"1";"0";"2";"23";"0";"11";"4";"2"
