"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2004 - Stemmeberettigede";"EV2004 - Afgivne stemmer";"EV2004 - Blanke stemmer";"EV2004 - Andre ugyldige stemmer";"EV2004 - Gyldige stemmer";"EV2004 - A. Socialdemokratiet";"EV2004 - B. Det Radikale Venstre";"EV2004 - C. Det Konservative Folkeparti";"EV2004 - F. Socialistisk Folkeparti";"EV2004 - J. JuniBevægelsen - Mod Union";"EV2004 - K. Kristendemokraterne";"EV2004 - N. Folkebevægelsen mod EU";"EV2004 - O. Dansk Folkeparti";"EV2004 - V. Venstre, Danmarks Liberale Parti"
"101001";"101001";"6";"2";"1";"9311";"4684";"49";"20";"4615";"1356";"616";"483";"622";"403";"35";"373";"255";"472"
"101002";"101002";"6";"2";"1";"3997";"1957";"12";"8";"1937";"671";"129";"138";"239";"189";"12";"225";"167";"167"
"101003";"101003";"6";"2";"1";"16590";"7414";"71";"24";"7319";"2163";"868";"635";"1090";"625";"72";"708";"413";"745"
"101004";"101004";"1";"1";"1";"7752";"4521";"32";"8";"4481";"1152";"634";"303";"800";"482";"14";"591";"122";"383"
"101005";"101005";"1";"1";"1";"3628";"1551";"18";"2";"1531";"481";"143";"81";"251";"167";"12";"169";"104";"123"
"101006";"101006";"1";"1";"1";"11175";"4807";"59";"13";"4735";"1552";"562";"346";"676";"412";"42";"492";"274";"379"
"101007";"101007";"1";"1";"1";"5930";"3021";"45";"14";"2962";"932";"418";"193";"469";"258";"16";"264";"134";"278"
"101008";"101008";"2";"1";"1";"11315";"5011";"34";"22";"4955";"1221";"888";"513";"819";"404";"31";"390";"152";"537"
"101009";"101009";"2";"1";"1";"6667";"3617";"42";"9";"3566";"876";"522";"505";"445";"240";"13";"261";"140";"564"
"101010";"101010";"2";"1";"1";"6752";"3861";"32";"14";"3815";"895";"642";"469";"532";"333";"20";"246";"157";"521"
"101011";"101011";"3";"1";"1";"8633";"3644";"51";"12";"3581";"1168";"297";"261";"452";"401";"48";"384";"262";"308"
"101012";"101012";"3";"1";"1";"4230";"2085";"20";"7";"2058";"662";"145";"162";"276";"220";"20";"192";"172";"209"
"101013";"101013";"3";"1";"1";"13408";"5368";"43";"14";"5311";"1877";"379";"335";"670";"534";"51";"594";"419";"452"
"101014";"101014";"4";"1";"1";"6439";"3213";"25";"6";"3182";"842";"443";"163";"577";"336";"10";"493";"117";"201"
"101015";"101015";"4";"1";"1";"3692";"2118";"18";"5";"2095";"549";"357";"174";"377";"181";"26";"166";"75";"190"
"101016";"101016";"4";"1";"1";"4909";"2633";"35";"15";"2583";"753";"469";"146";"439";"216";"14";"286";"73";"187"
"101017";"101017";"7";"2";"1";"10468";"5868";"48";"12";"5808";"1507";"983";"627";"867";"486";"35";"469";"208";"626"
"101018";"101018";"7";"2";"1";"4479";"2842";"30";"6";"2806";"700";"489";"284";"435";"227";"21";"211";"88";"351"
"101019";"101019";"8";"2";"1";"8091";"3872";"34";"8";"3830";"1271";"251";"268";"468";"480";"30";"406";"364";"292"
"101020";"101020";"8";"2";"1";"2883";"1048";"15";"12";"1021";"460";"43";"47";"101";"101";"5";"114";"104";"46"
"101021";"101021";"8";"2";"1";"4339";"2199";"22";"6";"2171";"662";"222";"159";"341";"252";"24";"224";"150";"137"
"101022";"101022";"8";"2";"1";"6336";"2664";"20";"12";"2632";"909";"184";"186";"341";"296";"22";"288";"216";"190"
"101023";"101023";"14";"3";"1";"6646";"3346";"27";"9";"3310";"1061";"296";"256";"529";"367";"15";"325";"189";"272"
"101024";"101024";"14";"3";"1";"4546";"2138";"27";"6";"2105";"707";"179";"171";"286";"218";"16";"187";"130";"211"
"101025";"101025";"14";"3";"1";"4840";"1976";"23";"5";"1948";"767";"95";"126";"226";"213";"11";"185";"175";"150"
"101026";"101026";"14";"3";"1";"4930";"2243";"27";"8";"2208";"744";"202";"163";"339";"224";"8";"242";"121";"165"
"101027";"101027";"14";"3";"1";"4929";"1908";"20";"6";"1882";"685";"131";"110";"240";"211";"16";"202";"159";"128"
"101028";"101028";"5";"1";"1";"14227";"6186";"78";"18";"6090";"1985";"745";"407";"866";"555";"58";"528";"333";"613"
"101029";"101029";"5";"1";"1";"9894";"4242";"49";"11";"4182";"1343";"434";"252";"623";"413";"37";"428";"269";"383"
"101030";"101030";"9";"2";"1";"13795";"7486";"77";"16";"7393";"2005";"1142";"713";"1160";"644";"67";"611";"265";"786"
"101031";"101031";"9";"2";"1";"5656";"2860";"28";"6";"2826";"732";"392";"411";"317";"183";"20";"181";"167";"423"
"101032";"101032";"10";"2";"1";"6934";"3506";"44";"11";"3451";"996";"616";"160";"668";"335";"20";"344";"106";"206"
"101033";"101033";"10";"2";"1";"9335";"4519";"72";"28";"4419";"1266";"703";"288";"792";"360";"29";"427";"174";"380"
"101034";"101034";"10";"2";"1";"3239";"1641";"25";"10";"1606";"450";"293";"113";"310";"129";"5";"170";"43";"93"
"101035";"101035";"11";"2";"1";"9938";"4814";"62";"14";"4738";"1422";"764";"231";"887";"402";"36";"484";"183";"329"
"101036";"101036";"11";"2";"1";"9969";"4196";"50";"12";"4134";"1349";"491";"264";"559";"416";"35";"409";"255";"356"
"101037";"101037";"11";"2";"1";"5315";"2729";"34";"7";"2688";"757";"374";"151";"507";"258";"27";"331";"109";"174"
"101038";"101038";"11";"2";"1";"1963";"1163";"10";"5";"1148";"352";"105";"110";"185";"132";"8";"123";"57";"76"
"101039";"101039";"15";"3";"1";"6352";"3445";"26";"13";"3406";"967";"588";"174";"729";"271";"27";"361";"88";"201"
"101040";"101040";"15";"3";"1";"7382";"3894";"44";"9";"3841";"1030";"718";"207";"755";"323";"20";"415";"95";"278"
"101041";"101041";"15";"3";"1";"7143";"3771";"41";"17";"3713";"1010";"619";"181";"802";"352";"26";"408";"106";"209"
"101042";"101042";"16";"3";"1";"2941";"1396";"21";"3";"1372";"482";"148";"79";"203";"138";"17";"125";"76";"104"
"101043";"101043";"16";"3";"1";"5273";"2720";"34";"10";"2676";"776";"370";"119";"550";"273";"26";"326";"95";"141"
"101044";"101044";"16";"3";"1";"8564";"3455";"35";"17";"3403";"1187";"240";"167";"490";"357";"17";"445";"251";"249"
