"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2004 - Stemmeberettigede";"EV2004 - Afgivne stemmer";"EV2004 - Blanke stemmer";"EV2004 - Andre ugyldige stemmer";"EV2004 - Gyldige stemmer";"EV2004 - A. Socialdemokratiet";"EV2004 - B. Det Radikale Venstre";"EV2004 - C. Det Konservative Folkeparti";"EV2004 - F. Socialistisk Folkeparti";"EV2004 - J. JuniBevægelsen - Mod Union";"EV2004 - K. Kristendemokraterne";"EV2004 - N. Folkebevægelsen mod EU";"EV2004 - O. Dansk Folkeparti";"EV2004 - V. Venstre, Danmarks Liberale Parti"
"101045";"101045";"16";"3";"1";"3973";"1789";"19";"7";"1763";"544";"166";"114";"291";"180";"11";"183";"144";"130"
"101046";"101046";"16";"3";"1";"3129";"1500";"23";"7";"1470";"415";"173";"153";"195";"147";"12";"129";"73";"173"
"101047";"101047";"12";"2";"1";"15153";"5801";"80";"22";"5699";"1997";"516";"383";"757";"499";"73";"583";"416";"475"
"101048";"101048";"12";"2";"1";"4466";"2277";"22";"3";"2252";"677";"240";"186";"340";"213";"39";"219";"157";"181"
"101049";"101049";"13";"2";"1";"4242";"2301";"20";"4";"2277";"682";"235";"181";"343";"292";"14";"184";"154";"192"
"101050";"101050";"13";"2";"1";"5095";"2564";"22";"10";"2532";"825";"208";"206";"330";"284";"15";"280";"181";"203"
"101051";"101051";"13";"2";"1";"3425";"1791";"21";"2";"1768";"537";"191";"169";"234";"194";"13";"155";"95";"180"
"101052";"101052";"13";"2";"1";"4630";"2343";"37";"9";"2297";"728";"250";"207";"293";"211";"22";"199";"156";"231"
"101053";"101053";"13";"2";"1";"4584";"2513";"22";"5";"2486";"748";"228";"223";"375";"277";"30";"247";"145";"213"
"101054";"101054";"13";"2";"1";"10814";"5432";"59";"14";"5359";"1657";"530";"514";"719";"584";"43";"451";"329";"532"
"147001";"147001";"17";"3";"1";"7992";"4555";"48";"11";"4496";"1171";"677";"678";"550";"378";"25";"313";"191";"513"
"147002";"147002";"17";"3";"1";"8207";"4809";"33";"4";"4772";"1215";"679";"843";"569";"362";"18";"295";"195";"596"
"147003";"147003";"18";"3";"1";"9187";"4765";"50";"12";"4703";"1373";"470";"696";"510";"455";"17";"306";"295";"581"
"147004";"147004";"18";"3";"1";"8750";"4704";"33";"17";"4654";"1326";"411";"950";"391";"361";"32";"235";"307";"641"
"147005";"147005";"18";"3";"1";"9126";"4707";"56";"15";"4636";"1325";"575";"739";"544";"357";"40";"285";"222";"549"
"147006";"147006";"18";"3";"1";"7907";"4361";"45";"6";"4310";"1293";"556";"522";"535";"361";"54";"277";"173";"539"
"147007";"147007";"19";"3";"1";"10912";"6018";"62";"15";"5941";"1607";"846";"816";"752";"469";"31";"397";"282";"741"
"147008";"147008";"19";"3";"1";"9909";"5587";"73";"11";"5503";"1520";"724";"890";"610";"410";"40";"333";"253";"723"
"151001";"151001";"22";"4";"2";"4204";"1952";"12";"7";"1933";"842";"65";"118";"167";"211";"10";"131";"224";"165"
"151002";"151002";"22";"4";"2";"6479";"2879";"36";"4";"2839";"1129";"122";"255";"235";"326";"15";"224";"293";"240"
"151003";"151003";"22";"4";"2";"2563";"1416";"9";"0";"1407";"489";"79";"208";"132";"122";"15";"79";"100";"183"
"151004";"151004";"22";"4";"2";"2851";"1155";"7";"3";"1145";"485";"34";"77";"98";"148";"5";"102";"100";"96"
"151005";"151005";"22";"4";"2";"3718";"2111";"30";"2";"2079";"723";"136";"248";"162";"206";"20";"102";"181";"301"
"151006";"151006";"22";"4";"2";"4064";"1740";"24";"7";"1709";"833";"40";"89";"135";"211";"6";"157";"159";"79"
"151007";"151007";"22";"4";"2";"1537";"885";"4";"1";"880";"268";"52";"132";"69";"97";"13";"67";"74";"108"
"151008";"151008";"22";"4";"2";"3270";"1724";"24";"4";"1696";"577";"107";"223";"205";"124";"9";"96";"112";"243"
"151009";"151009";"22";"4";"2";"3211";"1989";"35";"3";"1951";"577";"156";"299";"212";"186";"11";"96";"146";"268"
"151010";"151010";"22";"4";"2";"2062";"1239";"8";"0";"1231";"391";"84";"111";"204";"126";"10";"95";"75";"135"
"153001";"153001";"26";"4";"2";"3305";"1599";"16";"4";"1579";"598";"57";"167";"134";"146";"13";"96";"161";"207"
"153002";"153002";"26";"4";"2";"3465";"1298";"11";"3";"1284";"532";"52";"133";"96";"108";"8";"98";"134";"123"
"153003";"153003";"26";"4";"2";"3158";"1486";"13";"2";"1471";"570";"59";"142";"137";"158";"13";"108";"146";"138"
"153004";"153004";"26";"4";"2";"2176";"873";"11";"5";"857";"386";"23";"62";"66";"87";"6";"83";"102";"42"
"153005";"153005";"26";"4";"2";"3509";"1784";"10";"5";"1769";"726";"61";"157";"165";"166";"12";"142";"167";"173"
"153006";"153006";"26";"4";"2";"4223";"1652";"19";"11";"1622";"648";"55";"141";"142";"155";"7";"128";"197";"149"
"153007";"153007";"26";"4";"2";"4403";"1859";"21";"9";"1829";"749";"60";"163";"134";"178";"14";"162";"159";"210"
"155001";"155001";"27";"4";"2";"3155";"1844";"23";"0";"1821";"457";"136";"440";"148";"127";"10";"70";"103";"330"
"155002";"155002";"27";"4";"2";"3484";"1656";"14";"2";"1640";"415";"96";"368";"79";"114";"5";"73";"178";"312"
"155003";"155003";"27";"4";"2";"2962";"1644";"12";"2";"1630";"520";"90";"297";"144";"136";"5";"93";"136";"209"
"157001";"157001";"20";"4";"2";"5172";"3192";"25";"9";"3158";"512";"328";"950";"196";"154";"11";"103";"147";"757"
"157002";"157002";"20";"4";"2";"4437";"2642";"39";"3";"2600";"642";"259";"489";"239";"220";"18";"176";"192";"365"
"157003";"157003";"20";"4";"2";"4948";"2865";"17";"4";"2844";"524";"359";"757";"187";"127";"18";"114";"129";"629"
"157004";"157004";"20";"4";"2";"5239";"2694";"27";"8";"2659";"665";"234";"539";"214";"208";"17";"146";"214";"422"
"157005";"157005";"20";"4";"2";"4954";"2968";"26";"2";"2940";"534";"367";"689";"254";"192";"14";"126";"152";"612"
"157006";"157006";"24";"4";"2";"5620";"3565";"23";"6";"3536";"556";"428";"921";"261";"192";"21";"122";"166";"869"
"157007";"157007";"24";"4";"2";"5562";"3108";"30";"8";"3070";"555";"408";"673";"257";"198";"27";"130";"145";"677"
"157008";"157008";"24";"4";"2";"4387";"2649";"14";"8";"2627";"450";"268";"724";"185";"169";"13";"116";"157";"545"
"157009";"157009";"24";"4";"2";"4999";"2942";"17";"6";"2919";"409";"307";"812";"158";"147";"9";"103";"149";"825"
"157010";"157010";"24";"4";"2";"4754";"2739";"21";"2";"2716";"417";"267";"830";"123";"138";"17";"92";"142";"690"
"159001";"159001";"25";"4";"2";"4996";"2918";"34";"3";"2881";"726";"257";"444";"288";"273";"30";"194";"195";"474"
"159002";"159002";"25";"4";"2";"3133";"1546";"24";"4";"1518";"470";"113";"171";"134";"141";"23";"148";"109";"209"
"159003";"159003";"25";"4";"2";"5768";"2663";"29";"8";"2626";"858";"157";"293";"245";"232";"24";"282";"256";"279"
"159004";"159004";"25";"4";"2";"2745";"1262";"21";"7";"1234";"500";"32";"65";"134";"115";"11";"155";"144";"78"
"159005";"159005";"25";"4";"2";"2985";"1551";"19";"2";"1530";"564";"112";"127";"129";"146";"13";"143";"121";"175"
"159006";"159006";"25";"4";"2";"3821";"2278";"15";"7";"2256";"634";"243";"224";"332";"185";"17";"211";"141";"269"
"159007";"159007";"25";"4";"2";"4969";"2470";"41";"4";"2425";"894";"108";"189";"242";"269";"16";"265";"229";"213"
"159008";"159008";"25";"4";"2";"6092";"3633";"39";"5";"3589";"1103";"360";"449";"443";"330";"23";"256";"168";"457"
"159009";"159009";"25";"4";"2";"3742";"2105";"24";"3";"2078";"611";"178";"207";"253";"245";"19";"183";"151";"231"
"159010";"159010";"25";"4";"2";"4428";"2329";"36";"1";"2292";"756";"129";"311";"197";"175";"21";"266";"183";"254"
"159011";"159011";"25";"4";"2";"2611";"1264";"11";"3";"1250";"365";"90";"163";"128";"103";"10";"116";"73";"202"
"161001";"161001";"23";"4";"2";"2248";"1138";"19";"2";"1117";"385";"61";"161";"92";"98";"7";"75";"104";"134"
"161002";"161002";"23";"4";"2";"2405";"1187";"17";"2";"1168";"397";"68";"181";"74";"79";"12";"81";"111";"165"
"161003";"161003";"23";"4";"2";"4077";"1754";"33";"3";"1718";"652";"89";"214";"112";"167";"8";"105";"191";"180"
"161004";"161004";"23";"4";"2";"3336";"1433";"11";"5";"1417";"659";"35";"124";"97";"130";"8";"111";"169";"84"
"161005";"161005";"23";"4";"2";"1363";"821";"8";"2";"811";"203";"50";"145";"54";"60";"6";"29";"75";"189"
"161006";"161006";"23";"4";"2";"2362";"1105";"16";"1";"1088";"452";"30";"105";"87";"106";"8";"66";"115";"119"
"163001";"163001";"28";"4";"2";"1950";"870";"8";"1";"861";"411";"26";"75";"82";"67";"11";"67";"76";"46"
"163002";"163002";"28";"4";"2";"4448";"2127";"21";"2";"2104";"766";"96";"248";"190";"231";"30";"138";"163";"242"
"163003";"163003";"28";"4";"2";"4413";"2173";"15";"2";"2156";"705";"135";"275";"247";"186";"32";"163";"167";"246"
"163004";"163004";"28";"4";"2";"5134";"2820";"19";"5";"2796";"1047";"119";"391";"265";"265";"51";"189";"182";"287"
"163005";"163005";"28";"4";"2";"3618";"1501";"20";"1";"1480";"561";"64";"154";"167";"161";"16";"128";"105";"124"
"165001";"165001";"23";"4";"2";"4631";"2570";"29";"5";"2536";"718";"159";"223";"384";"363";"10";"305";"154";"220"
"165002";"165002";"23";"4";"2";"3401";"1978";"21";"3";"1954";"645";"87";"245";"204";"219";"9";"203";"158";"184"
"165003";"165003";"23";"4";"2";"2815";"1146";"10";"4";"1132";"455";"50";"69";"124";"155";"3";"123";"90";"63"
"165004";"165004";"23";"4";"2";"4029";"1688";"17";"4";"1667";"640";"55";"72";"211";"197";"2";"249";"168";"73"
"165005";"165005";"23";"4";"2";"4130";"2085";"10";"5";"2070";"694";"113";"148";"312";"321";"4";"236";"111";"131"
"167001";"167001";"26";"4";"2";"4161";"2050";"22";"4";"2024";"673";"134";"237";"195";"209";"23";"168";"181";"204"
"167002";"167002";"26";"4";"2";"3286";"1484";"15";"2";"1467";"591";"65";"129";"112";"147";"10";"116";"152";"145"
"167003";"167003";"26";"4";"2";"4321";"1940";"22";"8";"1910";"801";"62";"135";"181";"212";"9";"173";"186";"151"
"167004";"167004";"26";"4";"2";"4567";"2126";"20";"4";"2102";"812";"121";"137";"223";"220";"14";"219";"176";"180"
"167005";"167005";"26";"4";"2";"4927";"2339";"23";"5";"2311";"793";"146";"215";"198";"229";"16";"208";"269";"237"
"167006";"167006";"26";"4";"2";"5282";"2387";"36";"7";"2344";"923";"99";"177";"205";"255";"6";"221";"237";"221"
"167007";"167007";"26";"4";"2";"5387";"2294";"14";"1";"2279";"845";"78";"240";"152";"220";"23";"186";"261";"274"
"167008";"167008";"26";"4";"2";"4338";"1648";"12";"5";"1631";"672";"68";"113";"140";"144";"8";"195";"157";"134"
"169001";"169001";"23";"4";"2";"2700";"1088";"15";"7";"1066";"371";"42";"113";"85";"103";"14";"80";"125";"133"
"169002";"169002";"23";"4";"2";"3191";"1617";"9";"0";"1608";"557";"73";"249";"95";"112";"14";"107";"159";"242"
"169003";"169003";"23";"4";"2";"2552";"1450";"22";"1";"1427";"411";"87";"255";"89";"111";"9";"79";"141";"245"
"169004";"169004";"23";"4";"2";"2055";"1120";"21";"2";"1097";"393";"44";"175";"82";"76";"7";"67";"118";"135"
"169005";"169005";"23";"4";"2";"1556";"859";"6";"2";"851";"299";"42";"120";"63";"66";"4";"67";"82";"108"
"169006";"169006";"23";"4";"2";"3904";"1609";"18";"6";"1585";"636";"60";"158";"109";"141";"8";"114";"162";"197"
"169007";"169007";"23";"4";"2";"3188";"1533";"24";"4";"1505";"607";"65";"171";"94";"170";"8";"59";"176";"155"
"169008";"169008";"23";"4";"2";"2180";"994";"15";"6";"973";"392";"56";"111";"60";"89";"12";"62";"89";"102"
"169009";"169009";"23";"4";"2";"1726";"915";"14";"5";"896";"253";"48";"123";"62";"71";"9";"58";"95";"177"
"169010";"169010";"23";"4";"2";"1847";"738";"14";"3";"721";"326";"23";"84";"38";"55";"3";"48";"66";"78"
"169011";"169011";"23";"4";"2";"3339";"1520";"19";"1";"1500";"576";"49";"184";"93";"117";"12";"95";"151";"223"
"169012";"169012";"23";"4";"2";"3069";"1573";"25";"0";"1548";"552";"73";"232";"92";"130";"6";"69";"163";"231"
"169013";"169013";"23";"4";"2";"583";"295";"3";"0";"292";"82";"9";"39";"23";"30";"2";"23";"32";"52"
"171001";"171001";"22";"4";"2";"795";"514";"7";"4";"503";"130";"27";"131";"39";"31";"2";"18";"28";"97"
"171002";"171002";"22";"4";"2";"6568";"3521";"37";"2";"3482";"1001";"230";"664";"322";"271";"19";"167";"246";"562"
"173001";"173001";"21";"4";"2";"4963";"2502";"33";"3";"2466";"640";"221";"495";"196";"225";"11";"119";"159";"400"
"173002";"173002";"21";"4";"2";"4539";"2336";"31";"2";"2303";"697";"169";"352";"222";"242";"12";"145";"186";"278"
"173003";"173003";"21";"4";"2";"4472";"2442";"27";"5";"2410";"605";"218";"492";"212";"157";"23";"124";"136";"443"
"173004";"173004";"21";"4";"2";"4670";"2726";"22";"5";"2699";"626";"253";"572";"265";"211";"20";"110";"173";"469"
"173005";"173005";"21";"4";"2";"1130";"728";"7";"2";"719";"164";"84";"144";"63";"60";"2";"35";"33";"134"
"173006";"173006";"21";"4";"2";"4723";"3130";"18";"3";"3109";"575";"369";"777";"259";"187";"26";"126";"126";"664"
"173007";"173007";"21";"4";"2";"3438";"2287";"17";"5";"2265";"508";"270";"557";"199";"140";"12";"102";"119";"358"
"173008";"173008";"21";"4";"2";"3871";"2265";"14";"2";"2249";"571";"230";"486";"182";"192";"9";"119";"139";"321"
"173009";"173009";"21";"4";"2";"2076";"1441";"16";"4";"1421";"355";"184";"311";"144";"107";"10";"70";"60";"180"
"173010";"173010";"21";"4";"2";"4688";"2780";"40";"5";"2735";"656";"271";"554";"288";"216";"13";"165";"146";"426"
"175001";"175001";"28";"4";"2";"3053";"1515";"11";"2";"1502";"528";"95";"165";"150";"130";"12";"125";"151";"146"
"175002";"175002";"28";"4";"2";"1814";"802";"7";"2";"793";"375";"23";"45";"55";"100";"0";"69";"79";"47"
"175003";"175003";"28";"4";"2";"4159";"1984";"16";"3";"1965";"727";"121";"195";"195";"215";"16";"137";"164";"195"
"175004";"175004";"28";"4";"2";"3796";"1633";"22";"3";"1608";"735";"67";"139";"138";"131";"11";"132";"135";"120"
"175005";"175005";"28";"4";"2";"2626";"1241";"17";"3";"1221";"524";"41";"94";"128";"117";"7";"104";"123";"83"
"175006";"175006";"28";"4";"2";"3453";"1859";"19";"2";"1838";"634";"93";"217";"206";"193";"17";"133";"133";"212"
"175007";"175007";"28";"4";"2";"2782";"1458";"15";"0";"1443";"567";"58";"117";"123";"172";"15";"111";"149";"131"
"175008";"175008";"28";"4";"2";"4125";"2019";"35";"3";"1981";"746";"89";"231";"164";"182";"14";"165";"214";"176"
"175009";"175009";"28";"4";"2";"1175";"597";"13";"0";"584";"231";"29";"69";"49";"56";"4";"34";"54";"58"
"181001";"181001";"21";"4";"2";"2975";"1926";"25";"2";"1899";"255";"183";"540";"108";"85";"10";"44";"83";"591"
"181002";"181002";"21";"4";"2";"2352";"1340";"9";"5";"1326";"243";"119";"314";"79";"89";"5";"49";"60";"368"
"181003";"181003";"21";"4";"2";"2498";"1711";"11";"6";"1694";"265";"221";"395";"115";"100";"8";"42";"78";"470"
"181004";"181004";"21";"4";"2";"2472";"1631";"7";"2";"1622";"301";"181";"386";"92";"94";"13";"56";"77";"422"
"181005";"181005";"21";"4";"2";"3759";"2199";"13";"9";"2177";"535";"164";"444";"160";"154";"11";"103";"123";"483"
"181006";"181006";"21";"4";"2";"3910";"2452";"15";"5";"2432";"472";"200";"627";"139";"139";"5";"67";"124";"659"
"181008";"181008";"21";"4";"2";"1369";"819";"5";"1";"813";"112";"69";"265";"30";"20";"2";"17";"42";"256"
"181009";"181009";"21";"4";"2";"3772";"2323";"21";"3";"2299";"386";"215";"585";"113";"99";"14";"50";"128";"709"
"183001";"183001";"23";"4";"2";"1068";"540";"7";"5";"528";"144";"31";"63";"44";"49";"2";"27";"59";"109"
"183002";"183002";"23";"4";"2";"2781";"1191";"8";"3";"1180";"479";"49";"111";"84";"129";"7";"91";"115";"115"
"183003";"183003";"23";"4";"2";"3334";"1303";"15";"6";"1282";"548";"40";"117";"92";"137";"8";"92";"125";"123"
"183004";"183004";"23";"4";"2";"2355";"776";"5";"2";"769";"373";"11";"23";"76";"57";"3";"97";"90";"39"
"183005";"183005";"23";"4";"2";"3883";"1710";"15";"8";"1687";"666";"53";"199";"99";"179";"4";"112";"191";"184"
"185001";"185001";"27";"4";"2";"4169";"1650";"12";"1";"1637";"573";"59";"153";"117";"151";"10";"133";"254";"187"
"185002";"185002";"27";"4";"2";"5034";"2359";"33";"3";"2323";"843";"99";"252";"167";"241";"18";"153";"256";"294"
"185003";"185003";"27";"4";"2";"4626";"1892";"19";"8";"1865";"755";"90";"171";"154";"175";"7";"127";"219";"167"
"185004";"185004";"27";"4";"2";"3821";"1751";"20";"4";"1727";"703";"67";"168";"157";"168";"11";"120";"143";"190"
"185005";"185005";"27";"4";"2";"3577";"1545";"18";"3";"1524";"533";"61";"166";"142";"173";"19";"83";"180";"167"
"185006";"185006";"27";"4";"2";"8539";"3596";"50";"9";"3537";"1566";"136";"295";"280";"366";"14";"253";"343";"284"
"187001";"187001";"23";"4";"2";"2310";"985";"11";"4";"970";"279";"42";"226";"54";"86";"5";"54";"95";"129"
"187002";"187002";"23";"4";"2";"3137";"1627";"19";"4";"1604";"482";"78";"402";"121";"137";"4";"78";"131";"171"
"187003";"187003";"23";"4";"2";"3581";"1924";"18";"7";"1899";"534";"86";"553";"107";"143";"8";"80";"174";"214"
"189001";"189001";"22";"4";"2";"8836";"5626";"61";"10";"5555";"1324";"570";"1214";"476";"422";"36";"263";"342";"908"
"189002";"189002";"22";"4";"2";"2508";"1744";"12";"1";"1731";"387";"213";"301";"226";"148";"8";"115";"69";"264"
"189003";"189003";"22";"4";"2";"1097";"748";"10";"3";"735";"141";"70";"147";"76";"63";"9";"33";"29";"167"
"189004";"189004";"22";"4";"2";"946";"626";"5";"1";"620";"167";"61";"91";"90";"55";"4";"40";"25";"87"
"201001";"201001";"31";"5";"2";"1986";"1311";"12";"4";"1295";"286";"154";"306";"88";"84";"11";"43";"68";"255"
"201002";"201002";"31";"5";"2";"2572";"1531";"16";"3";"1512";"427";"159";"224";"130";"155";"9";"126";"61";"221"
"201003";"201003";"31";"5";"2";"3159";"1885";"20";"3";"1862";"451";"178";"332";"167";"161";"18";"107";"97";"351"
"201004";"201004";"31";"5";"2";"3561";"1869";"20";"4";"1845";"423";"136";"315";"144";"158";"15";"83";"129";"442"
"201005";"201005";"31";"5";"2";"3343";"2070";"10";"1";"2059";"456";"209";"461";"152";"118";"16";"69";"122";"456"
"201006";"201006";"31";"5";"2";"2025";"1215";"18";"0";"1197";"328";"129";"237";"105";"74";"6";"41";"64";"213"
"205001";"205001";"30";"5";"2";"3097";"1900";"21";"0";"1879";"452";"166";"398";"120";"155";"9";"88";"110";"381"
"205002";"205002";"30";"5";"2";"4614";"2818";"32";"7";"2779";"629";"345";"529";"237";"240";"16";"148";"147";"488"
"205003";"205003";"30";"5";"2";"3698";"2190";"20";"0";"2170";"573";"197";"379";"173";"217";"9";"104";"119";"399"
"205004";"205004";"30";"5";"2";"2703";"1692";"18";"2";"1672";"359";"179";"348";"141";"152";"5";"95";"72";"321"
"205005";"205005";"30";"5";"2";"1523";"920";"5";"0";"915";"133";"88";"229";"54";"75";"1";"50";"49";"236"
"207001";"207001";"31";"5";"2";"4045";"2581";"15";"5";"2561";"571";"266";"492";"293";"197";"10";"134";"117";"481"
"207002";"207002";"31";"5";"2";"4462";"2732";"34";"1";"2697";"635";"238";"510";"310";"223";"21";"161";"187";"412"
"207003";"207003";"31";"5";"2";"4086";"1905";"17";"3";"1885";"551";"126";"229";"227";"191";"19";"172";"129";"241"
"208001";"208001";"30";"5";"2";"4171";"2151";"38";"2";"2111";"514";"153";"329";"207";"171";"20";"116";"163";"438"
"208002";"208002";"30";"5";"2";"3501";"2079";"12";"1";"2066";"434";"202";"454";"189";"124";"18";"71";"117";"457"
"208003";"208003";"30";"5";"2";"3505";"2006";"11";"3";"1992";"496";"211";"366";"177";"160";"15";"95";"140";"332"
"208004";"208004";"30";"5";"2";"3360";"1832";"14";"2";"1816";"514";"166";"285";"191";"149";"8";"96";"133";"274"
"209001";"209001";"32";"5";"2";"4785";"2341";"30";"3";"2308";"776";"130";"352";"186";"207";"12";"144";"165";"336"
"209002";"209002";"32";"5";"2";"2608";"1349";"16";"4";"1329";"395";"82";"216";"97";"110";"18";"77";"125";"209"
"209003";"209003";"32";"5";"2";"3640";"1849";"9";"1";"1839";"556";"91";"311";"165";"183";"11";"95";"156";"271"
"209004";"209004";"32";"5";"2";"699";"399";"3";"0";"396";"113";"24";"75";"12";"32";"2";"26";"43";"69"
"209005";"209005";"32";"5";"2";"467";"267";"1";"0";"266";"56";"8";"40";"19";"25";"5";"11";"31";"71"
"209006";"209006";"32";"5";"2";"1392";"706";"6";"1";"699";"224";"60";"99";"43";"64";"2";"38";"76";"93"
"211001";"211001";"32";"5";"2";"2967";"1147";"15";"3";"1129";"469";"46";"117";"91";"99";"17";"79";"100";"111"
