"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2014 - Personlige stemmer i alt";"EV2014 - A - personlige stemmer i alt";"EV2014 - B - personlige stemmer i alt";"EV2014 - C - personlige stemmer i alt";"EV2014 - F - personlige stemmer i alt";"EV2014 - I - personlige stemmer i alt";"EV2014 - N - personlige stemmer i alt";"EV2014 - O - personlige stemmer i alt";"EV2014 - V - personlige stemmer i alt";"EV2014 - A-01";"EV2014 - A-02";"EV2014 - A-03";"EV2014 - A-04";"EV2014 - A-05";"EV2014 - A-06";"EV2014 - A-07";"EV2014 - A-08";"EV2014 - B-01";"EV2014 - B-02";"EV2014 - B-03";"EV2014 - B-04";"EV2014 - B-05";"EV2014 - B-06";"EV2014 - B-07";"EV2014 - C-01";"EV2014 - C-02";"EV2014 - C-03";"EV2014 - C-04";"EV2014 - C-05";"EV2014 - C-06";"EV2014 - C-07";"EV2014 - C-08";"EV2014 - C-09";"EV2014 - C-10";"EV2014 - F-01";"EV2014 - F-02";"EV2014 - F-03";"EV2014 - F-04";"EV2014 - F-05";"EV2014 - F-06";"EV2014 - F-07";"EV2014 - F-08";"EV2014 - F-09";"EV2014 - F-10";"EV2014 - F-11";"EV2014 - F-12";"EV2014 - F-13";"EV2014 - F-14";"EV2014 - F-15";"EV2014 - F-16";"EV2014 - F-17";"EV2014 - F-18";"EV2014 - F-19";"EV2014 - F-20";"EV2014 - I-01";"EV2014 - I-02";"EV2014 - I-03";"EV2014 - I-04";"EV2014 - I-05";"EV2014 - I-06";"EV2014 - I-07";"EV2014 - I-08";"EV2014 - I-09";"EV2014 - N-01";"EV2014 - N-02";"EV2014 - N-03";"EV2014 - N-04";"EV2014 - N-05";"EV2014 - N-06";"EV2014 - N-07";"EV2014 - N-08";"EV2014 - N-09";"EV2014 - N-10";"EV2014 - N-11";"EV2014 - N-12";"EV2014 - N-13";"EV2014 - N-14";"EV2014 - N-15";"EV2014 - N-16";"EV2014 - N-17";"EV2014 - N-18";"EV2014 - N-19";"EV2014 - N-20";"EV2014 - O-01";"EV2014 - O-02";"EV2014 - O-03";"EV2014 - O-04";"EV2014 - O-05";"EV2014 - O-06";"EV2014 - O-07";"EV2014 - O-08";"EV2014 - O-09";"EV2014 - O-10";"EV2014 - V-01";"EV2014 - V-02";"EV2014 - V-03";"EV2014 - V-04";"EV2014 - V-05";"EV2014 - V-06";"EV2014 - V-07";"EV2014 - V-08";"EV2014 - V-09";"EV2014 - V-10";"EV2014 - V-11";"EV2014 - V-12";"EV2014 - V-13";"EV2014 - V-14";"EV2014 - V-15";"EV2014 - V-16"
"101001";"101001";"1";"1";"1";"5506";"1029";"817";"429";"1231";"152";"498";"722";"628";"566";"34";"214";"30";"107";"50";"22";"6";"541";"17";"21";"74";"139";"8";"17";"333";"40";"20";"9";"4";"1";"3";"2";"5";"12";"1000";"19";"36";"18";"55";"9";"12";"7";"10";"3";"0";"13";"0";"10";"6";"2";"8";"10";"7";"6";"116";"14";"7";"2";"4";"6";"2";"0";"1";"354";"30";"12";"25";"8";"5";"3";"1";"1";"1";"3";"5";"7";"1";"4";"6";"16";"6";"9";"1";"696";"4";"9";"4";"0";"2";"1";"5";"0";"1";"223";"8";"7";"8";"3";"44";"0";"10";"161";"43";"4";"0";"101";"1";"0";"15"
"101002";"101002";"1";"1";"1";"2360";"423";"312";"237";"383";"86";"154";"451";"314";"236";"11";"74";"8";"55";"24";"9";"6";"207";"6";"4";"35";"49";"1";"10";"176";"29";"9";"4";"8";"1";"2";"0";"5";"3";"315";"4";"14";"7";"11";"3";"3";"1";"4";"2";"1";"2";"0";"4";"0";"0";"5";"5";"1";"1";"63";"6";"2";"2";"0";"2";"0";"2";"9";"112";"10";"2";"9";"5";"2";"0";"0";"1";"0";"1";"0";"3";"0";"0";"1";"4";"2";"1";"1";"432";"3";"4";"3";"1";"1";"3";"3";"0";"1";"116";"4";"2";"7";"0";"15";"0";"14";"81";"16";"6";"0";"48";"1";"0";"4"
"101003";"101003";"1";"1";"1";"5879";"1121";"865";"467";"1430";"161";"470";"779";"586";"612";"30";"236";"15";"139";"36";"41";"12";"569";"15";"27";"70";"171";"3";"10";"334";"62";"16";"16";"6";"3";"4";"0";"12";"14";"1158";"21";"17";"38";"62";"5";"20";"9";"15";"11";"2";"14";"5";"16";"5";"0";"10";"12";"6";"4";"123";"8";"6";"2";"2";"9";"4";"2";"5";"332";"27";"12";"29";"9";"1";"6";"0";"0";"1";"6";"4";"4";"6";"3";"3";"12";"6";"7";"2";"753";"8";"3";"0";"1";"1";"4";"3";"1";"5";"200";"9";"5";"9";"7";"47";"0";"16";"165";"27";"3";"1";"85";"3";"2";"7"
"101005";"101005";"1";"1";"1";"3915";"753";"476";"288";"782";"103";"404";"786";"323";"441";"22";"141";"10";"74";"40";"13";"12";"313";"20";"20";"42";"70";"6";"5";"191";"46";"12";"13";"7";"6";"3";"2";"5";"3";"618";"15";"18";"23";"30";"15";"7";"2";"5";"5";"1";"6";"2";"5";"3";"0";"5";"7";"8";"7";"68";"11";"4";"6";"0";"9";"1";"1";"3";"289";"41";"4";"13";"8";"5";"4";"0";"1";"2";"6";"2";"11";"5";"3";"0";"5";"1";"2";"2";"759";"3";"7";"2";"1";"2";"1";"6";"2";"3";"118";"1";"1";"13";"6";"28";"0";"3";"78";"16";"3";"0";"46";"4";"1";"5"
"101006";"101006";"1";"1";"1";"3674";"706";"469";"284";"755";"94";"296";"739";"331";"421";"15";"110";"14";"89";"37";"15";"5";"306";"13";"4";"43";"93";"2";"8";"214";"31";"8";"13";"2";"2";"5";"0";"3";"6";"593";"4";"22";"48";"30";"11";"12";"1";"10";"2";"1";"2";"1";"2";"2";"0";"7";"4";"2";"1";"72";"3";"7";"2";"1";"3";"1";"1";"4";"217";"20";"5";"9";"8";"4";"2";"3";"3";"0";"1";"1";"2";"0";"5";"1";"7";"4";"2";"2";"694";"9";"10";"3";"5";"3";"2";"4";"6";"3";"122";"6";"2";"7";"5";"24";"0";"14";"90";"14";"1";"0";"34";"8";"1";"3"
"101007";"101007";"2";"1";"1";"4340";"830";"354";"223";"777";"78";"434";"1349";"295";"548";"7";"113";"9";"92";"39";"17";"5";"232";"12";"8";"31";"62";"1";"8";"161";"30";"11";"7";"1";"3";"0";"0";"7";"3";"592";"17";"30";"13";"21";"15";"10";"6";"12";"2";"3";"16";"4";"5";"7";"0";"2";"8";"8";"6";"51";"4";"2";"2";"2";"11";"1";"2";"3";"302";"20";"10";"24";"17";"3";"4";"3";"1";"4";"1";"6";"6";"0";"10";"2";"9";"5";"4";"3";"1306";"10";"12";"1";"1";"2";"6";"4";"5";"2";"132";"2";"4";"5";"7";"17";"0";"1";"75";"5";"4";"2";"36";"1";"0";"4"
"101008";"101008";"2";"1";"1";"4079";"738";"486";"197";"948";"92";"450";"869";"299";"403";"29";"116";"24";"104";"32";"20";"10";"274";"13";"10";"75";"95";"4";"15";"145";"24";"9";"8";"2";"3";"4";"0";"1";"1";"693";"17";"22";"17";"52";"9";"19";"9";"10";"5";"6";"10";"2";"10";"8";"2";"24";"13";"7";"13";"71";"7";"3";"1";"0";"5";"4";"1";"0";"316";"23";"8";"21";"11";"5";"4";"3";"0";"2";"4";"0";"7";"3";"6";"7";"13";"11";"4";"2";"835";"4";"5";"3";"0";"8";"2";"8";"2";"2";"111";"2";"3";"8";"2";"19";"0";"7";"71";"11";"5";"2";"51";"3";"1";"3"
"101009";"101009";"2";"1";"1";"3218";"554";"487";"236";"648";"134";"206";"606";"347";"312";"12";"104";"24";"56";"31";"8";"7";"303";"11";"12";"54";"94";"4";"9";"167";"27";"10";"16";"0";"2";"5";"0";"6";"3";"476";"14";"24";"15";"44";"8";"9";"6";"4";"7";"2";"7";"0";"13";"2";"0";"1";"5";"6";"5";"86";"10";"12";"2";"2";"9";"2";"2";"9";"133";"22";"3";"5";"4";"2";"1";"2";"2";"1";"4";"1";"3";"0";"3";"3";"3";"6";"5";"3";"579";"9";"5";"1";"2";"0";"2";"6";"0";"2";"137";"1";"3";"7";"5";"22";"0";"7";"73";"14";"2";"0";"65";"2";"1";"8"
"101010";"101010";"2";"1";"1";"3768";"734";"552";"284";"780";"125";"272";"586";"435";"430";"16";"124";"9";"100";"32";"13";"10";"328";"9";"11";"43";"147";"1";"13";"227";"33";"1";"10";"0";"4";"1";"0";"2";"6";"599";"9";"32";"13";"35";"6";"10";"3";"12";"3";"2";"4";"1";"7";"7";"1";"9";"12";"8";"7";"99";"4";"5";"3";"3";"4";"2";"1";"4";"181";"21";"10";"16";"3";"4";"4";"2";"1";"2";"4";"0";"3";"0";"2";"2";"5";"4";"6";"2";"558";"3";"7";"2";"3";"1";"0";"5";"3";"4";"143";"4";"6";"8";"4";"26";"3";"10";"136";"8";"3";"0";"72";"2";"1";"9"
"101011";"101011";"3";"1";"1";"4994";"864";"830";"430";"1173";"128";"400";"598";"571";"444";"36";"192";"17";"124";"22";"22";"7";"489";"23";"23";"86";"187";"8";"14";"292";"60";"8";"22";"16";"3";"2";"2";"4";"21";"916";"16";"34";"40";"71";"10";"8";"3";"13";"5";"2";"7";"2";"14";"3";"1";"14";"10";"1";"3";"93";"6";"9";"1";"3";"7";"4";"3";"2";"270";"34";"6";"18";"8";"1";"4";"8";"1";"3";"4";"5";"3";"2";"3";"3";"10";"8";"7";"2";"580";"3";"4";"2";"0";"1";"2";"4";"0";"2";"173";"6";"6";"11";"8";"27";"3";"26";"172";"32";"11";"2";"84";"7";"2";"1"
