"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1984 - Stemmeberettigede";"EV1984 - Afgivne stemmer";"EV1984 - Blanke stemmer";"EV1984 - Andre ugyldige stemmer";"EV1984 - Gyldige stemmer";"EV1984 - A. Socialdemokratiet";"EV1984 - B. Det Radikale Venstre";"EV1984 - C. Det Konservative Folkeparti";"EV1984 - F. Socialistisk Folkeparti";"EV1984 - M. Centrum-Demokraterne";"EV1984 - N. Folkebevægelsen mod EF";"EV1984 - Q. Kristeligt Folkeparti";"EV1984 - V. Venstre, Danmarks Liberale Parti";"EV1984 - Y. Venstresocialisterne";"EV1984 - Z. Fremskridtspartiet"
"101001";"101001";"13";"2";"1";"4477";"2669";"16";"3";"2650";"461";"77";"468";"375";"140";"846";"49";"71";"80";"83"
"101002";"101002";"15";"3";"1";"7533";"3601";"17";"18";"3566";"560";"48";"326";"594";"97";"1503";"32";"51";"239";"116"
"101003";"101003";"14";"3";"1";"5578";"2920";"14";"13";"2893";"794";"37";"280";"541";"90";"954";"37";"41";"51";"68"
"101004";"101004";"1";"1";"1";"6669";"3685";"18";"14";"3653";"456";"85";"462";"508";"101";"1588";"29";"84";"286";"54"
"101005";"101005";"1";"1";"1";"3670";"1866";"22";"5";"1839";"299";"40";"204";"354";"68";"721";"14";"49";"53";"37"
"101006";"101006";"1";"1";"1";"11476";"5619";"30";"21";"5568";"1264";"99";"701";"940";"179";"1898";"71";"116";"160";"140"
"101007";"101007";"8";"2";"1";"3719";"1980";"7";"7";"1966";"511";"20";"88";"396";"32";"829";"10";"17";"24";"39"
"101008";"101008";"1";"1";"1";"5744";"2962";"25";"16";"2921";"639";"49";"280";"510";"94";"1060";"35";"51";"110";"93"
"101010";"101010";"2";"1";"1";"8221";"4261";"25";"9";"4227";"510";"100";"795";"545";"185";"1479";"38";"140";"299";"136"
"101011";"101011";"16";"3";"1";"3261";"1762";"10";"4";"1748";"344";"32";"359";"216";"104";"517";"27";"38";"56";"55"
"101012";"101012";"4";"1";"1";"4239";"2350";"17";"9";"2324";"411";"55";"370";"368";"108";"759";"49";"50";"104";"50"
"101014";"101014";"4";"1";"1";"5001";"2529";"15";"9";"2505";"420";"31";"253";"401";"59";"1039";"31";"36";"163";"72"
"101016";"101016";"4";"1";"1";"6117";"3126";"22";"11";"3093";"399";"52";"306";"455";"86";"1394";"24";"66";"239";"72"
"101018";"101018";"7";"2";"1";"11106";"6407";"44";"12";"6351";"927";"180";"1320";"924";"331";"1891";"91";"214";"298";"175"
"101020";"101020";"7";"2";"1";"4887";"3032";"22";"5";"3005";"299";"103";"696";"346";"194";"967";"40";"127";"144";"89"
