"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A. Socialdemokratiet";"Socialdemokratiet";"A";"1"
"B. Det Radikale Venstre";"Radikale Venstre";"B";"2"
"C. Det Konservative Folkeparti";"Konservative Folkeparti";"C";"3"
"F. Socialistisk Folkeparti";"Socialistisk Folkeparti";"F";"4"
"M. Centrum-Demokraterne";"Centrum-Demokraterne";"M";"5"
"N. Folkebevægelsen mod EF";"Folkebevægelsen mod EF";"N";"6"
"Q. Kristeligt Folkeparti";"Kristeligt Folkeparti";"Q";"7"
"V. Venstre, Danmarks Liberale Parti";"Venstre";"V";"8"
"Y. Venstresocialisterne";"Venstresocialisterne";"Y";"9"
"Z. Fremskridtspartiet";"Fremskridtspartiet";"Z";"10"
