"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2009 - Stemmeberettigede";"EV2009 - Afgivne stemmer";"EV2009 - Blanke stemmer";"EV2009 - Andre ugyldige stemmer";"EV2009 - Gyldige stemmer";"EV2009 - A. Socialdemokratiet";"EV2009 - B. Det Radikale Venstre";"EV2009 - C. Det Konservative Folkeparti";"EV2009 - F. SF - Socialistisk Folkeparti";"EV2009 - I. Liberal Alliance";"EV2009 - J. JuniBevægelsen";"EV2009 - N. Folkebevægelsen mod EU";"EV2009 - O. Dansk Folkeparti";"EV2009 - V. Venstre, Danmarks Liberale Parti"
"101001";"101001";"1";"1";"1";"12937";"8160";"147";"35";"7978";"1503";"827";"743";"2170";"80";"232";"888";"560";"975"
"101002";"101002";"1";"1";"1";"5530";"3357";"73";"12";"3272";"555";"330";"398";"700";"31";"89";"270";"385";"514"
"101003";"101003";"1";"1";"1";"6409";"4351";"94";"7";"4250";"776";"457";"348";"1267";"44";"128";"478";"284";"468"
"101004";"101004";"1";"1";"1";"7079";"4633";"100";"10";"4523";"794";"481";"461";"1158";"60";"114";"419";"335";"701"
"101005";"101005";"1";"1";"1";"10397";"5931";"118";"2";"5811";"1200";"483";"498";"1413";"74";"165";"716";"602";"660"
"101006";"101006";"1";"1";"1";"8887";"5269";"116";"12";"5141";"1063";"501";"475";"1238";"51";"138";"556";"525";"594"
"101007";"101007";"2";"1";"1";"12551";"6277";"7";"19";"6251";"1338";"366";"428";"1342";"45";"177";"912";"1037";"606"
"101008";"101008";"2";"1";"1";"11585";"5984";"168";"16";"5800";"1211";"476";"401";"1525";"50";"188";"738";"706";"505"
"101009";"101009";"2";"1";"1";"7099";"3929";"65";"3";"3861";"725";"386";"376";"942";"41";"124";"378";"364";"525"
"101010";"101010";"2";"1";"1";"8374";"5284";"117";"17";"5150";"1041";"540";"499";"1234";"62";"134";"527";"415";"698"
"101011";"101011";"3";"1";"1";"10640";"5567";"93";"18";"5456";"1001";"643";"499";"1454";"51";"158";"593";"350";"707"
"101012";"101012";"3";"1";"1";"6010";"4078";"58";"6";"4014";"760";"435";"416";"1014";"39";"100";"393";"236";"621"
"101013";"101013";"3";"1";"1";"7792";"5052";"80";"12";"4960";"803";"512";"296";"1513";"35";"162";"840";"292";"507"
"101014";"101014";"3";"1";"1";"6690";"4162";"86";"10";"4066";"713";"441";"473";"892";"52";"114";"416";"295";"670"
"101015";"101015";"3";"1";"1";"6293";"4022";"46";"16";"3960";"706";"458";"442";"968";"56";"117";"335";"273";"605"
"101016";"101016";"4";"1";"1";"8598";"4366";"107";"19";"4240";"872";"348";"295";"1054";"28";"138";"515";"548";"442"
"101017";"101017";"4";"1";"1";"12787";"6868";"167";"24";"6677";"1452";"527";"458";"1835";"62";"209";"791";"688";"655"
"101018";"101018";"4";"1";"1";"7846";"4266";"84";"9";"4173";"870";"279";"305";"938";"25";"144";"569";"605";"438"
"101019";"101019";"4";"1";"1";"7646";"4513";"82";"17";"4414";"840";"315";"370";"1040";"33";"159";"514";"588";"555"
"101020";"101020";"5";"1";"1";"9614";"5392";"120";"20";"5252";"1017";"512";"282";"1781";"43";"181";"813";"299";"324"
"101021";"101021";"5";"1";"1";"12102";"6506";"184";"23";"6299";"1275";"560";"412";"2034";"48";"195";"829";"442";"504"
"101022";"101022";"5";"1";"1";"5534";"3217";"68";"3";"3146";"566";"270";"141";"1012";"13";"119";"594";"212";"219"
"101023";"101023";"5";"1";"1";"4828";"2965";"63";"15";"2887";"597";"325";"182";"876";"25";"103";"369";"166";"244"
"101024";"101024";"5";"1";"1";"6466";"3891";"86";"9";"3796";"774";"316";"182";"1278";"24";"138";"599";"256";"229"
"101025";"101025";"5";"1";"1";"9175";"5295";"139";"12";"5144";"1004";"464";"260";"1825";"25";"166";"732";"358";"310"
"101026";"101026";"5";"1";"1";"3045";"1657";"36";"4";"1617";"326";"187";"86";"528";"14";"48";"221";"95";"112"
"101027";"101027";"6";"1";"1";"14451";"6974";"161";"30";"6783";"1368";"460";"575";"1734";"66";"214";"946";"821";"599"
"101028";"101028";"6";"1";"1";"7137";"3842";"92";"9";"3741";"829";"258";"256";"949";"22";"78";"522";"494";"333"
"101029";"101029";"6";"1";"1";"3975";"2191";"42";"8";"2141";"496";"111";"144";"475";"20";"57";"320";"315";"203"
"101030";"101030";"6";"1";"1";"8441";"4303";"123";"19";"4161";"824";"277";"280";"1226";"36";"116";"640";"454";"308"
"101031";"101031";"7";"1";"1";"3648";"2475";"44";"6";"2425";"441";"292";"171";"577";"20";"105";"296";"280";"243"
"101032";"101032";"7";"1";"1";"2580";"1000";"13";"3";"984";"317";"27";"40";"185";"0";"24";"152";"187";"52"
"101033";"101033";"7";"1";"1";"3427";"2097";"46";"5";"2046";"430";"155";"102";"506";"14";"69";"287";"278";"205"
"101034";"101034";"7";"1";"1";"2660";"1667";"24";"5";"1638";"335";"116";"118";"422";"14";"64";"258";"170";"141"
"101035";"101035";"7";"1";"1";"6179";"3044";"69";"11";"2964";"635";"148";"229";"612";"18";"110";"431";"492";"289"
"101036";"101036";"7";"1";"1";"7771";"4723";"85";"20";"4618";"1009";"219";"344";"953";"33";"197";"616";"770";"477"
"101037";"101037";"7";"1";"1";"4988";"2988";"55";"7";"2926";"626";"186";"181";"656";"17";"125";"410";"433";"292"
"101038";"101038";"7";"1";"1";"3294";"2021";"39";"7";"1975";"408";"160";"178";"476";"15";"72";"218";"245";"203"
"101039";"101039";"7";"1";"1";"4208";"2591";"67";"3";"2521";"516";"188";"210";"593";"21";"77";"289";"339";"288"
"101040";"101040";"7";"1";"1";"4879";"3198";"59";"7";"3132";"619";"236";"257";"804";"26";"125";"398";"346";"321"
"101041";"101041";"7";"1";"1";"9740";"5911";"138";"11";"5762";"1197";"359";"515";"1417";"39";"166";"687";"736";"646"
"101042";"101042";"8";"1";"1";"7683";"4615";"92";"12";"4511";"902";"346";"380";"1168";"33";"139";"576";"528";"439"
"101043";"101043";"8";"1";"1";"4870";"2838";"73";"10";"2755";"537";"214";"225";"692";"17";"78";"350";"322";"320"
"101044";"101044";"8";"1";"1";"4510";"2228";"49";"5";"2174";"528";"102";"190";"464";"16";"49";"257";"363";"205"
"101045";"101045";"8";"1";"1";"3184";"2022";"65";"6";"1951";"393";"159";"154";"536";"18";"61";"243";"185";"202"
