"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"30";"360";"36";"29";"8625";"30";"36";"8625";"360";"29";"2043";"2043";"0";"1";"0";"360036";"2043";"360036";"360036"
"2";"30";"510";"5";"61";"9708";"30";"5";"9708";"510";"61";"2771";"2771";"0";"1";"0";"510005";"2771";"510005";"510005"
"3";"30";"461";"27";"43";"8264";"30";"27";"8264";"461";"43";"370";"370";"0";"1";"0";"461027";"370";"461027";"461027"
"4";"30";"746";"9";"70";"9676";"30";"9";"9676";"746";"70";"3055";"3055";"0";"1";"0";"746009";"3055";"746009";"746009"
"5";"30";"730";"21";"68";"9059";"30";"21";"9059";"730";"68";"1707";"1707";"0";"1";"0";"730021";"1707";"730021";"730021"
"6";"30";"550";"21";"51";"8899";"30";"21";"8899";"550";"51";"613";"613";"0";"1";"0";"550021";"613";"550021";"550021"
"7";"30";"851";"11";"92";"8462";"30";"11";"8462";"851";"92";"5244";"5244";"0";"1";"0";"851011";"5244";"851011";"851011"
"8";"30";"661";"2";"82";"9165";"30";"2";"9165";"661";"82";"3192";"3192";"0";"1";"0";"661002";"3192";"661002";"661002"
"9";"30";"580";"16";"50";"9630";"30";"16";"9630";"580";"50";"7422";"7422";"0";"1";"0";"580016";"7422";"580016";"580016"
"10";"30";"730";"33";"68";"9543";"30";"33";"9543";"730";"68";"1574";"1574";"0";"1";"0";"730033";"1574";"730033";"730033"
"11";"30";"791";"9";"76";"9554";"30";"9";"9554";"791";"76";"5359";"5359";"0";"1";"0";"791009";"5359";"791009";"791009"
"12";"30";"573";"9";"54";"8924";"30";"9";"8924";"573";"54";"988";"988";"0";"1";"0";"573009";"988";"573009";"573009"
"13";"30";"461";"2";"41";"8775";"30";"2";"8775";"461";"41";"7479";"7479";"0";"1";"0";"461002";"7479";"461002";"461002"
"14";"30";"259";"8";"34";"8680";"30";"8";"8680";"259";"34";"995";"995";"0";"1";"0";"259008";"995";"259008";"259008"
"15";"30";"751";"2";"62";"8998";"30";"2";"8998";"751";"62";"6539";"6539";"0";"1";"0";"751002";"6539";"751002";"751002"
"16";"30";"461";"1";"41";"9707";"30";"1";"9707";"461";"41";"8939";"8939";"0";"1";"0";"461001";"8939";"461001";"461001"
"17";"30";"580";"4";"50";"9618";"30";"4";"9618";"580";"50";"3197";"3197";"0";"1";"0";"580004";"3197";"580004";"580004"
"18";"30";"320";"7";"33";"8670";"30";"7";"8670";"320";"33";"2768";"2768";"0";"1";"0";"320007";"2768";"320007";"320007"
"19";"30";"766";"18";"72";"9112";"30";"18";"9112";"766";"72";"396";"396";"0";"1";"0";"766018";"396";"766018";"766018"
"20";"30";"330";"24";"40";"8773";"30";"24";"8773";"330";"40";"1050";"1050";"0";"1";"0";"330024";"1050";"330024";"330024"
"21";"30";"630";"1";"57";"8956";"30";"1";"8956";"630";"57";"2236";"2236";"0";"1";"0";"630001";"2236";"630001";"630001"
"22";"30";"787";"23";"87";"9308";"30";"23";"9308";"787";"87";"1720";"1720";"0";"1";"0";"787023";"1720";"787023";"787023"
"23";"30";"201";"5";"26";"8398";"30";"5";"8398";"201";"26";"3804";"3804";"0";"1";"0";"201005";"3804";"201005";"201005"
"24";"30";"810";"8";"86";"8308";"30";"8";"8308";"810";"86";"392";"392";"0";"1";"0";"810008";"392";"810008";"810008"
"25";"30";"370";"4";"32";"8486";"30";"4";"8486";"370";"32";"1774";"1774";"0";"1";"0";"370004";"1774";"370004";"370004"
"26";"30";"849";"16";"86";"9264";"30";"16";"9264";"849";"86";"901";"901";"0";"1";"0";"849016";"901";"849016";"849016"
"27";"30";"773";"13";"87";"9281";"30";"13";"9281";"773";"87";"627";"627";"0";"1";"0";"773013";"627";"773013";"773013"
"28";"30";"510";"32";"61";"8993";"30";"32";"8993";"510";"61";"399";"399";"0";"1";"0";"510032";"399";"510032";"510032"
"29";"30";"461";"21";"42";"8406";"30";"21";"8406";"461";"42";"1803";"1803";"0";"1";"0";"461021";"1803";"461021";"461021"
"30";"30";"376";"15";"30";"8641";"30";"15";"8641";"376";"30";"991";"991";"0";"1";"0";"376015";"991";"376015";"376015"
"31";"30";"751";"55";"64";"9024";"30";"55";"9024";"751";"64";"618";"618";"0";"1";"0";"751055";"618";"751055";"751055"
"32";"30";"400";"6";"28";"9446";"30";"6";"9446";"400";"28";"4253";"4253";"0";"1";"0";"400006";"4253";"400006";"400006"
"33";"30";"575";"8";"55";"9497";"30";"8";"9497";"575";"55";"765";"765";"0";"1";"0";"575008";"765";"575008";"575008"
"34";"30";"787";"14";"87";"9300";"30";"14";"9300";"787";"87";"416";"416";"0";"1";"0";"787014";"416";"787014";"787014"
"35";"30";"860";"1";"85";"9215";"30";"1";"9215";"860";"85";"1354";"1354";"0";"1";"0";"860001";"1354";"860001";"860001"
"36";"30";"101";"7";"2";"8333";"30";"7";"8333";"101";"2";"14391";"14391";"0";"1";"0";"101007";"14391";"101007";"101007"
"37";"30";"510";"4";"61";"8974";"30";"4";"8974";"510";"61";"303";"303";"0";"1";"0";"510004";"303";"510004";"510004"
"38";"30";"101";"32";"7";"8357";"30";"32";"8357";"101";"7";"4423";"4423";"0";"1";"0";"101032";"4423";"101032";"101032"
"39";"30";"430";"16";"48";"8879";"30";"16";"8879";"430";"48";"816";"816";"0";"1";"0";"430016";"816";"430016";"430016"
"40";"30";"187";"3";"18";"8539";"30";"3";"8539";"187";"18";"3919";"3919";"0";"1";"0";"187003";"3919";"187003";"187003"
"41";"30";"190";"1";"25";"8601";"30";"1";"8601";"190";"25";"7296";"7296";"0";"1";"0";"190001";"7296";"190001";"190001"
"42";"30";"270";"3";"23";"8584";"30";"3";"8584";"270";"23";"305";"305";"0";"1";"0";"270003";"305";"270003";"270003"
"43";"30";"561";"24";"53";"8428";"30";"24";"8428";"561";"53";"2659";"2659";"0";"1";"0";"561024";"2659";"561024";"561024"
