ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Radikale Venstre - K;B. Radikale Venstre - T;B. Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;F. SF - Socialistisk Folkeparti - K;F. SF - Socialistisk Folkeparti - T;F. SF - Socialistisk Folkeparti - I alt;I. Liberal Alliance - K;I. Liberal Alliance - T;I. Liberal Alliance - I alt;K. Kristendemokraterne - K;K. Kristendemokraterne - T;K. Kristendemokraterne - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;4. Uden for partierne - K;4. Uden for partierne - T;4. Uden for partierne - I alt;5. Uden for partierne - K;5. Uden for partierne - T;5. Uden for partierne - I alt;6. Uden for partierne - K;6. Uden for partierne - T;6. Uden for partierne - I alt;Valgte kandidater
30;Københavns Storkreds;3;0;3;3;0;3;0;1;1;2;1;3;1;0;1;0;0;0;1;1;2;2;1;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Helle Thorning-Schmidt (33564,20781,54345), A. Karen Hækkerup (4526,2830,7356), A. Mette Reissmann (3154,1974,5128), B. Manu Sareen (14505,26696,41201), B. Uffe Elbæk (2373,4330,6703), B. Lone Loklindt (1227,2212,3439), C. Per Stig Møller (7093,5664,12757), F. Villy Søvndal (12954,7860,20814), F. Ida Auken (9114,5540,14654), F. Özlem Sara Cekic (5383,3303,8686), I. Simon Emil Ammitzbøll (6132,10296,16428), O. Peter Skaarup (10118,13951,24069), O. Martin Henriksen (1625,2232,3857), V. Søren Pind (15101,26972,42073), V. Martin Geertsen (1965,3624,5589), V. Jan E. Jørgensen (1935,3228,5163), Ø. Johanne Schmidt-Nielsen (P 47002,0,47002), Ø. Rosa Lund (P 1150,16558,17708), Ø. Finn Sørensen (P 678,2774,3452)
30;Københavns Omegns Storkreds;4;0;4;1;1;2;1;0;1;1;0;1;0;1;1;0;0;0;1;1;2;3;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Mette Frederiksen (21847,14934,36781), A. Mogens Lykketoft (9181,7026,16207), A. Morten Bødskov (6082,4224,10306), A. Sophie Hæstorp Andersen (3219,2759,5978), B. Sofie Carsten Nielsen (2920,7279,10199), B. Nadeem Farooq (2623,6046,8669), C. Benedikte Kiær (5344,5298,10642), F. Holger K. Nielsen (P 3360,10524,13884), I. Joachim B. Olsen (1932,5834,7766), O. Søren Espersen (6358,13694,20052), O. Mikkel Dencker (1962,3819,5781), V. Karen Ellemann (8476,16874,25350), V. Gitte Lillelund Bech (7157,13820,20977), V. Eyvind Vesselbo (2437,4611,7048), Ø. Frank Aaen (P 4133,7478,11611)
30;Nordsjællands Storkreds;2;0;2;1;1;2;0;1;1;1;0;1;1;0;1;0;0;0;1;0;1;4;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Christine Antorini (10408,9302,19710), A. Nick Hækkerup (7797,7295,15092), B. Margrethe Vestager (23793,6583,30376), B. Christian Friis Bach (1566,449,2015), C. Lars Barfoed (8268,5308,13576), F. Pia Olsen Dyhr (2461,4142,6603), I. Anders Samuelsen (11805,6666,18471), O. Pia Adelsteen (2762,6863,9625), V. Lars Løkke Rasmussen (56285,16501,72786), V. Sophie Løhde (7416,2359,9775), V. Claus Hjort Frederiksen (3865,1231,5096), V. Hans Andersen (1333,390,1723), Ø. Jørgen Arbo-Bæhr (P 608,6924,7532)
30;Bornholms Storkreds;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Jeppe Kofod (6811,2582,9393), V. Peter Juel Jensen (4609,1906,6515)
30;Sjællands Storkreds;5;2;7;1;1;2;1;0;1;2;0;2;1;0;1;0;0;0;3;1;4;6;1;7;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Henrik Sass Larsen (7352,10218,17570), A. Magnus Heunicke (9364,7877,17241), A. Ole Hækkerup (6447,7259,13706), A. Mette Gjerskov (5855,7738,13593), A. Lennart Damsbo-Andersen (6662,5375,12037), A. John Dyrby Paulsen (5292,5985,11277), A. Rasmus Horn Langhoff (5410,5760,11170), B. Zenia Stampe (3703,9887,13590), B. Rasmus Helveg Petersen (3662,9118,12780), C. Brian Mikkelsen (4910,4135,9045), F. Astrid Krag (6469,8654,15123), F. Ole Sohn (4752,6429,11181), I. Villum Christensen (3048,7212,10260), O. Pia Kjærsgaard (46131,22481,68612), O. René Christensen (2580,1041,3621), O. Karin Nødgaard (1643,734,2377), O. Liselott Blixt (1306,720,2026), V. Bertel Haarder (11303,16182,27485), V. Jacob Jensen (9842,10447,20289), V. Karsten Nonbo (7587,8397,15984), V. Henrik Høegh (8681,5398,14079), V. Louise Schack Elholm (5379,6656,12035), V. Birthe Rønn Hornbech (4372,6337,10709), V. Flemming Damgaard Larsen (4174,5718,9892), Ø. Nikolaj Villumsen (P 730,9257,9987), Ø. Christian Juhl (P 1566,8421,9987)
30;Fyns Storkreds;4;1;5;1;0;1;0;1;1;1;1;2;0;1;1;0;0;0;2;0;2;3;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Pernille Rosenkrantz-Theil (16919,15419,32338), A. Carsten Hansen (8171,7298,15469), A. Trine Bramsen (4497,3967,8464), A. Jan Johansen (4218,3766,7984), A. Julie Skovsby (3960,3528,7488), B. Camilla Hersom (3958,10811,14769), C. Mai Henriksen (3867,3346,7213), F. Anne Baastrup (5011,7559,12570), F. Annette Vilhelmsen (2426,3356,5782), I. Merete Riisager (2559,5582,8141), O. Jens Henrik Thulesen Dahl (5594,9368,14962), O. Alex Ahrendtsen (2462,4520,6982), V. Lars Chr. Lilleholt (10770,12341,23111), V. Jakob Ellemann-Jensen (7786,9309,17095), V. Erling Bonnesen (7819,8420,16239), V. Jane Heitmann (4196,4338,8534), Ø. Pernille Skipper (P 3243,6715,9958)
30;Sydjyllands Storkreds;5;0;5;1;1;2;0;1;1;1;1;2;1;0;1;0;0;0;3;1;4;7;0;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Bjarne Corydon (8299,7680,15979), A. Benny Engelbrecht (8409,5727,14136), A. Jacob Bjerregaard (7893,5024,12917), A. Karen J. Klint (5084,5270,10354), A. Troels Ravn (6077,3030,9107), B. Lotte Rod (3776,7422,11198), B. Marlene B. Lorentzen (2068,4122,6190), C. Mike Legarth (3234,1911,5145), F. Karina Lorentzen Dehnhardt (P 4877,6696,11573), F. Jesper Petersen (P 4340,7233,11573), I. Mette Bock (6827,9923,16750), O. Kristian Thulesen Dahl (27393,17704,45097), O. Jørn Dohrmann (3588,2800,6388), O. Karina Adsbøl (1748,1245,2993), O. Marie Krarup (1659,1241,2900), V. Ellen Trane Nørby (18059,9736,27795), V. Eva Kjer Hansen (10872,9474,20346), V. Peter Christensen (12990,6574,19564), V. Hans Chr. Schmidt (12192,5280,17472), V. Ulla Tørnæs (9125,5997,15122), V. Hans Chr. Thoning (8927,3313,12240), V. Anni Matthiesen (7017,3520,10537), Ø. Henning Hyllested (P 2267,6367,8634)
30;Østjyllands Storkreds;5;2;7;2;1;3;0;1;1;1;1;2;1;0;1;0;0;0;2;1;3;6;1;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Nicolai Wammen (32119,19281,51400), A. Henrik Dam Kristensen (7719,6441,14160), A. Maja Panduro (7333,4276,11609), A. Kirsten Brosbøl (6931,4355,11286), A. Leif Lahn Jensen (6986,3798,10784), A. Jens Joel (5309,3089,8398), A. Torben Hansen (4985,2869,7854), B. Morten Østergaard (8777,16270,25047), B. Liv Holm Andersen (2424,4415,6839), B. Jeppe Mikkelsen (1500,3195,4695), C. Tom Behnke (3326,3865,7191), F. Eigil Andersen (P 1003,13452,14455), F. Jonas Dahl (P 4219,10236,14455), I. Ole Birk Olesen (3758,10362,14120), O. Kim Christiansen (2798,7206,10004), O. Hans Kristian Skibby (2947,5854,8801), O. Mette Hjermind Dencker (2344,6235,8579), V. Lykke Friis (30910,26519,57429), V. Troels Lund Poulsen (10038,8084,18122), V. Michael Aastrup Jensen (10280,6071,16351), V. Kim Andersen (5590,4304,9894), V. Karen Jespersen (4893,4188,9081), V. Anne-Mette Winther Christiansen (4757,3075,7832), V. Fatma Øktem (3130,3020,6150), Ø. Per Clausen (P 2558,12678,15236)
30;Vestjyllands Storkreds;4;0;4;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;2;0;2;5;1;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Thomas Jensen (7560,5431,12991), A. Mogens Jensen (6461,5186,11647), A. Karin Gaardsted (5439,6056,11495), A. Annette Lind (6073,3595,9668), B. Andreas Steenberg (2341,4157,6498), F. Steen Gade (3061,3360,6421), I. Leif Mikkelsen (3477,5560,9037), O. Dennis Flydtkjær (3980,4611,8591), O. Christian Langballe (2480,3749,6229), V. Kristian Jensen (17362,6720,24082), V. Inger Støjberg (16492,6574,23066), V. Kristian Pihl Lorentzen (9488,4775,14263), V. Mads Rørvig (8283,5104,13387), V. Esben Lunde Larsen (10183,2946,13129), V. Thomas Danielsen (5873,1942,7815), Ø. Lars Dohn (P 550,5203,5753)
30;Nordjyllands Storkreds;5;1;6;1;0;1;1;0;1;1;1;2;0;1;1;0;0;0;2;0;2;5;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Orla Hav (18121,11164,29285), A. Bjarne Laustsen (18733,10141,28874), A. Simon Kollerup (9859,3286,13145), A. Flemming Møller Mortensen (6847,3777,10624), A. Rasmus Prehn (5884,3806,9690), A. Ane Halsboe-Larsen (5171,3075,8246), B. Marianne Jelved (4586,7894,12480), C. Lene Espersen (10561,4030,14591), F. Pernille Vigsø Bagge (9597,9945,19542), F. Lisbeth Bech Poulsen (1334,1779,3113), I. Thyra Frank (3638,5366,9004), O. Bent Bøgsted (5053,9221,14274), O. Morten Marinus Jørgensen (2365,4432,6797), V. Karsten Lauritzen (14346,11699,26045), V. Tina Nedergaard (7992,7272,15264), V. Torsten Schack Pedersen (10065,3801,13866), V. Preben Bang Henriksen (5641,7040,12681), V. Birgitte Josefsen (5913,5668,11581), Ø. Stine Maiken Brix (P 2667,5653,8320)
