"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A. Socialdemokratiet";"Socialdemokratiet";"A";"1"
"B. Det Radikale Venstre";"Radikale Venstre";"B";"2"
"C. Det Konservative Folkeparti";"Konservative Folkeparti";"C";"3"
"D. Centrum-Demokraterne";"Centrum-Demokraterne";"D";"4"
"F. Socialistisk Folkeparti";"Socialistisk Folkeparti";"F";"5"
"O. Dansk Folkeparti";"Dansk Folkeparti";"O";"6"
"Q. Kristeligt Folkeparti";"Kristeligt Folkeparti";"Q";"7"
"V. Venstre, Danmarks Liberale Parti";"Venstre";"V";"8"
"Z. Fremskridtspartiet";"Fremskridtspartiet";"Z";"9"
"Ø. Enhedslisten - De Rød-Grønne";"Enhedslisten";"Ø";"10"
"1. Uden for partierne";"Uden for partierne";"1";"11"
