"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"154";"343";"4";"37";"5587";"154";"4";"5587";"343";"37";"843";"843";"0";"1";"0";"343004";"843";"343004";"343004"
"2";"154";"215";"1";"32";"5493";"154";"1";"5493";"215";"32";"4586";"4586";"0";"1";"0";"215001";"4586";"215001";"215001"
"3";"154";"173";"105";"21";"4984";"154";"105";"4984";"173";"21";"3182";"3182";"0";"1";"0";"173105";"3182";"173105";"173105"
"4";"154";"839";"6";"97";"6591";"154";"6";"6591";"839";"97";"397";"397";"0";"1";"0";"839006";"397";"839006";"839006"
"5";"154";"209";"2";"32";"5484";"154";"2";"5484";"209";"32";"2708";"2708";"0";"1";"0";"209002";"2708";"209002";"209002"
"6";"154";"723";"3";"84";"6310";"154";"3";"6310";"723";"84";"1713";"1713";"0";"1";"0";"723003";"1713";"723003";"723003"
"7";"154";"529";"4";"60";"5936";"154";"4";"5936";"529";"60";"292";"292";"0";"1";"0";"529004";"292";"529004";"529004"
"8";"154";"263";"1";"35";"5551";"154";"1";"5551";"263";"35";"1420";"1420";"0";"1";"0";"263001";"1420";"263001";"263001"
"9";"154";"717";"4";"84";"6302";"154";"4";"6302";"717";"84";"667";"667";"0";"1";"0";"717004";"667";"717004";"717004"
"10";"154";"479";"7";"57";"5864";"154";"7";"5864";"479";"57";"1663";"1663";"0";"1";"0";"479007";"1663";"479007";"479007"
"11";"154";"173";"10";"21";"5373";"154";"10";"5373";"173";"21";"2553";"2553";"0";"1";"0";"173010";"2553";"173010";"173010"
"12";"154";"461";"25";"52";"5259";"154";"25";"5259";"461";"52";"5958";"5958";"0";"1";"0";"461025";"5958";"461025";"461025"
"13";"154";"397";"1";"44";"6876";"154";"1";"6876";"397";"44";"3348";"3348";"0";"1";"0";"397001";"3348";"397001";"397001"
"14";"154";"767";"109";"94";"5014";"154";"109";"5014";"767";"94";"463";"463";"0";"1";"0";"767109";"463";"767109";"767109"
"15";"154";"711";"7";"86";"6728";"154";"7";"6728";"711";"86";"538";"538";"0";"1";"0";"711007";"538";"711007";"711007"
"16";"154";"841";"2";"95";"6540";"154";"2";"6540";"841";"95";"140";"140";"0";"1";"0";"841002";"140";"841002";"841002"
"17";"154";"163";"3";"28";"5434";"154";"3";"5434";"163";"28";"2926";"2926";"0";"1";"0";"163003";"2926";"163003";"163003"
"18";"154";"397";"4";"44";"5692";"154";"4";"5692";"397";"44";"1926";"1926";"0";"1";"0";"397004";"1926";"397004";"397004"
"19";"154";"517";"5";"63";"5976";"154";"5";"5976";"517";"63";"329";"329";"0";"1";"0";"517005";"329";"517005";"517005"
"20";"154";"751";"12";"82";"5291";"154";"12";"5291";"751";"82";"2406";"2406";"0";"1";"0";"751012";"2406";"751012";"751012"
"21";"154";"449";"103";"56";"5036";"154";"103";"5036";"449";"56";"117";"117";"0";"1";"0";"449103";"117";"449103";"449103"
"22";"154";"535";"3";"62";"5968";"154";"3";"5968";"535";"62";"801";"801";"0";"1";"0";"535003";"801";"535003";"535003"
"23";"154";"751";"51";"80";"5275";"154";"51";"5275";"751";"80";"3670";"3670";"0";"1";"0";"751051";"3670";"751051";"751051"
"24";"154";"781";"4";"92";"6488";"154";"4";"6488";"781";"92";"662";"662";"0";"1";"0";"781004";"662";"781004";"781004"
"25";"154";"208";"3";"30";"5456";"154";"3";"5456";"208";"30";"2809";"2809";"0";"1";"0";"208003";"2809";"208003";"208003"
"26";"154";"833";"3";"103";"6682";"154";"3";"6682";"833";"103";"579";"579";"0";"1";"0";"833003";"579";"833003";"833003"
"27";"154";"527";"6";"65";"6027";"154";"6";"6027";"527";"65";"1375";"1375";"0";"1";"0";"527006";"1375";"527006";"527006"
"28";"154";"779";"6";"92";"6480";"154";"6";"6480";"779";"92";"656";"656";"0";"1";"0";"779006";"656";"779006";"779006"
"29";"154";"849";"4";"99";"6619";"154";"4";"6619";"849";"99";"1015";"1015";"0";"1";"0";"849004";"1015";"849004";"849004"
"30";"154";"803";"1";"98";"6592";"154";"1";"6592";"803";"98";"2296";"2296";"0";"1";"0";"803001";"2296";"803001";"803001"
"31";"154";"847";"8";"96";"6569";"154";"8";"6569";"847";"96";"623";"623";"0";"1";"0";"847008";"623";"847008";"847008"
"32";"154";"501";"3";"62";"5950";"154";"3";"5950";"501";"62";"984";"984";"0";"1";"0";"501003";"984";"501003";"501003"
"33";"154";"389";"5";"42";"5665";"154";"5";"5665";"389";"42";"880";"880";"0";"1";"0";"389005";"880";"389005";"389005"
"34";"154";"861";"1";"103";"6691";"154";"1";"6691";"861";"103";"5649";"5649";"0";"1";"0";"861001";"5649";"861001";"861001"
"35";"154";"487";"5";"57";"5875";"154";"5";"5875";"487";"57";"503";"503";"0";"1";"0";"487005";"503";"487005";"487005"
"36";"154";"773";"6";"91";"6461";"154";"6";"6461";"773";"91";"317";"317";"0";"1";"0";"773006";"317";"773006";"773006"
"37";"154";"325";"4";"41";"5153";"154";"4";"5153";"325";"41";"1876";"1876";"0";"1";"0";"325004";"1876";"325004";"325004"
"38";"154";"543";"3";"65";"6030";"154";"3";"6030";"543";"65";"856";"856";"0";"1";"0";"543003";"856";"543003";"543003"
"39";"154";"165";"5";"23";"5393";"154";"5";"5393";"165";"23";"4701";"4701";"0";"1";"0";"165005";"4701";"165005";"165005"
"40";"154";"685";"5";"79";"6298";"154";"5";"6298";"685";"79";"315";"315";"0";"1";"0";"685005";"315";"685005";"685005"
"41";"154";"315";"5";"36";"5563";"154";"5";"5563";"315";"36";"674";"674";"0";"1";"0";"315005";"674";"315005";"315005"
"42";"154";"539";"2";"64";"6010";"154";"2";"6010";"539";"64";"319";"319";"0";"1";"0";"539002";"319";"539002";"539002"
"43";"154";"813";"106";"95";"4913";"154";"106";"4913";"813";"95";"8290";"8290";"0";"1";"0";"813106";"8290";"813106";"813106"
"44";"154";"495";"8";"56";"5162";"154";"8";"5162";"495";"56";"460";"460";"0";"1";"0";"495008";"460";"495008";"495008"
"45";"154";"171";"103";"22";"6737";"154";"103";"6737";"171";"22";"3103";"3103";"0";"1";"0";"171103";"3103";"171103";"171103"
"46";"154";"185";"2";"27";"5427";"154";"2";"5427";"185";"27";"5011";"5011";"0";"1";"0";"185002";"5011";"185002";"185002"
"47";"154";"365";"104";"44";"4908";"154";"104";"4908";"365";"44";"397";"397";"0";"1";"0";"365104";"397";"365104";"365104"
"48";"154";"861";"6";"103";"6694";"154";"6";"6694";"861";"103";"263";"263";"0";"1";"0";"861006";"263";"861006";"861006"
"49";"154";"765";"1";"90";"6431";"154";"1";"6431";"765";"90";"993";"993";"0";"1";"0";"765001";"993";"765001";"765001"
"50";"154";"715";"1";"88";"6383";"154";"1";"6383";"715";"88";"4671";"4671";"0";"1";"0";"715001";"4671";"715001";"715001"
"51";"154";"807";"2";"96";"6555";"154";"2";"6555";"807";"96";"2299";"2299";"0";"1";"0";"807002";"2299";"807002";"807002"
"52";"154";"681";"10";"79";"6293";"154";"10";"6293";"681";"79";"494";"494";"0";"1";"0";"681010";"494";"681010";"681010"
"53";"154";"751";"11";"82";"5290";"154";"11";"5290";"751";"82";"1312";"1312";"0";"1";"0";"751011";"1312";"751011";"751011"
"54";"154";"749";"2";"89";"6428";"154";"2";"6428";"749";"89";"689";"689";"0";"1";"0";"749002";"689";"749002";"749002"
"55";"154";"325";"3";"41";"5644";"154";"3";"5644";"325";"41";"1937";"1937";"0";"1";"0";"325003";"1937";"325003";"325003"
"56";"154";"751";"50";"80";"5274";"154";"50";"5274";"751";"80";"2771";"2771";"0";"1";"0";"751050";"2771";"751050";"751050"
"57";"154";"675";"4";"77";"6239";"154";"4";"6239";"675";"77";"588";"588";"0";"1";"0";"675004";"588";"675004";"675004"
"58";"154";"841";"3";"95";"6541";"154";"3";"6541";"841";"95";"1456";"1456";"0";"1";"0";"841003";"1456";"841003";"841003"
"59";"154";"679";"7";"76";"5194";"154";"7";"5194";"679";"76";"501";"501";"0";"1";"0";"679007";"501";"679007";"679007"
"60";"154";"303";"103";"39";"6924";"154";"103";"6924";"303";"39";"244";"244";"0";"1";"0";"303103";"244";"303103";"303103"
"61";"154";"727";"4";"88";"6388";"154";"4";"6388";"727";"88";"973";"973";"0";"1";"0";"727004";"973";"727004";"727004"
"62";"154";"253";"7";"34";"5527";"154";"7";"5527";"253";"34";"3821";"3821";"0";"1";"0";"253007";"3821";"253007";"253007"
"63";"154";"705";"2";"89";"6401";"154";"2";"6401";"705";"89";"1361";"1361";"0";"1";"0";"705002";"1361";"705002";"705002"
"64";"154";"735";"4";"87";"6382";"154";"4";"6382";"735";"87";"1462";"1462";"0";"1";"0";"735004";"1462";"735004";"735004"
"65";"154";"629";"2";"71";"6151";"154";"2";"6151";"629";"71";"356";"356";"0";"1";"0";"629002";"356";"629002";"629002"
"66";"154";"429";"4";"54";"5783";"154";"4";"5783";"429";"54";"315";"315";"0";"1";"0";"429004";"315";"429004";"429004"
"67";"154";"833";"4";"103";"6683";"154";"4";"6683";"833";"103";"324";"324";"0";"1";"0";"833004";"324";"833004";"833004"
"68";"154";"211";"4";"32";"5491";"154";"4";"5491";"211";"32";"2793";"2793";"0";"1";"0";"211004";"2793";"211004";"211004"
"69";"154";"355";"4";"46";"5715";"154";"4";"5715";"355";"46";"533";"533";"0";"1";"0";"355004";"533";"355004";"355004"
"70";"154";"717";"5";"84";"6303";"154";"5";"6303";"717";"84";"830";"830";"0";"1";"0";"717005";"830";"717005";"717005"
"71";"154";"333";"103";"41";"6740";"154";"103";"6740";"333";"41";"4291";"4291";"0";"1";"0";"333103";"4291";"333103";"333103"
"72";"154";"163";"4";"28";"5435";"154";"4";"5435";"163";"28";"5168";"5168";"0";"1";"0";"163004";"5168";"163004";"163004"
"73";"154";"555";"1";"66";"6047";"154";"1";"6047";"555";"66";"481";"481";"0";"1";"0";"555001";"481";"555001";"555001"
"74";"154";"735";"3";"87";"6381";"154";"3";"6381";"735";"87";"1942";"1942";"0";"1";"0";"735003";"1942";"735003";"735003"
"75";"154";"369";"8";"47";"5742";"154";"8";"5742";"369";"47";"785";"785";"0";"1";"0";"369008";"785";"369008";"369008"
"76";"154";"259";"3";"34";"5531";"154";"3";"5531";"259";"34";"654";"654";"0";"1";"0";"259003";"654";"259003";"259003"
"77";"154";"751";"61";"80";"5276";"154";"61";"5276";"751";"80";"7124";"7124";"0";"1";"0";"751061";"7124";"751061";"751061"
"78";"154";"461";"26";"52";"5260";"154";"26";"5260";"461";"52";"8068";"8068";"0";"1";"0";"461026";"8068";"461026";"461026"
"79";"154";"819";"5";"97";"6575";"154";"5";"6575";"819";"97";"261";"261";"0";"1";"0";"819005";"261";"819005";"819005"
"80";"154";"159";"8";"25";"5412";"154";"8";"5412";"159";"25";"6127";"6127";"0";"1";"0";"159008";"6127";"159008";"159008"
"81";"154";"473";"3";"58";"5165";"154";"3";"5165";"473";"58";"649";"649";"0";"1";"0";"473003";"649";"473003";"473003"
"82";"154";"777";"1";"92";"6476";"154";"1";"6476";"777";"92";"1388";"1388";"0";"1";"0";"777001";"1388";"777001";"777001"
"83";"154";"471";"10";"55";"5817";"154";"10";"5817";"471";"55";"357";"357";"0";"1";"0";"471010";"357";"471010";"471010"
"84";"154";"751";"44";"81";"5278";"154";"44";"5278";"751";"81";"1117";"1117";"0";"1";"0";"751044";"1117";"751044";"751044"
"85";"154";"627";"8";"74";"5355";"154";"8";"5355";"627";"74";"853";"853";"0";"1";"0";"627008";"853";"627008";"627008"
"86";"154";"767";"108";"94";"5013";"154";"108";"5013";"767";"94";"984";"984";"0";"1";"0";"767108";"984";"767108";"767108"
"87";"154";"539";"105";"64";"4960";"154";"105";"4960";"539";"64";"692";"692";"0";"1";"0";"539105";"692";"539105";"539105"
"88";"154";"535";"2";"62";"5967";"154";"2";"5967";"535";"62";"1342";"1342";"0";"1";"0";"535002";"1342";"535002";"535002"
"89";"154";"479";"6";"57";"5863";"154";"6";"5863";"479";"57";"6506";"6506";"0";"1";"0";"479006";"6506";"479006";"479006"
"90";"154";"365";"6";"44";"5689";"154";"6";"5689";"365";"44";"1405";"1405";"0";"1";"0";"365006";"1405";"365006";"365006"
"91";"154";"219";"12";"31";"6743";"154";"12";"6743";"219";"31";"3326";"3326";"0";"1";"0";"219012";"3326";"219012";"219012"
"92";"154";"311";"105";"40";"6926";"154";"105";"6926";"311";"40";"430";"430";"0";"1";"0";"311105";"430";"311105";"311105"
"93";"154";"201";"3";"31";"5470";"154";"3";"5470";"201";"31";"2584";"2584";"0";"1";"0";"201003";"2584";"201003";"201003"
"94";"154";"445";"2";"54";"6764";"154";"2";"6764";"445";"54";"4649";"4649";"0";"1";"0";"445002";"4649";"445002";"445002"
"95";"154";"405";"5";"49";"5131";"154";"5";"5131";"405";"49";"848";"848";"0";"1";"0";"405005";"848";"405005";"405005"
"96";"154";"539";"3";"64";"6011";"154";"3";"6011";"539";"64";"1097";"1097";"0";"1";"0";"539003";"1097";"539003";"539003"
"97";"154";"209";"3";"32";"5485";"154";"3";"5485";"209";"32";"3442";"3442";"0";"1";"0";"209003";"3442";"209003";"209003"
"98";"154";"851";"35";"101";"5336";"154";"35";"5336";"851";"101";"4421";"4421";"0";"1";"0";"851035";"4421";"851035";"851035"
"99";"154";"101";"1";"13";"5102";"154";"1";"5102";"101";"13";"3430";"3430";"0";"1";"0";"101001";"3430";"101001";"101001"
"100";"154";"809";"4";"103";"6663";"154";"4";"6663";"809";"103";"668";"668";"0";"1";"0";"809004";"668";"809004";"809004"
"101";"154";"843";"5";"102";"6656";"154";"5";"6656";"843";"102";"252";"252";"0";"1";"0";"843005";"252";"843005";"843005"
"102";"154";"663";"5";"78";"6266";"154";"5";"6266";"663";"78";"289";"289";"0";"1";"0";"663005";"289";"663005";"663005"
"103";"154";"787";"5";"90";"6444";"154";"5";"6444";"787";"90";"545";"545";"0";"1";"0";"787005";"545";"787005";"787005"
"104";"154";"773";"5";"91";"6460";"154";"5";"6460";"773";"91";"354";"354";"0";"1";"0";"773005";"354";"773005";"773005"
"105";"154";"511";"4";"65";"6020";"154";"4";"6020";"511";"65";"223";"223";"0";"1";"0";"511004";"223";"511004";"511004"
"106";"154";"101";"82";"14";"5111";"154";"82";"5111";"101";"14";"3642";"3642";"0";"1";"0";"101082";"3642";"101082";"101082"
"107";"154";"495";"7";"56";"5161";"154";"7";"5161";"495";"56";"399";"399";"0";"1";"0";"495007";"399";"495007";"495007"
"108";"154";"731";"2";"85";"6331";"154";"2";"6331";"731";"85";"3299";"3299";"0";"1";"0";"731002";"3299";"731002";"731002"
"109";"154";"701";"1";"87";"6366";"154";"1";"6366";"701";"87";"6278";"6278";"0";"1";"0";"701001";"6278";"701001";"701001"
"110";"154";"155";"1";"27";"5425";"154";"1";"5425";"155";"27";"2773";"2773";"0";"1";"0";"155001";"2773";"155001";"155001"
"111";"154";"405";"4";"49";"5130";"154";"4";"5130";"405";"49";"710";"710";"0";"1";"0";"405004";"710";"405004";"405004"
"112";"154";"373";"25";"43";"6713";"154";"25";"6713";"373";"43";"3443";"3443";"0";"1";"0";"373025";"3443";"373025";"373025"
"113";"154";"611";"2";"73";"6724";"154";"2";"6724";"611";"73";"1729";"1729";"0";"1";"0";"611002";"1729";"611002";"611002"
"114";"154";"779";"5";"92";"6479";"154";"5";"6479";"779";"92";"1030";"1030";"0";"1";"0";"779005";"1030";"779005";"779005"
"115";"154";"721";"104";"87";"5043";"154";"104";"5043";"721";"87";"245";"245";"0";"1";"0";"721104";"245";"721104";"721104"
"116";"154";"159";"7";"25";"5411";"154";"7";"5411";"159";"25";"5214";"5214";"0";"1";"0";"159007";"5214";"159007";"159007"
"117";"154";"217";"2";"29";"5444";"154";"2";"5444";"217";"29";"9789";"9789";"0";"1";"0";"217002";"9789";"217002";"217002"
"118";"154";"629";"3";"71";"6152";"154";"3";"6152";"629";"71";"982";"982";"0";"1";"0";"629003";"982";"629003";"629003"
"119";"154";"521";"4";"64";"6000";"154";"4";"6000";"521";"64";"845";"845";"0";"1";"0";"521004";"845";"521004";"521004"
"120";"154";"321";"3";"36";"5354";"154";"3";"5354";"321";"36";"1414";"1414";"0";"1";"0";"321003";"1414";"321003";"321003"
"121";"154";"565";"2";"69";"6114";"154";"2";"6114";"565";"69";"1653";"1653";"0";"1";"0";"565002";"1653";"565002";"565002"
