ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;D. Centrum-Demokraterne - K;D. Centrum-Demokraterne - T;D. Centrum-Demokraterne - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;4. Uden for partierne - K;4. Uden for partierne - T;4. Uden for partierne - I alt;5. Uden for partierne - K;5. Uden for partierne - T;5. Uden for partierne - I alt;Valgte kandidater
158;;2;0;2;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;3;0;3;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;5;1;6;1;0;1;3;1;4;1;0;1;1;0;1;0;0;0;3;0;3;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;3;0;3;0;1;1;2;1;3;0;1;1;1;0;1;0;0;0;2;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;2;0;2;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;4;0;4;0;1;1;1;1;2;0;0;0;1;0;1;0;0;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;4;0;4;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;5;1;6;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;3;0;3;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;4;0;4;0;1;1;1;1;2;0;1;1;1;0;1;0;0;0;3;0;3;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;3;0;3;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;6;2;8;0;1;1;2;1;3;0;1;1;1;1;2;0;0;0;4;1;5;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;
158;;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;;6;0;6;0;1;1;2;0;2;0;1;1;1;0;1;0;0;0;3;1;4;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;I alt;58;4;62;1;7;8;21;6;27;1;4;5;9;4;13;0;0;0;38;4;42;6;5;11;0;6;6;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0


