"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1990 - Stemmeberettigede";"FV1990 - Afgivne stemmer";"FV1990 - Blanke stemmer";"FV1990 - Andre ugyldige stemmer";"FV1990 - Gyldige stemmer";"FV1990 - A. Socialdemokratiet";"FV1990 - B. Det Radikale Venstre";"FV1990 - C. Det Konservative Folkeparti";"FV1990 - D. Centrum-Demokraterne";"FV1990 - E. Danmarks Retsforbund";"FV1990 - F. Socialistisk Folkeparti";"FV1990 - G. De Grønne";"FV1990 - H. Det Humanistiske Parti";"FV1990 - P. Fælles Kurs";"FV1990 - Q. Kristeligt Folkeparti";"FV1990 - V. Venstre, Danmarks Liberale Parti";"FV1990 - Z. Fremskridtspartiet";"FV1990 - Ø. Enhedslisten";"FV1990 - 1. Uden for partierne";"FV1990 - 2. Uden for partierne"
"101001";"101001";"13";"2";"1";"4308";"3606";"18";"9";"3579";"1275";"126";"601";"246";"16";"555";"52";"2";"110";"49";"276";"130";"138";"0";"3"
"101002";"101002";"15";"3";"1";"6859";"5227";"46";"22";"5159";"1889";"200";"493";"113";"32";"1109";"137";"10";"196";"45";"324";"130";"481";"-";"-"
"101003";"101003";"14";"3";"1";"5303";"4200";"20";"17";"4163";"2344";"108";"389";"146";"21";"492";"32";"3";"192";"62";"154";"130";"90";"-";"-"
"101004";"101004";"1";"1";"1";"6626";"5345";"37";"21";"5287";"1683";"249";"566";"152";"26";"1113";"127";"2";"183";"34";"359";"77";"686";"30";"-"
"101005";"101005";"1";"1";"1";"3655";"2870";"22";"4";"2844";"1096";"132";"336";"146";"18";"472";"73";"0";"109";"26";"233";"87";"116";"0";"-"
"101006";"101006";"1";"1";"1";"11039";"8351";"59";"24";"8268";"3696";"315";"1009";"275";"50";"1286";"95";"5";"304";"93";"545";"254";"339";"2";"-"
"101007";"101007";"8";"2";"1";"3348";"2637";"16";"8";"2613";"1480";"48";"157";"43";"12";"432";"16";"2";"174";"23";"91";"62";"66";"0";"7"
"101008";"101008";"1";"1";"1";"5449";"4203";"31";"8";"4164";"1918";"120";"403";"121";"32";"685";"68";"1";"179";"52";"241";"140";"202";"2";"-"
"101010";"101010";"2";"1";"1";"10212";"6616";"62";"30";"6524";"1756";"360";"1178";"209";"52";"1205";"148";"4";"143";"55";"751";"162";"501";"0";"-"
"101011";"101011";"16";"3";"1";"3206";"2533";"23";"3";"2507";"1003";"98";"396";"80";"17";"323";"46";"2";"63";"45";"217";"107";"110";"-";"-"
"101012";"101012";"4";"1";"1";"3855";"3103";"26";"13";"3064";"982";"163";"402";"119";"13";"561";"73";"3";"96";"73";"257";"75";"244";"3";"-"
"101014";"101014";"4";"1";"1";"4590";"3618";"30";"19";"3569";"1234";"152";"367";"102";"29";"766";"88";"3";"137";"34";"228";"79";"347";"3";"-"
"101016";"101016";"4";"1";"1";"6348";"4899";"36";"15";"4848";"1658";"190";"514";"132";"31";"924";"81";"3";"150";"48";"312";"120";"680";"5";"-"
"101018";"101018";"7";"2";"1";"10702";"8748";"72";"24";"8652";"2611";"469";"1451";"353";"48";"1503";"132";"6";"248";"143";"983";"201";"502";"0";"2"
"101020";"101020";"7";"2";"1";"4630";"3985";"37";"9";"3939";"990";"266";"795";"167";"33";"650";"77";"3";"91";"49";"460";"79";"275";"2";"2"
"101022";"101022";"2";"1";"1";"6568";"5230";"42";"8";"5180";"1307";"336";"1040";"241";"34";"803";"128";"3";"112";"75";"701";"118";"282";"0";"-"
"101024";"101024";"2";"1";"1";"6435";"5041";"39";"16";"4986";"1194";"301";"1033";"229";"24";"698";"72";"4";"105";"49";"837";"130";"308";"2";"-"
"101026";"101026";"5";"1";"1";"14217";"10726";"80";"36";"10610";"4763";"297";"1203";"299";"51";"1699";"172";"4";"483";"125";"712";"359";"440";"3";"-"
"101028";"101028";"5";"1";"1";"9572";"7206";"40";"24";"7142";"3409";"140";"730";"239";"45";"1056";"82";"3";"384";"76";"447";"262";"268";"1";"-"
"101030";"101030";"9";"2";"1";"12882";"10203";"79";"36";"10088";"3186";"534";"1554";"389";"71";"1838";"177";"8";"337";"159";"1041";"218";"568";"4";"4"
"101032";"101032";"10";"2";"1";"6781";"5396";"47";"17";"5332";"2041";"275";"495";"119";"31";"1048";"122";"6";"293";"68";"366";"111";"343";"1";"13"
"101034";"101034";"10";"2";"1";"3485";"2454";"31";"11";"2412";"958";"86";"195";"51";"19";"497";"57";"3";"96";"25";"160";"48";"215";"0";"2"
"101036";"101036";"11";"2";"1";"10011";"7487";"53";"18";"7416";"3013";"241";"644";"167";"40";"1553";"145";"10";"408";"90";"444";"189";"457";"0";"15"
"101038";"101038";"11";"2";"1";"5071";"4056";"26";"14";"4016";"1717";"101";"371";"94";"21";"832";"68";"4";"204";"33";"203";"107";"239";"1";"21"
"101040";"101040";"11";"2";"1";"10170";"7632";"37";"20";"7575";"3779";"186";"687";"201";"43";"1178";"95";"5";"449";"70";"393";"221";"257";"1";"10"
"101042";"101042";"15";"3";"1";"6790";"5214";"44";"10";"5160";"2210";"154";"429";"118";"22";"1026";"89";"7";"250";"50";"297";"138";"370";"-";"-"
"101044";"101044";"15";"3";"1";"6004";"4669";"30";"18";"4621";"1886";"140";"361";"104";"23";"1040";"95";"5";"177";"43";"231";"134";"382";"-";"-"
"101046";"101046";"16";"3";"1";"3345";"2583";"18";"5";"2560";"1337";"99";"194";"57";"19";"323";"33";"2";"166";"28";"150";"67";"85";"-";"-"
"101048";"101048";"16";"3";"1";"5082";"3845";"30";"16";"3799";"1702";"116";"246";"63";"20";"758";"68";"1";"164";"40";"153";"109";"359";"-";"-"
"101050";"101050";"16";"3";"1";"3931";"3105";"16";"6";"3083";"1450";"97";"358";"106";"21";"460";"27";"0";"110";"44";"166";"90";"154";"-";"-"
"101052";"101052";"12";"2";"1";"16158";"12193";"57";"34";"12102";"6070";"274";"1244";"382";"86";"1609";"139";"7";"818";"122";"604";"390";"342";"1";"14"
"101054";"101054";"12";"2";"1";"4654";"3847";"22";"18";"3807";"1604";"146";"554";"182";"19";"492";"44";"0";"147";"85";"268";"128";"135";"1";"2"
"101056";"101056";"8";"2";"1";"4646";"3766";"21";"7";"3738";"1579";"131";"443";"192";"24";"583";"38";"1";"179";"44";"205";"112";"203";"1";"3"
