ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Radikale Venstre - K;B. Radikale Venstre - T;B. Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;F. SF - Socialistisk Folkeparti - K;F. SF - Socialistisk Folkeparti - T;F. SF - Socialistisk Folkeparti - I alt;I. Liberal Alliance - K;I. Liberal Alliance - T;I. Liberal Alliance - I alt;K. Kristendemokraterne - K;K. Kristendemokraterne - T;K. Kristendemokraterne - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;Å. Alternativet - K;Å. Alternativet - T;Å. Alternativet - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;4. Uden for partierne - K;4. Uden for partierne - T;4. Uden for partierne - I alt;Valgte kandidater
29;Københavns Storkreds;4;0;4;1;0;1;0;0;0;1;0;1;1;1;2;0;0;0;2;0;2;1;0;1;3;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;A. Helle Thorning-Schmidt (42412,26397,68809), A. Peter Hummelgaard Thomsen (5065,3229,8294), A. Yildiz Akdogan (4284,2754,7038), A. Mette Reissmann (2962,1919,4881), B. Ida Auken (10431,8170,18601), F. Pia Olsen Dyhr (9575,4913,14488), I. Simon Emil Ammitzbøll (6904,14890,21794), I. Laura Lindahl (2691,5619,8310), O. Peter Skaarup (11402,17151,28553), O. Martin Henriksen (3094,4531,7625), V. Søren Pind (7706,13197,20903), Ø. Johanne Schmidt-Nielsen (P 40425,0,40425), Ø. Sarah Glerup (P 866,16920,17786), Ø. Finn Sørensen (P 998,6011,7009), Å. Uffe Elbæk (18796,18682,37478), Å. Carolina Magdalene Maier (1073,1071,2144)
29;Københavns Omegns Storkreds;5;0;5;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0;3;0;3;2;0;2;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Mette Frederiksen (24486,18189,42675), A. Mattias Tesfaye (8545,6413,14958), A. Mogens Lykketoft (6795,5312,12107), A. Morten Bødskov (5935,4562,10497), A. Jeppe Bruus (2806,2366,5172), B. Sofie Carsten Nielsen (4303,5860,10163), C. Rasmus Jarlov (3419,2942,6361), F. Dorete Dandanell (P 476,6834,7310), I. Joachim B. Olsen (4259,8862,13121), O. Pia Kjærsgaard (26583,23814,50397), O. Mikkel Dencker (1536,1357,2893), O. Kenneth Kristensen Berth (1348,1195,2543), V. Karen Ellemann (7020,10257,17277), V. Morten Løkkegaard (4676,6733,11409), Ø. Pia Boisen (P 1139,11544,12683), Å. Ulla Sandbæk (1233,3045,4278)
29;Nordsjællands Storkreds;3;0;3;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0;2;1;3;3;0;3;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Nick Hækkerup (11546,14518,26064), A. Christine Antorini (8193,10330,18523), A. Pernille Schnoor (3811,5263,9074), B. Martin Lidegaard (7671,4804,12475), C. Mette Abildgaard (3206,2865,6071), F. Trine Torp (2494,3434,5928), I. Anders Samuelsen (20565,8639,29204), O. Marlene Harpsøe (3521,11571,15092), O. Pia Adelsteen (3179,10878,14057), O. Jan Erik Messmann (1888,6838,8726), V. Sophie Løhde (11832,10727,22559), V. Claus Hjort Frederiksen (8222,7846,16068), V. Hans Andersen (5447,3939,9386), Ø. Torben Kjær (P 292,8794,9086), Å. Christian Poll (1622,5831,7453)
29;Bornholms Storkreds;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Lea Wermelin (3951,1648,5599), V. Peter Juel Jensen (3676,1059,4735)
29;Sjællands Storkreds;7;0;7;0;1;1;0;1;1;1;0;1;1;1;2;0;0;0;6;1;7;4;1;5;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Astrid Krag (14839,12571,27410), A. Magnus Heunicke (17646,9588,27234), A. Pernille Rosenkrantz-Theil (12071,9049,21120), A. Henrik Sass Larsen (7122,6203,13325), A. Rasmus Horn Langhoff (5992,4801,10793), A. Lennart Damsbo-Andersen (5922,3936,9858), A. Kaare Dybvad (4112,3644,7756), B. Zenia Stampe (4564,3673,8237), C. Brian Mikkelsen (4398,2647,7045), F. Jacob Mark (2948,2872,5820), I. Villum Christensen (2451,6685,9136), I. Andreas Hastrup (2144,6820,8964), O. Søren Espersen (14482,28390,42872), O. Liselott Blixt (5981,13266,19247), O. René Christensen (8180,6858,15038), O. Karin Nødgaard (4298,8242,12540), O. Merete Dea Larsen (3511,7305,10816), O. Henrik Brodersen (2450,5206,7656), O. Jeppe Jakobsen (2255,4546,6801), V. Lars Løkke Rasmussen (33393,15873,49266), V. Marcus Knuth (7351,2636,9987), V. Jacob Jensen (5864,2645,8509), V. Bertel Haarder (5222,2678,7900), V. Louise Schack Elholm (3185,1559,4744), Ø. Christian Juhl (P 1648,10144,11792), Ø. Per Markmøller (P 217,11575,11792), Å. Rasmus Nordqvist (1328,5033,6361)
29;Fyns Storkreds;4;1;5;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0;3;1;4;3;0;3;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Dan Jørgensen (14874,14458,29332), A. Jan Johansen (10440,8453,18893), A. Trine Bramsen (8337,8330,16667), A. Erik Christensen (4447,3579,8026), A. Julie Skovsby (3811,3787,7598), B. Camilla Hersom (1967,3160,5127), C. Mai Mercado (5366,2910,8276), F. Karsten Hønge (2647,2367,5014), I. Merete Riisager (5897,10529,16426), O. Jens Henrik W. Thulesen Dahl (9923,16651,26574), O. Alex Ahrendtsen (4996,8705,13701), O. Pernille Bendixen (3491,6034,9525), O. Dorthe Ullemose (2670,4477,7147), V. Erling Bonnesen (9034,6822,15856), V. Lars Chr. Lilleholt (8161,7545,15706), V. Jane Heitmann (4677,3629,8306), Ø. Pernille Skipper (P 11120,0,11120), Ø. Vibeke Syppli Enrum (P 261,8598,8859), Å. Roger Matthisen (1081,4028,5109)
29;Sydjyllands Storkreds;5;0;5;0;1;1;0;0;0;0;0;0;1;1;2;0;0;0;6;0;6;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Bjarne Corydon (11326,10950,22276), A. Benny Engelbrecht (8516,5856,14372), A. Karen J. Klint (6050,6290,12340), A. Jesper Petersen (6842,5201,12043), A. Christian Rabjerg Madsen (5201,4755,9956), B. Lotte Rod (2316,2557,4873), I. Mette Bock (11588,11957,23545), I. Henrik Dahl (2902,3090,5992), O. Kristian Thulesen Dahl (57371,33353,90724), O. Peter Kofod Poulsen (3336,2288,5624), O. Jan Rytkjær Callesen (2972,2124,5096), O. Karina Adsbøl (3101,1889,4990), O. Marie Krarup (2436,1588,4024), O. Susanne Eilersen (2421,1518,3939), V. Carl Holst (12135,6716,18851), V. Ellen Trane Nørby (12012,5167,17179), V. Eva Kjer Hansen (7647,4693,12340), V. Hans Christian Schmidt (8348,3096,11444), V. Anni Matthiesen (8197,3077,11274), Ø. Benny Dall (P 232,11076,11308)
29;Østjyllands Storkreds;6;1;7;1;0;1;0;1;1;0;1;1;1;1;2;0;0;0;4;1;5;4;1;5;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Nicolai Wammen (21152,16752,37904), A. Kirsten Brosbøl (10843,8126,18969), A. Henrik Dam Kristensen (8109,7680,15789), A. Maja Panduro (8672,6067,14739), A. Jens Joel (7191,5892,13083), A. Leif Lahn Jensen (7393,4400,11793), A. Daniel Toft Jakobsen (4344,4008,8352), B. Morten Østergaard (8006,6529,14535), C. Naser Khader (4041,3334,7375), F. Kirsten Normann Andersen (P 2149,8402,10551), I. Ole Birk Olesen (5941,14638,20579), I. Carsten Bach (1931,4528,6459), O. Mette Hjermind Dencker (6218,16952,23170), O. Hans Kristian Bundgaard-Skibby (4992,10319,15311), O. Tilde Bork (3198,8488,11686), O. Kim Christiansen (2874,7838,10712), O. Claus Kvist Hansen (1564,4686,6250), V. Jakob Ellemann-Jensen (8678,8948,17626), V. Britt Bager (7306,6512,13818), V. Michael Aastrup Jensen (6849,4146,10995), V. Troels Lund Poulsen (5031,4603,9634), V. Fatma Øktem (4379,4952,9331), Ø. Nikolaj Villumsen (P 2338,9649,11987), Ø. Maria Temponeras (P 890,11097,11987), Å. Josephine Fock (3775,7631,11406)
29;Vestjyllands Storkreds;4;0;4;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;3;0;3;5;0;5;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Annette Lind (12703,8101,20804), A. Mogens Jensen (7921,6746,14667), A. Thomas Jensen (7590,5871,13461), A. Karin Gaardsted (5931,5446,11377), C. Søren Pape (11565,1666,13231), I. Leif Mikkelsen (3591,6886,10477), O. Dennis Flydtkjær (9097,11671,20768), O. Christian Langballe (3887,6891,10778), O. Karina Due (2848,5250,8098), V. Inger Støjberg (16356,4024,20380), V. Kristian Jensen (14028,3701,17729), V. Esben Lunde Larsen (10834,1996,12830), V. Thomas Danielsen (8922,1928,10850), V. Kristian Pihl Lorentzen (7768,2374,10142), Ø. Torben A. Hansen (P 120,7146,7266), Å. René Gade (1112,2954,4066)
29;Nordjyllands Storkreds;5;1;6;0;1;1;0;0;0;0;1;1;1;0;1;0;0;0;4;0;4;4;0;4;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Bjarne Laustsen (16704,9322,26026), A. Orla Hav (13046,8170,21216), A. Simon Kollerup (10874,2967,13841), A. Ane Halsboe-Jørgensen (8285,4470,12755), A. Flemming Møller Mortensen (7897,4344,12241), A. Rasmus Prehn (5875,3976,9851), B. Marianne Jelved (2171,2185,4356), F. Lisbeth Bech Poulsen (1652,2339,3991), I. Christina Egelund (3076,5392,8468), O. Bent Bøgsted (6862,14671,21533), O. Morten Marinus (4181,8841,13022), O. Lise Bech (4181,8771,12952), O. Ib Poulsen (2901,4979,7880), V. Søren Gade (28916,8887,37803), V. Preben Bang Henriksen (10531,3365,13896), V. Karsten Lauritzen (8114,2393,10507), V. Torsten Schack Pedersen (6706,1267,7973), Ø. Britta Glargard (P 143,11137,11280), Å. Torsten Gejl (1433,4512,5945)
29;I alt;44;3;47;2;6;8;0;6;6;2;5;7;9;4;13;0;0;0;33;4;37;32;2;34;10;4;14;3;6;9;0;0;0;0;0;0;0;0;0;0;0;0


