ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;D. Centrum-Demokraterne - K;D. Centrum-Demokraterne - T;D. Centrum-Demokraterne - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;Valgte kandidater
160;Søndre Storkreds;2;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;A. Jette Bergenholtz Bautrup (3474,8921,12395), A. Claus Larsen-Jensen (1550,4115,5665), F. Kamal Qureshi (2453,4474,6927), V. Ulrik Kragh (1888,4720,6608)
160;Østre Storkreds;2;0;2;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;A. Jytte Andersen (3955,9769,13724), A. Lars Kramer Mikkelsen (3104,6880,9984), B. Naser Khader (7390,6869,14259), C. Helle Sjelle (1116,3367,4483), F. Anne Grete Holmsgaard (P 3810,5335,9145), O. Peter Skaarup (4392,8093,12485), V. Inge Dahl-Sørensen (3599,8618,12217), Ø. Line Barfod (P 1309,3502,4811)
160;Vestre Storkreds;2;0;2;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;A. Pia Gjellerup (6079,12666,18745), A. Sophie Hæstorp Andersen (1438,3349,4787), B. Charlotte Fischer (956,3270,4226), C. Per Stig Møller (6389,5288,11677), O. Louise Frevert (2109,4304,6413), V. Rikke Hvilshøj (1629,7245,8874)
160;Københavns Amtskreds;5;0;5;1;0;1;1;1;2;0;0;0;1;0;1;2;1;3;0;1;1;4;1;5;0;0;0;0;1;1;0;0;0;A. Mogens Lykketoft (19191,22308,41499), A. Karen Jespersen (15529,15656,31185), A. Mette Frederiksen (5002,5549,10551), A. Per Kaalund (4470,5042,9512), A. Morten Bødskov (3951,4580,8531), B. Morten Helveg Petersen (4234,5294,9528), C. Pia Christmas-Møller (4361,6192,10553), C. Charlotte Dyremose (4037,5658,9695), F. Holger K. Nielsen (P 10751,2913,13664), O. Pia Kjærsgaard (35792,14892,50684), O. Aase D. Madsen (505,222,727), O. Mikkel Dencker (357,158,515), Q. Bodil Kornbek (672,1873,2545), V. Anders Fogh Rasmussen (70024,29408,99432), V. Tove Fergo (2671,1260,3931), V. Gitte Lillelund Bech (1573,767,2340), V. Pia Larsen (1443,749,2192), V. Flemming Oppfeldt (1119,510,1629), Ø. Søren Søndergaard (P 3056,2238,5294)
160;Frederiksborg Amtskreds;3;0;3;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;A. Klaus Hækkerup (10211,14149,24360), A. Lone Møller (10058,13559,23617), A. Carsten Bo Jensen (3171,3579,6750), B. Margrethe Vestager (8756,5150,13906), C. Lars Barfoed (3038,5315,8353), F. Margrete Auken (P 6696,1100,7796), O. Jette Jespersen (2781,8730,11511), V. Lars Løkke Rasmussen (22475,23317,45792), V. Thor Pedersen (9303,10277,19580), V. Charlotte Antonsen (5847,6824,12671), V. Hans Andersen (2684,3197,5881)
160;Roskilde Amtskreds;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;A. Ritt Bjerregaard (11664,11648,23312), A. Henrik Sass Larsen (5543,5600,11143), C. Gitte Seeberg (5740,4595,10335), O. Pia Kristensen (3818,8680,12498), V. Birthe Rønn Hornbech (14770,19866,34636), V. Jens Hald Madsen (4417,5432,9849), V. Flemming Damgaard Larsen (4171,5198,9369)
160;Vestsjællands Amtskreds;3;0;3;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;A. Jacob Buksti (4546,8020,12566), A. Sandy Brinck (5367,6582,11949), A. Søren Hansen (3529,6231,9760), B. Anders Samuelsen (1741,2715,4456), C. Brian Mikkelsen (8855,4719,13574), F. Ole Sohn (3317,3143,6460), O. Poul Nødgaard (1899,4687,6586), V. Ester Larsen (7152,8779,15931), V. Marianne Pedersen (4632,6376,11008), V. Palle Andersen (2851,4751,7602)
160;Storstrøms Amtskreds;3;0;3;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;A. Lene Jensen (6972,7843,14815), A. Peder Sass (4733,7816,12549), A. Jytte Wittrock (5262,4741,10003), C. Helge Adam Møller (10187,3856,14043), F. Jørn Jespersen (2333,2667,5000), O. Colette L. Brix (2609,5944,8553), V. Svend Erik Hovmand (11820,11046,22866), V. Karsten Nonbo (6207,7021,13228)
160;Bornholms Amtskreds;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;A. Jeppe Kofod (3655,1228,4883), V. Thor Gunnar Kofoed (2691,633,3324)
160;Fyns Amtskreds;4;1;5;0;1;1;2;0;2;0;0;0;1;0;1;2;0;2;0;0;0;3;1;4;0;0;0;0;1;1;0;0;0;A. Lotte Bundsgaard (18860,24919,43779), A. Niels Sindal (4487,6043,10530), A. Poul Andersen (4274,5519,9793), A. Grete Schødts (4357,5361,9718), A. Carsten Hansen (2773,3984,6757), B. Niels Helveg Petersen (4900,5913,10813), C. Bendt Bendtsen (33619,7511,41130), C. Carina Christensen (694,176,870), F. Anne Baastrup (5037,6696,11733), O. Kristian Thulesen Dahl (10219,15250,25469), O. Poul Fischer (1036,1421,2457), V. Peter Brixtofte (16467,16210,32677), V. Mariann Fischer Boel (10447,9551,19998), V. Lars Chr. Lilleholt (4454,5175,9629), V. Erik Larsen (3337,3505,6842), Ø. Pernille Rosenkrantz-Theil (P 1630,1562,3192)
