"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"159";"711";"1";"86";"6352";"159";"1";"6352";"711";"86";"4442";"4442";"0";"1";"0";"711001";"4442";"711001";"711001"
"2";"159";"357";"3";"43";"5668";"159";"3";"5668";"357";"43";"3058";"3058";"0";"1";"0";"357003";"3058";"357003";"357003"
"3";"159";"619";"9";"74";"6188";"159";"9";"6188";"619";"74";"1478";"1478";"0";"1";"0";"619009";"1478";"619009";"619009"
"4";"159";"201";"2";"31";"6755";"159";"2";"6755";"201";"31";"2598";"2598";"0";"1";"0";"201002";"2598";"201002";"201002"
"5";"159";"383";"1";"46";"5727";"159";"1";"5727";"383";"46";"2140";"2140";"0";"1";"0";"383001";"2140";"383001";"383001"
"6";"159";"157";"6";"24";"5231";"159";"6";"5231";"157";"24";"7634";"7634";"0";"1";"0";"157006";"7634";"157006";"157006"
"7";"159";"509";"3";"59";"5907";"159";"3";"5907";"509";"59";"258";"258";"0";"1";"0";"509003";"258";"509003";"509003"
"8";"159";"627";"4";"74";"6193";"159";"4";"6193";"627";"74";"797";"797";"0";"1";"0";"627004";"797";"627004";"627004"
"9";"159";"207";"1";"31";"6786";"159";"1";"6786";"207";"31";"4268";"4268";"0";"1";"0";"207001";"4268";"207001";"207001"
"10";"159";"215";"5";"32";"5496";"159";"5";"5496";"215";"32";"1487";"1487";"0";"1";"0";"215005";"1487";"215005";"215005"
"11";"159";"401";"3";"49";"5124";"159";"3";"5124";"401";"49";"329";"329";"0";"1";"0";"401003";"329";"401003";"401003"
"12";"159";"741";"3";"88";"5065";"159";"3";"5065";"741";"88";"381";"381";"0";"1";"0";"741003";"381";"741003";"741003"
"13";"159";"543";"10";"65";"6037";"159";"10";"6037";"543";"65";"557";"557";"0";"1";"0";"543010";"557";"543010";"543010"
"14";"159";"483";"6";"55";"5818";"159";"6";"5818";"483";"55";"2374";"2374";"0";"1";"0";"483006";"2374";"483006";"483006"
"15";"159";"461";"8";"50";"5242";"159";"8";"5242";"461";"50";"268";"268";"0";"1";"0";"461008";"268";"461008";"461008"
"16";"159";"819";"3";"97";"6574";"159";"3";"6574";"819";"97";"5073";"5073";"0";"1";"0";"819003";"5073";"819003";"819003"
"17";"159";"167";"4";"26";"5422";"159";"4";"5422";"167";"26";"4652";"4652";"0";"1";"0";"167004";"4652";"167004";"167004"
"18";"159";"231";"2";"32";"5505";"159";"2";"5505";"231";"32";"1131";"1131";"0";"1";"0";"231002";"1131";"231002";"231002"
"19";"159";"813";"8";"95";"6897";"159";"8";"6897";"813";"95";"1366";"1366";"0";"1";"0";"813008";"1366";"813008";"813008"
"20";"159";"751";"105";"83";"5041";"159";"105";"5041";"751";"83";"4670";"4670";"0";"1";"0";"751105";"4670";"751105";"751105"
"21";"159";"769";"3";"94";"6523";"159";"3";"6523";"769";"94";"1789";"1789";"0";"1";"0";"769003";"1789";"769003";"769003"
"22";"159";"531";"71";"63";"5983";"159";"71";"5983";"531";"63";"461";"461";"0";"1";"0";"531071";"461";"531071";"531071"
"23";"159";"371";"4";"46";"5726";"159";"4";"5726";"371";"46";"670";"670";"0";"1";"0";"371004";"670";"371004";"371004"
"24";"159";"409";"4";"49";"5134";"159";"4";"5134";"409";"49";"451";"451";"0";"1";"0";"409004";"451";"409004";"409004"
"25";"159";"773";"18";"91";"6471";"159";"18";"6471";"773";"91";"7158";"7158";"0";"1";"0";"773018";"7158";"773018";"773018"
"26";"159";"657";"15";"78";"6262";"159";"15";"6262";"657";"78";"168";"168";"0";"1";"0";"657015";"168";"657015";"657015"
"27";"159";"491";"1";"55";"5825";"159";"1";"5825";"491";"55";"4258";"4258";"0";"1";"0";"491001";"4258";"491001";"491001"
"28";"159";"751";"16";"83";"5294";"159";"16";"5294";"751";"83";"369";"369";"0";"1";"0";"751016";"369";"751016";"751016"
"29";"159";"159";"3";"25";"5407";"159";"3";"5407";"159";"25";"6249";"6249";"0";"1";"0";"159003";"6249";"159003";"159003"
"30";"159";"147";"2";"17";"5221";"159";"2";"5221";"147";"17";"8898";"8898";"0";"1";"0";"147002";"8898";"147002";"147002"
"31";"159";"369";"3";"47";"5737";"159";"3";"5737";"369";"47";"3426";"3426";"0";"1";"0";"369003";"3426";"369003";"369003"
"32";"159";"667";"13";"76";"6214";"159";"13";"6214";"667";"76";"284";"284";"0";"1";"0";"667013";"284";"667013";"667013"
"33";"159";"481";"3";"57";"5872";"159";"3";"5872";"481";"57";"1118";"1118";"0";"1";"0";"481003";"1118";"481003";"481003"
"34";"159";"729";"1";"84";"6313";"159";"1";"6313";"729";"84";"1486";"1486";"0";"1";"0";"729001";"1486";"729001";"729001"
"35";"159";"605";"6";"73";"6165";"159";"6";"6165";"605";"73";"953";"953";"0";"1";"0";"605006";"953";"605006";"605006"
"36";"159";"495";"2";"56";"5156";"159";"2";"5156";"495";"56";"551";"551";"0";"1";"0";"495002";"551";"495002";"495002"
"37";"159";"219";"9";"31";"5143";"159";"9";"5143";"219";"31";"1325";"1325";"0";"1";"0";"219009";"1325";"219009";"219009"
"38";"159";"827";"6";"103";"6671";"159";"6";"6671";"827";"103";"1284";"1284";"0";"1";"0";"827006";"1284";"827006";"827006"
"39";"159";"267";"3";"35";"5558";"159";"3";"5558";"267";"35";"900";"900";"0";"1";"0";"267003";"900";"267003";"267003"
"40";"159";"631";"6";"72";"6999";"159";"6";"6999";"631";"72";"5504";"5504";"0";"1";"0";"631006";"5504";"631006";"631006"
"41";"159";"253";"1";"34";"5521";"159";"1";"5521";"253";"34";"863";"863";"0";"1";"0";"253001";"863";"253001";"253001"
"42";"159";"847";"4";"96";"6565";"159";"4";"6565";"847";"96";"607";"607";"0";"1";"0";"847004";"607";"847004";"847004"
"43";"159";"743";"18";"89";"6424";"159";"18";"6424";"743";"89";"286";"286";"0";"1";"0";"743018";"286";"743018";"743018"
"44";"159";"385";"1";"42";"5361";"159";"1";"5361";"385";"42";"2205";"2205";"0";"1";"0";"385001";"2205";"385001";"385001"
"45";"159";"423";"6";"55";"5809";"159";"6";"5809";"423";"55";"572";"572";"0";"1";"0";"423006";"572";"423006";"423006"
"46";"159";"327";"2";"37";"5579";"159";"2";"5579";"327";"37";"961";"961";"0";"1";"0";"327002";"961";"327002";"327002"
"47";"159";"439";"2";"53";"5754";"159";"2";"5754";"439";"53";"142";"142";"0";"1";"0";"439002";"142";"439002";"439002"
"48";"159";"669";"7";"79";"6283";"159";"7";"6283";"669";"79";"278";"278";"0";"1";"0";"669007";"278";"669007";"669007"
"49";"159";"265";"8";"33";"5519";"159";"8";"5519";"265";"33";"1581";"1581";"0";"1";"0";"265008";"1581";"265008";"265008"
"50";"159";"557";"20";"68";"6086";"159";"20";"6086";"557";"68";"806";"806";"0";"1";"0";"557020";"806";"557020";"557020"
