"Valgsted Id";"KommuneNr";"Kreds Nr";"Storkreds Nr";"Landsdels Nr";"Valgsted navn";"Kommune navn";"Kreds navn";"Storkreds navn";"Landsdels navn";"Valgsted start";"Valgsted stop"
"101001";"101";"13";"2";"1";"Brønshøj";"København";"16. Kbh. Brønshøj";"";"København-Frederiksberg";"19700401";"20020831"
"101002";"101";"15";"3";"1";"Vesterbro Øst";"København";"13. Kbh. Vesterbro";"";"København-Frederiksberg";"19700401";"20020831"
"101003";"101";"14";"3";"1";"Valby Vest";"København";"8. Kbh. Valby";"";"København-Frederiksberg";"19700401";"20020831"
"101004";"101";"1";"1";"1";"Christianshavn";"København";"2. Kbh. Christianshavn";"";"København-Frederiksberg";"19700401";"20020831"
"101005";"101";"1";"1";"1";"Christianshavn Syd";"København";"2. Kbh. Christianshavn";"";"København-Frederiksberg";"19720101";"20020831"
"101006";"101";"1";"1";"1";"Christianshavn Øst";"København";"2. Kbh. Christianshavn";"";"København-Frederiksberg";"19700401";"20020831"
"101007";"101";"8";"2";"1";"Husum Nord";"København";"7. Kbh. Husum";"";"København-Frederiksberg";"19700401";"20020831"
"101008";"101";"1";"1";"1";"Christianshavn Vest";"København";"2. Kbh. Christianshavn";"";"København-Frederiksberg";"19700401";"20020831"
"101010";"101";"2";"1";"1";"Rådhus";"København";"3. Kbh. Rådhus";"";"København-Frederiksberg";"19700401";"20020831"
"101011";"101";"16";"3";"1";"Enghave Nordvest";"København";"14. Kbh. Enghave";"";"København-Frederiksberg";"19760101";"20020831"
"101012";"101";"4";"1";"1";"Blågård Nord";"København";"5. Kbh. Blågård";"";"København-Frederiksberg";"19700401";"20020831"
"101014";"101";"4";"1";"1";"Blågård Syd";"København";"5. Kbh. Blågård";"";"København-Frederiksberg";"19700401";"20020831"
"101016";"101";"4";"1";"1";"Blågård";"København";"5. Kbh. Blågård";"";"København-Frederiksberg";"19700401";"20020831"
"101018";"101";"7";"2";"1";"Østbane";"København";"6. Kbh. Østbane";"";"København-Frederiksberg";"19700401";"20020831"
"101020";"101";"7";"2";"1";"Østbane Syd";"København";"6. Kbh. Østbane";"";"København-Frederiksberg";"19700401";"20020831"
"101022";"101";"2";"1";"1";"Rådhus Vest";"København";"3. Kbh. Rådhus";"";"København-Frederiksberg";"19700401";"20020831"
"101024";"101";"2";"1";"1";"Rådhus Øst";"København";"3. Kbh. Rådhus";"";"København-Frederiksberg";"19700401";"20020831"
"101026";"101";"5";"1";"1";"Amagerbro";"København";"9. Kbh. Amagerbro";"";"København-Frederiksberg";"19700401";"20020831"
"101028";"101";"5";"1";"1";"Amagerbro Syd";"København";"9. Kbh. Amagerbro";"";"København-Frederiksberg";"19700401";"20020831"
"101030";"101";"9";"2";"1";"Østerbro";"København";"10. Kbh. Østerbro";"";"København-Frederiksberg";"19700401";"20020831"
"101032";"101";"10";"2";"1";"Nørrebro";"København";"11. Kbh. Nørrebro";"";"København-Frederiksberg";"19700401";"20020831"
"101034";"101";"10";"2";"1";"Nørrebro Syd";"København";"11. Kbh. Nørrebro";"";"København-Frederiksberg";"19700401";"20020831"
"101036";"101";"11";"2";"1";"Bispeeng";"København";"12. Kbh. Bispeeng";"";"København-Frederiksberg";"19700401";"20020831"
"101038";"101";"11";"2";"1";"Bispeeng Syd";"København";"12. Kbh. Bispeeng";"";"København-Frederiksberg";"19700401";"20020831"
"101040";"101";"11";"2";"1";"Bispeeng Nord";"København";"12. Kbh. Bispeeng";"";"København-Frederiksberg";"19700401";"20020831"
"101042";"101";"15";"3";"1";"Vesterbro Vest";"København";"13. Kbh. Vesterbro";"";"København-Frederiksberg";"19720101";"20020831"
"101044";"101";"15";"3";"1";"Vesterbro";"København";"13. Kbh. Vesterbro";"";"København-Frederiksberg";"19700401";"20020831"
"101046";"101";"16";"3";"1";"Enghave";"København";"14. Kbh. Enghave";"";"København-Frederiksberg";"19700401";"20020831"
"101048";"101";"16";"3";"1";"Enghave Nord";"København";"14. Kbh. Enghave";"";"København-Frederiksberg";"19700401";"20020831"
"101050";"101";"16";"3";"1";"Enghave Vest";"København";"14. Kbh. Enghave";"";"København-Frederiksberg";"19700401";"20020831"
"101052";"101";"12";"2";"1";"Bispebjerg";"København";"15. Kbh. Bispebjerg";"";"København-Frederiksberg";"19700401";"20020831"
"101054";"101";"12";"2";"1";"Bispebjerg Nord";"København";"15. Kbh. Bispebjerg";"";"København-Frederiksberg";"19700401";"20020831"
"101056";"101";"8";"2";"1";"Husum Øst";"København";"7. Kbh. Husum";"";"København-Frederiksberg";"19700401";"20020831"
"101058";"101";"8";"2";"1";"Husum Vest";"København";"7. Kbh. Husum";"";"København-Frederiksberg";"19700401";"20020831"
"101060";"101";"13";"2";"1";"Bellahøj";"København";"16. Kbh. Brønshøj";"";"København-Frederiksberg";"19700401";"20020831"
"101062";"101";"8";"2";"1";"Husum";"København";"7. Kbh. Husum";"";"København-Frederiksberg";"19700401";"20020831"
"101064";"101";"13";"2";"1";"Vanløse";"København";"16. Kbh. Brønshøj";"";"København-Frederiksberg";"19700401";"20020831"
"101066";"101";"13";"2";"1";"Katrinedal";"København";"16. Kbh. Brønshøj";"";"København-Frederiksberg";"19700401";"20020831"
"101068";"101";"6";"2";"1";"Ryvang";"København";"1. Kbh. Ryvang";"";"København-Frederiksberg";"19700401";"20020831"
"101070";"101";"6";"2";"1";"Ryvang Vest";"København";"1. Kbh. Ryvang";"";"København-Frederiksberg";"19700401";"20020831"
"101072";"101";"6";"2";"1";"Ryvang Syd";"København";"1. Kbh. Ryvang";"";"København-Frederiksberg";"19700401";"20020831"
"101074";"101";"3";"1";"1";"Sundby";"København";"4. Kbh. Sundby";"";"København-Frederiksberg";"19700401";"20020831"
"101076";"101";"3";"1";"1";"Sundby Øst";"København";"4. Kbh. Sundby";"";"København-Frederiksberg";"19700401";"20020831"
"101078";"101";"3";"1";"1";"Sundby Vest";"København";"4. Kbh. Sundby";"";"København-Frederiksberg";"19700401";"20020831"
"101080";"101";"14";"3";"1";"Valby";"København";"8. Kbh. Valby";"";"København-Frederiksberg";"19700401";"20020831"
"101082";"101";"14";"3";"1";"Valby Øst";"København";"8. Kbh. Valby";"";"København-Frederiksberg";"19700401";"20020831"
"101084";"101";"14";"3";"1";"Valby Syd";"København";"8. Kbh. Valby";"";"København-Frederiksberg";"19700401";"20020831"
"101086";"101";"9";"2";"1";"Østerbro Nord";"København";"10. Kbh. Østerbro";"";"København-Frederiksberg";"19700401";"20020831"
