"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A. Socialdemokratiet";"Socialdemokratiet";"A";"1"
"B. Det Radikale Venstre";"Radikale Venstre";"B";"2"
"C. Det Konservative Folkeparti";"Konservative Folkeparti";"C";"3"
"E. Danmarks Retsforbund";"Retsforbundet";"E";"4"
"F. Socialistisk Folkeparti";"Socialistisk Folkeparti";"F";"5"
"I. Internationalen";"Internationalen";"I";"6"
"K. Danmarks Kommunistiske Parti";"Kommunistiske Parti";"K";"7"
"M. Centrum-Demokraterne";"Centrum-Demokraterne";"M";"8"
"Q. Kristeligt Folkeparti";"Kristeligt Folkeparti";"Q";"9"
"R. Arbejderpartiet KAP";"Arbejderpartiet KAP";"R";"10"
"V. Venstre, Danmarks Liberale Parti";"Venstre";"V";"11"
"Y. Venstresocialisterne";"Venstresocialisterne";"Y";"12"
"Z. Fremskridtspartiet";"Fremskridtspartiet";"Z";"13"
"1. Uden for partierne";"Uden for partierne";"1";"14"
"2. Uden for partierne";"Uden for partierne";"2";"15"
"3. Uden for partierne";"Uden for partierne";"3";"16"
