"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - A. Socialdemokratiet";"FV2015 - B. Radikale Venstre";"FV2015 - C. Det Konservative Folkeparti";"FV2015 - F. SF - Socialistisk Folkeparti";"FV2015 - I. Liberal Alliance";"FV2015 - K. Kristendemokraterne";"FV2015 - O. Dansk Folkeparti";"FV2015 - V. Venstre, Danmarks Liberale Parti";"FV2015 - Ø. Enhedslisten - De Rød-Grønne";"FV2015 - Å. Alternativet";"FV2015 - 1. Uden for partierne";"FV2015 - 2. Uden for partierne";"FV2015 - 3. Uden for partierne";"FV2015 - 4. Uden for partierne"
"183003";"183003";"18";"2";"1";"3530";"2779";"13";"8";"2758";"931";"64";"39";"198";"92";"6";"837";"265";"239";"77";"9";"1";"-";"-"
"183004";"183004";"18";"2";"1";"2585";"1645";"12";"15";"1618";"625";"47";"15";"177";"49";"2";"341";"115";"188";"51";"8";"0";"-";"-"
"183005";"183005";"18";"2";"1";"3499";"2915";"25";"15";"2875";"948";"103";"47";"136";"173";"10";"756";"397";"202";"97";"5";"1";"-";"-"
"185001";"185001";"12";"1";"1";"4504";"3960";"19";"15";"3926";"954";"123";"114";"148";"241";"11";"1357";"588";"268";"116";"6";"0";"0";"0"
"185002";"185002";"12";"1";"1";"5119";"4560";"31";"4";"4525";"1268";"197";"176";"216";"266";"18";"1201";"746";"322";"111";"4";"0";"0";"0"
"185003";"185003";"12";"1";"1";"4836";"4041";"30";"11";"4000";"1306";"142";"83";"222";"158";"16";"1146";"443";"350";"127";"7";"0";"0";"0"
"185004";"185004";"12";"1";"1";"4100";"3401";"31";"13";"3357";"1036";"132";"75";"178";"188";"17";"823";"446";"307";"152";"2";"0";"0";"1"
"185005";"185005";"12";"1";"1";"3636";"3178";"20";"15";"3143";"821";"142";"91";"127";"202";"10";"867";"514";"226";"136";"5";"0";"1";"1"
"185006";"185006";"12";"1";"1";"8519";"7044";"49";"27";"6968";"2176";"209";"143";"309";"349";"18";"2086";"739";"692";"240";"3";"0";"2";"2"
"187001";"187001";"18";"2";"1";"3315";"2732";"14";"15";"2703";"645";"127";"177";"153";"275";"13";"622";"452";"162";"76";"1";"0";"-";"-"
"187002";"187002";"18";"2";"1";"3120";"2837";"25";"20";"2792";"809";"99";"223";"87";"268";"8";"623";"496";"117";"60";"2";"0";"-";"-"
"187003";"187003";"18";"2";"1";"3906";"3472";"22";"9";"3441";"947";"121";"233";"120";"275";"5";"798";"686";"171";"75";"9";"1";"-";"-"
"190001";"190001";"25";"3";"1";"7194";"6404";"43";"20";"6341";"1661";"571";"401";"247";"699";"23";"892";"1161";"416";"267";"2";"1";"-";"-"
"190002";"190002";"25";"3";"1";"2553";"2408";"12";"5";"2391";"499";"317";"148";"108";"352";"5";"171";"440";"186";"162";"3";"0";"-";"-"
"190003";"190003";"25";"3";"1";"3432";"3222";"22";"9";"3191";"688";"378";"190";"108";"483";"27";"328";"651";"160";"178";"0";"0";"-";"-"
"190004";"190004";"25";"3";"1";"904";"833";"6";"0";"827";"236";"77";"39";"50";"83";"3";"86";"117";"80";"56";"0";"0";"-";"-"
"190005";"190005";"25";"3";"1";"4148";"3848";"27";"9";"3812";"865";"320";"257";"136";"529";"10";"431";"833";"270";"160";"1";"0";"-";"-"
"190006";"190006";"25";"3";"1";"5542";"5061";"37";"12";"5012";"1150";"444";"233";"221";"660";"15";"612";"1049";"340";"287";"1";"0";"-";"-"
"190007";"190007";"25";"3";"1";"3616";"2866";"27";"10";"2829";"824";"126";"66";"148";"220";"10";"495";"407";"350";"180";"3";"0";"-";"-"
"201001";"201001";"26";"3";"1";"1912";"1795";"10";"4";"1781";"372";"155";"126";"81";"232";"10";"252";"396";"74";"83";"0";"0";"-";"-"
"201002";"201002";"26";"3";"1";"3584";"3199";"28";"10";"3161";"799";"238";"214";"139";"349";"15";"521";"513";"230";"141";"1";"1";"-";"-"
"201003";"201003";"26";"3";"1";"4156";"3848";"26";"7";"3815";"856";"370";"316";"196";"430";"11";"508";"778";"192";"158";"0";"0";"-";"-"
"201004";"201004";"26";"3";"1";"3702";"3404";"30";"6";"3368";"701";"191";"186";"129";"385";"10";"654";"826";"173";"112";"0";"1";"-";"-"
"201005";"201005";"26";"3";"1";"4108";"3863";"25";"13";"3825";"722";"333";"329";"119";"616";"26";"453";"970";"129";"128";"0";"0";"-";"-"
"210001";"210001";"22";"3";"1";"4499";"3978";"35";"10";"3933";"871";"203";"225";"117";"529";"32";"727";"849";"202";"178";"0";"0";"-";"-"
"210002";"210002";"22";"3";"1";"3385";"3055";"18";"8";"3029";"518";"241";"222";"104";"502";"17";"415";"718";"130";"161";"1";"0";"-";"-"
