"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - A. Socialdemokratiet";"FV2015 - B. Radikale Venstre";"FV2015 - C. Det Konservative Folkeparti";"FV2015 - F. SF - Socialistisk Folkeparti";"FV2015 - I. Liberal Alliance";"FV2015 - K. Kristendemokraterne";"FV2015 - O. Dansk Folkeparti";"FV2015 - V. Venstre, Danmarks Liberale Parti";"FV2015 - Ø. Enhedslisten - De Rød-Grønne";"FV2015 - Å. Alternativet";"FV2015 - 1. Uden for partierne";"FV2015 - 2. Uden for partierne";"FV2015 - 3. Uden for partierne";"FV2015 - 4. Uden for partierne"
"147003";"147003";"10";"1";"1";"10987";"9811";"75";"34";"9702";"2028";"1292";"516";"612";"1016";"20";"734";"1164";"1211";"1093";"12";"0";"3";"1"
"147004";"147004";"10";"1";"1";"10086";"8841";"63";"19";"8759";"1900";"992";"547";"500";"996";"29";"782";"1105";"1102";"792";"12";"0";"1";"1"
"147005";"147005";"11";"1";"1";"10136";"8523";"71";"25";"8427";"1893";"765";"508";"458";"874";"31";"993";"1042";"1110";"732";"16";"0";"4";"1"
"147006";"147006";"11";"1";"1";"8819";"7635";"56";"25";"7554";"1798";"579";"513";"403";"664";"27";"1043";"1122";"866";"527";"11";"0";"1";"0"
"147007";"147007";"11";"1";"1";"9890";"8485";"69";"21";"8395";"1838";"879";"506";"470";"964";"36";"862";"1110";"997";"718";"13";"0";"2";"0"
"147008";"147008";"11";"1";"1";"7936";"7194";"64";"21";"7109";"1466";"826";"334";"441";"847";"22";"626";"887";"904";"747";"6";"1";"1";"1"
"151001";"151001";"20";"2";"1";"4257";"3546";"36";"18";"3492";"1412";"79";"50";"132";"147";"12";"993";"320";"239";"105";"3";"0";"-";"-"
"151002";"151002";"20";"2";"1";"6228";"5034";"43";"18";"4973";"1890";"105";"89";"220";"212";"27";"1273";"507";"488";"158";"3";"1";"-";"-"
"151003";"151003";"20";"2";"1";"2656";"2423";"35";"3";"2385";"806";"93";"76";"88";"165";"6";"540";"389";"131";"90";"1";"0";"-";"-"
"151004";"151004";"20";"2";"1";"2786";"2297";"27";"5";"2265";"852";"28";"27";"108";"96";"4";"656";"199";"227";"63";"5";"0";"-";"-"
"151005";"151005";"20";"2";"1";"3678";"3400";"38";"8";"3354";"1125";"160";"101";"124";"262";"36";"653";"623";"173";"97";"0";"0";"-";"-"
"151006";"151006";"20";"2";"1";"3844";"3094";"28";"11";"3055";"1300";"48";"28";"133";"68";"8";"884";"202";"292";"89";"3";"0";"-";"-"
"151007";"151007";"20";"2";"1";"1669";"1474";"17";"3";"1454";"437";"83";"37";"60";"130";"35";"279";"254";"90";"48";"1";"0";"-";"-"
"151008";"151008";"20";"2";"1";"4084";"3637";"25";"2";"3610";"1168";"177";"124";"183";"258";"25";"696";"618";"223";"138";"0";"0";"-";"-"
"151009";"151009";"20";"2";"1";"3224";"2981";"27";"9";"2945";"918";"182";"94";"140";"231";"20";"464";"485";"227";"183";"0";"1";"-";"-"
"151010";"151010";"20";"2";"1";"2082";"1908";"14";"4";"1890";"579";"105";"48";"108";"142";"3";"329";"270";"188";"116";"2";"0";"-";"-"
"153001";"153001";"18";"2";"1";"3254";"2898";"15";"7";"2876";"1001";"90";"51";"101";"133";"3";"814";"417";"167";"89";"5";"5";"-";"-"
"153002";"153002";"18";"2";"1";"3518";"2778";"20";"6";"2752";"1018";"54";"49";"102";"126";"6";"789";"321";"210";"66";"5";"6";"-";"-"
"153003";"153003";"18";"2";"1";"3044";"2526";"22";"19";"2485";"836";"55";"41";"118";"111";"8";"726";"280";"222";"78";"6";"4";"-";"-"
"153004";"153004";"18";"2";"1";"5510";"4463";"35";"17";"4411";"1681";"131";"72";"194";"183";"14";"1156";"427";"409";"130";"9";"5";"-";"-"
"153005";"153005";"18";"2";"1";"8438";"6328";"41";"27";"6260";"2099";"280";"96";"355";"286";"24";"1528";"672";"683";"194";"36";"7";"-";"-"
"155001";"155001";"12";"1";"1";"3805";"3432";"25";"8";"3399";"770";"200";"247";"118";"458";"3";"573";"727";"178";"124";"1";"0";"0";"0"
"155004";"155004";"12";"1";"1";"6311";"5679";"37";"18";"5624";"1213";"268";"281";"165";"588";"8";"1368";"1245";"260";"220";"6";"0";"1";"1"
"157001";"157001";"13";"2";"1";"5342";"4862";"32";"15";"4815";"816";"372";"559";"138";"934";"12";"437";"1131";"219";"196";"1";"0";"-";"-"
"157002";"157002";"13";"2";"1";"4433";"3995";"32";"15";"3948";"916";"368";"267";"199";"411";"13";"530";"673";"314";"255";"2";"0";"-";"-"
