"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2011 - Stemmeberettigede";"FV2011 - Afgivne stemmer";"FV2011 - Blanke stemmer";"FV2011 - Andre ugyldige stemmer";"FV2011 - Gyldige stemmer";"FV2011 - A. Socialdemokratiet";"FV2011 - B. Radikale Venstre";"FV2011 - C. Det Konservative Folkeparti";"FV2011 - F. SF - Socialistisk Folkeparti";"FV2011 - I. Liberal Alliance";"FV2011 - K. Kristendemokraterne";"FV2011 - O. Dansk Folkeparti";"FV2011 - V. Venstre, Danmarks Liberale Parti";"FV2011 - Ø. Enhedslisten - De Rød-Grønne";"FV2011 - 1. Uden for partierne";"FV2011 - 2. Uden for partierne";"FV2011 - 3. Uden for partierne";"FV2011 - 4. Uden for partierne";"FV2011 - 5. Uden for partierne";"FV2011 - 6. Uden for partierne"
"101001";"101001";"1";"1";"1";"13115";"11855";"61";"58";"11736";"1957";"2399";"752";"1408";"858";"45";"522";"1971";"1813";"6";"3";"0";"1";"0";"1"
"101002";"101002";"1";"1";"1";"5509";"4848";"19";"11";"4818";"823";"896";"383";"409";"420";"16";"332";"987";"548";"2";"1";"0";"1";"0";"0"
"101003";"101003";"1";"1";"1";"6475";"5893";"33";"19";"5841";"945";"1278";"351";"752";"383";"16";"266";"852";"993";"2";"2";"0";"0";"1";"0"
"101004";"101004";"1";"1";"1";"7262";"6572";"31";"15";"6526";"954";"1402";"483";"703";"548";"7";"323";"1209";"895";"1";"1";"0";"0";"0";"0"
"101005";"101005";"1";"1";"1";"10405";"9025";"57";"26";"8942";"1831";"1524";"441";"1080";"533";"27";"708";"1384";"1405";"1";"7";"0";"0";"0";"1"
"101006";"101006";"1";"1";"1";"9027";"7901";"51";"41";"7809";"1643";"1383";"466";"854";"493";"19";"613";"1242";"1090";"2";"2";"0";"1";"1";"0"
"101007";"101007";"2";"1";"1";"12775";"10486";"77";"64";"10345";"2468";"1187";"397";"1331";"460";"26";"1358";"1476";"1629";"2";"8";"0";"1";"2";"0"
"101008";"101008";"2";"1";"1";"11895";"9934";"83";"35";"9816";"1960";"1612";"362";"1392";"462";"19";"894";"1245";"1858";"3";"5";"0";"0";"4";"0"
"101009";"101009";"2";"1";"1";"7872";"6730";"31";"24";"6675";"1092";"1328";"350";"698";"686";"19";"442";"1194";"859";"0";"3";"0";"4";"0";"0"
"101010";"101010";"2";"1";"1";"8705";"7855";"34";"30";"7791";"1220";"1581";"469";"870";"668";"13";"404";"1365";"1194";"4";"1";"1";"0";"1";"0"
"101011";"101011";"3";"1";"1";"11705";"8473";"36";"39";"8398";"1144";"1977";"503";"1010";"689";"16";"275";"1108";"1670";"3";"2";"0";"1";"0";"0"
"101012";"101012";"3";"1";"1";"6116";"5602";"31";"16";"5555";"809";"1220";"448";"622";"444";"10";"229";"982";"786";"2";"1";"0";"2";"0";"0"
"101013";"101013";"3";"1";"1";"7891";"7087";"29";"25";"7033";"1040";"1360";"287";"992";"380";"5";"318";"786";"1849";"2";"14";"0";"0";"0";"0"
"101014";"101014";"3";"1";"1";"6985";"6165";"28";"16";"6121";"813";"1198";"468";"571";"631";"16";"306";"1210";"904";"2";"1";"0";"1";"0";"0"
"101015";"101015";"3";"1";"1";"6581";"5918";"30";"20";"5868";"735";"1182";"487";"629";"575";"9";"269";"1088";"891";"1";"2";"0";"0";"0";"0"
"101016";"101016";"4";"1";"1";"8668";"7116";"52";"38";"7026";"1499";"1038";"245";"915";"362";"18";"749";"1025";"1164";"3";"3";"0";"1";"4";"0"
"101017";"101017";"4";"1";"1";"12972";"11009";"66";"49";"10894";"2086";"1798";"361";"1540";"609";"37";"890";"1485";"2068";"5";"5";"0";"5";"4";"1"
"101018";"101018";"4";"1";"1";"7934";"6767";"52";"19";"6696";"1437";"927";"255";"831";"333";"16";"739";"1156";"990";"3";"3";"0";"2";"3";"1"
