"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Personlige stemmer i alt";"FV2015 - A - personlige stemmer i alt";"FV2015 - B - personlige stemmer i alt";"FV2015 - C - personlige stemmer i alt";"FV2015 - F - personlige stemmer i alt";"FV2015 - I - personlige stemmer i alt";"FV2015 - K - personlige stemmer i alt";"FV2015 - O - personlige stemmer i alt";"FV2015 - V - personlige stemmer i alt";"FV2015 - Ø - personlige stemmer i alt";"FV2015 - Å - personlige stemmer i alt";"FV2015 - A-01";"FV2015 - A-02";"FV2015 - A-03";"FV2015 - A-04";"FV2015 - A-05";"FV2015 - A-06";"FV2015 - A-07";"FV2015 - A-08";"FV2015 - A-09";"FV2015 - A-10";"FV2015 - A-11";"FV2015 - A-12";"FV2015 - A-13";"FV2015 - B-01";"FV2015 - B-02";"FV2015 - B-03";"FV2015 - B-04";"FV2015 - B-05";"FV2015 - B-06";"FV2015 - B-07";"FV2015 - B-08";"FV2015 - B-09";"FV2015 - B-10";"FV2015 - B-11";"FV2015 - B-12";"FV2015 - C-01";"FV2015 - C-02";"FV2015 - C-03";"FV2015 - C-04";"FV2015 - C-05";"FV2015 - C-06";"FV2015 - C-07";"FV2015 - C-08";"FV2015 - C-09";"FV2015 - F-01";"FV2015 - F-02";"FV2015 - F-03";"FV2015 - F-04";"FV2015 - F-05";"FV2015 - F-06";"FV2015 - F-07";"FV2015 - F-08";"FV2015 - F-09";"FV2015 - F-10";"FV2015 - F-11";"FV2015 - F-12";"FV2015 - F-13";"FV2015 - I-01";"FV2015 - I-02";"FV2015 - I-03";"FV2015 - I-04";"FV2015 - I-05";"FV2015 - I-06";"FV2015 - I-07";"FV2015 - I-08";"FV2015 - I-09";"FV2015 - I-10";"FV2015 - I-11";"FV2015 - K-01";"FV2015 - K-02";"FV2015 - K-03";"FV2015 - K-04";"FV2015 - K-05";"FV2015 - K-06";"FV2015 - K-07";"FV2015 - K-08";"FV2015 - K-09";"FV2015 - K-10";"FV2015 - K-11";"FV2015 - O-01";"FV2015 - O-02";"FV2015 - O-03";"FV2015 - O-04";"FV2015 - O-05";"FV2015 - O-06";"FV2015 - O-07";"FV2015 - O-08";"FV2015 - O-09";"FV2015 - O-10";"FV2015 - O-11";"FV2015 - O-12";"FV2015 - O-13";"FV2015 - V-01";"FV2015 - V-02";"FV2015 - V-03";"FV2015 - V-04";"FV2015 - V-05";"FV2015 - V-06";"FV2015 - V-07";"FV2015 - V-08";"FV2015 - V-09";"FV2015 - V-10";"FV2015 - V-11";"FV2015 - V-12";"FV2015 - V-13";"FV2015 - Ø-01";"FV2015 - Ø-02";"FV2015 - Ø-03";"FV2015 - Ø-04";"FV2015 - Ø-05";"FV2015 - Ø-06";"FV2015 - Ø-07";"FV2015 - Ø-08";"FV2015 - Ø-09";"FV2015 - Ø-10";"FV2015 - Ø-11";"FV2015 - Ø-12";"FV2015 - Å-01";"FV2015 - Å-02";"FV2015 - Å-03";"FV2015 - Å-04";"FV2015 - Å-05";"FV2015 - Å-06";"FV2015 - Å-07";"FV2015 - Å-08";"FV2015 - Å-09";"FV2015 - Å-10";"FV2015 - Å-11";"FV2015 - Å-12";"FV2015 - Å-13"
"101001";"101001";"1";"1";"1";"6215";"1762";"781";"170";"484";"393";"8";"302";"495";"1142";"678";"61";"84";"0";"5";"11";"0";"46";"49";"3";"3";"1494";"6";"-";"8";"61";"314";"2";"9";"46";"3";"34";"26";"261";"10";"7";"31";"50";"50";"37";"2";"-";"-";"-";"-";"31";"6";"3";"163";"1";"254";"1";"9";"4";"8";"3";"1";"-";"255";"19";"12";"6";"3";"12";"66";"20";"-";"-";"-";"1";"1";"4";"2";"-";"-";"-";"-";"-";"-";"-";"34";"2";"12";"6";"1";"0";"2";"5";"32";"176";"28";"4";"-";"51";"11";"9";"33";"47";"12";"3";"292";"4";"1";"32";"0";"-";"13";"973";"24";"62";"26";"15";"0";"7";"3";"2";"14";"3";"544";"17";"9";"23";"3";"2";"8";"3";"35";"2";"16";"16";"-"
"101002";"101002";"1";"1";"1";"2569";"757";"288";"115";"175";"196";"2";"182";"245";"375";"234";"21";"37";"2";"5";"3";"0";"14";"21";"2";"0";"648";"4";"-";"1";"19";"124";"1";"0";"21";"2";"14";"10";"94";"1";"1";"19";"32";"33";"18";"13";"-";"-";"-";"-";"10";"2";"1";"55";"1";"101";"1";"1";"1";"1";"1";"0";"-";"122";"14";"5";"6";"0";"10";"30";"9";"-";"-";"-";"0";"0";"1";"1";"-";"-";"-";"-";"-";"-";"-";"22";"2";"4";"2";"1";"3";"0";"1";"10";"110";"27";"0";"-";"29";"3";"1";"10";"23";"4";"3";"158";"1";"0";"12";"1";"-";"4";"325";"9";"16";"10";"2";"1";"3";"0";"0";"4";"1";"177";"13";"2";"10";"3";"1";"1";"1";"8";"3";"12";"3";"-"
"101003";"101003";"1";"1";"1";"6792";"1911";"857";"195";"552";"432";"11";"272";"558";"1246";"758";"85";"107";"4";"12";"10";"0";"41";"52";"4";"8";"1577";"11";"-";"6";"54";"372";"5";"13";"41";"6";"48";"29";"268";"8";"7";"32";"73";"57";"30";"3";"-";"-";"-";"-";"30";"3";"5";"174";"0";"312";"2";"2";"11";"10";"1";"2";"-";"267";"25";"5";"5";"1";"27";"78";"24";"-";"-";"-";"2";"2";"3";"4";"-";"-";"-";"-";"-";"-";"-";"34";"6";"5";"7";"2";"5";"2";"6";"23";"159";"22";"1";"-";"49";"10";"3";"47";"44";"6";"11";"342";"3";"3";"39";"1";"-";"12";"1048";"21";"79";"30";"17";"2";"3";"10";"1";"22";"1";"606";"18";"5";"27";"6";"4";"5";"6";"38";"6";"22";"15";"-"
"101005";"101005";"1";"1";"1";"4746";"1404";"455";"119";"381";"263";"14";"357";"337";"940";"476";"52";"73";"0";"4";"14";"2";"17";"50";"2";"7";"1180";"3";"-";"6";"25";"227";"3";"6";"27";"0";"14";"14";"119";"10";"4";"21";"33";"34";"26";"5";"-";"-";"-";"-";"20";"5";"6";"146";"2";"179";"5";"8";"2";"7";"1";"0";"-";"169";"14";"2";"4";"4";"12";"42";"16";"-";"-";"-";"2";"3";"8";"1";"-";"-";"-";"-";"-";"-";"-";"42";"7";"12";"4";"4";"2";"1";"6";"31";"207";"36";"5";"-";"30";"2";"2";"24";"39";"10";"5";"202";"2";"2";"19";"0";"-";"15";"801";"20";"53";"18";"8";"3";"6";"2";"0";"13";"1";"347";"19";"9";"14";"4";"5";"6";"4";"29";"6";"20";"13";"-"
"101006";"101006";"1";"1";"1";"4371";"1477";"400";"104";"318";"259";"6";"331";"318";"733";"425";"49";"76";"4";"10";"9";"2";"34";"37";"4";"4";"1246";"2";"-";"6";"29";"188";"3";"5";"22";"4";"15";"10";"109";"4";"5";"17";"35";"32";"13";"7";"-";"-";"-";"-";"13";"4";"5";"113";"0";"167";"0";"6";"5";"5";"0";"0";"-";"158";"22";"2";"3";"3";"11";"45";"15";"-";"-";"-";"2";"2";"2";"0";"-";"-";"-";"-";"-";"-";"-";"34";"7";"7";"4";"1";"6";"2";"4";"14";"203";"47";"2";"-";"31";"5";"3";"31";"39";"5";"1";"177";"4";"1";"21";"0";"-";"10";"640";"11";"30";"17";"9";"1";"6";"3";"0";"6";"0";"311";"16";"4";"21";"4";"0";"4";"4";"32";"3";"12";"14";"-"
"101007";"101007";"2";"1";"1";"5292";"1562";"337";"90";"446";"183";"15";"704";"355";"1213";"387";"155";"83";"8";"9";"30";"0";"33";"52";"56";"10";"1123";"3";"-";"3";"25";"153";"1";"20";"14";"1";"7";"10";"90";"11";"2";"18";"35";"18";"14";"5";"-";"-";"-";"-";"21";"4";"5";"186";"1";"198";"2";"18";"7";"1";"2";"1";"-";"107";"15";"5";"6";"1";"11";"24";"14";"-";"-";"-";"7";"2";"5";"1";"-";"-";"-";"-";"-";"-";"-";"128";"3";"19";"22";"4";"64";"11";"8";"65";"352";"14";"14";"-";"81";"3";"5";"56";"30";"7";"2";"163";"3";"2";"2";"1";"-";"20";"1046";"49";"40";"26";"17";"1";"4";"6";"0";"3";"1";"295";"11";"10";"21";"2";"6";"5";"2";"13";"1";"15";"6";"-"
"101008";"101008";"2";"1";"1";"5002";"1272";"450";"85";"454";"226";"12";"431";"287";"1202";"583";"136";"96";"9";"6";"24";"2";"38";"64";"35";"4";"853";"5";"-";"11";"48";"181";"7";"16";"22";"2";"15";"17";"123";"7";"1";"15";"29";"18";"16";"7";"-";"-";"-";"-";"25";"11";"8";"151";"0";"212";"4";"27";"4";"3";"5";"4";"-";"130";"14";"6";"6";"6";"9";"35";"20";"-";"-";"-";"2";"6";"2";"2";"-";"-";"-";"-";"-";"-";"-";"79";"7";"14";"8";"6";"28";"3";"5";"46";"219";"11";"5";"-";"43";"8";"12";"25";"18";"8";"4";"157";"4";"1";"7";"0";"-";"15";"1021";"49";"48";"35";"15";"1";"6";"6";"1";"3";"2";"435";"21";"13";"43";"2";"5";"7";"1";"24";"7";"17";"8";"-"
"101009";"101009";"2";"1";"1";"4096";"1000";"440";"74";"301";"461";"9";"300";"364";"665";"482";"101";"54";"8";"4";"13";"1";"21";"41";"39";"3";"710";"5";"-";"6";"53";"192";"0";"20";"10";"1";"7";"12";"113";"25";"1";"22";"21";"14";"13";"4";"-";"-";"-";"-";"10";"6";"11";"123";"2";"132";"3";"7";"3";"0";"0";"4";"-";"306";"14";"3";"8";"11";"18";"70";"31";"-";"-";"-";"2";"5";"0";"2";"-";"-";"-";"-";"-";"-";"-";"71";"2";"7";"3";"1";"20";"2";"4";"29";"146";"7";"8";"-";"68";"5";"9";"37";"35";"5";"4";"152";"1";"2";"44";"2";"-";"11";"574";"11";"25";"22";"11";"2";"2";"2";"1";"3";"1";"364";"20";"7";"25";"5";"10";"5";"5";"22";"4";"13";"2";"-"
"101010";"101010";"2";"1";"1";"4570";"1132";"651";"133";"314";"385";"5";"275";"390";"782";"503";"89";"75";"5";"1";"7";"1";"21";"50";"123";"2";"753";"5";"-";"7";"28";"311";"5";"12";"21";"2";"26";"19";"206";"7";"7";"24";"50";"30";"22";"7";"-";"-";"-";"-";"22";"3";"2";"107";"1";"162";"0";"3";"14";"0";"0";"0";"-";"229";"20";"8";"11";"7";"21";"72";"17";"-";"-";"-";"0";"3";"1";"1";"-";"-";"-";"-";"-";"-";"-";"35";"0";"6";"5";"2";"7";"1";"5";"23";"179";"7";"5";"-";"67";"7";"4";"28";"58";"11";"10";"184";"5";"2";"13";"1";"-";"10";"666";"24";"44";"15";"8";"1";"2";"2";"2";"3";"5";"381";"17";"16";"15";"5";"6";"5";"0";"22";"6";"21";"9";"-"
"101011";"101011";"3";"1";"1";"5508";"1279";"717";"162";"438";"391";"7";"194";"372";"1137";"811";"97";"77";"3";"5";"6";"0";"37";"26";"7";"18";"993";"10";"-";"3";"69";"306";"8";"12";"31";"10";"33";"30";"197";"5";"13";"36";"65";"26";"31";"4";"-";"-";"-";"-";"16";"7";"10";"166";"0";"227";"3";"5";"3";"0";"1";"0";"-";"253";"20";"9";"4";"7";"22";"54";"22";"-";"-";"-";"1";"1";"1";"4";"-";"-";"-";"-";"-";"-";"-";"20";"4";"6";"2";"0";"2";"8";"3";"19";"121";"7";"2";"-";"55";"6";"1";"12";"37";"9";"1";"228";"5";"0";"18";"0";"-";"16";"951";"25";"63";"31";"31";"3";"5";"1";"2";"7";"2";"654";"23";"13";"24";"4";"5";"5";"6";"34";"3";"29";"11";"-"
