"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1998 - Stemmeberettigede";"FV1998 - Afgivne stemmer";"FV1998 - Blanke stemmer";"FV1998 - Andre ugyldige stemmer";"FV1998 - Gyldige stemmer";"FV1998 - A. Socialdemokratiet";"FV1998 - B. Det Radikale Venstre";"FV1998 - C. Det Konservative Folkeparti";"FV1998 - D. Centrum-Demokraterne";"FV1998 - F. Socialistisk Folkeparti";"FV1998 - O. Dansk Folkeparti";"FV1998 - Q. Kristeligt Folkeparti";"FV1998 - U. Demokratisk Fornyelse";"FV1998 - V. Venstre, Danmarks Liberale Parti";"FV1998 - Z. Fremskridtspartiet";"FV1998 - Ø. Enhedslisten - De Rød-Grønne";"FV1998 - 1. Uden for partierne";"FV1998 - 2. Uden for partierne";"FV1998 - 3. Uden for partierne"
"101001";"101001";"13";"2";"1";"4224";"3681";"16";"3";"3662";"1223";"170";"285";"188";"540";"361";"68";"11";"519";"46";"251";"-";"-";"-"
"101002";"101002";"15";"3";"1";"7010";"5871";"31";"22";"5818";"1605";"669";"344";"215";"1061";"288";"59";"27";"602";"42";"906";"-";"-";"-"
"101003";"101003";"14";"3";"1";"5049";"4013";"27";"18";"3968";"1939";"125";"213";"136";"413";"414";"58";"14";"411";"65";"180";"-";"-";"-"
"101004";"101004";"1";"1";"1";"6907";"5870";"33";"12";"5825";"1757";"468";"361";"200";"939";"250";"61";"21";"642";"50";"1076";"-";"-";"-"
"101005";"101005";"1";"1";"1";"3614";"3005";"29";"8";"2968";"1114";"188";"167";"126";"402";"234";"39";"18";"413";"45";"222";"-";"-";"-"
"101006";"101006";"1";"1";"1";"11015";"8752";"42";"44";"8666";"3411";"515";"606";"258";"1091";"690";"142";"32";"1157";"111";"653";"-";"-";"-"
"101007";"101007";"8";"2";"1";"2921";"2296";"12";"13";"2271";"1122";"58";"82";"48";"289";"322";"21";"11";"141";"44";"133";"-";"-";"-"
"101008";"101008";"1";"1";"1";"5544";"4491";"28";"16";"4447";"1701";"308";"283";"139";"630";"298";"58";"13";"554";"53";"410";"-";"-";"-"
"101010";"101010";"2";"1";"1";"11075";"7568";"43";"33";"7492";"1962";"755";"737";"346";"1116";"342";"102";"32";"1266";"66";"768";"-";"-";"-"
"101011";"101011";"16";"3";"1";"3180";"2691";"15";"5";"2671";"874";"169";"275";"124";"283";"234";"43";"10";"448";"35";"176";"-";"-";"-"
"101012";"101012";"4";"1";"1";"3916";"3371";"20";"6";"3345";"1021";"306";"290";"165";"452";"158";"78";"6";"525";"20";"324";"-";"-";"-"
"101014";"101014";"4";"1";"1";"4991";"4165";"17";"21";"4127";"1250";"283";"437";"167";"685";"210";"53";"18";"476";"36";"512";"-";"-";"-"
"101016";"101016";"4";"1";"1";"6254";"5081";"29";"20";"5032";"1620";"379";"290";"142";"820";"261";"67";"20";"548";"46";"839";"-";"-";"-"
"101018";"101018";"7";"2";"1";"10681";"9196";"52";"13";"9131";"2519";"805";"924";"419";"1318";"455";"189";"31";"1653";"83";"735";"-";"-";"-"
"101020";"101020";"7";"2";"1";"4584";"4037";"16";"17";"4004";"956";"425";"432";"213";"591";"135";"64";"6";"790";"29";"363";"-";"-";"-"
"101022";"101022";"2";"1";"1";"6863";"5873";"26";"20";"5827";"1419";"578";"725";"284";"724";"278";"85";"22";"1207";"58";"447";"-";"-";"-"
"101024";"101024";"2";"1";"1";"6721";"5694";"29";"15";"5650";"1356";"485";"705";"302";"574";"235";"90";"21";"1338";"68";"476";"-";"-";"-"
"101026";"101026";"5";"1";"1";"13979";"11105";"76";"50";"10979";"4317";"556";"624";"376";"1418";"1009";"162";"43";"1522";"172";"780";"-";"-";"-"
"101028";"101028";"5";"1";"1";"9367";"7441";"53";"43";"7345";"3078";"297";"371";"235";"966";"693";"91";"33";"931";"128";"522";"-";"-";"-"
"101030";"101030";"9";"2";"1";"13678";"11740";"52";"30";"11658";"3490";"993";"1124";"566";"1634";"528";"183";"54";"1965";"82";"1039";"-";"-";"-"
"101032";"101032";"10";"2";"1";"6838";"5651";"30";"21";"5600";"1896";"486";"355";"224";"949";"340";"67";"18";"568";"54";"643";"-";"-";"-"
"101034";"101034";"10";"2";"1";"3040";"2329";"23";"7";"2299";"694";"224";"139";"69";"429";"103";"31";"13";"221";"20";"356";"-";"-";"-"
"101036";"101036";"11";"2";"1";"9973";"8053";"47";"27";"7979";"2834";"578";"464";"304";"1289";"490";"136";"35";"893";"72";"884";"-";"-";"-"
"101038";"101038";"11";"2";"1";"5018";"4212";"22";"21";"4169";"1487";"265";"268";"130";"670";"311";"49";"18";"447";"51";"473";"-";"-";"-"
"101040";"101040";"11";"2";"1";"9859";"7687";"47";"40";"7600";"3082";"372";"452";"233";"942";"787";"81";"30";"997";"94";"530";"-";"-";"-"
"101042";"101042";"15";"3";"1";"7085";"5858";"40";"19";"5799";"1918";"541";"295";"185";"1038";"362";"44";"17";"577";"70";"752";"-";"-";"-"
"101044";"101044";"15";"3";"1";"6323";"5300";"30";"16";"5254";"1671";"525";"293";"178";"924";"279";"68";"24";"504";"52";"736";"-";"-";"-"
