"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"158";"805";"74";"96";"6551";"158";"74";"6551";"805";"96";"277";"277";"0";"1";"0";"805074";"277";"805074";"805074"
"2";"158";"833";"7";"103";"6686";"158";"7";"6686";"833";"103";"705";"705";"0";"1";"0";"833007";"705";"833007";"833007"
"3";"158";"301";"6";"37";"5572";"158";"6";"5572";"301";"37";"786";"786";"0";"1";"0";"301006";"786";"301006";"301006"
"4";"158";"615";"3";"75";"7029";"158";"3";"7029";"615";"75";"7238";"7238";"0";"1";"0";"615003";"7238";"615003";"615003"
"5";"158";"683";"8";"77";"6242";"158";"8";"6242";"683";"77";"2662";"2662";"0";"1";"0";"683008";"2662";"683008";"683008"
"6";"158";"479";"11";"57";"5868";"158";"11";"5868";"479";"57";"738";"738";"0";"1";"0";"479011";"738";"479011";"479011"
"7";"158";"451";"2";"54";"5800";"158";"2";"5800";"451";"54";"961";"961";"0";"1";"0";"451002";"961";"451002";"451002"
"8";"158";"387";"2";"46";"5729";"158";"2";"5729";"387";"46";"853";"853";"0";"1";"0";"387002";"853";"387002";"387002"
"9";"158";"397";"8";"44";"5696";"158";"8";"5696";"397";"44";"771";"771";"0";"1";"0";"397008";"771";"397008";"397008"
"10";"158";"181";"2";"21";"6950";"158";"2";"6950";"181";"21";"2329";"2329";"0";"1";"0";"181002";"2329";"181002";"181002"
"11";"158";"781";"9";"92";"6487";"158";"9";"6487";"781";"92";"744";"744";"0";"1";"0";"781009";"744";"781009";"781009"
"12";"158";"101";"2";"15";"5114";"158";"2";"5114";"101";"15";"5236";"5236";"0";"1";"0";"101002";"5236";"101002";"101002"
"13";"158";"461";"29";"52";"5263";"158";"29";"5263";"461";"52";"4878";"4878";"0";"1";"0";"461029";"4878";"461029";"461029"
"14";"158";"151";"4";"22";"6784";"158";"4";"6784";"151";"22";"2978";"2978";"0";"1";"0";"151004";"2978";"151004";"151004"
"15";"158";"425";"4";"58";"5881";"158";"4";"5881";"425";"58";"889";"889";"0";"1";"0";"425004";"889";"425004";"425004"
"16";"158";"615";"6";"75";"6200";"158";"6";"6200";"615";"75";"9588";"9588";"0";"1";"0";"615006";"9588";"615006";"615006"
"17";"158";"421";"1";"54";"5774";"158";"1";"5774";"421";"54";"5200";"5200";"0";"1";"0";"421001";"5200";"421001";"421001"
"18";"158";"263";"5";"35";"5555";"158";"5";"5555";"263";"35";"1219";"1219";"0";"1";"0";"263005";"1219";"263005";"263005"
"19";"158";"785";"4";"90";"6438";"158";"4";"6438";"785";"90";"1377";"1377";"0";"1";"0";"785004";"1377";"785004";"785004"
"20";"158";"307";"3";"40";"6991";"158";"3";"6991";"307";"40";"1660";"1660";"0";"1";"0";"307003";"1660";"307003";"307003"
"21";"158";"657";"7";"78";"6254";"158";"7";"6254";"657";"78";"794";"794";"0";"1";"0";"657007";"794";"657007";"657007"
"22";"158";"381";"5";"45";"5353";"158";"5";"5353";"381";"45";"945";"945";"0";"1";"0";"381005";"945";"381005";"381005"
"23";"158";"101";"8";"1";"5070";"158";"8";"5070";"101";"1";"3946";"3946";"0";"1";"0";"101008";"3946";"101008";"101008"
"24";"158";"667";"9";"76";"6863";"158";"9";"6863";"667";"76";"868";"868";"0";"1";"0";"667009";"868";"667009";"667009"
"25";"158";"819";"9";"97";"6579";"158";"9";"6579";"819";"97";"261";"261";"0";"1";"0";"819009";"261";"819009";"819009"
"26";"158";"763";"3";"92";"6474";"158";"3";"6474";"763";"92";"1744";"1744";"0";"1";"0";"763003";"1744";"763003";"763003"
"27";"158";"439";"7";"53";"5758";"158";"7";"5758";"439";"53";"229";"229";"0";"1";"0";"439007";"229";"439007";"439007"
"28";"158";"731";"6";"85";"6341";"158";"6";"6341";"731";"85";"5708";"5708";"0";"1";"0";"731006";"5708";"731006";"731006"
"29";"158";"577";"6";"66";"6062";"158";"6";"6062";"577";"66";"1404";"1404";"0";"1";"0";"577006";"1404";"577006";"577006"
"30";"158";"431";"7";"58";"5888";"158";"7";"5888";"431";"58";"848";"848";"0";"1";"0";"431007";"848";"431007";"431007"
"31";"158";"207";"2";"31";"7020";"158";"2";"7020";"207";"31";"4486";"4486";"0";"1";"0";"207002";"4486";"207002";"207002"
"32";"158";"773";"9";"91";"6464";"158";"9";"6464";"773";"91";"703";"703";"0";"1";"0";"773009";"703";"773009";"773009"
"33";"158";"423";"2";"55";"5805";"158";"2";"5805";"423";"55";"269";"269";"0";"1";"0";"423002";"269";"423002";"423002"
"34";"158";"789";"2";"93";"6503";"158";"2";"6503";"789";"93";"276";"276";"0";"1";"0";"789002";"276";"789002";"789002"
"35";"158";"253";"11";"34";"6899";"158";"11";"6899";"253";"34";"5636";"5636";"0";"1";"0";"253011";"5636";"253011";"253011"
