"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2005 - Stemmeberettigede";"FV2005 - Afgivne stemmer";"FV2005 - Blanke stemmer";"FV2005 - Andre ugyldige stemmer";"FV2005 - Gyldige stemmer";"FV2005 - A. Socialdemokratiet";"FV2005 - B. Det Radikale Venstre";"FV2005 - C. Det Konservative Folkeparti";"FV2005 - D. Centrum-Demokraterne";"FV2005 - F. Socialistisk Folkeparti";"FV2005 - K. Kristendemokraterne";"FV2005 - M. Minoritetspartiet";"FV2005 - O. Dansk Folkeparti";"FV2005 - V. Venstre, Danmarks Liberale Parti";"FV2005 - Ø. Enhedslisten - De Rød-Grønne";"FV2005 - 1. Uden for partierne";"FV2005 - 2. Uden for partierne";"FV2005 - 3. Uden for partierne"
"101001";"101001";"6";"2";"1";"9231";"7544";"35";"31";"7478";"1631";"1425";"767";"84";"654";"81";"28";"754";"1366";"687";"0";"0";"1"
"101002";"101002";"6";"2";"1";"4051";"3186";"14";"8";"3164";"960";"394";"207";"44";"281";"33";"19";"464";"476";"286";"0";"0";"0"
"101003";"101003";"6";"2";"1";"16557";"13139";"59";"49";"13031";"2994";"2359";"1133";"160";"1290";"164";"88";"1344";"2276";"1222";"1";"0";"0"
"101004";"101004";"1";"1";"1";"7615";"6514";"21";"14";"6479";"1388";"1349";"447";"62";"832";"43";"36";"371";"904";"1043";"4";"-";"-"
"101005";"101005";"1";"1";"1";"3652";"2972";"25";"11";"2936";"788";"409";"137";"24";"386";"34";"16";"380";"469";"292";"1";"-";"-"
"101006";"101006";"1";"1";"1";"11110";"8663";"45";"34";"8584";"2340";"1362";"604";"77";"991";"75";"52";"1008";"1349";"724";"2";"-";"-"
"101007";"101007";"1";"1";"1";"6173";"5140";"34";"21";"5085";"1261";"951";"389";"57";"569";"39";"23";"449";"880";"460";"7";"-";"-"
"101008";"101008";"2";"1";"1";"10958";"7625";"23";"29";"7573";"1407";"1881";"786";"69";"884";"65";"34";"377";"1236";"834";"0";"-";"-"
"101009";"101009";"2";"1";"1";"6556";"5539";"36";"10";"5493";"910";"1091";"766";"63";"413";"52";"26";"339";"1401";"428";"4";"-";"-"
"101010";"101010";"2";"1";"1";"6776";"5790";"27";"18";"5745";"969";"1256";"687";"72";"628";"69";"23";"340";"1279";"421";"1";"-";"-"
"101011";"101011";"3";"1";"1";"8633";"6763";"46";"24";"6693";"1873";"866";"442";"74";"701";"93";"23";"933";"1211";"473";"4";"-";"-"
"101012";"101012";"3";"1";"1";"4202";"3508";"21";"9";"3478";"896";"451";"260";"43";"351";"46";"11";"492";"705";"223";"0";"-";"-"
"101013";"101013";"3";"1";"1";"13353";"10031";"52";"33";"9946";"3110";"1094";"558";"95";"1058";"107";"40";"1492";"1710";"674";"8";"-";"-"
"101014";"101014";"4";"1";"1";"6413";"5104";"27";"29";"5048";"1079";"1059";"296";"53";"770";"30";"44";"347";"544";"825";"1";"-";"-"
"101015";"101015";"4";"1";"1";"3708";"3204";"26";"12";"3166";"657";"716";"285";"48";"384";"53";"13";"203";"490";"316";"1";"-";"-"
"101016";"101016";"4";"1";"1";"4854";"4099";"27";"13";"4059";"814";"1024";"311";"57";"517";"40";"31";"239";"520";"503";"3";"-";"-"
"101017";"101017";"7";"2";"1";"10347";"8797";"38";"24";"8735";"1716";"1882";"1035";"83";"841";"96";"35";"578";"1590";"877";"2";"0";"0"
"101018";"101018";"7";"2";"1";"4450";"3968";"24";"2";"3942";"690";"946";"458";"36";"371";"45";"16";"202";"739";"438";"0";"0";"1"
"101019";"101019";"8";"2";"1";"8010";"6587";"42";"30";"6515";"1854";"701";"448";"64";"575";"54";"19";"1170";"1094";"531";"2";"2";"1"
"101020";"101020";"8";"2";"1";"2899";"2119";"10";"12";"2097";"844";"223";"66";"13";"180";"16";"43";"416";"148";"147";"1";"0";"0"
