"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2007 - Personlige stemmer i alt";"FV2007 - A - personlige stemmer i alt";"FV2007 - B - personlige stemmer i alt";"FV2007 - C - personlige stemmer i alt";"FV2007 - F - personlige stemmer i alt";"FV2007 - K - personlige stemmer i alt";"FV2007 - O - personlige stemmer i alt";"FV2007 - V - personlige stemmer i alt";"FV2007 - Y - personlige stemmer i alt";"FV2007 - Ø - personlige stemmer i alt";"FV2007 - UP - personlige stemmer i alt";"FV2007 - A-01";"FV2007 - A-02";"FV2007 - A-03";"FV2007 - A-04";"FV2007 - A-05";"FV2007 - A-06";"FV2007 - A-07";"FV2007 - A-08";"FV2007 - A-09";"FV2007 - A-10";"FV2007 - A-11";"FV2007 - A-12";"FV2007 - A-13";"FV2007 - B-01";"FV2007 - B-02";"FV2007 - B-03";"FV2007 - B-04";"FV2007 - B-05";"FV2007 - B-06";"FV2007 - B-07";"FV2007 - B-08";"FV2007 - B-09";"FV2007 - B-10";"FV2007 - B-11";"FV2007 - B-12";"FV2007 - C-01";"FV2007 - C-02";"FV2007 - C-03";"FV2007 - C-04";"FV2007 - C-05";"FV2007 - C-06";"FV2007 - C-07";"FV2007 - C-08";"FV2007 - C-09";"FV2007 - C-10";"FV2007 - C-11";"FV2007 - C-12";"FV2007 - C-13";"FV2007 - F-01";"FV2007 - F-02";"FV2007 - F-03";"FV2007 - F-04";"FV2007 - F-05";"FV2007 - F-06";"FV2007 - F-07";"FV2007 - F-08";"FV2007 - F-09";"FV2007 - F-10";"FV2007 - F-11";"FV2007 - F-12";"FV2007 - F-13";"FV2007 - K-01";"FV2007 - K-02";"FV2007 - K-03";"FV2007 - K-04";"FV2007 - K-05";"FV2007 - K-06";"FV2007 - K-07";"FV2007 - K-08";"FV2007 - K-09";"FV2007 - K-10";"FV2007 - K-11";"FV2007 - K-12";"FV2007 - O-01";"FV2007 - O-02";"FV2007 - O-03";"FV2007 - O-04";"FV2007 - O-05";"FV2007 - O-06";"FV2007 - O-07";"FV2007 - O-08";"FV2007 - O-09";"FV2007 - O-10";"FV2007 - O-11";"FV2007 - O-12";"FV2007 - O-13";"FV2007 - V-01";"FV2007 - V-02";"FV2007 - V-03";"FV2007 - V-04";"FV2007 - V-05";"FV2007 - V-06";"FV2007 - V-07";"FV2007 - V-08";"FV2007 - V-09";"FV2007 - V-10";"FV2007 - V-11";"FV2007 - V-12";"FV2007 - V-13";"FV2007 - Y-01";"FV2007 - Y-02";"FV2007 - Y-03";"FV2007 - Y-04";"FV2007 - Y-05";"FV2007 - Y-06";"FV2007 - Y-07";"FV2007 - Y-08";"FV2007 - Y-09";"FV2007 - Y-10";"FV2007 - Y-11";"FV2007 - Y-12";"FV2007 - Y-13";"FV2007 - Y-14";"FV2007 - Y-15";"FV2007 - Y-16";"FV2007 - Y-17";"FV2007 - Y-18";"FV2007 - Ø-01";"FV2007 - Ø-02";"FV2007 - Ø-03";"FV2007 - Ø-04";"FV2007 - Ø-05";"FV2007 - Ø-06";"FV2007 - Ø-07";"FV2007 - Ø-08";"FV2007 - Ø-09";"FV2007 - Ø-10";"FV2007 - Ø-11";"FV2007 - Ø-12";"FV2007 - UP-01";"FV2007 - UP-02";"FV2007 - UP-03";"FV2007 - UP-04";"FV2007 - UP-05"
"101011";"101011";"3";"1";"1";"3499";"1010";"351";"437";"622";"17";"168";"279";"230";"383";"2";"9";"123";"2";"9";"2";"2";"20";"1";"7";"817";"1";"17";"-";"8";"127";"62";"9";"1";"2";"1";"4";"4";"8";"3";"122";"1";"0";"2";"1";"10";"1";"63";"2";"13";"281";"5";"58";"-";"11";"153";"7";"97";"7";"25";"150";"10";"29";"124";"1";"8";"-";"1";"1";"0";"15";"0";"0";"0";"-";"-";"-";"-";"-";"4";"8";"2";"3";"138";"13";"-";"-";"-";"-";"-";"-";"-";"2";"3";"4";"58";"1";"5";"3";"164";"5";"0";"19";"15";"-";"3";"1";"5";"5";"2";"8";"1";"0";"2";"190";"0";"5";"2";"3";"1";"0";"2";"-";"233";"75";"12";"2";"12";"1";"17";"1";"21";"5";"3";"1";"0";"0";"1";"1";"0"
"101012";"101012";"3";"1";"1";"2707";"827";"271";"386";"438";"9";"131";"251";"175";"217";"2";"13";"79";"4";"6";"2";"2";"24";"4";"4";"683";"1";"5";"-";"6";"88";"46";"3";"2";"2";"1";"5";"3";"5";"2";"108";"1";"0";"4";"0";"3";"4";"61";"0";"17";"265";"1";"30";"-";"5";"96";"8";"65";"1";"15";"127";"11";"22";"87";"1";"0";"-";"2";"0";"0";"7";"0";"0";"0";"-";"-";"-";"-";"-";"1";"5";"4";"1";"105";"15";"-";"-";"-";"-";"-";"-";"-";"11";"3";"2";"45";"3";"10";"4";"143";"2";"0";"19";"9";"-";"3";"1";"5";"0";"2";"10";"5";"0";"2";"142";"1";"2";"0";"0";"1";"0";"1";"-";"144";"33";"4";"0";"5";"1";"11";"0";"12";"0";"7";"0";"0";"2";"0";"0";"0"
"101013";"101013";"3";"1";"1";"3455";"984";"288";"334";"691";"13";"154";"282";"184";"522";"3";"13";"152";"25";"7";"0";"3";"27";"8";"2";"728";"2";"17";"-";"3";"97";"67";"10";"3";"4";"1";"4";"6";"4";"0";"89";"1";"0";"0";"0";"7";"3";"52";"1";"17";"197";"5";"51";"-";"5";"140";"13";"103";"11";"22";"170";"13";"38";"162";"6";"8";"-";"1";"0";"0";"11";"1";"0";"0";"-";"-";"-";"-";"-";"2";"4";"2";"4";"126";"16";"-";"-";"-";"-";"-";"-";"-";"4";"5";"5";"46";"9";"3";"8";"163";"3";"4";"21";"11";"-";"2";"0";"4";"3";"1";"5";"2";"0";"2";"147";"2";"0";"1";"1";"2";"4";"8";"-";"319";"80";"10";"2";"6";"1";"44";"7";"39";"9";"3";"2";"0";"0";"0";"0";"3"
"101014";"101014";"3";"1";"1";"2707";"753";"236";"473";"363";"17";"150";"304";"172";"237";"2";"13";"89";"3";"4";"1";"3";"17";"10";"5";"600";"3";"5";"-";"2";"80";"42";"3";"1";"2";"1";"4";"3";"6";"4";"88";"2";"1";"0";"1";"7";"1";"70";"0";"21";"320";"2";"48";"-";"5";"85";"5";"52";"3";"13";"97";"6";"14";"76";"0";"7";"-";"0";"1";"1";"14";"0";"0";"1";"-";"-";"-";"-";"-";"2";"6";"1";"2";"128";"11";"-";"-";"-";"-";"-";"-";"-";"9";"1";"4";"47";"7";"3";"3";"168";"2";"0";"49";"11";"-";"1";"0";"5";"2";"0";"7";"7";"0";"4";"142";"1";"1";"0";"1";"1";"0";"0";"-";"145";"40";"7";"0";"1";"1";"14";"4";"19";"3";"2";"1";"0";"2";"0";"0";"0"
"101015";"101015";"3";"1";"1";"2829";"712";"238";"474";"453";"14";"138";"355";"212";"231";"2";"9";"110";"2";"5";"3";"1";"21";"1";"4";"551";"1";"4";"-";"3";"81";"42";"7";"0";"1";"1";"5";"5";"8";"4";"81";"5";"0";"6";"5";"10";"3";"56";"2";"18";"317";"2";"50";"-";"6";"144";"6";"54";"7";"8";"102";"4";"21";"97";"1";"3";"-";"0";"1";"0";"12";"0";"0";"1";"-";"-";"-";"-";"-";"2";"4";"0";"4";"117";"11";"-";"-";"-";"-";"-";"-";"-";"6";"3";"8";"46";"7";"7";"5";"197";"8";"2";"54";"12";"-";"1";"0";"6";"2";"1";"17";"4";"0";"0";"167";"0";"5";"2";"2";"0";"0";"5";"-";"140";"46";"1";"0";"6";"3";"10";"0";"24";"1";"0";"0";"0";"1";"0";"0";"1"
"101016";"101016";"4";"1";"1";"2933";"1130";"177";"177";"510";"20";"323";"242";"138";"211";"5";"10";"77";"92";"11";"6";"6";"35";"4";"2";"824";"0";"63";"-";"2";"68";"25";"8";"4";"2";"1";"1";"0";"5";"4";"57";"4";"1";"2";"1";"2";"0";"20";"4";"7";"104";"12";"20";"-";"13";"135";"11";"75";"7";"21";"60";"21";"24";"133";"2";"8";"-";"0";"3";"1";"16";"0";"0";"0";"-";"-";"-";"-";"-";"13";"22";"26";"15";"234";"13";"-";"-";"-";"-";"-";"-";"-";"3";"1";"3";"46";"1";"33";"15";"123";"4";"3";"0";"10";"-";"4";"0";"4";"5";"0";"8";"0";"0";"2";"110";"0";"1";"0";"3";"1";"0";"0";"-";"120";"44";"12";"1";"4";"2";"19";"3";"3";"3";"0";"0";"1";"1";"0";"0";"3"
"101017";"101017";"4";"1";"1";"4737";"1784";"302";"349";"901";"30";"406";"349";"211";"397";"8";"37";"123";"77";"35";"11";"5";"43";"8";"8";"1320";"7";"110";"-";"3";"100";"43";"14";"8";"4";"2";"4";"3";"4";"4";"113";"6";"1";"3";"2";"7";"5";"48";"8";"17";"178";"29";"45";"-";"17";"242";"14";"134";"5";"22";"82";"18";"57";"289";"5";"16";"-";"0";"9";"1";"18";"1";"1";"0";"-";"-";"-";"-";"-";"20";"18";"29";"21";"301";"17";"-";"-";"-";"-";"-";"-";"-";"5";"5";"6";"62";"2";"36";"12";"183";"9";"1";"12";"16";"-";"3";"0";"6";"7";"0";"15";"4";"0";"3";"161";"0";"2";"5";"1";"0";"1";"3";"-";"233";"83";"15";"0";"8";"4";"34";"5";"8";"2";"1";"4";"0";"1";"0";"0";"7"
"101018";"101018";"4";"1";"1";"3032";"1158";"175";"250";"479";"26";"340";"299";"134";"165";"6";"19";"90";"69";"9";"4";"7";"52";"6";"2";"828";"2";"70";"-";"2";"66";"20";"7";"4";"2";"0";"1";"3";"5";"3";"62";"5";"0";"0";"2";"5";"3";"43";"5";"19";"123";"16";"29";"-";"9";"132";"9";"61";"1";"26";"52";"4";"28";"150";"2";"5";"-";"2";"3";"3";"13";"1";"0";"4";"-";"-";"-";"-";"-";"18";"20";"32";"17";"241";"12";"-";"-";"-";"-";"-";"-";"-";"5";"4";"2";"61";"7";"37";"16";"148";"4";"2";"5";"8";"-";"2";"0";"1";"1";"0";"12";"3";"0";"0";"111";"1";"1";"0";"0";"1";"1";"0";"-";"82";"36";"3";"0";"5";"2";"18";"11";"5";"2";"1";"0";"1";"1";"0";"1";"3"
"101019";"101019";"4";"1";"1";"2939";"988";"196";"299";"461";"24";"302";"354";"154";"157";"4";"22";"107";"64";"10";"1";"6";"1";"9";"5";"689";"1";"73";"-";"6";"71";"17";"4";"3";"1";"1";"2";"2";"2";"0";"87";"5";"0";"0";"1";"3";"0";"44";"4";"13";"156";"23";"50";"-";"6";"128";"9";"49";"6";"17";"62";"10";"12";"155";"3";"4";"-";"0";"5";"0";"17";"0";"0";"2";"-";"-";"-";"-";"-";"15";"8";"26";"9";"228";"16";"-";"-";"-";"-";"-";"-";"-";"17";"5";"3";"46";"3";"43";"37";"174";"5";"4";"0";"17";"-";"0";"1";"6";"0";"1";"8";"0";"0";"1";"134";"0";"0";"2";"0";"0";"0";"1";"-";"87";"33";"7";"0";"5";"2";"13";"2";"5";"2";"1";"0";"0";"0";"0";"0";"4"
"101020";"101020";"5";"1";"1";"3558";"1172";"346";"225";"740";"21";"210";"149";"143";"549";"3";"32";"50";"6";"34";"38";"5";"36";"9";"10";"948";"4";"0";"-";"9";"87";"47";"9";"5";"6";"3";"11";"8";"12";"1";"148";"4";"1";"1";"2";"4";"0";"32";"0";"11";"138";"1";"31";"-";"11";"222";"10";"126";"13";"45";"65";"17";"50";"168";"3";"10";"-";"0";"2";"4";"14";"0";"0";"1";"-";"-";"-";"-";"-";"7";"23";"0";"4";"165";"11";"-";"-";"-";"-";"-";"-";"-";"13";"2";"5";"27";"2";"2";"5";"74";"6";"2";"3";"8";"-";"4";"2";"1";"1";"0";"9";"4";"1";"4";"111";"1";"1";"1";"1";"0";"0";"2";"-";"362";"123";"19";"1";"10";"9";"17";"2";"4";"0";"1";"1";"2";"1";"0";"0";"0"
