"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2007 - Personlige stemmer i alt";"FV2007 - A - personlige stemmer i alt";"FV2007 - B - personlige stemmer i alt";"FV2007 - C - personlige stemmer i alt";"FV2007 - F - personlige stemmer i alt";"FV2007 - K - personlige stemmer i alt";"FV2007 - O - personlige stemmer i alt";"FV2007 - V - personlige stemmer i alt";"FV2007 - Y - personlige stemmer i alt";"FV2007 - Ø - personlige stemmer i alt";"FV2007 - UP - personlige stemmer i alt";"FV2007 - A-01";"FV2007 - A-02";"FV2007 - A-03";"FV2007 - A-04";"FV2007 - A-05";"FV2007 - A-06";"FV2007 - A-07";"FV2007 - A-08";"FV2007 - A-09";"FV2007 - A-10";"FV2007 - A-11";"FV2007 - A-12";"FV2007 - A-13";"FV2007 - B-01";"FV2007 - B-02";"FV2007 - B-03";"FV2007 - B-04";"FV2007 - B-05";"FV2007 - B-06";"FV2007 - B-07";"FV2007 - B-08";"FV2007 - B-09";"FV2007 - B-10";"FV2007 - B-11";"FV2007 - B-12";"FV2007 - C-01";"FV2007 - C-02";"FV2007 - C-03";"FV2007 - C-04";"FV2007 - C-05";"FV2007 - C-06";"FV2007 - C-07";"FV2007 - C-08";"FV2007 - C-09";"FV2007 - C-10";"FV2007 - C-11";"FV2007 - C-12";"FV2007 - C-13";"FV2007 - F-01";"FV2007 - F-02";"FV2007 - F-03";"FV2007 - F-04";"FV2007 - F-05";"FV2007 - F-06";"FV2007 - F-07";"FV2007 - F-08";"FV2007 - F-09";"FV2007 - F-10";"FV2007 - F-11";"FV2007 - F-12";"FV2007 - F-13";"FV2007 - K-01";"FV2007 - K-02";"FV2007 - K-03";"FV2007 - K-04";"FV2007 - K-05";"FV2007 - K-06";"FV2007 - K-07";"FV2007 - K-08";"FV2007 - K-09";"FV2007 - K-10";"FV2007 - K-11";"FV2007 - K-12";"FV2007 - O-01";"FV2007 - O-02";"FV2007 - O-03";"FV2007 - O-04";"FV2007 - O-05";"FV2007 - O-06";"FV2007 - O-07";"FV2007 - O-08";"FV2007 - O-09";"FV2007 - O-10";"FV2007 - O-11";"FV2007 - O-12";"FV2007 - O-13";"FV2007 - V-01";"FV2007 - V-02";"FV2007 - V-03";"FV2007 - V-04";"FV2007 - V-05";"FV2007 - V-06";"FV2007 - V-07";"FV2007 - V-08";"FV2007 - V-09";"FV2007 - V-10";"FV2007 - V-11";"FV2007 - V-12";"FV2007 - V-13";"FV2007 - Y-01";"FV2007 - Y-02";"FV2007 - Y-03";"FV2007 - Y-04";"FV2007 - Y-05";"FV2007 - Y-06";"FV2007 - Y-07";"FV2007 - Y-08";"FV2007 - Y-09";"FV2007 - Y-10";"FV2007 - Y-11";"FV2007 - Y-12";"FV2007 - Y-13";"FV2007 - Y-14";"FV2007 - Y-15";"FV2007 - Y-16";"FV2007 - Y-17";"FV2007 - Y-18";"FV2007 - Ø-01";"FV2007 - Ø-02";"FV2007 - Ø-03";"FV2007 - Ø-04";"FV2007 - Ø-05";"FV2007 - Ø-06";"FV2007 - Ø-07";"FV2007 - Ø-08";"FV2007 - Ø-09";"FV2007 - Ø-10";"FV2007 - Ø-11";"FV2007 - Ø-12";"FV2007 - UP-01";"FV2007 - UP-02";"FV2007 - UP-03";"FV2007 - UP-04";"FV2007 - UP-05"
"265011";"265011";"36";"5";"2";"1292";"228";"55";"99";"112";"2";"203";"492";"77";"24";"-";"1";"2";"191";"6";"7";"0";"0";"0";"20";"1";"0";"0";"-";"4";"0";"0";"1";"4";"0";"41";"3";"0";"1";"1";"-";"4";"0";"4";"3";"12";"1";"19";"21";"2";"1";"1";"31";"-";"2";"2";"9";"6";"1";"0";"62";"1";"29";"0";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"1";"1";"-";"-";"-";"5";"0";"17";"0";"0";"1";"0";"1";"3";"175";"1";"0";"-";"1";"0";"3";"68";"2";"3";"137";"3";"1";"1";"273";"0";"-";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"1";"0";"0";"0";"0";"1";"53";"0";"21";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"-";"-";"-";"-";"-"
"265013";"265013";"36";"5";"2";"2195";"335";"78";"268";"116";"3";"410";"853";"114";"18";"-";"5";"1";"263";"6";"1";"15";"0";"0";"43";"0";"1";"0";"-";"8";"0";"0";"1";"10";"0";"55";"0";"0";"0";"4";"-";"8";"2";"10";"8";"89";"10";"56";"29";"3";"1";"3";"49";"-";"2";"0";"7";"9";"0";"0";"59";"0";"37";"2";"-";"-";"-";"1";"0";"0";"0";"0";"2";"0";"0";"0";"-";"-";"-";"3";"2";"23";"1";"1";"2";"0";"0";"0";"375";"1";"2";"-";"4";"2";"18";"85";"2";"1";"106";"5";"0";"3";"624";"3";"-";"3";"0";"2";"0";"0";"0";"0";"0";"19";"1";"2";"0";"0";"0";"1";"3";"83";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265014";"265014";"36";"5";"2";"993";"227";"22";"100";"48";"2";"187";"356";"37";"14";"-";"0";"0";"197";"1";"3";"9";"0";"1";"14";"2";"0";"0";"-";"3";"0";"0";"1";"1";"0";"13";"2";"0";"2";"0";"-";"4";"0";"7";"0";"27";"1";"21";"16";"1";"0";"2";"21";"-";"2";"0";"1";"6";"1";"0";"23";"0";"15";"0";"-";"-";"-";"0";"0";"1";"0";"0";"1";"0";"0";"0";"-";"-";"-";"2";"0";"13";"0";"0";"1";"0";"0";"0";"170";"0";"1";"-";"3";"2";"11";"36";"4";"0";"63";"2";"0";"2";"232";"1";"-";"0";"0";"0";"0";"0";"0";"0";"1";"6";"0";"1";"0";"0";"0";"0";"1";"27";"1";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265015";"265015";"36";"5";"2";"1454";"240";"40";"176";"49";"2";"224";"643";"70";"10";"-";"3";"0";"207";"2";"0";"2";"0";"0";"22";"1";"3";"0";"-";"5";"0";"0";"0";"2";"0";"28";"1";"0";"1";"3";"-";"3";"1";"11";"1";"54";"3";"30";"27";"1";"1";"1";"43";"-";"0";"0";"5";"2";"0";"1";"18";"0";"22";"1";"-";"-";"-";"1";"0";"0";"0";"0";"1";"0";"0";"0";"-";"-";"-";"3";"4";"15";"2";"0";"1";"1";"0";"0";"198";"0";"0";"-";"2";"1";"10";"83";"4";"3";"120";"8";"0";"0";"410";"2";"-";"0";"1";"0";"0";"0";"0";"1";"0";"10";"0";"5";"0";"1";"0";"0";"1";"51";"0";"9";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265016";"265016";"36";"5";"2";"873";"161";"22";"80";"53";"2";"128";"366";"42";"19";"-";"6";"0";"130";"1";"0";"3";"1";"0";"18";"2";"0";"0";"-";"3";"2";"1";"0";"0";"0";"15";"1";"0";"0";"0";"-";"1";"0";"0";"0";"13";"3";"23";"12";"1";"0";"0";"27";"-";"0";"1";"3";"5";"1";"0";"31";"0";"11";"1";"-";"-";"-";"0";"0";"1";"0";"0";"0";"0";"1";"0";"-";"-";"-";"3";"0";"0";"0";"1";"2";"0";"0";"0";"122";"0";"0";"-";"2";"0";"3";"53";"1";"2";"87";"6";"1";"3";"208";"0";"-";"0";"1";"1";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"1";"30";"0";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265017";"265017";"36";"5";"2";"1557";"334";"54";"155";"99";"8";"217";"634";"44";"12";"-";"5";"2";"249";"7";"0";"8";"2";"1";"58";"0";"2";"0";"-";"0";"7";"1";"1";"5";"0";"38";"1";"0";"1";"0";"-";"1";"0";"5";"0";"4";"6";"36";"37";"1";"0";"4";"61";"-";"4";"0";"6";"7";"2";"0";"52";"2";"25";"1";"-";"-";"-";"1";"0";"0";"0";"2";"5";"0";"0";"0";"-";"-";"-";"0";"0";"20";"1";"0";"3";"0";"0";"0";"189";"1";"3";"-";"3";"0";"12";"95";"9";"1";"152";"8";"0";"5";"347";"2";"-";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"2";"37";"0";"10";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265018";"265018";"36";"5";"2";"440";"67";"14";"40";"25";"1";"90";"186";"12";"5";"-";"1";"0";"36";"5";"1";"5";"4";"0";"13";"0";"2";"0";"-";"3";"0";"0";"0";"1";"0";"6";"1";"0";"3";"0";"-";"1";"0";"1";"0";"4";"0";"14";"7";"0";"0";"0";"13";"-";"1";"0";"4";"2";"0";"0";"10";"1";"7";"0";"-";"-";"-";"1";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"1";"2";"7";"0";"0";"0";"1";"0";"1";"78";"0";"0";"-";"1";"1";"3";"20";"7";"0";"31";"3";"0";"1";"118";"1";"-";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"9";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265020";"265020";"36";"5";"2";"615";"100";"21";"49";"40";"1";"75";"290";"28";"11";"-";"3";"1";"64";"2";"0";"4";"1";"0";"23";"1";"1";"0";"-";"4";"0";"0";"0";"3";"0";"12";"1";"0";"1";"0";"-";"1";"0";"0";"0";"1";"2";"7";"10";"1";"0";"1";"26";"-";"0";"0";"1";"4";"0";"0";"20";"1";"14";"0";"-";"-";"-";"0";"0";"0";"0";"1";"0";"0";"0";"0";"-";"-";"-";"1";"2";"5";"0";"1";"1";"0";"0";"0";"64";"0";"1";"-";"0";"1";"8";"36";"2";"1";"68";"4";"0";"1";"169";"0";"-";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"22";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"265021";"265021";"36";"5";"2";"686";"94";"76";"47";"135";"1";"53";"175";"39";"66";"-";"5";"0";"62";"4";"3";"3";"0";"1";"15";"0";"0";"1";"-";"13";"0";"0";"0";"8";"0";"43";"0";"0";"12";"0";"-";"3";"0";"0";"0";"4";"0";"9";"9";"0";"0";"2";"20";"-";"3";"2";"3";"51";"1";"1";"47";"1";"25";"1";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"1";"0";"-";"-";"-";"0";"0";"3";"0";"0";"0";"0";"0";"0";"49";"0";"1";"-";"0";"0";"2";"18";"0";"2";"10";"6";"0";"4";"131";"2";"-";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"35";"0";"62";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"269001";"269001";"35";"5";"2";"1623";"215";"40";"118";"91";"2";"290";"794";"56";"17";"-";"7";"0";"31";"7";"0";"12";"42";"1";"113";"2";"0";"0";"-";"4";"0";"0";"0";"4";"0";"26";"1";"5";"0";"0";"-";"1";"2";"4";"0";"22";"7";"26";"24";"2";"0";"4";"26";"-";"4";"0";"12";"6";"4";"1";"8";"23";"33";"0";"-";"-";"-";"1";"0";"0";"1";"0";"0";"0";"0";"0";"-";"-";"-";"5";"2";"0";"1";"0";"4";"0";"0";"6";"260";"12";"0";"-";"1";"1";"0";"61";"2";"0";"13";"2";"0";"0";"712";"2";"-";"1";"0";"0";"0";"0";"1";"0";"0";"4";"0";"1";"0";"0";"0";"0";"1";"47";"1";"13";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"269002";"269002";"35";"5";"2";"348";"35";"9";"25";"23";"1";"57";"185";"10";"3";"-";"0";"0";"5";"3";"0";"1";"9";"0";"17";"0";"0";"0";"-";"1";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"-";"0";"0";"0";"0";"6";"0";"10";"6";"1";"0";"0";"2";"-";"0";"0";"4";"4";"0";"1";"1";"0";"13";"0";"-";"-";"-";"0";"0";"0";"0";"0";"0";"1";"0";"0";"-";"-";"-";"1";"0";"0";"1";"0";"1";"0";"0";"0";"50";"3";"1";"-";"0";"0";"0";"18";"1";"0";"0";"0";"0";"1";"164";"1";"-";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"269003";"269003";"35";"5";"2";"290";"26";"7";"24";"14";"1";"34";"175";"8";"1";"-";"0";"1";"2";"0";"0";"0";"10";"0";"13";"0";"0";"0";"-";"1";"0";"0";"0";"2";"0";"4";"0";"0";"0";"0";"-";"0";"0";"1";"0";"6";"4";"4";"3";"1";"0";"0";"5";"-";"0";"0";"2";"1";"0";"0";"1";"0";"10";"0";"-";"-";"-";"0";"0";"0";"0";"0";"1";"0";"0";"0";"-";"-";"-";"1";"0";"0";"0";"0";"0";"0";"0";"1";"32";"0";"0";"-";"1";"0";"2";"19";"1";"0";"0";"0";"1";"0";"150";"1";"-";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"269004";"269004";"35";"5";"2";"2263";"259";"42";"141";"90";"0";"356";"1285";"74";"16";"-";"3";"1";"24";"8";"1";"11";"80";"0";"128";"1";"2";"0";"-";"6";"0";"0";"1";"2";"0";"31";"0";"0";"2";"0";"-";"4";"2";"6";"1";"26";"5";"25";"55";"2";"1";"3";"11";"-";"2";"3";"13";"15";"3";"0";"7";"17";"30";"0";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"6";"5";"4";"0";"0";"5";"0";"0";"0";"327";"9";"0";"-";"0";"0";"12";"95";"1";"0";"5";"1";"0";"2";"1158";"11";"-";"4";"1";"0";"1";"0";"0";"0";"2";"3";"0";"1";"1";"0";"0";"0";"0";"61";"0";"14";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-"
"269005";"269005";"35";"5";"2";"3372";"416";"55";"227";"152";"3";"529";"1847";"105";"38";"-";"7";"2";"35";"6";"0";"27";"100";"0";"231";"4";"4";"0";"-";"9";"0";"0";"0";"5";"1";"36";"4";"0";"0";"0";"-";"3";"2";"13";"3";"31";"20";"69";"55";"3";"1";"1";"26";"-";"2";"2";"13";"37";"6";"1";"2";"33";"53";"3";"-";"-";"-";"1";"0";"0";"0";"2";"0";"0";"0";"0";"-";"-";"-";"14";"12";"1";"3";"0";"1";"0";"2";"1";"472";"23";"0";"-";"4";"1";"9";"118";"3";"2";"4";"1";"1";"5";"1692";"7";"-";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"91";"0";"32";"1";"2";"0";"0";"1";"0";"1";"1";"0";"0";"0";"-";"-";"-";"-";"-"
"270001";"270001";"23";"3";"1";"1465";"285";"93";"124";"89";"9";"169";"617";"57";"22";"-";"3";"22";"87";"161";"5";"7";"-";"-";"-";"-";"-";"-";"-";"2";"1";"0";"1";"1";"88";"-";"-";"-";"-";"-";"-";"23";"4";"44";"1";"51";"1";"-";"-";"-";"-";"-";"-";"-";"2";"2";"0";"74";"8";"0";"3";"-";"-";"-";"-";"-";"-";"0";"1";"0";"0";"1";"2";"5";"-";"-";"-";"-";"-";"55";"44";"32";"28";"6";"4";"-";"-";"-";"-";"-";"-";"-";"17";"29";"31";"36";"128";"376";"-";"-";"-";"-";"-";"-";"-";"1";"0";"2";"0";"0";"1";"0";"0";"1";"1";"51";"-";"-";"-";"-";"-";"-";"-";"9";"1";"2";"1";"7";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270002";"270002";"23";"3";"1";"981";"182";"103";"85";"74";"8";"91";"376";"33";"29";"-";"9";"19";"69";"74";"5";"6";"-";"-";"-";"-";"-";"-";"-";"2";"3";"0";"0";"1";"97";"-";"-";"-";"-";"-";"-";"15";"4";"30";"0";"35";"1";"-";"-";"-";"-";"-";"-";"-";"5";"1";"1";"57";"2";"7";"1";"-";"-";"-";"-";"-";"-";"3";"0";"0";"0";"0";"5";"0";"-";"-";"-";"-";"-";"24";"15";"10";"18";"17";"7";"-";"-";"-";"-";"-";"-";"-";"10";"15";"22";"25";"42";"262";"-";"-";"-";"-";"-";"-";"-";"0";"2";"1";"4";"1";"0";"0";"1";"0";"0";"24";"-";"-";"-";"-";"-";"-";"-";"14";"2";"2";"0";"9";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270003";"270003";"23";"3";"1";"172";"18";"12";"27";"7";"0";"16";"81";"6";"5";"-";"0";"2";"7";"8";"0";"1";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"1";"0";"11";"-";"-";"-";"-";"-";"-";"9";"1";"11";"0";"6";"0";"-";"-";"-";"-";"-";"-";"-";"0";"1";"1";"5";"0";"0";"0";"-";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-";"3";"4";"3";"4";"1";"1";"-";"-";"-";"-";"-";"-";"-";"2";"5";"2";"13";"24";"35";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"0";"2";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270004";"270004";"23";"3";"1";"1460";"270";"110";"114";"94";"52";"116";"643";"42";"19";"-";"6";"17";"92";"151";"2";"2";"-";"-";"-";"-";"-";"-";"-";"7";"2";"1";"2";"0";"98";"-";"-";"-";"-";"-";"-";"19";"3";"44";"0";"46";"2";"-";"-";"-";"-";"-";"-";"-";"3";"5";"0";"62";"13";"2";"9";"-";"-";"-";"-";"-";"-";"1";"0";"0";"1";"0";"18";"32";"-";"-";"-";"-";"-";"37";"22";"20";"25";"7";"5";"-";"-";"-";"-";"-";"-";"-";"25";"15";"16";"34";"83";"470";"-";"-";"-";"-";"-";"-";"-";"1";"0";"1";"1";"1";"0";"1";"0";"0";"1";"36";"-";"-";"-";"-";"-";"-";"-";"7";"1";"0";"0";"10";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270005";"270005";"23";"3";"1";"726";"130";"75";"114";"30";"3";"40";"298";"30";"6";"-";"3";"11";"63";"49";"2";"2";"-";"-";"-";"-";"-";"-";"-";"0";"2";"0";"1";"0";"72";"-";"-";"-";"-";"-";"-";"21";"3";"41";"0";"49";"0";"-";"-";"-";"-";"-";"-";"-";"1";"0";"1";"21";"5";"0";"2";"-";"-";"-";"-";"-";"-";"2";"0";"0";"0";"0";"0";"1";"-";"-";"-";"-";"-";"12";"15";"3";"8";"1";"1";"-";"-";"-";"-";"-";"-";"-";"7";"14";"8";"30";"108";"131";"-";"-";"-";"-";"-";"-";"-";"1";"2";"0";"0";"1";"0";"2";"0";"0";"0";"24";"-";"-";"-";"-";"-";"-";"-";"3";"1";"0";"0";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270006";"270006";"23";"3";"1";"2081";"481";"159";"240";"122";"31";"141";"826";"49";"32";"-";"4";"42";"142";"290";"0";"3";"-";"-";"-";"-";"-";"-";"-";"4";"9";"1";"3";"2";"140";"-";"-";"-";"-";"-";"-";"47";"7";"81";"1";"103";"1";"-";"-";"-";"-";"-";"-";"-";"8";"0";"1";"93";"17";"0";"3";"-";"-";"-";"-";"-";"-";"1";"0";"2";"1";"0";"1";"26";"-";"-";"-";"-";"-";"45";"39";"13";"32";"12";"0";"-";"-";"-";"-";"-";"-";"-";"22";"33";"36";"39";"145";"551";"-";"-";"-";"-";"-";"-";"-";"1";"1";"0";"0";"1";"0";"0";"0";"3";"0";"43";"-";"-";"-";"-";"-";"-";"-";"14";"3";"1";"0";"9";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270007";"270007";"23";"3";"1";"518";"94";"50";"38";"40";"2";"36";"227";"15";"16";"-";"1";"5";"27";"58";"3";"0";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"0";"0";"48";"-";"-";"-";"-";"-";"-";"12";"0";"9";"0";"17";"0";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"38";"2";"0";"0";"-";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"2";"-";"-";"-";"-";"-";"12";"8";"5";"3";"7";"1";"-";"-";"-";"-";"-";"-";"-";"7";"10";"17";"13";"31";"149";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"13";"-";"-";"-";"-";"-";"-";"-";"2";"4";"0";"0";"8";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270008";"270008";"23";"3";"1";"2200";"518";"169";"219";"141";"26";"158";"894";"52";"23";"-";"4";"49";"220";"237";"3";"5";"-";"-";"-";"-";"-";"-";"-";"3";"8";"1";"1";"1";"155";"-";"-";"-";"-";"-";"-";"36";"4";"87";"2";"90";"0";"-";"-";"-";"-";"-";"-";"-";"4";"14";"3";"104";"10";"4";"2";"-";"-";"-";"-";"-";"-";"2";"0";"0";"0";"0";"3";"21";"-";"-";"-";"-";"-";"46";"46";"20";"30";"11";"5";"-";"-";"-";"-";"-";"-";"-";"30";"24";"23";"95";"338";"384";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"2";"2";"0";"0";"1";"0";"3";"44";"-";"-";"-";"-";"-";"-";"-";"10";"4";"2";"0";"5";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270009";"270009";"23";"3";"1";"334";"59";"31";"29";"25";"6";"23";"135";"17";"9";"-";"1";"4";"28";"24";"1";"1";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"0";"0";"30";"-";"-";"-";"-";"-";"-";"6";"2";"7";"0";"14";"0";"-";"-";"-";"-";"-";"-";"-";"1";"2";"1";"17";"4";"0";"0";"-";"-";"-";"-";"-";"-";"0";"0";"0";"1";"0";"0";"5";"-";"-";"-";"-";"-";"9";"4";"6";"2";"1";"1";"-";"-";"-";"-";"-";"-";"-";"5";"2";"7";"7";"43";"71";"-";"-";"-";"-";"-";"-";"-";"0";"1";"1";"0";"2";"0";"0";"0";"1";"2";"10";"-";"-";"-";"-";"-";"-";"-";"3";"4";"0";"0";"2";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270010";"270010";"23";"3";"1";"976";"184";"112";"92";"47";"6";"65";"401";"50";"19";"-";"1";"17";"84";"80";"0";"2";"-";"-";"-";"-";"-";"-";"-";"6";"5";"0";"0";"0";"101";"-";"-";"-";"-";"-";"-";"20";"1";"37";"0";"33";"1";"-";"-";"-";"-";"-";"-";"-";"7";"1";"0";"34";"5";"0";"0";"-";"-";"-";"-";"-";"-";"1";"0";"0";"0";"0";"0";"5";"-";"-";"-";"-";"-";"23";"20";"7";"15";"0";"0";"-";"-";"-";"-";"-";"-";"-";"6";"19";"10";"42";"152";"172";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"1";"4";"0";"1";"1";"1";"1";"40";"-";"-";"-";"-";"-";"-";"-";"6";"2";"0";"2";"8";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270011";"270011";"23";"3";"1";"893";"192";"88";"81";"59";"4";"102";"325";"29";"13";"-";"1";"23";"82";"81";"1";"4";"-";"-";"-";"-";"-";"-";"-";"3";"3";"0";"1";"1";"80";"-";"-";"-";"-";"-";"-";"6";"3";"37";"0";"33";"2";"-";"-";"-";"-";"-";"-";"-";"8";"3";"0";"37";"8";"1";"2";"-";"-";"-";"-";"-";"-";"0";"0";"0";"1";"0";"1";"2";"-";"-";"-";"-";"-";"37";"27";"14";"23";"1";"0";"-";"-";"-";"-";"-";"-";"-";"6";"18";"23";"19";"114";"145";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"0";"1";"1";"1";"0";"0";"2";"23";"-";"-";"-";"-";"-";"-";"-";"7";"2";"1";"0";"3";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270012";"270012";"23";"3";"1";"646";"121";"108";"70";"56";"1";"32";"199";"31";"28";"-";"1";"15";"47";"57";"1";"0";"-";"-";"-";"-";"-";"-";"-";"4";"3";"0";"2";"1";"98";"-";"-";"-";"-";"-";"-";"9";"0";"28";"1";"32";"0";"-";"-";"-";"-";"-";"-";"-";"8";"2";"0";"34";"10";"1";"1";"-";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"1";"-";"-";"-";"-";"-";"14";"7";"2";"9";"0";"0";"-";"-";"-";"-";"-";"-";"-";"2";"11";"13";"12";"76";"85";"-";"-";"-";"-";"-";"-";"-";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"27";"-";"-";"-";"-";"-";"-";"-";"7";"6";"0";"0";"10";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"306001";"306001";"38";"5";"2";"1516";"273";"53";"137";"127";"0";"381";"481";"50";"14";"-";"126";"3";"9";"1";"2";"15";"0";"97";"14";"3";"3";"0";"-";"6";"13";"0";"26";"4";"0";"2";"0";"1";"1";"0";"-";"1";"2";"0";"18";"0";"1";"78";"34";"1";"1";"0";"1";"-";"3";"67";"5";"3";"0";"0";"14";"0";"35";"0";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"1";"2";"0";"1";"0";"7";"0";"0";"0";"370";"0";"0";"-";"0";"5";"2";"28";"5";"206";"3";"0";"3";"3";"221";"5";"-";"1";"1";"1";"0";"9";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"34";"1";"10";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"-";"-";"-";"-";"-"
"306002";"306002";"38";"5";"2";"1379";"270";"43";"92";"128";"5";"362";"433";"31";"15";"-";"119";"0";"14";"2";"5";"18";"1";"91";"19";"0";"1";"0";"-";"5";"3";"1";"19";"7";"0";"6";"0";"1";"1";"0";"-";"0";"1";"2";"10";"0";"3";"55";"17";"1";"1";"1";"1";"-";"5";"48";"17";"7";"0";"2";"12";"0";"36";"1";"-";"-";"-";"3";"0";"0";"0";"2";"0";"0";"0";"0";"-";"-";"-";"2";"3";"0";"0";"0";"4";"2";"1";"0";"350";"0";"0";"-";"0";"2";"4";"18";"4";"181";"0";"1";"0";"1";"219";"3";"-";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"26";"0";"11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"-";"-";"-";"-";"-"
"306003";"306003";"38";"5";"2";"917";"154";"32";"46";"114";"0";"242";"294";"18";"17";"-";"74";"0";"7";"0";"0";"7";"0";"49";"16";"0";"1";"0";"-";"2";"1";"0";"24";"2";"0";"1";"1";"0";"1";"0";"-";"1";"0";"1";"9";"0";"0";"26";"7";"1";"0";"0";"1";"-";"4";"36";"11";"2";"0";"0";"12";"0";"48";"1";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"1";"0";"1";"2";"1";"4";"0";"2";"0";"231";"0";"0";"-";"1";"2";"1";"9";"4";"119";"1";"1";"0";"1";"153";"2";"-";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"11";"1";"12";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"-";"-";"-";"-";"-"
