"ValgId";"Storkreds Nr";"Parti";"Orden";"KandidatNavn";"PostNr";"By";"Erhverv";"Fødselsdag"
"275";"1";"A";"1";"Peter Hummelgaard";"";"";"";"0"
"275";"1";"A";"2";"Yildiz Akdogan";"";"";"";"0"
"275";"1";"A";"3";"Niels E. Bjerrum";"";"";"";"0"
"275";"1";"A";"4";"Claus Hasselmann";"";"";"";"0"
"275";"1";"A";"5";"Sine Heltberg";"";"";"";"0"
"275";"1";"A";"6";"Verner Sand Kirk";"";"";"";"0"
"275";"1";"A";"7";"Lone Larsen";"";"";"";"0"
"275";"1";"A";"8";"Jørgen Mørup Pedersen";"";"";"";"0"
"275";"1";"A";"9";"Lars Aslan Rasmussen";"";"";"";"0"
"275";"1";"A";"10";"Mette Reissmann";"";"";"";"0"
"275";"1";"A";"11";"Pernille Rosenkrantz-Theil";"";"";"";"0"
"275";"1";"A";"12";"Simon Simonsen";"";"";"";"0"
"275";"1";"B";"1";"Thomas Maare";"";"";"";"0"
"275";"1";"B";"2";"Ida Auken";"";"";"";"0"
"275";"1";"B";"3";"Samira Nawa";"";"";"";"0"
"275";"1";"B";"4";"Mette Annelie Rasmussen";"";"";"";"0"
"275";"1";"B";"5";"Ruben Kidde";"";"";"";"0"
"275";"1";"B";"6";"Jeppe Fransson";"";"";"";"0"
"275";"1";"B";"7";"Jens Rohde";"";"";"";"0"
"275";"1";"B";"8";"Louise Vinther Alis";"";"";"";"0"
"275";"1";"B";"9";"Rune Scharff Andreasen";"";"";"";"0"
"275";"1";"B";"10";"Andreas Pourkamali";"";"";"";"0"
"275";"1";"B";"11";"Jesper Abildgaard";"";"";"";"0"
"275";"1";"B";"12";"Lartey Lawson";"";"";"";"0"
"275";"1";"C";"1";"Caspar Stefani";"";"";"";"0"
"275";"1";"C";"2";"Katarina Ammitzbøll";"";"";"";"0"
"275";"1";"C";"3";"Lasse Vogel Andersen";"";"";"";"0"
"275";"1";"C";"4";"Helle Bonnesen";"";"";"";"0"
"275";"1";"C";"5";"Nikolaj Bøgh";"";"";"";"0"
"275";"1";"C";"6";"Marie Høgh";"";"";"";"0"
"275";"1";"C";"7";"Anders Johansson";"";"";"";"0"
"275";"1";"C";"8";"Peter Stakemann";"";"";"";"0"
"275";"1";"D";"1";"Ketil Wathne Rasmussen";"";"";"";"0"
"275";"1";"D";"2";"Tom Andkjær";"";"";"";"0"
"275";"1";"D";"3";"Cherif Tomra Ayouty";"";"";"";"0"
"275";"1";"D";"4";"Helle Rosenvig";"";"";"";"0"
"275";"1";"E";"1";"Klaus Riskær Pedersen";"";"";"";"0"
"275";"1";"E";"2";"Manja Aarslev Sørensen";"";"";"";"0"
"275";"1";"F";"1";"Pia Olsen Dyhr";"";"";"";"0"
"275";"1";"F";"2";"Carl Valentin";"";"";"";"0"
"275";"1";"F";"3";"Kasper Nordborg Kiær";"";"";"";"0"
"275";"1";"F";"4";"Halime Oguz";"";"";"";"0"
"275";"1";"F";"5";"Balder Mørk Andersen";"";"";"";"0"
"275";"1";"F";"6";"Louise Tuxen Romsdal";"";"";"";"0"
"275";"1";"F";"7";"Rasmus Steenberger";"";"";"";"0"
"275";"1";"F";"8";"Melissa Skovgaard Jensen";"";"";"";"0"
"275";"1";"F";"9";"Ebbe A. Hansen";"";"";"";"0"
"275";"1";"F";"10";"Rikke Lauritsen";"";"";"";"0"
