ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;E. Danmarks Retsforbund - K;E. Danmarks Retsforbund - T;E. Danmarks Retsforbund - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;K. Danmarks Kommunistiske Parti - K;K. Danmarks Kommunistiske Parti - T;K. Danmarks Kommunistiske Parti - I alt;M. Centrum-Demokraterne - K;M. Centrum-Demokraterne - T;M. Centrum-Demokraterne - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;R. Arbejderpartiet KAP - K;R. Arbejderpartiet KAP - T;R. Arbejderpartiet KAP - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Y. Venstresocialisterne - K;Y. Venstresocialisterne - T;Y. Venstresocialisterne - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;Valgte kandidater
152;;3;0;3;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;
152;;5;0;5;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;
152;;4;0;4;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
152;;6;2;8;1;0;1;3;0;3;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;0;0;0;0;0;0;
152;;3;0;3;0;1;1;2;0;2;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;
152;;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
152;;4;0;4;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;
152;;4;0;4;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;
152;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
152;;5;1;6;1;0;1;2;0;2;0;1;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;2;0;2;0;1;1;1;1;2;0;0;0;0;0;0;
152;;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;
152;;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;
152;;4;0;4;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;2;0;2;0;0;0;1;1;2;0;0;0;0;0;0;
152;;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;1;1;2;0;0;0;0;0;0;
152;;6;1;7;1;0;1;2;0;2;0;1;1;1;1;2;0;0;0;0;1;1;0;0;0;0;0;0;2;0;2;1;0;1;1;1;2;0;0;0;0;0;0;
152;;3;0;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;
152;;6;0;6;0;1;1;2;0;2;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;3;0;3;0;1;1;2;0;2;0;0;0;0;0;0;
152;I alt;64;4;68;3;7;10;21;1;22;0;5;5;6;5;11;0;0;0;0;6;6;0;5;5;0;0;0;22;0;22;4;2;6;15;5;20;0;0;0;0;0;0


