ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;E. Danmarks Retsforbund - K;E. Danmarks Retsforbund - T;E. Danmarks Retsforbund - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;I. Internationalen - K;I. Internationalen - T;I. Internationalen - I alt;K. Danmarks Kommunistiske Parti - K;K. Danmarks Kommunistiske Parti - T;K. Danmarks Kommunistiske Parti - I alt;L. Marxistisk-Leninistisk Parti - K;L. Marxistisk-Leninistisk Parti - T;L. Marxistisk-Leninistisk Parti - I alt;M. Centrum-Demokraterne - K;M. Centrum-Demokraterne - T;M. Centrum-Demokraterne - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Y. Venstresocialisterne - K;Y. Venstresocialisterne - T;Y. Venstresocialisterne - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;Valgte kandidater
154;;2;0;2;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;3;0;3;0;1;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
154;;2;0;2;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;5;1;6;1;0;1;5;1;6;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;
154;;3;0;3;0;1;1;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;2;0;2;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;3;0;3;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;3;1;4;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;4;1;5;1;0;1;3;1;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;
154;;3;0;3;0;0;0;3;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
154;;2;0;2;0;0;0;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;3;0;3;0;1;1;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;2;0;2;0;0;0;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
154;;5;1;6;1;0;1;4;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;
154;;3;0;3;0;1;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;;5;1;6;0;1;1;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;0;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;
154;I alt;51;5;56;3;7;10;40;2;42;0;0;0;16;5;21;0;0;0;0;0;0;0;0;0;3;5;8;1;4;5;20;2;22;0;5;5;1;5;6;0;0;0;0;0;0;0;0;0


