"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2001 - Stemmeberettigede";"FV2001 - Afgivne stemmer";"FV2001 - Blanke stemmer";"FV2001 - Andre ugyldige stemmer";"FV2001 - Gyldige stemmer";"FV2001 - A. Socialdemokratiet";"FV2001 - B. Det Radikale Venstre";"FV2001 - C. Det Konservative Folkeparti";"FV2001 - D. Centrum-Demokraterne";"FV2001 - F. Socialistisk Folkeparti";"FV2001 - O. Dansk Folkeparti";"FV2001 - Q. Kristeligt Folkeparti";"FV2001 - V. Venstre, Danmarks Liberale Parti";"FV2001 - Z. Fremskridtspartiet";"FV2001 - Ø. Enhedslisten - De Rød-Grønne";"FV2001 - 1. Uden for partierne"
"101001";"101001";"13";"2";"1";"4253";"3742";"22";"7";"3713";"996";"356";"288";"82";"489";"446";"83";"769";"9";"186";"9"
"101002";"101002";"15";"3";"1";"7323";"6105";"45";"11";"6049";"1484";"1031";"381";"174";"911";"365";"72";"908";"13";"710";"-"
"101003";"101003";"14";"3";"1";"5091";"3972";"34";"26";"3912";"1385";"222";"211";"63";"426";"678";"74";"648";"21";"184";"-"
"101004";"101004";"1";"1";"1";"7305";"6330";"33";"30";"6267";"1613";"823";"365";"137";"1055";"377";"68";"954";"20";"846";"9"
"101005";"101005";"1";"1";"1";"3684";"3069";"30";"12";"3027";"983";"227";"172";"65";"413";"378";"38";"547";"13";"191";"0"
"101006";"101006";"1";"1";"1";"11037";"8813";"54";"67";"8692";"2709";"766";"530";"199";"1097";"1050";"137";"1631";"52";"517";"4"
"101007";"101007";"8";"2";"1";"2965";"2291";"17";"11";"2263";"963";"109";"89";"27";"230";"418";"24";"241";"17";"142";"3"
"101008";"101008";"1";"1";"1";"5608";"4638";"31";"22";"4585";"1400";"475";"289";"126";"599";"461";"71";"825";"15";"320";"4"
"101010";"101010";"2";"1";"1";"11121";"7913";"46";"30";"7837";"1667";"1275";"694";"265";"1035";"439";"105";"1662";"21";"674";"0"
"101011";"101011";"16";"3";"1";"3103";"2674";"24";"12";"2638";"706";"221";"239";"68";"295";"271";"44";"647";"9";"138";"-"
"101012";"101012";"4";"1";"1";"3816";"3365";"28";"10";"3327";"798";"513";"269";"106";"446";"214";"68";"617";"16";"279";"1"
"101014";"101014";"4";"1";"1";"4990";"4257";"31";"26";"4200";"1114";"680";"278";"121";"605";"229";"60";"663";"15";"435";"0"
"101016";"101016";"4";"1";"1";"6478";"5290";"38";"25";"5227";"1321";"646";"269";"127";"891";"386";"76";"763";"12";"735";"1"
"101018";"101018";"7";"2";"1";"10471";"8624";"50";"15";"8559";"1829";"1301";"776";"234";"1117";"556";"171";"1984";"23";"549";"19"
"101020";"101020";"7";"2";"1";"4501";"4068";"27";"6";"4035";"805";"737";"393";"105";"510";"202";"75";"916";"10";"272";"10"
"101022";"101022";"2";"1";"1";"6698";"5942";"35";"29";"5878";"1139";"897";"631";"190";"686";"384";"90";"1467";"18";"372";"4"
"101024";"101024";"2";"1";"1";"6704";"5810";"36";"8";"5766";"1120";"725";"680";"180";"600";"319";"83";"1690";"18";"350";"1"
"101026";"101026";"5";"1";"1";"14417";"11572";"89";"35";"11448";"3324";"1037";"669";"299";"1493";"1436";"210";"2271";"47";"657";"5"
"101028";"101028";"5";"1";"1";"9642";"7792";"58";"23";"7711";"2445";"577";"421";"164";"931";"1069";"104";"1545";"31";"421";"3"
"101030";"101030";"9";"2";"1";"13738";"11859";"63";"38";"11758";"2760";"1720";"949";"323";"1432";"720";"234";"2766";"26";"805";"23"
"101032";"101032";"10";"2";"1";"7019";"5736";"34";"16";"5686";"1512";"948";"302";"168";"883";"453";"73";"797";"18";"525";"7"
"101034";"101034";"10";"2";"1";"3156";"2464";"23";"20";"2421";"598";"406";"137";"68";"386";"151";"20";"355";"6";"292";"2"
"101036";"101036";"11";"2";"1";"10139";"8307";"56";"31";"8220";"2185";"1190";"437";"251";"1222";"731";"119";"1279";"26";"770";"10"
"101038";"101038";"11";"2";"1";"5317";"4504";"35";"17";"4452";"1243";"577";"252";"96";"634";"413";"65";"686";"14";"467";"5"
"101040";"101040";"11";"2";"1";"10064";"7985";"64";"42";"7879";"2383";"737";"505";"211";"850";"1086";"115";"1511";"33";"436";"12"
"101042";"101042";"15";"3";"1";"7277";"5972";"38";"23";"5911";"1623";"820";"314";"138";"967";"435";"46";"879";"18";"671";"-"
"101044";"101044";"15";"3";"1";"6440";"5471";"26";"22";"5423";"1414";"871";"282";"150";"875";"366";"75";"754";"17";"619";"-"
"101046";"101046";"16";"3";"1";"2976";"2322";"20";"15";"2287";"785";"194";"142";"54";"271";"296";"48";"333";"15";"149";"-"
"101048";"101048";"16";"3";"1";"5171";"4332";"35";"16";"4281";"1243";"552";"186";"84";"644";"406";"54";"489";"17";"606";"-"
"101050";"101050";"16";"3";"1";"3971";"3284";"10";"19";"3255";"1048";"224";"184";"63";"424";"444";"43";"583";"9";"233";"-"
"101052";"101052";"12";"2";"1";"15313";"11656";"103";"83";"11470";"3661";"943";"717";"221";"1221";"1668";"208";"2161";"36";"612";"22"
"101054";"101054";"12";"2";"1";"4520";"3716";"29";"8";"3679";"1108";"355";"292";"95";"396";"444";"92";"672";"11";"208";"6"
"101056";"101056";"8";"2";"1";"4334";"3721";"22";"15";"3684";"1125";"375";"207";"66";"480";"485";"61";"635";"17";"228";"5"
"101058";"101058";"8";"2";"1";"6417";"5121";"32";"39";"5050";"1731";"368";"337";"83";"562";"792";"68";"839";"13";"252";"5"
"101060";"101060";"13";"2";"1";"5188";"4438";"35";"18";"4385";"1298";"302";"321";"88";"498";"682";"68";"873";"14";"233";"8"
"101062";"101062";"8";"2";"1";"8178";"6948";"49";"20";"6879";"2234";"468";"442";"124";"735";"1201";"103";"1198";"30";"333";"11"
"101064";"101064";"13";"2";"1";"11000";"9368";"64";"31";"9273";"2678";"871";"758";"198";"1040";"1117";"153";"2003";"33";"407";"15"
"101066";"101066";"13";"2";"1";"4670";"3897";"26";"3";"3868";"1088";"377";"314";"73";"398";"460";"68";"894";"13";"176";"7"
"101068";"101068";"6";"2";"1";"9385";"7969";"42";"18";"7909";"2137";"886";"663";"191";"870";"757";"140";"1765";"22";"469";"9"
"101070";"101070";"6";"2";"1";"4062";"3372";"18";"5";"3349";"1168";"259";"180";"58";"356";"477";"69";"543";"14";"218";"7"
"101072";"101072";"6";"2";"1";"16494";"13247";"86";"49";"13112";"3519";"1533";"996";"362";"1519";"1354";"257";"2811";"21";"717";"23"
"101074";"101074";"3";"1";"1";"8773";"7055";"53";"30";"6972";"2248";"449";"458";"122";"741";"1017";"141";"1410";"38";"346";"2"
"101076";"101076";"3";"1";"1";"4269";"3652";"17";"7";"3628";"1129";"211";"245";"83";"374";"514";"70";"809";"15";"174";"4"
"101078";"101078";"3";"1";"1";"13529";"10510";"65";"49";"10396";"3573";"636";"593";"182";"1191";"1579";"146";"1879";"56";"553";"8"
"101080";"101080";"14";"3";"1";"6647";"5712";"46";"25";"5641";"1725";"432";"447";"122";"736";"679";"92";"1048";"10";"350";"-"
"101082";"101082";"14";"3";"1";"4974";"4063";"30";"15";"4018";"1402";"251";"279";"68";"484";"475";"48";"728";"22";"261";"-"
"101084";"101084";"14";"3";"1";"4901";"3979";"29";"18";"3932";"1430";"200";"230";"74";"377";"674";"50";"730";"22";"145";"-"
"101086";"101086";"9";"2";"1";"5708";"4923";"34";"23";"4866";"1036";"567";"521";"128";"414";"465";"100";"1392";"19";"208";"16"
"101088";"101088";"14";"3";"1";"4560";"3830";"34";"9";"3787";"1092";"273";"307";"88";"447";"480";"81";"818";"11";"190";"-"
"101090";"101090";"10";"2";"1";"9321";"7451";"73";"30";"7348";"1859";"1007";"499";"231";"1045";"641";"112";"1294";"27";"626";"7"
"101092";"101092";"11";"2";"1";"1987";"1777";"7";"3";"1767";"559";"162";"110";"30";"213";"209";"38";"334";"1";"111";"0"
"101094";"101094";"16";"3";"1";"8851";"6968";"61";"48";"6859";"2389";"391";"339";"121";"766";"1120";"83";"1060";"47";"543";"-"
"101096";"101096";"13";"2";"1";"3414";"2877";"21";"4";"2852";"806";"283";"213";"67";"303";"322";"51";"622";"13";"168";"4"
"101098";"101098";"13";"2";"1";"4536";"3952";"29";"12";"3911";"1052";"363";"324";"89";"485";"456";"75";"839";"15";"210";"3"
"147001";"147001";"17";"3";"1";"8031";"7109";"44";"22";"7043";"1570";"927";"1149";"177";"657";"474";"110";"1568";"24";"387";"-"
"147002";"147002";"17";"3";"1";"8215";"7254";"39";"29";"7186";"1542";"868";"1349";"176";"590";"497";"97";"1722";"16";"329";"-"
"147003";"147003";"18";"3";"1";"9227";"7866";"38";"32";"7796";"2122";"669";"1241";"187";"655";"852";"113";"1604";"26";"327";"-"
