"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"31";"575";"66";"55";"7910";"31";"66";"7910";"575";"55";"1076";"1076";"0";"1";"0";"575066";"1076";"575066";"575066"
"2";"31";"219";"5";"23";"8581";"31";"5";"8581";"219";"23";"1703";"1703";"0";"1";"0";"219005";"1703";"219005";"219005"
"3";"31";"746";"5";"70";"8203";"31";"5";"8203";"746";"70";"2077";"2077";"0";"1";"0";"746005";"2077";"746005";"746005"
"4";"31";"820";"3";"88";"9315";"31";"3";"9315";"820";"88";"573";"573";"0";"1";"0";"820003";"573";"820003";"820003"
"5";"31";"167";"8";"17";"8326";"31";"8";"8326";"167";"17";"5281";"5281";"0";"1";"0";"167008";"5281";"167008";"167008"
"6";"31";"217";"2";"21";"8562";"31";"2";"8562";"217";"21";"10139";"10139";"0";"1";"0";"217002";"10139";"217002";"217002"
"7";"31";"766";"8";"72";"9103";"31";"8";"9103";"766";"72";"523";"523";"0";"1";"0";"766008";"523";"766008";"766008"
"8";"31";"320";"6";"33";"8669";"31";"6";"8669";"320";"33";"2696";"2696";"0";"1";"0";"320006";"2696";"320006";"320006"
"9";"31";"766";"17";"72";"9111";"31";"17";"9111";"766";"72";"1006";"1006";"0";"1";"0";"766017";"1006";"766017";"766017"
"10";"31";"671";"11";"73";"7943";"31";"11";"7943";"671";"73";"231";"231";"0";"1";"0";"671011";"231";"671011";"671011"
"11";"31";"561";"15";"52";"8420";"31";"15";"8420";"561";"52";"5640";"5640";"0";"1";"0";"561015";"5640";"561015";"561015"
"12";"31";"510";"16";"61";"8980";"31";"16";"8980";"510";"61";"372";"372";"0";"1";"0";"510016";"372";"510016";"510016"
"13";"31";"573";"8";"54";"8923";"31";"8";"8923";"573";"54";"870";"870";"0";"1";"0";"573008";"870";"573008";"573008"
"14";"31";"510";"31";"61";"8992";"31";"31";"8992";"510";"61";"453";"453";"0";"1";"0";"510031";"453";"510031";"510031"
"15";"31";"813";"18";"84";"9210";"31";"18";"9210";"813";"84";"412";"412";"0";"1";"0";"813018";"412";"813018";"813018"
"16";"31";"230";"16";"26";"8298";"31";"16";"8298";"230";"26";"4047";"4047";"0";"1";"0";"230016";"4047";"230016";"230016"
"17";"31";"159";"10";"15";"8292";"31";"10";"8292";"159";"15";"4683";"4683";"0";"1";"0";"159010";"4683";"159010";"159010"
"18";"31";"165";"3";"19";"8182";"31";"3";"8182";"165";"19";"3478";"3478";"0";"1";"0";"165003";"3478";"165003";"165003"
"19";"31";"751";"66";"62";"9006";"31";"66";"9006";"751";"62";"4451";"4451";"0";"1";"0";"751066";"4451";"751066";"751066"
"20";"31";"561";"24";"53";"8428";"31";"24";"8428";"561";"53";"2823";"2823";"0";"1";"0";"561024";"2823";"561024";"561024"
"21";"31";"101";"5";"1";"8331";"31";"5";"8331";"101";"1";"12052";"12052";"0";"1";"0";"101005";"12052";"101005";"101005"
"22";"31";"760";"35";"83";"9192";"31";"35";"9192";"760";"83";"1722";"1722";"0";"1";"0";"760035";"1722";"760035";"760035"
"23";"31";"580";"15";"50";"7894";"31";"15";"7894";"580";"50";"690";"690";"0";"1";"0";"580015";"690";"580015";"580015"
"24";"31";"201";"4";"26";"8397";"31";"4";"8397";"201";"26";"3727";"3727";"0";"1";"0";"201004";"3727";"201004";"201004"
"25";"31";"710";"2";"69";"9066";"31";"2";"9066";"710";"69";"2671";"2671";"0";"1";"0";"710002";"2671";"710002";"710002"
"26";"31";"580";"11";"50";"8047";"31";"11";"8047";"580";"50";"256";"256";"0";"1";"0";"580011";"256";"580011";"580011"
"27";"31";"607";"6";"58";"8433";"31";"6";"8433";"607";"58";"7870";"7870";"0";"1";"0";"607006";"7870";"607006";"607006"
"28";"31";"846";"4";"89";"9334";"31";"4";"9334";"846";"89";"2001";"2001";"0";"1";"0";"846004";"2001";"846004";"846004"
"29";"31";"561";"8";"53";"8423";"31";"8";"8423";"561";"53";"1425";"1425";"0";"1";"0";"561008";"1425";"561008";"561008"
"30";"31";"376";"14";"30";"8640";"31";"14";"8640";"376";"30";"2053";"2053";"0";"1";"0";"376014";"2053";"376014";"376014"
"31";"31";"851";"10";"92";"8175";"31";"10";"8175";"851";"92";"1324";"1324";"0";"1";"0";"851010";"1324";"851010";"851010"
