"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1988 - Stemmeberettigede";"FV1988 - Afgivne stemmer";"FV1988 - Blanke stemmer";"FV1988 - Andre ugyldige stemmer";"FV1988 - Gyldige stemmer";"FV1988 - A. Socialdemokratiet";"FV1988 - B. Det Radikale Venstre";"FV1988 - C. Det Konservative Folkeparti";"FV1988 - F. Socialistisk Folkeparti";"FV1988 - G. De Grønne";"FV1988 - K. Danmarks Kommunistiske Parti";"FV1988 - M. Centrum-Demokraterne";"FV1988 - P. Fælles Kurs";"FV1988 - Q. Kristeligt Folkeparti";"FV1988 - V. Venstre, Danmarks Liberale Parti";"FV1988 - Y. Venstresocialisterne";"FV1988 - Z. Fremskridtspartiet";"FV1988 - 1. Uden for partierne";"FV1988 - 2. Uden for partierne";"FV1988 - 3. Uden for partierne"
"101001";"101001";"13";"2";"1";"4387";"3786";"17";"1";"3768";"975";"206";"741";"925";"76";"62";"174";"75";"45";"157";"75";"257";"-";"-";"-"
"101002";"101002";"15";"3";"1";"7198";"5506";"24";"13";"5469";"1466";"272";"603";"1775";"170";"159";"113";"194";"44";"153";"242";"278";"-";"-";"-"
"101003";"101003";"14";"3";"1";"5333";"4418";"30";"26";"4362";"1921";"152";"463";"986";"40";"61";"104";"179";"60";"100";"43";"253";"-";"-";"-"
"101004";"101004";"1";"1";"1";"6689";"5456";"29";"11";"5416";"1139";"372";"698";"1758";"200";"173";"113";"187";"17";"218";"330";"211";"-";"-";"-"
"101005";"101005";"1";"1";"1";"3683";"2980";"14";"6";"2960";"799";"216";"391";"781";"91";"47";"126";"97";"32";"155";"59";"166";"-";"-";"-"
"101006";"101006";"1";"1";"1";"11130";"8830";"35";"20";"8775";"2835";"494";"1302";"2266";"159";"198";"228";"285";"80";"261";"155";"512";"-";"-";"-"
"101007";"101007";"8";"2";"1";"3473";"2910";"10";"14";"2886";"1189";"65";"188";"933";"45";"53";"44";"115";"23";"53";"33";"145";"-";"-";"-"
"101008";"101008";"1";"1";"1";"5611";"4506";"25";"11";"4470";"1508";"193";"546";"1264";"123";"92";"101";"155";"34";"127";"100";"227";"-";"-";"-"
"101010";"101010";"2";"1";"1";"7579";"6169";"48";"12";"6109";"1129";"491";"1215";"1608";"260";"150";"154";"108";"57";"367";"269";"301";"-";"-";"-"
"101011";"101011";"16";"3";"1";"3193";"2609";"17";"2";"2590";"790";"168";"548";"472";"47";"36";"86";"72";"41";"105";"52";"173";"-";"-";"-"
"101012";"101012";"4";"1";"1";"3957";"3273";"15";"6";"3252";"721";"230";"564";"916";"98";"97";"84";"78";"47";"150";"124";"143";"-";"-";"-"
