ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;D. Centrum-Demokraterne - K;D. Centrum-Demokraterne - T;D. Centrum-Demokraterne - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;K. Kristendemokraterne - K;K. Kristendemokraterne - T;K. Kristendemokraterne - I alt;M. Minoritetspartiet - K;M. Minoritetspartiet - T;M. Minoritetspartiet - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;Valgte kandidater
196;Sønderjyllands Amtskreds;2;0;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;A. Frode Sørensen (6010,5532,11542), A. Lise von Seelen (3057,3374,6431), B. Bente Dahl (985,3386,4371), C. Allan Niebuhr (1369,1878,3247), O. Søren Krarup (3343,7039,10382), V. Hans Chr. Schmidt (10274,6174,16448), V. Peter Christensen (7454,4520,11974), V. Ellen Trane Nørby (5089,3505,8594)
196;Ribe Amtskreds;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;A. Kim Mortensen (11174,7739,18913), A. Troels Ravn (4050,2798,6848), O. Karin Nødgaard (3301,6160,9461), V. Ulla Tørnæs (8976,6359,15335), V. Preben Rudiengaard (9241,5442,14683), V. Kurt Kirkegaard (7584,4201,11785)
196;Vejle Amtskreds;2;1;3;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;2;0;2;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;A. Jan Trøjborg (10519,9113,19632), A. Karen J. Klint (5338,5412,10750), A. Lissa Mathiasen (4625,5227,9852), B. Elsebeth Gerner Nielsen (5475,7012,12487), C. Flemming Hansen (3913,5380,9293), F. Villy Søvndal (6838,3735,10573), O. Jørn Dohrmann (3884,9426,13310), O. Hans Kristian Skibby (2912,7169,10081), V. Eva Kjer Hansen (12998,16077,29075), V. Troels Lund Poulsen (9534,8565,18099), V. Jens Vibjerg (5176,4154,9330), V. Irene Simonsen (4100,4780,8880)
196;Ringkøbing Amtskreds;2;0;2;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;A. Mogens Jensen (7442,5923,13365), A. Jens Peter Vernersen (5583,4866,10449), B. Johs. Poulsen (2955,3456,6411), C. Per Ørum Jørgensen (1959,2752,4711), F. Kristen Touborg (3420,1806,5226), O. Christian H. Hansen (4868,8236,13104), V. Søren Gade (19161,6526,25687), V. Kristian Jensen (16988,8027,25015), V. Jens Kirk (8329,3974,12303), V. Hanne Severinsen (4637,2550,7187)
196;Århus Amtskreds;5;2;7;2;0;2;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;2;1;3;4;2;6;0;1;1;0;0;0;0;0;0;0;0;0;A. Svend Auken (35978,21993,57971), A. Anne-Marie Meldgaard (5816,3438,9254), A. René Skau Björnsson (5878,3345,9223), A. Jan Petersen (6486,2668,9154), A. Kirsten Brosbøl (5767,3222,8989), A. Torben Hansen (4854,3596,8450), A. Hüseyin Arac (4195,2454,6649), B. Elisabeth Arnold (5884,12274,18158), B. Morten Østergaard (3007,6012,9019), C. Henriette Kjær (13097,10418,23515), C. Tom Behnke (2821,2246,5067), F. Morten Homann (P 2271,10359,12630), O. Birthe Skaarup (5802,11962,17764), O. Morten Messerschmidt (3812,7436,11248), O. Kim Christiansen (1048,2247,3295), V. Anne-Mette Winther Christiansen (9623,11215,20838), V. Jørgen Winther (8408,11353,19761), V. Michael Aastrup Jensen (8835,10019,18854), V. Kim Andersen (6611,8701,15312), V. Leif Mikkelsen (4676,6288,10964), V. Eyvind Vesselbo (3087,5035,8122), Ø. Frank Aaen (P 5726,1850,7576)
196;Viborg Amtskreds;2;0;2;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;A. Pernille Blach Hansen (13216,6320,19536), A. Jens Chr. Lund (6833,3252,10085), B. Poul Erik Christensen (1290,1774,3064), F. Steen Gade (3001,1908,4909), O. Jesper Langballe (2566,5766,8332), V. Inger Støjberg (10557,6660,17217), V. Kristian Pihl Lorentzen (7535,8032,15567), V. Torsten Schack Pedersen (6501,3272,9773)
196;Nordjyllands Amtskreds;4;2;6;1;0;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;2;0;2;4;1;5;0;1;1;0;0;0;0;0;0;0;0;0;A. Frank Jensen (21876,14116,35992), A. Bjarne Laustsen (10044,6151,16195), A. Arne Toft (6958,3682,10640), A. Ole Stavad (5116,3217,8333), A. Lene Hansen (4721,3070,7791), A. Rasmus Prehn (3937,2741,6678), B. Marianne Jelved (12348,7560,19908), C. Lene Espersen (25762,6554,32316), C. Jakob Axel Nielsen (671,235,906), F. Pernille Vigsø Bagge (1015,1745,2760), O. Bent Bøgsted (3617,7920,11537), O. Anita Knakkergaard (2490,5593,8083), V. Christian Mejdahl (18285,11853,30138), V. Inge-Lene Ebdrup (11211,8935,20146), V. Tina Nedergaard (5726,3961,9687), V. Helge Sander (4690,4664,9354), V. Birgitte Josefsen (3556,2795,6351), Ø. Per Clausen (P 715,2670,3385)
196;I alt;40;7;47;11;6;17;14;4;18;0;0;0;4;7;11;0;0;0;0;0;0;19;5;24;46;6;52;1;5;6;0;0;0;0;0;0;0;0;0


