ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;D. Centrum-Demokraterne - K;D. Centrum-Demokraterne - T;D. Centrum-Demokraterne - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;K. Kristendemokraterne - K;K. Kristendemokraterne - T;K. Kristendemokraterne - I alt;M. Minoritetspartiet - K;M. Minoritetspartiet - T;M. Minoritetspartiet - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;Valgte kandidater
196;Søndre Storkreds;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Christine Antorini (5306,6598,11904), B. Charlotte Fischer (1673,5498,7171), F. Kamal H. Qureshi (3813,4115,7928), V. Jens Rohde (4637,6043,10680)
196;Østre Storkreds;2;0;2;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;A. Helle Thorning-Schmidt (4591,7549,12140), A. Jytte Andersen (2771,4801,7572), B. Naser Khader (7403,11085,18488), C. Helle Sjelle (2015,4634,6649), F. Anne Grete Holmsgaard (2605,4836,7441), O. Peter Skaarup (5591,8162,13753), V. Søren Pind (4442,9109,13551), Ø. Pernille Rosenkrantz-Theil (P 10967,0,10967)
196;Vestre Storkreds;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;A. Pia Gjellerup (4183,5639,9822), B. Lone Dybkjær (6235,7475,13710), C. Per Stig Møller (6565,4830,11395), O. Martin Henriksen (1112,3849,4961), V. Rikke Hvilshøj (2199,8940,11139), Ø. Jørgen Arbo-Bæhr (P 191,4416,4607)
196;Københavns Amtskreds;4;1;5;1;1;2;2;1;3;0;0;0;1;0;1;0;0;0;0;0;0;2;1;3;4;1;5;0;1;1;0;0;0;0;0;0;0;0;0;A. Mogens Lykketoft (24361,14104,38465), A. Mette Frederiksen (18219,9091,27310), A. Karen Hækkerup (7112,3978,11090), A. Morten Bødskov (5639,2983,8622), A. Per Kaalund (2923,1827,4750), B. Morten Helveg Petersen (7447,11664,19111), B. Elisabeth Geday (1626,2417,4043), C. Connie Hedegaard (25853,8844,34697), C. Pia Christmas-Møller (4993,1793,6786), C. Charlotte Dyremose (3129,1068,4197), F. Holger K. Nielsen (P 8227,3539,11766), O. Pia Kjærsgaard (38347,14393,52740), O. Søren Espersen (747,284,1031), O. Mikkel Dencker (646,245,891), V. Anders Fogh Rasmussen (61792,19980,81772), V. Claus Hjort Frederiksen (3064,914,3978), V. Gitte Lillelund Bech (1534,555,2089), V. Pia Larsen (995,400,1395), V. Marion Pedersen (924,334,1258), Ø. Line Barfod (P 3592,3436,7028)
196;Frederiksborg Amtskreds;2;0;2;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;A. Lone Møller (9360,9542,18902), A. Klaus Hækkerup (8143,8144,16287), B. Margrethe Vestager (17214,7967,25181), C. Lars Barfoed (5362,6102,11464), F. Poul Henrik Hedeboe (P 698,5497,6195), O. Louise Frevert (7948,13991,21939), O. Walter Christophersen (1288,2174,3462), V. Lars Løkke Rasmussen (29055,22941,51996), V. Charlotte Antonsen (5259,4265,9524), V. Thor Pedersen (3568,2917,6485), V. Hans Andersen (2979,2556,5535)
196;Roskilde Amtskreds;2;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;A. Henrik Sass Larsen (7110,8320,15430), A. Mette Gjerskov (4929,7401,12330), B. Martin Lidegaard (1664,3479,5143), C. Christian Wedell-Neergaard (2594,5381,7975), O. Pia Kristensen (4341,11644,15985), V. Birthe Rønn Hornbech (13601,17336,30937), V. Jens Hald Madsen (4605,4636,9241), V. Flemming Damgaard Larsen (4382,4731,9113)
196;Vestsjællands Amtskreds;2;0;2;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;A. Sandy Brinck (8807,8348,17155), A. Thomas Adelskov (5771,5938,11709), B. Ole Glahn (2377,4282,6659), C. Brian Mikkelsen (5542,5677,11219), F. Ole Sohn (3621,3344,6965), O. Poul Nødgaard (3465,8928,12393), O. Mia Falkenberg (1999,5515,7514), V. Bertel Haarder (17411,12798,30209), V. Troels Christensen (4171,3232,7403), V. Jacob Jensen (4104,2907,7011)
196;Storstrøms Amtskreds;3;0;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;A. Lene Jensen (7321,6604,13925), A. Magnus Heunicke (6563,6487,13050), A. Jytte Wittrock (4347,3569,7916), B. Simon Emil Ammitzbøll (1771,5107,6878), C. Helge Adam Møller (8264,3926,12190), O. Colette Brix (3807,8843,12650), V. Karsten Nonbo (5370,6266,11636), V. Svend Erik Hovmand (6034,5353,11387)
196;Bornholms Amtskreds;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;A. Jeppe Kofod (7044,1660,8704), V. Joan Erlandsen (4031,997,5028)
196;Fyns Amtskreds;3;1;4;1;0;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;2;0;2;3;0;3;0;1;1;0;0;0;0;0;0;0;0;0;A. Lotte Bundsgaard (26614,20891,47505), A. Carsten Hansen (5547,4426,9973), A. Niels Sindal (4937,4217,9154), A. Poul Andersen (3017,2416,5433), B. Niels Helveg Petersen (5914,9415,15329), C. Bendt Bendtsen (26004,7968,33972), C. Carina Christensen (3199,969,4168), F. Anne Baastrup (5141,5828,10969), O. Kristian Thulesen Dahl (13959,15510,29469), O. Tina Petersen (1286,1395,2681), V. Britta Schall Holberg (6134,7533,13667), V. Lars Chr. Lilleholt (4935,7728,12663), V. Erling Bonnesen (5964,6573,12537), Ø. Rune Lund (P 1155,3344,4499)
