"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A. Socialdemokratiet";"Socialdemokratiet";"A";"1"
"B. Det Radikale Venstre";"Radikale Venstre";"B";"2"
"C. Det Konservative Folkeparti";"Konservative Folkeparti";"C";"3"
"D. Centrum-Demokraterne";"Centrum-Demokraterne";"D";"4"
"E. Danmarks Retsforbund";"Retsforbundet";"E";"5"
"F. Socialistisk Folkeparti";"Socialistisk Folkeparti";"F";"6"
"G. De Grønne";"De Grønne";"G";"7"
"H. Det Humanistiske Parti";"Humanistisk Parti";"H";"8"
"P. Fælles Kurs";"Fælles Kurs";"P";"9"
"Q. Kristeligt Folkeparti";"Kristeligt Folkeparti";"Q";"10"
"V. Venstre, Danmarks Liberale Parti";"Venstre";"V";"11"
"Z. Fremskridtspartiet";"Fremskridtspartiet";"Z";"12"
"Ø. Enhedslisten";"Enhedslisten";"Ø";"13"
"1. Uden for partierne";"Uden for partierne";"1";"14"
"2. Uden for partierne";"Uden for partierne";"2";"15"
