"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2011 - Personlige stemmer i alt";"FV2011 - A - personlige stemmer i alt";"FV2011 - B - personlige stemmer i alt";"FV2011 - C - personlige stemmer i alt";"FV2011 - F - personlige stemmer i alt";"FV2011 - I - personlige stemmer i alt";"FV2011 - K - personlige stemmer i alt";"FV2011 - O - personlige stemmer i alt";"FV2011 - V - personlige stemmer i alt";"FV2011 - Ø - personlige stemmer i alt";"FV2011 - UP - personlige stemmer i alt";"FV2011 - A-01";"FV2011 - A-02";"FV2011 - A-03";"FV2011 - A-04";"FV2011 - A-05";"FV2011 - A-06";"FV2011 - A-07";"FV2011 - A-08";"FV2011 - A-09";"FV2011 - A-10";"FV2011 - A-11";"FV2011 - A-12";"FV2011 - A-13";"FV2011 - B-01";"FV2011 - B-02";"FV2011 - B-03";"FV2011 - B-04";"FV2011 - B-05";"FV2011 - B-06";"FV2011 - B-07";"FV2011 - B-08";"FV2011 - B-09";"FV2011 - B-10";"FV2011 - B-11";"FV2011 - B-12";"FV2011 - C-01";"FV2011 - C-02";"FV2011 - C-03";"FV2011 - C-04";"FV2011 - C-05";"FV2011 - C-06";"FV2011 - C-07";"FV2011 - C-08";"FV2011 - C-09";"FV2011 - C-10";"FV2011 - C-11";"FV2011 - C-12";"FV2011 - C-13";"FV2011 - F-01";"FV2011 - F-02";"FV2011 - F-03";"FV2011 - F-04";"FV2011 - F-05";"FV2011 - F-06";"FV2011 - F-07";"FV2011 - F-08";"FV2011 - F-09";"FV2011 - F-10";"FV2011 - F-11";"FV2011 - F-12";"FV2011 - F-13";"FV2011 - I-01";"FV2011 - I-02";"FV2011 - I-03";"FV2011 - I-04";"FV2011 - I-05";"FV2011 - I-06";"FV2011 - I-07";"FV2011 - I-08";"FV2011 - I-09";"FV2011 - I-10";"FV2011 - I-11";"FV2011 - I-12";"FV2011 - K-01";"FV2011 - K-02";"FV2011 - K-03";"FV2011 - K-04";"FV2011 - K-05";"FV2011 - K-06";"FV2011 - K-07";"FV2011 - K-08";"FV2011 - K-09";"FV2011 - K-10";"FV2011 - K-11";"FV2011 - K-12";"FV2011 - K-13";"FV2011 - O-01";"FV2011 - O-02";"FV2011 - O-03";"FV2011 - O-04";"FV2011 - O-05";"FV2011 - O-06";"FV2011 - O-07";"FV2011 - O-08";"FV2011 - O-09";"FV2011 - O-10";"FV2011 - O-11";"FV2011 - O-12";"FV2011 - O-13";"FV2011 - V-01";"FV2011 - V-02";"FV2011 - V-03";"FV2011 - V-04";"FV2011 - V-05";"FV2011 - V-06";"FV2011 - V-07";"FV2011 - V-08";"FV2011 - V-09";"FV2011 - V-10";"FV2011 - V-11";"FV2011 - V-12";"FV2011 - V-13";"FV2011 - Ø-01";"FV2011 - Ø-02";"FV2011 - Ø-03";"FV2011 - Ø-04";"FV2011 - Ø-05";"FV2011 - Ø-06";"FV2011 - Ø-07";"FV2011 - Ø-08";"FV2011 - Ø-09";"FV2011 - Ø-10";"FV2011 - Ø-11";"FV2011 - Ø-12";"FV2011 - UP-01";"FV2011 - UP-02";"FV2011 - UP-03";"FV2011 - UP-04";"FV2011 - UP-05";"FV2011 - UP-06"
"101011";"101011";"3";"1";"1";"4041";"678";"665";"260";"586";"246";"5";"107";"367";"1121";"6";"38";"3";"2";"5";"4";"31";"25";"4";"35";"513";"6";"12";"-";"15";"75";"18";"13";"24";"22";"35";"13";"8";"8";"409";"25";"1";"11";"2";"96";"9";"134";"1";"2";"1";"0";"3";"-";"-";"4";"189";"15";"98";"36";"36";"3";"0";"5";"2";"190";"6";"2";"164";"7";"5";"18";"6";"29";"17";"-";"-";"-";"-";"-";"2";"0";"0";"0";"2";"0";"1";"-";"-";"-";"-";"-";"-";"5";"1";"2";"1";"12";"2";"0";"2";"81";"0";"1";"0";"-";"1";"8";"25";"3";"21";"11";"3";"10";"8";"276";"0";"1";"-";"1032";"16";"13";"1";"1";"13";"5";"1";"0";"9";"1";"29";"3";"2";"0";"1";"0";"0"
"101012";"101012";"3";"1";"1";"2996";"527";"491";"258";"441";"174";"2";"98";"421";"579";"5";"33";"7";"3";"5";"4";"27";"20";"3";"22";"394";"3";"6";"-";"17";"46";"20";"4";"24";"13";"24";"11";"4";"10";"300";"18";"4";"17";"3";"81";"15";"122";"5";"4";"4";"0";"3";"-";"-";"5";"150";"10";"110";"24";"22";"0";"0";"0";"3";"108";"6";"3";"114";"5";"4";"15";"1";"25";"10";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"2";"0";"-";"-";"-";"-";"-";"-";"0";"8";"0";"2";"4";"1";"2";"0";"76";"4";"0";"1";"-";"2";"1";"30";"0";"13";"1";"0";"24";"4";"346";"0";"0";"-";"548";"8";"4";"0";"0";"3";"4";"0";"0";"3";"1";"8";"2";"1";"0";"2";"0";"0"
"101013";"101013";"3";"1";"1";"3973";"694";"529";"176";"631";"133";"2";"125";"299";"1368";"16";"27";"4";"10";"2";"2";"52";"21";"3";"59";"491";"4";"19";"-";"6";"93";"22";"8";"15";"24";"26";"12";"8";"4";"298";"13";"1";"8";"1";"54";"7";"96";"3";"3";"0";"1";"2";"-";"-";"4";"139";"19";"116";"40";"34";"3";"11";"8";"4";"243";"7";"3";"101";"0";"3";"6";"4";"17";"2";"-";"-";"-";"-";"-";"0";"0";"0";"1";"0";"0";"1";"-";"-";"-";"-";"-";"-";"9";"2";"1";"1";"13";"3";"1";"3";"89";"2";"0";"1";"-";"2";"3";"21";"3";"13";"9";"3";"15";"6";"222";"0";"2";"-";"1216";"23";"21";"3";"4";"13";"13";"1";"3";"20";"0";"51";"2";"14";"0";"0";"0";"0"
"101014";"101014";"3";"1";"1";"3116";"552";"452";"258";"379";"224";"1";"117";"427";"702";"4";"28";"6";"4";"5";"3";"24";"22";"2";"34";"410";"3";"11";"-";"5";"49";"11";"2";"18";"9";"33";"7";"5";"10";"283";"20";"0";"13";"0";"96";"9";"130";"2";"4";"1";"1";"2";"-";"-";"4";"112";"11";"71";"19";"20";"1";"0";"2";"4";"130";"2";"3";"166";"3";"1";"16";"5";"22";"11";"-";"-";"-";"-";"-";"1";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-";"-";"17";"0";"0";"1";"10";"1";"1";"1";"82";"3";"1";"0";"-";"2";"1";"24";"2";"20";"10";"0";"23";"8";"334";"0";"3";"-";"627";"18";"2";"1";"2";"12";"1";"4";"2";"7";"0";"26";"2";"1";"0";"1";"0";"0"
"101015";"101015";"3";"1";"1";"2964";"495";"403";"279";"406";"209";"1";"112";"420";"636";"3";"19";"5";"3";"0";"1";"36";"16";"6";"27";"362";"5";"15";"-";"7";"43";"17";"10";"17";"11";"21";"9";"4";"5";"242";"17";"2";"9";"5";"93";"14";"144";"5";"0";"4";"1";"2";"-";"-";"11";"130";"1";"75";"26";"34";"0";"1";"4";"4";"114";"4";"2";"151";"3";"4";"10";"6";"29";"6";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"1";"-";"-";"-";"-";"-";"-";"6";"5";"1";"0";"14";"0";"2";"1";"79";"3";"1";"0";"-";"5";"1";"36";"1";"26";"10";"1";"14";"6";"318";"0";"2";"-";"569";"12";"2";"0";"2";"4";"5";"1";"0";"10";"1";"30";"1";"2";"0";"0";"0";"0"
"101016";"101016";"4";"1";"1";"3468";"885";"362";"104";"540";"125";"6";"290";"317";"828";"11";"29";"6";"16";"3";"5";"59";"38";"3";"30";"605";"4";"87";"-";"8";"44";"30";"11";"16";"14";"7";"6";"8";"4";"200";"14";"0";"2";"0";"30";"2";"50";"17";"1";"0";"2";"0";"-";"-";"5";"126";"9";"80";"27";"30";"9";"3";"7";"0";"240";"2";"2";"80";"1";"4";"9";"3";"22";"6";"-";"-";"-";"-";"-";"0";"2";"1";"0";"2";"1";"0";"-";"-";"-";"-";"-";"-";"21";"1";"6";"4";"32";"13";"7";"9";"168";"6";"23";"0";"-";"5";"1";"50";"8";"1";"9";"52";"8";"11";"171";"0";"1";"-";"773";"9";"8";"2";"8";"3";"3";"1";"1";"15";"1";"4";"3";"3";"0";"1";"4";"0"
"101017";"101017";"4";"1";"1";"5305";"1275";"588";"159";"872";"220";"11";"347";"466";"1347";"20";"41";"3";"20";"10";"9";"69";"40";"7";"56";"892";"7";"121";"-";"7";"61";"33";"11";"23";"16";"13";"13";"15";"10";"344";"42";"2";"7";"0";"54";"3";"72";"15";"5";"1";"0";"0";"-";"-";"3";"213";"11";"122";"39";"65";"13";"3";"32";"3";"360";"4";"4";"148";"3";"6";"17";"6";"32";"8";"-";"-";"-";"-";"-";"3";"1";"1";"2";"3";"0";"1";"-";"-";"-";"-";"-";"-";"18";"2";"6";"3";"29";"12";"2";"5";"227";"9";"30";"4";"-";"4";"5";"54";"8";"3";"13";"46";"21";"18";"293";"0";"1";"-";"1229";"23";"11";"4";"8";"9";"7";"1";"2";"23";"4";"26";"5";"5";"0";"5";"4";"1"
"101018";"101018";"4";"1";"1";"3343";"845";"332";"121";"497";"127";"5";"259";"414";"731";"12";"19";"2";"28";"5";"10";"100";"47";"7";"35";"519";"1";"72";"-";"4";"35";"30";"4";"11";"8";"3";"10";"9";"4";"197";"17";"1";"6";"1";"27";"10";"55";"14";"3";"0";"3";"1";"-";"-";"1";"130";"1";"68";"16";"41";"6";"2";"9";"1";"213";"4";"5";"89";"2";"6";"6";"2";"18";"4";"-";"-";"-";"-";"-";"2";"0";"0";"1";"1";"0";"1";"-";"-";"-";"-";"-";"-";"14";"2";"6";"2";"34";"23";"3";"8";"159";"5";"2";"1";"-";"2";"3";"57";"12";"0";"8";"39";"15";"22";"254";"0";"2";"-";"668";"9";"8";"1";"0";"3";"13";"1";"1";"13";"1";"13";"3";"3";"0";"2";"3";"1"
"101019";"101019";"4";"1";"1";"3376";"762";"407";"161";"503";"162";"6";"280";"472";"616";"7";"22";"2";"17";"1";"3";"87";"24";"2";"30";"498";"1";"75";"-";"8";"44";"22";"6";"12";"16";"16";"10";"7";"6";"249";"11";"0";"6";"1";"24";"9";"88";"25";"2";"0";"2";"4";"-";"-";"0";"128";"7";"84";"35";"27";"6";"3";"2";"1";"206";"2";"2";"107";"2";"4";"11";"3";"22";"13";"-";"-";"-";"-";"-";"1";"1";"0";"2";"2";"0";"0";"-";"-";"-";"-";"-";"-";"13";"3";"6";"0";"33";"12";"0";"4";"177";"6";"25";"1";"-";"4";"6";"83";"6";"0";"5";"20";"22";"29";"296";"0";"1";"-";"561";"15";"6";"0";"0";"3";"7";"0";"2";"10";"0";"12";"2";"0";"0";"2";"3";"0"
"101020";"101020";"5";"1";"1";"4575";"794";"641";"134";"811";"119";"11";"139";"205";"1713";"8";"48";"14";"4";"28";"6";"30";"30";"5";"23";"595";"7";"4";"-";"20";"74";"36";"12";"21";"20";"19";"22";"5";"14";"348";"50";"1";"1";"0";"46";"7";"69";"1";"4";"1";"4";"0";"-";"-";"5";"228";"8";"126";"67";"65";"5";"4";"8";"9";"269";"14";"3";"69";"1";"5";"14";"5";"18";"7";"-";"-";"-";"-";"-";"1";"0";"0";"0";"5";"5";"0";"-";"-";"-";"-";"-";"-";"6";"0";"4";"1";"9";"0";"1";"2";"104";"4";"1";"7";"-";"18";"1";"31";"3";"4";"6";"2";"15";"3";"121";"0";"1";"-";"1588";"40";"17";"7";"5";"16";"9";"1";"0";"13";"2";"15";"2";"3";"2";"1";"0";"0"
"101021";"101021";"5";"1";"1";"5610";"1092";"681";"147";"960";"201";"12";"226";"308";"1969";"14";"66";"18";"11";"83";"11";"36";"50";"8";"61";"734";"11";"3";"-";"18";"58";"38";"9";"20";"21";"13";"35";"18";"11";"390";"50";"1";"3";"0";"40";"10";"84";"1";"1";"0";"6";"1";"-";"-";"1";"261";"10";"168";"68";"83";"10";"8";"11";"13";"308";"12";"7";"128";"4";"12";"9";"0";"36";"12";"-";"-";"-";"-";"-";"3";"0";"0";"4";"4";"0";"1";"-";"-";"-";"-";"-";"-";"13";"2";"2";"0";"14";"6";"0";"5";"164";"5";"0";"15";"-";"15";"6";"28";"6";"3";"10";"5";"23";"5";"200";"1";"6";"-";"1806";"59";"28";"6";"3";"16";"12";"3";"3";"7";"6";"20";"5";"6";"1";"2";"0";"0"
"101022";"101022";"5";"1";"1";"2797";"477";"372";"72";"461";"61";"6";"79";"141";"1121";"7";"40";"4";"2";"17";"7";"12";"15";"6";"19";"344";"6";"5";"-";"6";"41";"14";"6";"14";"13";"4";"6";"5";"2";"238";"23";"0";"1";"1";"23";"2";"40";"0";"1";"0";"3";"1";"-";"-";"3";"127";"3";"83";"47";"38";"2";"1";"4";"7";"134";"6";"6";"33";"3";"1";"4";"3";"8";"9";"-";"-";"-";"-";"-";"0";"0";"0";"2";"4";"0";"0";"-";"-";"-";"-";"-";"-";"4";"0";"1";"0";"7";"3";"0";"1";"53";"0";"0";"10";"-";"11";"1";"15";"1";"2";"5";"1";"1";"2";"102";"0";"0";"-";"999";"48";"33";"2";"4";"8";"5";"1";"0";"8";"1";"12";"3";"3";"0";"0";"1";"0"
"101023";"101023";"5";"1";"1";"2344";"373";"369";"91";"371";"87";"3";"62";"135";"850";"3";"15";"6";"4";"20";"2";"17";"16";"5";"8";"272";"5";"3";"-";"3";"34";"9";"9";"17";"10";"8";"7";"4";"7";"247";"14";"0";"3";"0";"23";"4";"57";"0";"2";"0";"2";"0";"-";"-";"1";"113";"2";"65";"35";"25";"1";"0";"1";"6";"103";"12";"7";"59";"3";"2";"3";"1";"13";"6";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"3";"0";"-";"-";"-";"-";"-";"-";"8";"1";"0";"2";"3";"0";"0";"2";"42";"1";"0";"3";"-";"9";"1";"9";"1";"2";"0";"4";"10";"5";"94";"0";"0";"-";"785";"25";"8";"3";"0";"8";"7";"0";"2";"6";"0";"6";"0";"3";"0";"0";"0";"0"
"101024";"101024";"5";"1";"1";"3126";"585";"350";"82";"557";"84";"8";"127";"141";"1183";"9";"42";"9";"3";"26";"3";"22";"39";"4";"25";"406";"4";"2";"-";"6";"38";"7";"5";"13";"13";"14";"9";"7";"5";"215";"18";"0";"2";"1";"29";"3";"42";"1";"1";"0";"3";"0";"-";"-";"3";"167";"10";"103";"40";"48";"1";"3";"3";"4";"162";"8";"5";"55";"1";"2";"6";"0";"16";"4";"-";"-";"-";"-";"-";"2";"0";"0";"0";"3";"1";"2";"-";"-";"-";"-";"-";"-";"10";"0";"1";"0";"10";"0";"1";"1";"89";"4";"3";"8";"-";"9";"3";"6";"0";"2";"5";"1";"6";"1";"108";"0";"0";"-";"1098";"26";"16";"4";"2";"7";"4";"0";"4";"9";"2";"11";"5";"3";"1";"0";"0";"0"
"101025";"101025";"5";"1";"1";"4411";"769";"583";"111";"775";"114";"3";"171";"160";"1714";"11";"73";"13";"1";"55";"9";"40";"25";"8";"25";"509";"8";"3";"-";"19";"69";"28";"7";"13";"24";"13";"13";"11";"4";"357";"25";"1";"1";"0";"39";"4";"57";"1";"1";"0";"6";"1";"-";"-";"2";"254";"15";"132";"56";"62";"5";"1";"7";"7";"220";"10";"4";"75";"1";"4";"7";"5";"22";"0";"-";"-";"-";"-";"-";"1";"0";"0";"1";"0";"1";"0";"-";"-";"-";"-";"-";"-";"17";"3";"3";"2";"12";"2";"0";"3";"111";"3";"2";"13";"-";"7";"8";"18";"2";"0";"7";"2";"3";"6";"105";"1";"1";"-";"1579";"56";"25";"4";"8";"14";"4";"0";"1";"9";"2";"12";"6";"1";"0";"1";"2";"1"
"101026";"101026";"5";"1";"1";"1310";"199";"206";"48";"210";"43";"0";"34";"81";"484";"5";"11";"1";"0";"9";"3";"7";"7";"0";"9";"147";"3";"2";"-";"3";"20";"8";"2";"11";"7";"7";"5";"3";"2";"131";"7";"0";"2";"0";"14";"0";"29";"1";"0";"0";"1";"1";"-";"-";"2";"69";"5";"33";"12";"15";"2";"2";"2";"0";"61";"5";"2";"31";"1";"1";"1";"2";"7";"0";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-";"-";"3";"0";"0";"1";"2";"0";"0";"2";"21";"0";"0";"5";"-";"4";"2";"4";"1";"1";"0";"1";"5";"1";"60";"0";"2";"-";"447";"13";"4";"3";"1";"3";"2";"0";"2";"4";"1";"4";"1";"3";"0";"1";"0";"0"
