"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2011 - Personlige stemmer i alt";"FV2011 - A - personlige stemmer i alt";"FV2011 - B - personlige stemmer i alt";"FV2011 - C - personlige stemmer i alt";"FV2011 - F - personlige stemmer i alt";"FV2011 - I - personlige stemmer i alt";"FV2011 - K - personlige stemmer i alt";"FV2011 - O - personlige stemmer i alt";"FV2011 - V - personlige stemmer i alt";"FV2011 - Ø - personlige stemmer i alt";"FV2011 - UP - personlige stemmer i alt";"FV2011 - A-01";"FV2011 - A-02";"FV2011 - A-03";"FV2011 - A-04";"FV2011 - A-05";"FV2011 - A-06";"FV2011 - A-07";"FV2011 - A-08";"FV2011 - A-09";"FV2011 - A-10";"FV2011 - A-11";"FV2011 - A-12";"FV2011 - A-13";"FV2011 - B-01";"FV2011 - B-02";"FV2011 - B-03";"FV2011 - B-04";"FV2011 - B-05";"FV2011 - B-06";"FV2011 - B-07";"FV2011 - B-08";"FV2011 - B-09";"FV2011 - B-10";"FV2011 - B-11";"FV2011 - B-12";"FV2011 - C-01";"FV2011 - C-02";"FV2011 - C-03";"FV2011 - C-04";"FV2011 - C-05";"FV2011 - C-06";"FV2011 - C-07";"FV2011 - C-08";"FV2011 - C-09";"FV2011 - C-10";"FV2011 - C-11";"FV2011 - C-12";"FV2011 - C-13";"FV2011 - F-01";"FV2011 - F-02";"FV2011 - F-03";"FV2011 - F-04";"FV2011 - F-05";"FV2011 - F-06";"FV2011 - F-07";"FV2011 - F-08";"FV2011 - F-09";"FV2011 - F-10";"FV2011 - F-11";"FV2011 - F-12";"FV2011 - F-13";"FV2011 - I-01";"FV2011 - I-02";"FV2011 - I-03";"FV2011 - I-04";"FV2011 - I-05";"FV2011 - I-06";"FV2011 - I-07";"FV2011 - I-08";"FV2011 - I-09";"FV2011 - I-10";"FV2011 - I-11";"FV2011 - I-12";"FV2011 - K-01";"FV2011 - K-02";"FV2011 - K-03";"FV2011 - K-04";"FV2011 - K-05";"FV2011 - K-06";"FV2011 - K-07";"FV2011 - K-08";"FV2011 - K-09";"FV2011 - K-10";"FV2011 - K-11";"FV2011 - K-12";"FV2011 - K-13";"FV2011 - O-01";"FV2011 - O-02";"FV2011 - O-03";"FV2011 - O-04";"FV2011 - O-05";"FV2011 - O-06";"FV2011 - O-07";"FV2011 - O-08";"FV2011 - O-09";"FV2011 - O-10";"FV2011 - O-11";"FV2011 - O-12";"FV2011 - O-13";"FV2011 - V-01";"FV2011 - V-02";"FV2011 - V-03";"FV2011 - V-04";"FV2011 - V-05";"FV2011 - V-06";"FV2011 - V-07";"FV2011 - V-08";"FV2011 - V-09";"FV2011 - V-10";"FV2011 - V-11";"FV2011 - V-12";"FV2011 - V-13";"FV2011 - Ø-01";"FV2011 - Ø-02";"FV2011 - Ø-03";"FV2011 - Ø-04";"FV2011 - Ø-05";"FV2011 - Ø-06";"FV2011 - Ø-07";"FV2011 - Ø-08";"FV2011 - Ø-09";"FV2011 - Ø-10";"FV2011 - Ø-11";"FV2011 - Ø-12";"FV2011 - UP-01";"FV2011 - UP-02";"FV2011 - UP-03";"FV2011 - UP-04";"FV2011 - UP-05";"FV2011 - UP-06"
"101001";"101001";"1";"1";"1";"6018";"1320";"849";"377";"872";"298";"12";"226";"704";"1349";"11";"50";"6";"4";"10";"6";"32";"41";"16";"19";"1123";"9";"4";"-";"44";"68";"47";"11";"16";"29";"21";"15";"18";"37";"506";"37";"7";"23";"3";"103";"27";"194";"12";"2";"3";"1";"2";"-";"-";"6";"218";"18";"217";"26";"54";"4";"4";"2";"10";"299";"8";"6";"185";"7";"6";"24";"11";"46";"19";"-";"-";"-";"-";"-";"1";"1";"0";"4";"4";"2";"0";"-";"-";"-";"-";"-";"-";"14";"4";"3";"1";"21";"3";"1";"3";"153";"22";"1";"0";"-";"8";"3";"36";"6";"3";"19";"1";"19";"11";"593";"0";"5";"-";"1256";"19";"17";"18";"4";"3";"6";"0";"0";"9";"3";"14";"6";"3";"0";"1";"0";"1"
"101002";"101002";"1";"1";"1";"2437";"566";"323";"195";"243";"153";"7";"134";"418";"394";"4";"14";"4";"2";"4";"2";"10";"24";"37";"5";"455";"2";"7";"-";"28";"25";"20";"3";"7";"8";"7";"5";"4";"10";"189";"17";"3";"4";"2";"50";"22";"106";"5";"0";"0";"1";"2";"-";"-";"0";"65";"4";"62";"7";"13";"0";"1";"1";"2";"87";"0";"1";"112";"3";"4";"8";"0";"18";"8";"-";"-";"-";"-";"-";"0";"0";"0";"0";"1";"5";"1";"-";"-";"-";"-";"-";"-";"4";"1";"1";"0";"7";"0";"1";"3";"93";"24";"0";"0";"-";"2";"0";"23";"0";"0";"13";"2";"10";"9";"359";"0";"0";"-";"376";"5";"2";"5";"0";"3";"0";"0";"0";"0";"1";"2";"2";"1";"0";"1";"0";"0"
"101003";"101003";"1";"1";"1";"3160";"659";"486";"179";"496";"140";"6";"103";"335";"751";"5";"24";"6";"3";"4";"6";"18";"18";"3";"8";"563";"2";"4";"-";"16";"42";"26";"5";"18";"13";"11";"11";"2";"7";"309";"26";"1";"8";"1";"54";"12";"100";"1";"1";"0";"0";"1";"-";"-";"3";"127";"8";"123";"24";"28";"0";"2";"7";"2";"156";"12";"4";"101";"5";"2";"6";"5";"12";"9";"-";"-";"-";"-";"-";"1";"0";"0";"0";"3";"2";"0";"-";"-";"-";"-";"-";"-";"5";"1";"3";"1";"4";"2";"1";"1";"73";"12";"0";"0";"-";"4";"1";"18";"0";"1";"11";"0";"6";"12";"278";"0";"4";"-";"702";"11";"4";"6";"1";"5";"8";"2";"0";"5";"2";"5";"2";"2";"0";"0";"1";"0"
"101004";"101004";"1";"1";"1";"3407";"652";"496";"249";"458";"202";"1";"136";"543";"668";"2";"12";"2";"2";"0";"1";"19";"30";"6";"5";"571";"1";"3";"-";"23";"54";"21";"11";"18";"9";"13";"9";"9";"7";"307";"15";"2";"8";"3";"71";"26";"124";"5";"4";"1";"1";"4";"-";"-";"1";"140";"4";"104";"20";"28";"1";"1";"7";"3";"143";"5";"1";"130";"2";"10";"11";"2";"43";"4";"-";"-";"-";"-";"-";"1";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-";"-";"7";"0";"3";"1";"9";"0";"2";"2";"98";"12";"1";"1";"-";"5";"2";"28";"2";"2";"13";"3";"33";"6";"447";"1";"1";"-";"620";"8";"10";"6";"1";"5";"1";"0";"1";"3";"3";"10";"1";"1";"0";"0";"0";"0"
"101005";"101005";"1";"1";"1";"4679";"1240";"471";"228";"673";"211";"6";"282";"524";"1035";"9";"40";"16";"3";"7";"5";"39";"43";"17";"14";"1052";"2";"2";"-";"18";"35";"23";"9";"20";"27";"5";"10";"8";"9";"283";"24";"1";"10";"3";"65";"21";"111";"6";"3";"2";"2";"4";"-";"-";"3";"168";"5";"144";"17";"37";"2";"5";"4";"2";"278";"3";"5";"130";"6";"5";"13";"4";"34";"19";"-";"-";"-";"-";"-";"4";"1";"0";"0";"1";"0";"0";"-";"-";"-";"-";"-";"-";"13";"3";"3";"0";"31";"3";"1";"3";"186";"33";"4";"2";"-";"0";"3";"28";"1";"5";"12";"3";"24";"9";"437";"1";"1";"-";"955";"20";"12";"15";"2";"6";"4";"1";"2";"3";"1";"14";"1";"7";"0";"0";"0";"1"
"101006";"101006";"1";"1";"1";"4042";"1115";"452";"224";"519";"201";"4";"250";"467";"804";"6";"26";"10";"1";"3";"3";"20";"23";"23";"15";"976";"4";"11";"-";"24";"36";"30";"7";"20";"16";"16";"8";"7";"17";"258";"13";"2";"14";"5";"75";"8";"111";"1";"4";"0";"1";"3";"-";"-";"1";"142";"2";"150";"13";"28";"1";"2";"1";"3";"173";"2";"1";"141";"3";"5";"11";"2";"30";"9";"-";"-";"-";"-";"-";"1";"0";"0";"1";"1";"0";"1";"-";"-";"-";"-";"-";"-";"7";"2";"4";"0";"23";"8";"3";"5";"163";"32";"0";"3";"-";"6";"2";"32";"1";"1";"7";"1";"18";"6";"390";"0";"3";"-";"750";"10";"6";"10";"3";"3";"6";"2";"6";"3";"0";"5";"2";"2";"0";"1";"1";"0"
"101007";"101007";"2";"1";"1";"5557";"1479";"457";"207";"801";"193";"5";"601";"592";"1209";"13";"60";"7";"94";"5";"10";"144";"58";"6";"51";"987";"3";"54";"-";"6";"45";"34";"11";"14";"19";"16";"7";"8";"4";"280";"13";"0";"6";"3";"46";"5";"109";"22";"5";"3";"2";"6";"-";"-";"4";"158";"8";"119";"59";"49";"5";"5";"13";"0";"378";"0";"3";"136";"2";"6";"6";"4";"29";"10";"-";"-";"-";"-";"-";"0";"1";"0";"3";"0";"0";"1";"-";"-";"-";"-";"-";"-";"31";"3";"11";"0";"76";"53";"8";"15";"385";"12";"2";"5";"-";"4";"9";"79";"53";"0";"4";"16";"21";"45";"358";"1";"2";"-";"1052";"30";"20";"6";"6";"7";"62";"2";"2";"5";"3";"14";"2";"8";"0";"1";"2";"0"
"101008";"101008";"2";"1";"1";"4790";"1124";"493";"185";"788";"147";"4";"348";"376";"1313";"12";"38";"3";"60";"7";"11";"90";"42";"3";"42";"771";"4";"53";"-";"9";"70";"29";"8";"18";"13";"2";"6";"13";"9";"298";"18";"0";"3";"1";"44";"3";"113";"10";"2";"0";"1";"8";"-";"-";"7";"192";"8";"131";"38";"45";"4";"7";"13";"3";"331";"6";"3";"96";"1";"4";"9";"5";"26";"6";"-";"-";"-";"-";"-";"0";"2";"0";"1";"1";"0";"0";"-";"-";"-";"-";"-";"-";"17";"0";"5";"4";"51";"28";"8";"0";"228";"1";"3";"3";"-";"5";"3";"52";"21";"1";"11";"3";"16";"18";"238";"2";"6";"-";"1194";"30";"18";"2";"7";"8";"27";"2";"2";"7";"4";"12";"3";"5";"0";"0";"4";"0"
"101009";"101009";"2";"1";"1";"3168";"637";"497";"180";"422";"278";"4";"157";"385";"601";"7";"14";"2";"28";"6";"3";"48";"20";"4";"39";"453";"2";"18";"-";"12";"48";"35";"11";"13";"22";"14";"8";"8";"10";"286";"30";"1";"1";"1";"60";"5";"99";"10";"2";"0";"0";"1";"-";"-";"3";"121";"3";"60";"37";"31";"4";"1";"5";"1";"150";"4";"2";"127";"4";"5";"91";"0";"44";"7";"-";"-";"-";"-";"-";"0";"2";"0";"0";"2";"0";"0";"-";"-";"-";"-";"-";"-";"5";"3";"1";"0";"19";"19";"3";"4";"99";"2";"0";"2";"-";"2";"1";"53";"35";"2";"12";"7";"24";"23";"225";"0";"1";"-";"556";"10";"3";"1";"2";"5";"7";"3";"2";"3";"4";"5";"0";"3";"0";"4";"0";"0"
"101010";"101010";"2";"1";"1";"3869";"752";"637";"245";"507";"233";"5";"148";"465";"870";"7";"31";"5";"31";"3";"3";"41";"36";"10";"26";"537";"11";"18";"-";"9";"67";"31";"4";"25";"22";"11";"8";"11";"10";"390";"49";"3";"4";"2";"73";"4";"134";"6";"3";"3";"3";"10";"-";"-";"5";"127";"8";"94";"39";"32";"1";"1";"4";"1";"189";"4";"2";"148";"5";"8";"15";"5";"41";"11";"-";"-";"-";"-";"-";"2";"0";"1";"1";"1";"0";"0";"-";"-";"-";"-";"-";"-";"5";"0";"1";"1";"15";"11";"5";"1";"102";"5";"2";"0";"-";"0";"1";"54";"33";"1";"10";"2";"31";"16";"317";"0";"0";"-";"784";"25";"12";"4";"1";"7";"14";"0";"1";"5";"1";"16";"4";"1";"1";"0";"1";"0"
