"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2001 - Personlige stemmer i alt";"FV2001 - A - personlige stemmer i alt";"FV2001 - B - personlige stemmer i alt";"FV2001 - C - personlige stemmer i alt";"FV2001 - D - personlige stemmer i alt";"FV2001 - F - personlige stemmer i alt";"FV2001 - O - personlige stemmer i alt";"FV2001 - Q - personlige stemmer i alt";"FV2001 - V - personlige stemmer i alt";"FV2001 - Z - personlige stemmer i alt";"FV2001 - Ø - personlige stemmer i alt";"FV2001 - UP - personlige stemmer i alt";"FV2001 - A-01";"FV2001 - A-02";"FV2001 - A-03";"FV2001 - A-04";"FV2001 - A-05";"FV2001 - A-06";"FV2001 - A-07";"FV2001 - A-08";"FV2001 - A-09";"FV2001 - A-10";"FV2001 - B-01";"FV2001 - B-02";"FV2001 - B-03";"FV2001 - B-04";"FV2001 - B-05";"FV2001 - B-06";"FV2001 - B-07";"FV2001 - B-08";"FV2001 - B-09";"FV2001 - C-01";"FV2001 - C-02";"FV2001 - C-03";"FV2001 - C-04";"FV2001 - C-05";"FV2001 - C-06";"FV2001 - C-07";"FV2001 - C-08";"FV2001 - C-09";"FV2001 - C-10";"FV2001 - D-01";"FV2001 - D-02";"FV2001 - D-03";"FV2001 - D-04";"FV2001 - D-05";"FV2001 - D-06";"FV2001 - D-07";"FV2001 - D-08";"FV2001 - D-09";"FV2001 - F-01";"FV2001 - F-02";"FV2001 - F-03";"FV2001 - F-04";"FV2001 - F-05";"FV2001 - F-06";"FV2001 - F-07";"FV2001 - F-08";"FV2001 - F-09";"FV2001 - F-10";"FV2001 - O-01";"FV2001 - O-02";"FV2001 - O-03";"FV2001 - O-04";"FV2001 - O-05";"FV2001 - O-06";"FV2001 - O-07";"FV2001 - O-08";"FV2001 - O-09";"FV2001 - O-10";"FV2001 - Q-01";"FV2001 - Q-02";"FV2001 - Q-03";"FV2001 - Q-04";"FV2001 - Q-05";"FV2001 - Q-06";"FV2001 - Q-07";"FV2001 - Q-08";"FV2001 - Q-09";"FV2001 - Q-10";"FV2001 - Q-11";"FV2001 - V-01";"FV2001 - V-02";"FV2001 - V-03";"FV2001 - V-04";"FV2001 - V-05";"FV2001 - V-06";"FV2001 - V-07";"FV2001 - V-08";"FV2001 - V-09";"FV2001 - V-10";"FV2001 - Z-01";"FV2001 - Z-02";"FV2001 - Z-03";"FV2001 - Z-04";"FV2001 - Z-05";"FV2001 - Z-06";"FV2001 - Z-07";"FV2001 - Z-08";"FV2001 - Z-09";"FV2001 - Ø-01";"FV2001 - Ø-02";"FV2001 - Ø-03";"FV2001 - Ø-04";"FV2001 - Ø-05";"FV2001 - Ø-06";"FV2001 - Ø-07";"FV2001 - Ø-08";"FV2001 - Ø-09";"FV2001 - Ø-10";"FV2001 - UP-01"
"101001";"101001";"13";"2";"1";"1373";"324";"202";"74";"18";"224";"171";"22";"251";"5";"73";"9";"95";"23";"53";"6";"31";"100";"11";"5";"-";"-";"4";"12";"177";"4";"0";"2";"0";"3";"-";"17";"10";"4";"3";"2";"1";"35";"2";"-";"-";"0";"5";"4";"0";"1";"4";"4";"-";"-";"161";"43";"13";"0";"2";"0";"5";"0";"-";"-";"2";"15";"0";"2";"0";"4";"1";"147";"-";"-";"9";"8";"5";"-";"-";"-";"-";"-";"-";"-";"-";"97";"14";"16";"113";"11";"-";"-";"-";"-";"-";"3";"2";"0";"-";"-";"-";"-";"-";"-";"13";"2";"7";"40";"1";"2";"6";"2";"-";"-";"9"
"101002";"101002";"15";"3";"1";"1436";"347";"220";"169";"21";"183";"112";"27";"133";"3";"221";"-";"127";"187";"7";"5";"8";"13";"-";"-";"-";"-";"36";"56";"82";"8";"4";"34";"-";"-";"-";"4";"2";"3";"8";"144";"8";"-";"-";"-";"-";"3";"1";"11";"6";"-";"-";"-";"-";"-";"13";"133";"29";"2";"2";"4";"-";"-";"-";"-";"4";"5";"67";"4";"26";"6";"-";"-";"-";"-";"11";"5";"11";"-";"-";"-";"-";"-";"-";"-";"-";"11";"32";"17";"25";"48";"-";"-";"-";"-";"-";"0";"0";"0";"0";"1";"2";"-";"-";"-";"70";"6";"11";"118";"7";"9";"-";"-";"-";"-";"-"
"101003";"101003";"14";"3";"1";"1228";"474";"55";"87";"6";"116";"255";"30";"145";"9";"51";"-";"44";"200";"7";"200";"10";"13";"-";"-";"-";"-";"22";"16";"8";"4";"4";"1";"-";"-";"-";"2";"1";"10";"0";"67";"7";"-";"-";"-";"-";"0";"0";"3";"3";"-";"-";"-";"-";"-";"47";"39";"24";"1";"2";"3";"-";"-";"-";"-";"7";"11";"124";"80";"7";"26";"-";"-";"-";"-";"23";"3";"4";"-";"-";"-";"-";"-";"-";"-";"-";"18";"71";"13";"30";"13";"-";"-";"-";"-";"-";"0";"1";"2";"0";"6";"0";"-";"-";"-";"21";"2";"6";"5";"16";"1";"-";"-";"-";"-";"-"
"101004";"101004";"1";"1";"1";"1873";"439";"114";"93";"16";"385";"88";"15";"343";"5";"366";"9";"236";"49";"87";"4";"63";"-";"-";"-";"-";"-";"51";"9";"6";"2";"46";"-";"-";"-";"-";"45";"6";"22";"4";"16";"-";"-";"-";"-";"-";"7";"9";"0";"-";"-";"-";"-";"-";"-";"83";"26";"11";"207";"58";"-";"-";"-";"-";"-";"14";"15";"25";"34";"-";"-";"-";"-";"-";"-";"7";"0";"2";"6";"-";"-";"-";"-";"-";"-";"-";"59";"60";"224";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"2";"3";"0";"-";"25";"33";"3";"22";"85";"185";"2";"11";"-";"-";"9"
"101005";"101005";"1";"1";"1";"876";"309";"35";"28";"12";"144";"91";"7";"172";"6";"72";"0";"222";"19";"27";"3";"38";"-";"-";"-";"-";"-";"15";"14";"4";"0";"2";"-";"-";"-";"-";"14";"1";"6";"2";"5";"-";"-";"-";"-";"-";"3";"5";"4";"-";"-";"-";"-";"-";"-";"34";"7";"3";"86";"14";"-";"-";"-";"-";"-";"18";"7";"37";"29";"-";"-";"-";"-";"-";"-";"1";"2";"1";"3";"-";"-";"-";"-";"-";"-";"-";"27";"30";"115";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"0";"1";"1";"2";"1";"-";"4";"4";"4";"2";"17";"35";"5";"1";"-";"-";"0"
"101006";"101006";"1";"1";"1";"2258";"760";"112";"116";"24";"379";"215";"23";"440";"12";"173";"4";"432";"109";"81";"13";"125";"-";"-";"-";"-";"-";"44";"24";"4";"0";"40";"-";"-";"-";"-";"39";"11";"26";"7";"33";"-";"-";"-";"-";"-";"5";"17";"2";"-";"-";"-";"-";"-";"-";"77";"31";"13";"207";"51";"-";"-";"-";"-";"-";"34";"32";"78";"71";"-";"-";"-";"-";"-";"-";"7";"3";"1";"12";"-";"-";"-";"-";"-";"-";"-";"90";"55";"295";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"0";"2";"3";"4";"1";"-";"19";"14";"6";"11";"48";"66";"3";"6";"-";"-";"4"
"101007";"101007";"8";"2";"1";"916";"387";"51";"26";"9";"70";"182";"8";"104";"6";"70";"3";"64";"22";"24";"5";"23";"239";"4";"6";"-";"-";"1";"3";"37";"1";"0";"3";"0";"6";"-";"1";"4";"2";"1";"7";"3";"7";"1";"-";"-";"0";"1";"5";"0";"0";"2";"1";"-";"-";"37";"28";"0";"2";"1";"1";"1";"0";"-";"-";"0";"26";"21";"1";"1";"2";"3";"128";"-";"-";"2";"5";"1";"-";"-";"-";"-";"-";"-";"-";"-";"37";"53";"2";"8";"4";"-";"-";"-";"-";"-";"3";"1";"2";"-";"-";"-";"-";"-";"-";"14";"0";"0";"4";"1";"25";"26";"0";"-";"-";"3"
"101008";"101008";"1";"1";"1";"1126";"401";"59";"43";"18";"191";"105";"7";"187";"6";"105";"4";"268";"41";"43";"3";"46";"-";"-";"-";"-";"-";"35";"4";"5";"1";"14";"-";"-";"-";"-";"22";"3";"11";"1";"6";"-";"-";"-";"-";"-";"1";"16";"1";"-";"-";"-";"-";"-";"-";"42";"14";"11";"91";"33";"-";"-";"-";"-";"-";"25";"9";"40";"31";"-";"-";"-";"-";"-";"-";"2";"0";"0";"5";"-";"-";"-";"-";"-";"-";"-";"30";"36";"121";"-";"-";"-";"-";"-";"-";"-";"0";"2";"1";"0";"0";"2";"1";"0";"-";"12";"13";"1";"6";"24";"44";"1";"4";"-";"-";"4"
"101010";"101010";"2";"1";"1";"1477";"284";"150";"103";"21";"324";"91";"10";"306";"8";"180";"0";"102";"35";"88";"4";"55";"-";"-";"-";"-";"-";"14";"14";"9";"2";"111";"-";"-";"-";"-";"38";"7";"25";"22";"11";"-";"-";"-";"-";"-";"2";"14";"5";"-";"-";"-";"-";"-";"-";"43";"65";"11";"195";"10";"-";"-";"-";"-";"-";"18";"9";"5";"59";"-";"-";"-";"-";"-";"-";"2";"2";"1";"5";"-";"-";"-";"-";"-";"-";"-";"92";"177";"37";"-";"-";"-";"-";"-";"-";"-";"1";"2";"3";"0";"0";"0";"0";"2";"-";"19";"32";"8";"3";"48";"64";"1";"5";"-";"-";"0"
"101011";"101011";"16";"3";"1";"851";"238";"61";"128";"12";"90";"93";"19";"168";"3";"39";"-";"23";"97";"16";"88";"5";"9";"-";"-";"-";"-";"13";"15";"8";"13";"3";"9";"-";"-";"-";"2";"2";"4";"2";"104";"14";"-";"-";"-";"-";"4";"1";"5";"2";"-";"-";"-";"-";"-";"22";"7";"59";"0";"1";"1";"-";"-";"-";"-";"20";"6";"57";"3";"2";"5";"-";"-";"-";"-";"9";"6";"4";"-";"-";"-";"-";"-";"-";"-";"-";"25";"69";"25";"24";"25";"-";"-";"-";"-";"-";"1";"1";"1";"0";"0";"0";"-";"-";"-";"19";"2";"7";"2";"9";"0";"-";"-";"-";"-";"-"
"101012";"101012";"4";"1";"1";"648";"112";"62";"28";"13";"139";"55";"6";"139";"7";"86";"1";"44";"9";"16";"18";"25";"-";"-";"-";"-";"-";"26";"1";"14";"1";"20";"-";"-";"-";"-";"9";"3";"12";"1";"3";"-";"-";"-";"-";"-";"2";"8";"3";"-";"-";"-";"-";"-";"-";"54";"9";"3";"65";"8";"-";"-";"-";"-";"-";"21";"5";"5";"24";"-";"-";"-";"-";"-";"-";"2";"0";"0";"4";"-";"-";"-";"-";"-";"-";"-";"40";"82";"17";"-";"-";"-";"-";"-";"-";"-";"1";"1";"0";"0";"3";"0";"1";"1";"-";"3";"49";"6";"2";"7";"17";"1";"1";"-";"-";"1"
"101014";"101014";"4";"1";"1";"796";"156";"50";"48";"13";"179";"45";"4";"155";"4";"142";"0";"41";"22";"33";"31";"29";"-";"-";"-";"-";"-";"18";"3";"9";"0";"20";"-";"-";"-";"-";"10";"2";"29";"4";"3";"-";"-";"-";"-";"-";"0";"13";"0";"-";"-";"-";"-";"-";"-";"50";"7";"3";"118";"1";"-";"-";"-";"-";"-";"17";"4";"8";"16";"-";"-";"-";"-";"-";"-";"1";"0";"1";"2";"-";"-";"-";"-";"-";"-";"-";"46";"93";"16";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"0";"0";"0";"2";"1";"-";"2";"76";"12";"2";"17";"30";"1";"2";"-";"-";"0"
"101016";"101016";"4";"1";"1";"1503";"318";"91";"62";"11";"340";"110";"15";"244";"7";"304";"1";"70";"44";"89";"57";"58";"-";"-";"-";"-";"-";"17";"3";"34";"0";"37";"-";"-";"-";"-";"14";"3";"38";"5";"2";"-";"-";"-";"-";"-";"2";"7";"2";"-";"-";"-";"-";"-";"-";"89";"21";"13";"208";"9";"-";"-";"-";"-";"-";"46";"15";"17";"32";"-";"-";"-";"-";"-";"-";"3";"3";"0";"9";"-";"-";"-";"-";"-";"-";"-";"63";"147";"34";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"0";"1";"0";"1";"4";"-";"9";"137";"53";"12";"32";"55";"2";"4";"-";"-";"1"
"101018";"101018";"7";"2";"1";"2792";"484";"678";"186";"38";"446";"193";"37";"516";"8";"187";"19";"162";"31";"39";"3";"83";"61";"51";"54";"-";"-";"5";"35";"559";"68";"0";"3";"2";"6";"-";"14";"70";"5";"6";"12";"3";"53";"23";"-";"-";"0";"17";"6";"7";"3";"2";"3";"-";"-";"276";"116";"7";"4";"1";"26";"13";"3";"-";"-";"4";"15";"2";"11";"0";"2";"3";"156";"-";"-";"12";"14";"11";"-";"-";"-";"-";"-";"-";"-";"-";"202";"40";"4";"78";"192";"-";"-";"-";"-";"-";"2";"2";"4";"-";"-";"-";"-";"-";"-";"89";"0";"25";"9";"5";"6";"7";"46";"-";"-";"19"
"101020";"101020";"7";"2";"1";"1391";"246";"397";"95";"20";"216";"69";"12";"242";"1";"83";"10";"78";"14";"14";"0";"51";"37";"25";"27";"-";"-";"5";"26";"317";"43";"0";"0";"3";"3";"-";"7";"35";"0";"2";"15";"0";"32";"4";"-";"-";"1";"10";"5";"2";"0";"2";"0";"-";"-";"138";"48";"0";"1";"2";"13";"12";"2";"-";"-";"1";"4";"0";"6";"0";"1";"1";"56";"-";"-";"3";"8";"1";"-";"-";"-";"-";"-";"-";"-";"-";"93";"10";"7";"56";"76";"-";"-";"-";"-";"-";"0";"0";"1";"-";"-";"-";"-";"-";"-";"42";"1";"6";"12";"1";"1";"2";"18";"-";"-";"10"
"101022";"101022";"2";"1";"1";"1569";"255";"139";"142";"23";"275";"108";"20";"462";"1";"140";"4";"85";"28";"74";"4";"64";"-";"-";"-";"-";"-";"14";"12";"8";"4";"101";"-";"-";"-";"-";"48";"4";"32";"41";"17";"-";"-";"-";"-";"-";"2";"14";"7";"-";"-";"-";"-";"-";"-";"47";"55";"5";"163";"5";"-";"-";"-";"-";"-";"17";"9";"4";"78";"-";"-";"-";"-";"-";"-";"12";"0";"0";"8";"-";"-";"-";"-";"-";"-";"-";"124";"290";"48";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"0";"0";"0";"0";"0";"-";"18";"24";"10";"3";"36";"45";"3";"1";"-";"-";"4"
"101024";"101024";"2";"1";"1";"1225";"193";"95";"101";"20";"202";"67";"17";"404";"4";"121";"1";"65";"22";"45";"6";"55";"-";"-";"-";"-";"-";"3";"8";"4";"1";"79";"-";"-";"-";"-";"32";"3";"28";"28";"10";"-";"-";"-";"-";"-";"1";"11";"8";"-";"-";"-";"-";"-";"-";"16";"41";"5";"131";"9";"-";"-";"-";"-";"-";"13";"6";"2";"46";"-";"-";"-";"-";"-";"-";"9";"0";"1";"7";"-";"-";"-";"-";"-";"-";"-";"96";"232";"76";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"1";"0";"0";"1";"2";"-";"11";"17";"0";"8";"34";"47";"1";"3";"-";"-";"1"
"101026";"101026";"5";"1";"1";"2991";"944";"151";"129";"33";"524";"306";"34";"637";"18";"210";"5";"367";"306";"76";"7";"188";"-";"-";"-";"-";"-";"48";"27";"10";"25";"41";"-";"-";"-";"-";"35";"44";"18";"10";"22";"-";"-";"-";"-";"-";"5";"21";"7";"-";"-";"-";"-";"-";"-";"111";"29";"65";"307";"12";"-";"-";"-";"-";"-";"35";"112";"43";"116";"-";"-";"-";"-";"-";"-";"7";"12";"5";"10";"-";"-";"-";"-";"-";"-";"-";"118";"95";"424";"-";"-";"-";"-";"-";"-";"-";"2";"1";"1";"0";"8";"1";"3";"2";"-";"14";"15";"9";"105";"25";"30";"3";"9";"-";"-";"5"
"101028";"101028";"5";"1";"1";"2114";"701";"88";"79";"24";"345";"237";"16";"439";"10";"172";"3";"309";"215";"55";"6";"116";"-";"-";"-";"-";"-";"29";"15";"3";"10";"31";"-";"-";"-";"-";"24";"16";"14";"8";"17";"-";"-";"-";"-";"-";"2";"19";"3";"-";"-";"-";"-";"-";"-";"67";"18";"75";"174";"11";"-";"-";"-";"-";"-";"38";"89";"27";"83";"-";"-";"-";"-";"-";"-";"8";"0";"0";"8";"-";"-";"-";"-";"-";"-";"-";"87";"70";"282";"-";"-";"-";"-";"-";"-";"-";"0";"1";"1";"0";"4";"1";"1";"2";"-";"14";"17";"8";"75";"18";"19";"3";"18";"-";"-";"3"
"101030";"101030";"9";"2";"1";"3934";"709";"925";"242";"46";"580";"240";"58";"798";"7";"306";"23";"215";"52";"32";"2";"95";"103";"188";"22";"-";"-";"6";"63";"788";"29";"0";"5";"27";"7";"-";"10";"33";"9";"4";"15";"4";"101";"66";"-";"-";"4";"24";"6";"4";"0";"7";"1";"-";"-";"332";"164";"7";"8";"4";"11";"31";"23";"-";"-";"19";"26";"1";"4";"0";"2";"7";"181";"-";"-";"17";"34";"7";"-";"-";"-";"-";"-";"-";"-";"-";"226";"66";"15";"182";"309";"-";"-";"-";"-";"-";"2";"1";"4";"-";"-";"-";"-";"-";"-";"137";"75";"32";"11";"7";"10";"10";"24";"-";"-";"23"
"101032";"101032";"10";"2";"1";"1707";"354";"468";"81";"17";"277";"138";"18";"187";"5";"155";"7";"118";"79";"15";"5";"47";"78";"6";"6";"-";"-";"4";"18";"403";"13";"13";"2";"5";"10";"-";"8";"10";"11";"0";"26";"3";"13";"10";"-";"-";"0";"7";"7";"2";"1";"0";"0";"-";"-";"113";"127";"4";"1";"7";"4";"20";"1";"-";"-";"2";"13";"2";"1";"2";"25";"1";"92";"-";"-";"5";"13";"0";"-";"-";"-";"-";"-";"-";"-";"-";"55";"17";"66";"25";"24";"-";"-";"-";"-";"-";"4";"0";"1";"-";"-";"-";"-";"-";"-";"103";"9";"21";"7";"2";"6";"5";"2";"-";"-";"7"
"101034";"101034";"10";"2";"1";"667";"119";"195";"30";"9";"115";"49";"3";"65";"2";"78";"2";"45";"28";"4";"0";"20";"12";"8";"2";"-";"-";"1";"13";"168";"4";"5";"2";"0";"2";"-";"5";"5";"5";"2";"5";"0";"7";"1";"-";"-";"0";"5";"0";"0";"3";"0";"1";"-";"-";"48";"53";"1";"4";"1";"4";"4";"0";"-";"-";"2";"2";"1";"2";"1";"8";"0";"33";"-";"-";"1";"2";"0";"-";"-";"-";"-";"-";"-";"-";"-";"25";"7";"20";"10";"3";"-";"-";"-";"-";"-";"1";"0";"1";"-";"-";"-";"-";"-";"-";"54";"0";"13";"3";"3";"1";"3";"1";"-";"-";"2"
"101036";"101036";"11";"2";"1";"2377";"565";"584";"98";"37";"345";"217";"21";"284";"10";"206";"10";"301";"49";"24";"3";"46";"115";"17";"10";"-";"-";"7";"16";"496";"11";"4";"34";"8";"8";"-";"5";"13";"10";"25";"9";"1";"32";"3";"-";"-";"3";"8";"18";"1";"1";"6";"0";"-";"-";"137";"145";"2";"6";"31";"9";"13";"2";"-";"-";"8";"22";"10";"2";"24";"5";"8";"138";"-";"-";"8";"10";"3";"-";"-";"-";"-";"-";"-";"-";"-";"140";"56";"16";"57";"15";"-";"-";"-";"-";"-";"4";"4";"2";"-";"-";"-";"-";"-";"-";"76";"7";"71";"13";"3";"14";"15";"7";"-";"-";"10"
