"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1994 - Stemmeberettigede";"FV1994 - Afgivne stemmer";"FV1994 - Blanke stemmer";"FV1994 - Andre ugyldige stemmer";"FV1994 - Gyldige stemmer";"FV1994 - A. Socialdemokratiet";"FV1994 - B. Det Radikale Venstre";"FV1994 - C. Det Konservative Folkeparti";"FV1994 - D. Centrum-Demokraterne";"FV1994 - F. Socialistisk Folkeparti";"FV1994 - Q. Kristeligt Folkeparti";"FV1994 - V. Venstre, Danmarks Liberale Parti";"FV1994 - Z. Fremskridtspartiet";"FV1994 - Ø. Enhedslisten - De Rød-Grønne";"FV1994 - 1. Uden for partierne";"FV1994 - 2. Uden for partierne";"FV1994 - 3. Uden for partierne";"FV1994 - 4. Uden for partierne";"FV1994 - 5. Uden for partierne"
"101001";"101001";"13";"2";"1";"4289";"3691";"37";"10";"3644";"1217";"209";"538";"129";"495";"57";"510";"218";"247";"13";"1";"10";"-";"-"
"101002";"101002";"15";"3";"1";"6853";"5455";"72";"22";"5361";"1425";"411";"540";"149";"996";"60";"568";"253";"949";"10";"-";"-";"-";"-"
"101003";"101003";"14";"3";"1";"5079";"3954";"40";"20";"3894";"1843";"132";"384";"90";"458";"60";"354";"282";"288";"3";"-";"-";"-";"-"
"101004";"101004";"1";"1";"1";"6587";"5509";"43";"15";"5451";"1419";"468";"543";"118";"978";"38";"501";"166";"1183";"0";"24";"13";"-";"-"
"101005";"101005";"1";"1";"1";"3558";"2905";"45";"9";"2851";"1000";"162";"358";"86";"426";"38";"372";"147";"250";"0";"8";"4";"-";"-"
"101006";"101006";"1";"1";"1";"10991";"8497";"84";"48";"8365";"3109";"485";"1023";"222";"1055";"115";"1153";"500";"667";"1";"24";"11";"-";"-"
"101007";"101007";"8";"2";"1";"3060";"2351";"23";"14";"2314";"1244";"64";"133";"47";"296";"16";"169";"158";"162";"4";"3";"18";"-";"-"
"101008";"101008";"1";"1";"1";"5377";"4278";"38";"28";"4212";"1484";"268";"456";"95";"623";"43";"521";"233";"465";"3";"16";"5";"-";"-"
"101010";"101010";"2";"1";"1";"10257";"7230";"61";"27";"7142";"1574";"658";"1220";"244";"1148";"52";"1170";"228";"836";"1";"3";"8";"-";"-"
"101011";"101011";"16";"3";"1";"3169";"2574";"25";"9";"2540";"843";"166";"437";"68";"256";"37";"368";"158";"203";"4";"-";"-";"-";"-"
"101012";"101012";"4";"1";"1";"3909";"3257";"38";"13";"3206";"849";"293";"451";"89";"500";"63";"463";"118";"370";"1";"5";"4";"-";"-"
"101014";"101014";"4";"1";"1";"4780";"3875";"43";"23";"3809";"1094";"327";"441";"99";"669";"33";"418";"131";"583";"0";"13";"1";"-";"-"
"101016";"101016";"4";"1";"1";"6243";"4921";"31";"20";"4870";"1351";"356";"462";"109";"894";"47";"501";"219";"914";"2";"13";"2";"-";"-"
"101018";"101018";"7";"2";"1";"10674";"9057";"84";"20";"8953";"2328";"789";"1585";"277";"1239";"125";"1422";"362";"764";"38";"5";"19";"-";"-"
"101020";"101020";"7";"2";"1";"4603";"3977";"38";"11";"3928";"888";"415";"724";"111";"560";"64";"682";"111";"338";"19";"1";"15";"-";"-"
"101022";"101022";"2";"1";"1";"6660";"5603";"60";"13";"5530";"1143";"548";"1128";"177";"701";"57";"1070";"191";"492";"1";"12";"10";"-";"-"
"101024";"101024";"2";"1";"1";"6532";"5409";"56";"19";"5334";"1132";"453";"1056";"206";"588";"39";"1181";"163";"495";"1";"17";"3";"-";"-"
"101026";"101026";"5";"1";"1";"14039";"10869";"111";"42";"10716";"3986";"500";"1247";"265";"1443";"139";"1451";"693";"943";"0";"42";"7";"-";"-"
"101028";"101028";"5";"1";"1";"9384";"7273";"74";"46";"7153";"2896";"263";"760";"169";"902";"62";"908";"480";"658";"1";"45";"9";"-";"-"
"101030";"101030";"9";"2";"1";"12786";"10612";"106";"25";"10481";"2835";"844";"1702";"302";"1542";"128";"1698";"399";"936";"48";"4";"43";"-";"-"
"101032";"101032";"10";"2";"1";"6784";"5432";"51";"19";"5362";"1689";"440";"568";"151";"908";"71";"554";"252";"673";"19";"1";"36";"-";"-"
"101034";"101034";"10";"2";"1";"3141";"2333";"20";"12";"2301";"683";"197";"221";"53";"407";"23";"207";"88";"392";"12";"2";"16";"-";"-"
"101036";"101036";"11";"2";"1";"9719";"7547";"87";"35";"7425";"2568";"464";"702";"180";"1239";"97";"860";"351";"873";"24";"4";"63";"-";"-"
"101038";"101038";"11";"2";"1";"5046";"4136";"42";"15";"4079";"1458";"223";"410";"90";"668";"33";"415";"233";"510";"19";"1";"19";"-";"-"
"101040";"101040";"11";"2";"1";"9881";"7529";"64";"39";"7426";"3074";"335";"777";"194";"957";"74";"901";"474";"551";"66";"20";"3";"-";"-"
"101042";"101042";"15";"3";"1";"6897";"5498";"66";"23";"5409";"1773";"331";"469";"95";"1024";"55";"572";"315";"762";"13";"-";"-";"-";"-"
"101044";"101044";"15";"3";"1";"6058";"4834";"54";"16";"4764";"1528";"321";"452";"113";"850";"55";"479";"251";"708";"7";"-";"-";"-";"-"
"101046";"101046";"16";"3";"1";"3077";"2393";"28";"15";"2350";"999";"139";"250";"49";"313";"27";"238";"143";"184";"8";"-";"-";"-";"-"
"101048";"101048";"16";"3";"1";"4848";"3806";"36";"20";"3750";"1328";"239";"291";"54";"693";"38";"276";"214";"607";"10";"-";"-";"-";"-"
"101050";"101050";"16";"3";"1";"3937";"3143";"25";"15";"3103";"1283";"156";"372";"82";"397";"40";"326";"169";"274";"4";"-";"-";"-";"-"
"101052";"101052";"12";"2";"1";"15116";"11616";"103";"59";"11454";"4906";"471";"1286";"289";"1311";"103";"1290";"834";"779";"36";"7";"142";"-";"-"
"101054";"101054";"12";"2";"1";"4561";"3733";"30";"15";"3688";"1338";"198";"577";"125";"416";"63";"490";"209";"233";"8";"1";"30";"-";"-"
"101056";"101056";"8";"2";"1";"4309";"3620";"11";"13";"3596";"1362";"203";"447";"111";"511";"44";"364";"219";"301";"9";"1";"24";"-";"-"
"101058";"101058";"8";"2";"1";"6535";"5182";"39";"30";"5113";"2267";"208";"614";"126";"570";"56";"541";"342";"337";"12";"1";"39";"-";"-"
"101060";"101060";"13";"2";"1";"5204";"4290";"27";"11";"4252";"1568";"219";"645";"139";"455";"50";"562";"273";"316";"13";"12";"0";"-";"-"
"101062";"101062";"8";"2";"1";"8225";"6832";"56";"22";"6754";"2702";"286";"892";"216";"805";"73";"812";"471";"435";"29";"2";"31";"-";"-"
"101064";"101064";"13";"2";"1";"11000";"9144";"87";"31";"9026";"3185";"538";"1389";"272";"1041";"149";"1299";"553";"562";"21";"1";"16";"-";"-"
"101066";"101066";"13";"2";"1";"4743";"3904";"36";"5";"3863";"1358";"236";"627";"114";"432";"55";"536";"236";"252";"11";"1";"5";"-";"-"
"101068";"101068";"6";"2";"1";"9348";"7709";"69";"17";"7623";"2454";"493";"1221";"233";"980";"119";"1116";"346";"558";"30";"8";"65";"-";"-"
"101070";"101070";"6";"2";"1";"4178";"3441";"27";"22";"3392";"1549";"148";"361";"92";"397";"31";"352";"206";"202";"7";"2";"45";"-";"-"
"101072";"101072";"6";"2";"1";"16267";"13012";"110";"53";"12849";"4346";"825";"1856";"407";"1601";"203";"1876";"688";"911";"31";"7";"98";"-";"-"
"101074";"101074";"3";"1";"1";"8639";"6690";"85";"34";"6571";"2635";"275";"852";"180";"774";"82";"832";"440";"472";"1";"24";"4";"-";"-"
"101076";"101076";"3";"1";"1";"4368";"3553";"30";"9";"3514";"1282";"162";"508";"126";"401";"50";"509";"233";"230";"1";"12";"0";"-";"-"
