ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;F. SF - Socialistisk Folkeparti - K;F. SF - Socialistisk Folkeparti - T;F. SF - Socialistisk Folkeparti - I alt;K. Kristendemokraterne - K;K. Kristendemokraterne - T;K. Kristendemokraterne - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Y. Ny Alliance - K;Y. Ny Alliance - T;Y. Ny Alliance - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;4. Uden for partierne - K;4. Uden for partierne - T;4. Uden for partierne - I alt;5. Uden for partierne - K;5. Uden for partierne - T;5. Uden for partierne - I alt;Valgte kandidater
31;Københavns Storkreds;4;0;4;1;0;1;1;1;2;4;0;4;0;0;0;2;0;2;2;0;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Helle Thorning-Schmidt (49926,24193,74119), A. Christine Antorini (4150,2032,6182), A. Karen Hækkerup (3765,1753,5518), A. Yildiz Akdogan (1467,759,2226), B. Lone Dybkjær (5290,8394,13684), C. Per Stig Møller (13377,11606,24983), C. Helle Sjelle (3112,2922,6034), F. Ida Auken (9547,16188,25735), F. Kamal H. Qureshi (6701,11425,18126), F. Anne Grete Holmsgaard (5316,9051,14367), F. Özlem Sara Cekic (4533,7845,12378), O. Peter Skaarup (14054,19383,33437), O. Martin Henriksen (1070,1496,2566), V. Søren Pind (7801,18145,25946), V. Rikke Hvilshøj (3410,7867,11277), Y. Naser Khader (7456,6325,13781), Ø. Johanne Schmidt-Nielsen (P 8964,4518,13482)
31;Københavns Omegns Storkreds;4;0;4;0;1;1;1;1;2;2;0;2;0;0;0;2;0;2;2;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Mette Frederiksen (27077,20757,47834), A. Mogens Lykketoft (7432,6654,14086), A. Morten Bødskov (5089,3830,8919), A. Sophie Hæstorp Andersen (3353,2996,6349), B. Morten Helveg Petersen (2594,5140,7734), C. Connie Hedegaard (21775,11553,33328), C. Charlotte Dyremose (2108,1132,3240), F. Hanne Agersnap (P 1658,12088,13746), F. Holger K. Nielsen (P 6141,7605,13746), O. Søren Espersen (5990,15477,21467), O. Mikkel Dencker (1809,4734,6543), V. Bertel Haarder (11743,20612,32355), V. Karen Ellemann (5068,8445,13513), V. Gitte Lillelund Bech (1428,2661,4089), Ø. Frank Aaen (P 2590,1327,3917)
31;Nordsjællands Storkreds;2;1;3;1;0;1;1;1;2;1;1;2;0;0;0;1;1;2;4;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Nick Hækkerup (10721,12293,23014), A. Lone Møller (6395,7110,13505), A. Klaus Hækkerup (4585,5561,10146), B. Margrethe Vestager (14206,3741,17947), C. Pia Christmas-Møller (6421,6784,13205), C. Lars Barfoed (4592,4687,9279), F. Pia Olsen Dyhr (3307,8131,11438), F. Nanna Westerby Jensen (2042,5047,7089), O. Pia Adelsteen (2823,8267,11090), O. Martin Kelkelund (1713,4382,6095), V. Lars Løkke Rasmussen (21384,16991,38375), V. Sophie Løhde (5883,5278,11161), V. Claus Hjort Frederiksen (5306,4644,9950), V. Thor Pedersen (5504,4441,9945), Y. Malou Aamund (3958,5342,9300)
31;Bornholms Storkreds;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Jeppe Kofod (7069,1921,8990), V. Peter Juel Jensen (2609,855,3464)
31;Sjællands Storkreds;6;1;7;0;1;1;2;0;2;3;0;3;0;0;0;4;1;5;6;2;8;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Henrik Sass Larsen (10443,13696,24139), A. Magnus Heunicke (8973,8780,17753), A. Mette Gjerskov (6641,8926,15567), A. Thomas Adelskov (6168,8332,14500), A. Ole Hækkerup (4797,6796,11593), A. John Dyrby Paulsen (5570,5833,11403), A. Lennart Damsbo-Andersen (5731,4877,10608), B. Simon Emil Ammitzbøll (1903,3460,5363), C. Helge Adam Møller (8730,7051,15781), C. Brian Mikkelsen (6332,6072,12404), F. Ole Sohn (9264,14529,23793), F. Flemming Bonne (8345,3877,12222), F. Astrid Krag (3667,5915,9582), O. Pia Kjærsgaard (47611,27375,74986), O. Mia Falkenberg (1495,864,2359), O. Colette Brix (1445,901,2346), O. Henrik Brodersen (1145,751,1896), O. Liselott Blixt (959,594,1553), V. Anders Fogh Rasmussen (58751,24286,83037), V. Birthe Rønn Hornbech (8960,4037,12997), V. Henrik Høegh (8528,2617,11145), V. Jacob Jensen (6279,3265,9544), V. Troels Christensen (4659,2268,6927), V. Karsten Nonbo (4678,2240,6918), V. Flemming Damgaard Larsen (2973,1324,4297), V. Louise Schack Elholm (2826,1395,4221), Y. Gitte Seeberg (6235,4705,10940), Ø. Line Barfod (P 3312,847,4159)
31;Fyns Storkreds;4;0;4;0;1;1;1;1;2;2;0;2;0;0;0;2;0;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Carsten Hansen (7090,12061,19151), A. Julie Skovsby (5922,9599,15521), A. Niels Sindal (4443,7617,12060), A. Poul Andersen (4036,6199,10235), B. Niels Helveg Petersen (3143,5067,8210), C. Bendt Bendtsen (23464,9563,33027), C. Vivi Kier (2161,862,3023), F. Anne Baastrup (8749,14261,23010), F. Karsten Hønge (2267,3729,5996), O. Kristian Thulesen Dahl (19993,15872,35865), O. Tina Petersen (1969,1599,3568), V. Erling Bonnesen (9436,11593,21029), V. Lars Chr. Lilleholt (7309,10216,17525), V. Britta Schall Holberg (3238,4220,7458)
31;Sydjyllands Storkreds;5;0;5;0;1;1;1;1;2;2;1;3;0;0;0;3;1;4;7;1;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Kim Mortensen (9513,6597,16110), A. Karen Johanne Klint (5995,6430,12425), A. Benny Engelbrecht (6698,4947,11645), A. Julie Rademacher (4726,5788,10514), A. Lise von Seelen (5314,4047,9361), B. Bente Dahl (1079,2284,3363), C. Carina Christensen (6844,6989,13833), C. Mike Legarth (2328,2083,4411), F. Villy Søvndal (P 33046,0,33046), F. Jesper Petersen (P 1812,10810,12622), F. Karina Lorentzen (P 706,1100,1806), O. Jørn Dohrmann (9200,13290,22490), O. Søren Krarup (5829,8329,14158), O. Mogens Camre (2828,4450,7278), O. Karin Nødgaard (2381,3383,5764), V. Eva Kjer Hansen (17562,13347,30909), V. Ellen Trane Nørby (12804,6681,19485), V. Hans Chr. Schmidt (10664,5241,15905), V. Preben Rudiengaard (9802,5277,15079), V. Ulla Tørnæs (7173,4627,11800), V. Hans Chr. Thoning (8485,3128,11613), V. Jens Vibjerg (5964,5290,11254), V. Peter Christensen (7265,3575,10840), Y. Jørgen Poulsen (2204,3253,5457)
31;Østjyllands Storkreds;6;1;7;1;0;1;1;1;2;2;1;3;0;0;0;2;1;3;5;1;6;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Svend Auken (22769,20353,43122), A. Henrik Dam Kristensen (10710,8790,19500), A. Kirsten Brosbøl (7460,6103,13563), A. Torben Hansen (6689,4136,10825), A. Leif Lahn Jensen (5865,3914,9779), A. René Skau Björnsson (4060,3759,7819), A. Anne-Marie Meldgaard (3988,3644,7632), B. Morten Østergaard (2895,6200,9095), C. Henriette Kjær (10195,12725,22920), C. Tom Behnke (3787,4646,8433), F. Jonas Dahl (P 1953,13422,15375), F. Eigil Andersen (P 1649,13726,15375), F. Pernille Frahm (P 8104,7271,15375), O. Morten Messerschmidt (11466,21054,32520), O. Hans Kristian Skibby (2629,4793,7422), O. Kim Christiansen (1196,2336,3532), V. Karen Jespersen (13692,14988,28680), V. Michael Aastrup Jensen (10532,8497,19029), V. Troels Lund Poulsen (9786,7908,17694), V. Kim Andersen (6356,6741,13097), V. Anne-Mette Winther Christiansen (5533,5378,10911), V. Eyvind Vesselbo (4385,5367,9752), Y. Anders Samuelsen (6065,5152,11217), Ø. Per Clausen (P 867,4077,4944)
31;Vestjyllands Storkreds;4;0;4;0;1;1;1;0;1;1;1;2;0;0;0;2;0;2;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Jens Chr. Lund (8262,7181,15443), A. Thomas Jensen (6927,5362,12289), A. Mogens Jensen (5307,5113,10420), A. Jens Peter Vernersen (4950,3944,8894), B. Johs. Poulsen (2470,3150,5620), C. Per Ørum Jørgensen (2329,2891,5220), F. Steen Gade (5049,5163,10212), F. Kristen Touborg (5487,4354,9841), O. Christian H. Hansen (6992,10347,17339), O. Jesper Langballe (3259,5171,8430), V. Søren Gade (23993,8227,32220), V. Kristian Jensen (17804,7159,24963), V. Inger Støjberg (12457,5198,17655), V. Kristian Pihl Lorentzen (6907,4594,11501), V. Helge Sander (6908,3081,9989), V. Jens Kirk (6464,2888,9352)
31;Nordjyllands Storkreds;5;1;6;0;1;1;2;1;3;2;0;2;0;0;0;2;1;3;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A. Orla Hav (29192,15656,44848), A. Bjarne Laustsen (15970,7787,23757), A. Ole Vagn Christensen (5881,4400,10281), A. Rasmus Prehn (4567,2597,7164), A. Lene Hansen (4165,2267,6432), A. Flemming Møller Mortensen (2650,1541,4191), B. Marianne Jelved (3309,4968,8277), C. Lene Espersen (27572,5892,33464), C. Jakob Axel Nielsen (6585,1597,8182), C. Knud Kristensen (3386,519,3905), F. Pernille Vigsø Bagge (8345,12033,20378), F. Karl H. Bornhøft (2344,3569,5913), O. Bent Bøgsted (6154,13253,19407), O. Anita Knakkergaard (2537,5615,8152), O. Ib Poulsen (1784,3504,5288), V. Tina Nedergaard (9030,9655,18685), V. Birgitte Josefsen (7499,8950,16449), V. Torsten Schack Pedersen (8507,5077,13584), V. Karsten Lauritzen (5337,5017,10354), V. Per Bisgaard (4739,3997,8736)
