"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"196";"483";"6";"55";"5818";"196";"6";"5818";"483";"55";"2385";"2385";"0";"1";"0";"483006";"2385";"483006";"483006"
"2";"196";"671";"9";"77";"7040";"196";"9";"7040";"671";"77";"113";"113";"0";"1";"0";"671009";"113";"671009";"671009"
"3";"196";"167";"4";"26";"5422";"196";"4";"5422";"167";"26";"4653";"4653";"0";"1";"0";"167004";"4653";"167004";"167004"
"4";"196";"461";"20";"51";"5254";"196";"20";"5254";"461";"51";"3621";"3621";"0";"1";"0";"461020";"3621";"461020";"461020"
"5";"196";"231";"2";"32";"5505";"196";"2";"5505";"231";"32";"1420";"1420";"0";"1";"0";"231002";"1420";"231002";"231002"
"6";"196";"813";"8";"95";"6897";"196";"8";"6897";"813";"95";"1372";"1372";"0";"1";"0";"813008";"1372";"813008";"813008"
"7";"196";"531";"71";"63";"5983";"196";"71";"5983";"531";"63";"463";"463";"0";"1";"0";"531071";"463";"531071";"531071"
"8";"196";"569";"5";"69";"6121";"196";"5";"6121";"569";"69";"836";"836";"0";"1";"0";"569005";"836";"569005";"569005"
"9";"196";"539";"6";"64";"6013";"196";"6";"6013";"539";"64";"498";"498";"0";"1";"0";"539006";"498";"539006";"539006"
"10";"196";"400";"3";"48";"7193";"196";"3";"7193";"400";"48";"1175";"1175";"0";"1";"0";"400003";"1175";"400003";"400003"
"11";"196";"751";"65";"80";"6962";"196";"65";"6962";"751";"80";"3297";"3297";"0";"1";"0";"751065";"3297";"751065";"751065"
"12";"196";"839";"8";"97";"6587";"196";"8";"6587";"839";"97";"814";"814";"0";"1";"0";"839008";"814";"839008";"839008"
"13";"196";"751";"16";"83";"5294";"196";"16";"5294";"751";"83";"333";"333";"0";"1";"0";"751016";"333";"751016";"751016"
"14";"196";"567";"6";"68";"6096";"196";"6";"6096";"567";"68";"686";"686";"0";"1";"0";"567006";"686";"567006";"567006"
"15";"196";"205";"1";"30";"6937";"196";"1";"6937";"205";"30";"3221";"3221";"0";"1";"0";"205001";"3221";"205001";"205001"
"16";"196";"383";"1";"46";"5727";"196";"1";"5727";"383";"46";"2395";"2395";"0";"1";"0";"383001";"2395";"383001";"383001"
