ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;D. Centrum-Demokraterne - K;D. Centrum-Demokraterne - T;D. Centrum-Demokraterne - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;U. Demokratisk Fornyelse - K;U. Demokratisk Fornyelse - T;U. Demokratisk Fornyelse - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;3. Uden for partierne - K;3. Uden for partierne - T;3. Uden for partierne - I alt;Valgte kandidater
159;;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
159;;2;0;2;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;5;2;7;0;1;1;2;0;2;1;0;1;1;0;1;2;0;2;0;1;1;0;0;0;3;0;3;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;1;1;2;0;2;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;2;0;2;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;4;0;4;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;6;0;6;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;3;1;4;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;7;1;8;1;0;1;1;0;1;1;0;1;1;1;2;1;0;1;0;1;1;0;0;0;4;1;5;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;
159;;3;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;;6;0;6;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;3;0;3;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;
159;I alt;59;4;63;1;6;7;11;5;16;2;6;8;9;4;13;10;3;13;1;3;4;0;0;0;40;2;42;2;2;4;0;5;5;0;0;0;0;0;0;0;0;0


