"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2007 - Stemmeberettigede";"FV2007 - Afgivne stemmer";"FV2007 - Blanke stemmer";"FV2007 - Andre ugyldige stemmer";"FV2007 - Gyldige stemmer";"FV2007 - A. Socialdemokratiet";"FV2007 - B. Det Radikale Venstre";"FV2007 - C. Det Konservative Folkeparti";"FV2007 - F. SF - Socialistisk Folkeparti";"FV2007 - K. Kristendemokraterne";"FV2007 - O. Dansk Folkeparti";"FV2007 - V. Venstre, Danmarks Liberale Parti";"FV2007 - Y. Ny Alliance";"FV2007 - Ø. Enhedslisten - De Rød-Grønne";"FV2007 - 1. Uden for partierne";"FV2007 - 2. Uden for partierne";"FV2007 - 3. Uden for partierne";"FV2007 - 4. Uden for partierne";"FV2007 - 5. Uden for partierne"
"101001";"101001";"1";"1";"1";"12737";"11268";"36";"27";"11205";"2577";"1241";"1280";"2365";"56";"701";"1659";"575";"750";"0";"1";"0";"0";"0"
"101002";"101002";"1";"1";"1";"5493";"4718";"20";"7";"4691";"1024";"493";"672";"755";"28";"442";"832";"253";"190";"0";"2";"0";"0";"0"
"101003";"101003";"1";"1";"1";"6290";"5671";"21";"9";"5641";"1283";"640";"607";"1316";"29";"335";"699";"286";"442";"0";"2";"1";"1";"0"
"101004";"101004";"1";"1";"1";"6817";"6042";"12";"9";"6021";"1258";"690";"800";"1194";"21";"381";"947";"359";"368";"0";"2";"0";"1";"0"
"101005";"101005";"1";"1";"1";"10637";"8922";"33";"26";"8863";"2308";"848";"954";"1794";"38";"877";"1180";"357";"502";"0";"3";"0";"0";"2"
"101006";"101006";"1";"1";"1";"8835";"7593";"32";"20";"7541";"1958";"733";"801";"1431";"42";"730";"1099";"328";"414";"0";"5";"0";"0";"0"
"101007";"101007";"2";"1";"1";"12415";"9918";"37";"43";"9838";"2760";"607";"692";"2036";"54";"1540";"1318";"315";"512";"0";"1";"1";"0";"2"
"101008";"101008";"2";"1";"1";"11475";"9294";"51";"17";"9226";"2444";"794";"688";"2154";"58";"1059";"1054";"335";"636";"0";"3";"0";"0";"1"
"101009";"101009";"2";"1";"1";"6312";"5337";"27";"11";"5299";"1147";"501";"545";"1179";"22";"453";"794";"284";"372";"0";"2";"0";"0";"0"
"101010";"101010";"2";"1";"1";"8141";"7108";"17";"24";"7067";"1538";"819";"828";"1407";"21";"531";"1079";"422";"419";"0";"2";"0";"0";"1"
"101011";"101011";"3";"1";"1";"10636";"7608";"21";"16";"7571";"1447";"991";"811";"1769";"23";"395";"940";"490";"703";"0";"0";"1";"1";"0"
"101012";"101012";"3";"1";"1";"5938";"5342";"29";"5";"5308";"1090";"646";"697";"1047";"18";"271";"840";"320";"377";"0";"2";"0";"0";"0"
"101013";"101013";"3";"1";"1";"7648";"6832";"10";"13";"6809";"1359";"701";"598";"1717";"19";"384";"747";"342";"939";"0";"0";"0";"0";"3"
"101014";"101014";"3";"1";"1";"6639";"5756";"23";"9";"5724";"1063";"658";"844";"1000";"32";"357";"1033";"326";"409";"0";"2";"0";"0";"0"
"101015";"101015";"3";"1";"1";"6176";"5443";"16";"17";"5410";"953";"624";"757";"1068";"24";"309";"927";"369";"377";"0";"1";"0";"0";"1"
"101016";"101016";"4";"1";"1";"8271";"6710";"29";"28";"6653";"1836";"497";"452";"1482";"37";"888";"848";"250";"358";"1";"1";"0";"0";"3"
"101017";"101017";"4";"1";"1";"12678";"10551";"36";"37";"10478";"2687";"888";"809";"2513";"56";"1150";"1263";"417";"687";"0";"1";"0";"0";"7"
"101018";"101018";"4";"1";"1";"7817";"6492";"24";"24";"6444";"1749";"463";"479";"1358";"40";"900";"934";"226";"289";"1";"1";"0";"1";"3"
"101019";"101019";"4";"1";"1";"7513";"6481";"26";"16";"6439";"1587";"502";"606";"1252";"54";"782";"1092";"290";"270";"0";"0";"0";"0";"4"
"101020";"101020";"5";"1";"1";"9466";"7981";"26";"33";"7922";"1823";"986";"458";"2157";"35";"580";"617";"314";"949";"2";"1";"0";"0";"0"
"101021";"101021";"5";"1";"1";"11904";"9734";"50";"49";"9635";"2231";"991";"698";"2593";"37";"710";"895";"410";"1067";"0";"1";"1";"0";"1"
"101022";"101022";"5";"1";"1";"5449";"4605";"13";"11";"4581";"935";"472";"272";"1324";"8";"279";"395";"160";"732";"0";"3";"1";"0";"0"
"101023";"101023";"5";"1";"1";"4703";"4084";"20";"30";"4034";"879";"494";"301";"1009";"22";"225";"383";"209";"511";"0";"0";"0";"0";"1"
"101024";"101024";"5";"1";"1";"6350";"5446";"26";"21";"5399";"1270";"540";"332";"1515";"23";"413";"432";"211";"659";"1";"3";"0";"0";"0"
"101025";"101025";"5";"1";"1";"9031";"7564";"34";"39";"7491";"1747";"783";"442";"2117";"25";"555";"604";"326";"889";"0";"3";"0";"0";"0"
