"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1984 - Stemmeberettigede";"FV1984 - Afgivne stemmer";"FV1984 - Blanke stemmer";"FV1984 - Andre ugyldige stemmer";"FV1984 - Gyldige stemmer";"FV1984 - A. Socialdemokratiet";"FV1984 - B. Det Radikale Venstre";"FV1984 - C. Det Konservative Folkeparti";"FV1984 - E. Danmarks Retsforbund";"FV1984 - F. Socialistisk Folkeparti";"FV1984 - I. Internationalen";"FV1984 - K. Danmarks Kommunistiske Parti";"FV1984 - L. Marxistisk-Leninistisk Parti";"FV1984 - M. Centrum-Demokraterne";"FV1984 - Q. Kristeligt Folkeparti";"FV1984 - V. Venstre, Danmarks Liberale Parti";"FV1984 - Y. Venstresocialisterne";"FV1984 - Z. Fremskridtspartiet";"FV1984 - 1. Uden for partierne";"FV1984 - 2. Uden for partierne";"FV1984 - 3. Uden for partierne"
"101001";"101001";"13";"2";"1";"4508";"4035";"27";"5";"4003";"1257";"234";"886";"59";"788";"0";"36";"2";"172";"66";"123";"258";"122";"-";"-";"-"
"101002";"101002";"15";"3";"1";"7562";"6105";"29";"13";"6063";"2186";"189";"802";"92";"1357";"8";"167";"7";"105";"41";"109";"841";"159";"-";"-";"-"
"101003";"101003";"14";"3";"1";"5646";"4934";"20";"17";"4897";"2473";"125";"617";"118";"944";"5";"62";"0";"102";"71";"90";"174";"116";"-";"-";"-"
"101004";"101004";"1";"1";"1";"6713";"5668";"36";"12";"5620";"1443";"301";"779";"98";"1273";"11";"144";"3";"113";"53";"191";"1129";"76";"6";"-";"-"
"101005";"101005";"1";"1";"1";"3640";"3110";"22";"3";"3085";"987";"146";"529";"62";"769";"6";"45";"4";"88";"37";"113";"220";"75";"4";"-";"-"
"101006";"101006";"1";"1";"1";"11554";"9588";"66";"26";"9496";"3778";"379";"1570";"168";"2094";"23";"189";"3";"189";"121";"212";"554";"207";"9";"-";"-"
"101007";"101007";"8";"2";"1";"3759";"3228";"22";"9";"3197";"1548";"60";"228";"65";"989";"1";"71";"1";"34";"21";"34";"93";"52";"-";"-";"-"
"101008";"101008";"1";"1";"1";"5783";"4882";"29";"20";"4833";"1989";"161";"701";"81";"1033";"10";"105";"1";"92";"57";"101";"383";"116";"3";"-";"-"
"101010";"101010";"2";"1";"1";"8254";"6925";"44";"9";"6872";"1488";"411";"1487";"145";"1448";"7";"137";"7";"165";"68";"316";"1000";"190";"3";"-";"-"
"101011";"101011";"16";"3";"1";"3220";"2782";"20";"8";"2754";"940";"129";"660";"61";"432";"2";"33";"4";"93";"58";"98";"165";"79";"-";"-";"-"
"101012";"101012";"4";"1";"1";"4289";"3621";"31";"11";"3579";"1086";"165";"626";"60";"760";"10";"78";"0";"99";"77";"144";"403";"70";"1";"-";"-"
"101014";"101014";"4";"1";"1";"5030";"4194";"23";"10";"4161";"1411";"131";"556";"80";"978";"11";"104";"5";"76";"38";"98";"565";"104";"4";"-";"-"
"101016";"101016";"4";"1";"1";"6286";"5230";"30";"23";"5177";"1491";"185";"738";"67";"1246";"13";"282";"11";"112";"60";"141";"723";"103";"5";"-";"-"
"101018";"101018";"7";"2";"1";"11111";"9759";"45";"10";"9704";"2365";"620";"2186";"183";"2036";"11";"154";"5";"348";"143";"498";"933";"222";"-";"-";"-"
"101020";"101020";"7";"2";"1";"4889";"4395";"26";"4";"4365";"770";"316";"1067";"57";"866";"3";"71";"6";"175";"77";"290";"569";"98";"-";"-";"-"
"101022";"101022";"2";"1";"1";"7166";"6102";"36";"7";"6059";"1203";"446";"1495";"122";"1129";"3";"84";"5";"201";"112";"385";"726";"144";"4";"-";"-"
"101024";"101024";"2";"1";"1";"6908";"5813";"38";"11";"5764";"1124";"379";"1566";"88";"1041";"5";"105";"1";"257";"70";"358";"648";"120";"2";"-";"-"
"101026";"101026";"5";"1";"1";"14641";"12054";"85";"19";"11950";"5054";"396";"1840";"214";"2713";"24";"207";"11";"251";"91";"261";"625";"258";"5";"-";"-"
"101028";"101028";"5";"1";"1";"10633";"9055";"55";"20";"8980";"3798";"272";"1345";"171";"2034";"10";"191";"2";"195";"99";"199";"478";"184";"2";"-";"-"
"101030";"101030";"9";"2";"1";"13412";"11512";"74";"24";"11414";"3216";"583";"2266";"191";"2557";"14";"175";"4";"346";"162";"441";"1218";"241";"-";"-";"-"
"101032";"101032";"10";"2";"1";"7275";"6103";"37";"20";"6046";"2147";"278";"657";"128";"1691";"9";"134";"14";"123";"67";"177";"530";"91";"-";"-";"-"
"101034";"101034";"10";"2";"1";"4013";"2999";"31";"8";"2960";"1217";"79";"357";"44";"647";"4";"79";"6";"36";"40";"53";"346";"52";"-";"-";"-"
"101036";"101036";"11";"2";"1";"10386";"8423";"44";"17";"8362";"3610";"209";"912";"117";"2140";"16";"177";"12";"121";"85";"144";"634";"185";"-";"-";"-"
"101038";"101038";"11";"2";"1";"5226";"4454";"21";"5";"4428";"1775";"144";"559";"82";"1113";"7";"87";"1";"84";"48";"86";"357";"85";"-";"-";"-"
"101040";"101040";"11";"2";"1";"10910";"9082";"41";"15";"9026";"4325";"302";"1106";"144";"1991";"10";"151";"3";"185";"83";"157";"377";"192";"-";"-";"-"
"101042";"101042";"15";"3";"1";"7262";"5991";"29";"22";"5940";"2572";"180";"642";"108";"1357";"12";"123";"9";"95";"41";"108";"553";"140";"-";"-";"-"
"101044";"101044";"15";"3";"1";"6640";"5491";"26";"18";"5447";"2291";"122";"482";"90";"1266";"8";"163";"3";"58";"31";"90";"715";"128";"-";"-";"-"
"101046";"101046";"16";"3";"1";"3657";"3018";"9";"9";"3000";"1587";"108";"282";"48";"571";"2";"68";"0";"53";"22";"67";"131";"61";"-";"-";"-"
"101048";"101048";"16";"3";"1";"5667";"4660";"20";"8";"4632";"1969";"127";"493";"70";"1093";"2";"124";"4";"58";"42";"75";"468";"107";"-";"-";"-"
"101050";"101050";"16";"3";"1";"4096";"3481";"16";"12";"3453";"1344";"157";"611";"69";"688";"4";"47";"5";"102";"51";"104";"214";"57";"-";"-";"-"
"101052";"101052";"12";"2";"1";"17630";"14689";"63";"20";"14606";"6996";"522";"2074";"230";"2857";"7";"262";"7";"320";"175";"330";"497";"329";"-";"-";"-"
"101054";"101054";"12";"2";"1";"4932";"4359";"15";"12";"4332";"1555";"228";"866";"77";"812";"5";"67";"4";"178";"95";"147";"194";"104";"-";"-";"-"
"101056";"101056";"8";"2";"1";"4838";"4244";"13";"6";"4225";"1711";"203";"787";"60";"762";"3";"86";"2";"163";"63";"107";"189";"89";"-";"-";"-"
"101058";"101058";"8";"2";"1";"7070";"6206";"23";"22";"6161";"2701";"263";"1008";"77";"1223";"4";"109";"1";"192";"76";"157";"195";"155";"-";"-";"-"
"101060";"101060";"13";"2";"1";"5831";"5186";"22";"11";"5153";"1890";"287";"1025";"83";"983";"4";"87";"1";"182";"69";"200";"220";"122";"-";"-";"-"
"101062";"101062";"8";"2";"1";"9152";"8072";"44";"15";"8013";"3085";"391";"1604";"126";"1579";"2";"151";"2";"300";"96";"208";"254";"215";"-";"-";"-"
"101064";"101064";"13";"2";"1";"11555";"10076";"61";"31";"9984";"3430";"575";"2260";"170";"1866";"6";"125";"3";"367";"187";"397";"376";"222";"-";"-";"-"
"101066";"101066";"13";"2";"1";"5035";"4350";"30";"9";"4311";"1501";"245";"990";"79";"755";"1";"54";"1";"151";"71";"151";"192";"120";"-";"-";"-"
"101068";"101068";"6";"2";"1";"9869";"8482";"37";"17";"8428";"2805";"479";"1640";"136";"1727";"5";"127";"3";"222";"147";"332";"633";"172";"-";"-";"-"
"101070";"101070";"6";"2";"1";"4622";"4089";"15";"4";"4070";"1829";"228";"654";"51";"668";"4";"79";"0";"148";"90";"129";"114";"76";"-";"-";"-"
"101072";"101072";"6";"2";"1";"16189";"13588";"56";"16";"13516";"4884";"675";"2568";"254";"2749";"12";"209";"5";"328";"249";"445";"835";"303";"-";"-";"-"
"101074";"101074";"3";"1";"1";"9349";"7859";"44";"19";"7796";"3354";"281";"1413";"156";"1536";"14";"98";"4";"176";"93";"181";"304";"183";"3";"-";"-"
"101076";"101076";"3";"1";"1";"4541";"3981";"22";"7";"3952";"1392";"199";"918";"86";"649";"5";"51";"0";"152";"65";"127";"169";"137";"2";"-";"-"
"101078";"101078";"3";"1";"1";"14487";"12194";"59";"23";"12112";"4983";"489";"2221";"237";"2386";"15";"229";"8";"303";"151";"300";"524";"255";"11";"-";"-"
"101080";"101080";"14";"3";"1";"7087";"6152";"26";"10";"6116";"2421";"270";"1220";"107";"1009";"3";"90";"4";"198";"102";"186";"373";"133";"-";"-";"-"
"101082";"101082";"14";"3";"1";"5269";"4536";"33";"7";"4496";"1990";"170";"825";"102";"756";"4";"81";"2";"110";"54";"94";"200";"108";"-";"-";"-"
"101084";"101084";"14";"3";"1";"5593";"4963";"15";"9";"4939";"2271";"187";"792";"84";"936";"3";"71";"2";"142";"59";"92";"165";"135";"-";"-";"-"
"101086";"101086";"9";"2";"1";"5993";"5186";"22";"13";"5151";"1235";"295";"1598";"80";"766";"4";"60";"0";"219";"114";"306";"328";"146";"-";"-";"-"
"101088";"101088";"14";"3";"1";"4865";"4221";"27";"5";"4189";"1739";"193";"750";"72";"816";"2";"62";"2";"103";"54";"107";"203";"86";"-";"-";"-"
"101090";"101090";"10";"2";"1";"8108";"6798";"36";"16";"6746";"2493";"246";"959";"130";"1659";"15";"130";"6";"124";"79";"163";"611";"131";"-";"-";"-"
"101092";"101092";"11";"2";"1";"2117";"1928";"7";"4";"1917";"718";"93";"375";"42";"348";"1";"46";"1";"77";"40";"49";"102";"25";"-";"-";"-"
"101094";"101094";"16";"3";"1";"9927";"8158";"36";"17";"8105";"4297";"193";"842";"103";"1723";"14";"138";"8";"105";"60";"113";"351";"158";"-";"-";"-"
"101096";"101096";"13";"2";"1";"3594";"3166";"18";"4";"3144";"1029";"172";"749";"48";"550";"1";"37";"0";"132";"58";"126";"166";"76";"-";"-";"-"
"101098";"101098";"13";"2";"1";"4737";"4223";"16";"5";"4202";"1194";"222";"1124";"84";"757";"4";"51";"0";"191";"68";"133";"242";"132";"-";"-";"-"
"101102";"101102";"2";"1";"1";"2869";"1117";"7";"21";"1089";"273";"48";"410";"9";"82";"0";"20";"1";"38";"9";"153";"31";"15";"0";"-";"-"
"147001";"147001";"17";"3";"1";"8034";"7139";"45";"15";"7079";"1434";"464";"2411";"106";"994";"6";"84";"1";"267";"90";"371";"669";"182";"-";"-";"-"
"147002";"147002";"17";"3";"1";"8529";"7536";"37";"13";"7486";"1335";"492";"2953";"102";"999";"5";"85";"3";"264";"121";"393";"538";"196";"-";"-";"-"
"147003";"147003";"18";"3";"1";"12972";"11175";"34";"27";"11114";"3772";"548";"3159";"190";"1706";"10";"120";"3";"330";"188";"374";"475";"239";"-";"-";"-"
"147004";"147004";"18";"3";"1";"10542";"9214";"54";"30";"9130";"2108";"525";"3607";"151";"984";"3";"67";"3";"363";"230";"455";"409";"225";"-";"-";"-"
"147005";"147005";"18";"3";"1";"12269";"10455";"49";"31";"10375";"3155";"471";"2760";"180";"1989";"9";"141";"1";"229";"148";"326";"712";"254";"-";"-";"-"
"147007";"147007";"19";"3";"1";"8217";"7217";"29";"15";"7173";"1603";"433";"2441";"134";"1038";"4";"85";"2";"268";"107";"342";"530";"186";"-";"-";"-"
"147008";"147008";"19";"3";"1";"12985";"11272";"47";"19";"11206";"3074";"681";"3421";"213";"1746";"5";"135";"5";"373";"164";"551";"582";"256";"-";"-";"-"
"151002";"151002";"22";"4";"2";"7375";"6466";"34";"18";"6414";"2794";"285";"1120";"126";"1148";"13";"54";"1";"221";"51";"251";"175";"175";"0";"0";"0"
"151003";"151003";"22";"4";"2";"4902";"4505";"13";"2";"4490";"1180";"372";"1242";"79";"640";"3";"45";"2";"303";"58";"260";"158";"146";"2";"0";"0"
"151004";"151004";"22";"4";"2";"3057";"2663";"17";"5";"2641";"1178";"84";"441";"44";"585";"9";"35";"2";"65";"9";"45";"79";"65";"0";"0";"0"
"151005";"151005";"22";"4";"2";"3924";"3696";"13";"6";"3677";"1106";"303";"901";"66";"486";"2";"39";"0";"296";"35";"219";"108";"116";"0";"0";"0"
"151006";"151006";"22";"4";"2";"4795";"4328";"36";"4";"4288";"2119";"167";"511";"88";"917";"6";"72";"1";"104";"27";"75";"130";"69";"0";"2";"0"
"151007";"151007";"22";"4";"2";"1582";"1471";"13";"0";"1458";"456";"75";"413";"23";"173";"0";"17";"1";"100";"33";"66";"47";"54";"0";"0";"0"
"151101";"151101";"22";"4";"2";"4865";"4372";"18";"10";"4344";"2008";"191";"658";"86";"851";"11";"53";"1";"169";"24";"109";"76";"107";"0";"0";"0"
"151109";"151109";"22";"4";"2";"3879";"3475";"17";"6";"3452";"1108";"197";"793";"73";"574";"4";"37";"6";"183";"29";"152";"179";"117";"0";"0";"0"
"153001";"153001";"26";"4";"2";"3971";"3596";"20";"8";"3568";"1384";"210";"777";"65";"490";"5";"34";"2";"176";"44";"161";"107";"113";"0";"0";"0"
"153004";"153004";"26";"4";"2";"1925";"1718";"12";"0";"1706";"758";"72";"259";"44";"357";"3";"20";"1";"45";"13";"38";"51";"45";"0";"0";"0"
"153005";"153005";"26";"4";"2";"3479";"3165";"24";"3";"3138";"1385";"155";"428";"76";"651";"6";"35";"1";"116";"26";"85";"95";"78";"1";"0";"0"
"153006";"153006";"26";"4";"2";"5079";"4308";"26";"8";"4274";"1801";"178";"775";"109";"787";"1";"41";"3";"152";"40";"98";"123";"166";"0";"0";"0"
"153102";"153102";"26";"4";"2";"3441";"2979";"17";"11";"2951";"1217";"163";"540";"65";"529";"6";"31";"0";"128";"22";"103";"72";"74";"0";"1";"0"
