"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1979 - Stemmeberettigede";"FV1979 - Afgivne stemmer";"FV1979 - Blanke stemmer";"FV1979 - Andre ugyldige stemmer";"FV1979 - Gyldige stemmer";"FV1979 - A. Socialdemokratiet";"FV1979 - B. Det Radikale Venstre";"FV1979 - C. Det Konservative Folkeparti";"FV1979 - E. Danmarks Retsforbund";"FV1979 - F. Socialistisk Folkeparti";"FV1979 - K. Danmarks Kommunistiske Parti";"FV1979 - M. Centrum-Demokraterne";"FV1979 - Q. Kristeligt Folkeparti";"FV1979 - R. Arbejderpartiet KAP";"FV1979 - V. Venstre, Danmarks Liberale Parti";"FV1979 - Y. Venstresocialisterne";"FV1979 - Z. Fremskridtspartiet";"FV1979 - 1. Uden for partierne";"FV1979 - 2. Uden for partierne"
"101001";"101001";"13";"2";"1";"4572";"3925";"21";"2";"3902";"1579";"215";"536";"129";"369";"109";"124";"63";"26";"163";"239";"348";"2";"-"
"101002";"101002";"15";"3";"1";"8165";"6137";"22";"16";"6099";"2811";"176";"361";"191";"609";"373";"63";"39";"100";"120";"846";"404";"6";"-"
"101003";"101003";"14";"3";"1";"4163";"3552";"16";"4";"3532";"2034";"119";"225";"94";"360";"127";"43";"46";"20";"70";"172";"222";"0";"-"
"101004";"101004";"1";"1";"1";"6544";"5241";"28";"18";"5195";"1804";"241";"460";"154";"534";"300";"75";"38";"95";"175";"1063";"237";"12";"7"
"101005";"101005";"1";"1";"1";"3349";"2771";"18";"10";"2743";"1059";"114";"236";"98";"358";"135";"51";"19";"26";"87";"336";"223";"0";"1"
"101006";"101006";"1";"1";"1";"11434";"9206";"25";"21";"9160";"4422";"395";"846";"262";"931";"462";"143";"92";"59";"244";"799";"503";"1";"1"
"101007";"101007";"8";"2";"1";"3899";"3296";"14";"12";"3270";"1750";"82";"95";"128";"538";"198";"16";"23";"26";"40";"236";"138";"0";"-"
"101008";"101008";"1";"1";"1";"5994";"4940";"21";"19";"4900";"2488";"130";"313";"184";"503";"242";"61";"53";"34";"122";"463";"306";"0";"1"
"101010";"101010";"2";"1";"1";"8776";"6917";"29";"17";"6871";"2177";"348";"900";"217";"641";"340";"141";"61";"99";"337";"1143";"464";"1";"2"
"101011";"101011";"16";"3";"1";"3253";"2758";"9";"5";"2744";"1250";"137";"401";"108";"170";"66";"62";"55";"10";"112";"154";"218";"1";"-"
"101012";"101012";"4";"1";"1";"4620";"3772";"12";"11";"3749";"1578";"144";"379";"128";"342";"168";"59";"57";"27";"164";"496";"206";"0";"1"
"101014";"101014";"4";"1";"1";"4921";"3846";"28";"17";"3801";"1623";"107";"256";"139";"442";"259";"46";"32";"54";"78";"532";"230";"0";"3"
"101016";"101016";"4";"1";"1";"7622";"5854";"18";"22";"5814";"2318";"179";"386";"171";"591";"483";"69";"52";"101";"139";"917";"405";"0";"3"
"101018";"101018";"7";"2";"1";"11246";"9535";"42";"11";"9482";"3308";"528";"1518";"325";"901";"318";"242";"130";"101";"477";"941";"690";"3";"-"
"101020";"101020";"7";"2";"1";"4954";"4332";"15";"6";"4311";"1166";"327";"745";"122";"404";"129";"122";"67";"56";"276";"578";"318";"1";"-"
"101022";"101022";"2";"1";"1";"7380";"6034";"23";"10";"6001";"1780";"381";"876";"185";"570";"243";"141";"71";"67";"375";"851";"455";"0";"6"
"101024";"101024";"2";"1";"1";"7322";"5822";"38";"11";"5773";"1838";"292";"864";"194";"517";"258";"196";"41";"58";"317";"791";"402";"1";"4"
"101026";"101026";"5";"1";"1";"14793";"11973";"48";"22";"11903";"6172";"432";"834";"381";"1177";"640";"153";"101";"113";"261";"978";"658";"1";"2"
"101028";"101028";"5";"1";"1";"11048";"9188";"40";"18";"9130";"4709";"359";"619";"313";"968";"453";"148";"102";"81";"203";"595";"580";"0";"0"
"101030";"101030";"9";"2";"1";"13877";"11399";"60";"16";"11323";"4481";"541";"1310";"333";"1187";"423";"216";"129";"162";"447";"1306";"782";"6";"-"
"101032";"101032";"10";"2";"1";"7790";"6376";"40";"6";"6330";"3012";"226";"381";"177";"821";"315";"69";"68";"89";"149";"717";"302";"4";"-"
"101034";"101034";"10";"2";"1";"4122";"2949";"26";"20";"2903";"1525";"53";"157";"78";"288";"176";"24";"28";"47";"61";"341";"124";"1";"-"
"101036";"101036";"11";"2";"1";"10542";"8356";"36";"23";"8297";"4434";"204";"399";"274";"921";"473";"81";"81";"117";"143";"754";"415";"1";"-"
"101038";"101038";"11";"2";"1";"5506";"4530";"22";"9";"4499";"2376";"153";"295";"142";"489";"224";"50";"46";"38";"100";"363";"222";"1";"-"
"101040";"101040";"11";"2";"1";"11298";"9318";"30";"24";"9264";"5365";"325";"529";"266";"909";"463";"103";"79";"58";"174";"526";"466";"1";"-"
"101042";"101042";"15";"3";"1";"7643";"6064";"29";"18";"6017";"3215";"169";"288";"197";"617";"347";"54";"36";"61";"94";"596";"340";"3";"-"
"101044";"101044";"15";"3";"1";"7172";"5639";"25";"11";"5603";"2782";"161";"217";"182";"559";"433";"56";"21";"72";"87";"720";"310";"3";"-"
"101046";"101046";"16";"3";"1";"3825";"3216";"9";"4";"3203";"1922";"107";"136";"86";"344";"159";"23";"11";"19";"61";"207";"127";"1";"-"
"101048";"101048";"16";"3";"1";"5987";"4731";"18";"10";"4703";"2558";"127";"267";"127";"451";"265";"55";"38";"60";"88";"433";"229";"5";"-"
"101050";"101050";"16";"3";"1";"3965";"3302";"14";"7";"3281";"1567";"165";"308";"115";"305";"128";"61";"45";"21";"115";"253";"198";"0";"-"
"101052";"101052";"12";"2";"1";"18154";"14946";"41";"43";"14862";"8519";"575";"1058";"433";"1267";"661";"188";"158";"114";"369";"742";"777";"1";"-"
"101054";"101054";"12";"2";"1";"4985";"4250";"14";"5";"4231";"1848";"238";"535";"120";"388";"177";"120";"81";"43";"158";"239";"283";"1";"-"
"101056";"101056";"8";"2";"1";"4965";"4262";"15";"10";"4237";"2156";"181";"479";"99";"335";"154";"134";"65";"24";"120";"209";"280";"1";"-"
"101058";"101058";"8";"2";"1";"7187";"6012";"14";"16";"5982";"3151";"255";"510";"203";"582";"235";"115";"55";"32";"157";"306";"380";"1";"-"
"101060";"101060";"13";"2";"1";"6045";"5218";"19";"6";"5193";"2361";"284";"610";"151";"484";"174";"120";"58";"40";"234";"278";"399";"0";"-"
"101062";"101062";"8";"2";"1";"9304";"7999";"46";"11";"7942";"3735";"410";"831";"231";"803";"305";"223";"91";"49";"215";"414";"634";"1";"-"
"101064";"101064";"13";"2";"1";"11534";"9801";"41";"16";"9744";"4183";"583";"1273";"352";"892";"311";"261";"162";"51";"408";"540";"723";"5";"-"
"101066";"101066";"13";"2";"1";"5234";"4497";"15";"13";"4469";"1983";"261";"620";"131";"382";"139";"100";"65";"28";"192";"247";"319";"2";"-"
"101068";"101068";"6";"2";"1";"9576";"8072";"33";"21";"8018";"3602";"415";"883";"263";"809";"275";"133";"138";"55";"295";"660";"488";"2";"-"
"101070";"101070";"6";"2";"1";"4453";"3912";"13";"7";"3892";"2126";"198";"348";"103";"303";"144";"87";"61";"17";"133";"155";"216";"1";"-"
"101072";"101072";"6";"2";"1";"16108";"13041";"56";"43";"12942";"6066";"605";"1343";"434";"1243";"466";"227";"216";"102";"454";"986";"796";"4";"-"
"101074";"101074";"3";"1";"1";"9658";"8041";"26";"18";"7997";"4106";"298";"693";"284";"753";"316";"134";"81";"45";"226";"543";"518";"0";"0"
"101076";"101076";"3";"1";"1";"4593";"3925";"21";"9";"3895";"1687";"195";"495";"132";"308";"117";"131";"59";"21";"142";"209";"399";"0";"0"
"101078";"101078";"3";"1";"1";"14530";"11975";"54";"25";"11896";"5691";"474";"1204";"421";"1197";"535";"244";"152";"70";"320";"739";"846";"0";"3"
"101080";"101080";"14";"3";"1";"7254";"6117";"31";"8";"6078";"2951";"308";"674";"191";"492";"166";"151";"119";"27";"196";"393";"410";"0";"-"
"101082";"101082";"14";"3";"1";"5493";"4587";"23";"9";"4555";"2460";"217";"399";"139";"406";"156";"69";"54";"26";"109";"256";"262";"2";"-"
"101084";"101084";"14";"3";"1";"7213";"6030";"29";"16";"5985";"3213";"236";"419";"213";"593";"239";"105";"61";"37";"113";"330";"424";"2";"-"
"101086";"101086";"9";"2";"1";"5900";"4914";"21";"12";"4881";"1654";"259";"1017";"114";"300";"139";"139";"92";"40";"335";"344";"446";"2";"-"
"101088";"101088";"14";"3";"1";"4728";"3891";"19";"14";"3858";"2014";"191";"364";"108";"343";"128";"45";"47";"28";"104";"262";"222";"2";"-"
"101090";"101090";"10";"2";"1";"8647";"6985";"28";"24";"6933";"3276";"266";"446";"236";"851";"349";"74";"73";"113";"149";"706";"392";"2";"-"
"101092";"101092";"11";"2";"1";"2265";"1998";"8";"3";"1987";"938";"119";"239";"71";"158";"55";"58";"31";"11";"70";"129";"108";"0";"-"
"101094";"101094";"16";"3";"1";"10233";"8254";"34";"13";"8207";"5081";"237";"331";"224";"808";"393";"66";"43";"45";"117";"484";"376";"2";"-"
"101096";"101096";"13";"2";"1";"3619";"3121";"6";"7";"3108";"1231";"196";"504";"92";"267";"98";"87";"45";"28";"137";"203";"220";"0";"-"
"101098";"101098";"13";"2";"1";"4652";"4011";"22";"9";"3980";"1444";"242";"675";"128";"306";"119";"142";"65";"28";"170";"270";"390";"1";"-"
"101102";"101102";"2";"1";"1";"3173";"1069";"8";"29";"1032";"349";"38";"210";"12";"51";"35";"39";"5";"6";"198";"42";"47";"0";"0"
"147001";"147001";"17";"3";"1";"7883";"6742";"26";"10";"6706";"1855";"502";"1617";"209";"474";"155";"216";"72";"52";"371";"610";"566";"7";"-"
"147002";"147002";"17";"3";"1";"8680";"7420";"21";"9";"7390";"1890";"503";"2029";"206";"515";"165";"214";"86";"37";"470";"589";"684";"2";"-"
"147003";"147003";"18";"3";"1";"12302";"10332";"43";"23";"10266";"4372";"545";"1953";"299";"707";"282";"243";"131";"66";"432";"504";"730";"2";"-"
"147004";"147004";"18";"3";"1";"10495";"9052";"44";"18";"8990";"2718";"575";"2540";"258";"484";"169";"273";"204";"37";"540";"451";"739";"2";"-"
"147005";"147005";"18";"3";"1";"12130";"10143";"39";"21";"10083";"4270";"440";"1577";"340";"904";"342";"172";"123";"72";"312";"798";"731";"2";"-"
"147007";"147007";"19";"3";"1";"8482";"7190";"18";"6";"7166";"2285";"431";"1683";"246";"517";"169";"186";"98";"44";"349";"544";"612";"2";"-"
"147008";"147008";"19";"3";"1";"13163";"11181";"50";"20";"11111";"4000";"739";"2329";"365";"798";"296";"299";"120";"60";"588";"675";"833";"9";"-"
