"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2013 - Stemmeberettigede";"KV2013 - Afgivne stemmer";"KV2013 - Blanke stemmer";"KV2013 - Andre ugyldige stemmer";"KV2013 - Gyldige stemmer";"KV2013 - A";"KV2013 - B";"KV2013 - C";"KV2013 - F";"KV2013 - I";"KV2013 - K";"KV2013 - J";"KV2013 - G";"KV2013 - O";"KV2013 - M";"KV2013 - N";"KV2013 - H";"KV2013 - V";"KV2013 - U";"KV2013 - S";"KV2013 - Z";"KV2013 - Ø";"KV2013 - L";"KV2013 - R";"KV2013 - Å";"KV2013 - D";"KV2013 - P";"KV2013 - E";"KV2013 - T";"KV2013 - W";"KV2013 - 01";"KV2013 - 04";"KV2013 - 05";"KV2013 - Q";"KV2013 - 02";"KV2013 - Æ";"KV2013 - 03";"KV2013 - 06";"KV2013 - Y"
"101001";"101001";"1";"1";"1";"14928";"10215";"179";"30";"10006";"2596";"1398";"671";"988";"463";"38";"19";"4";"492";"11";"0";"0";"1555";"7";"-";"0";"1549";"4";"28";"35";"37";"20";"23";"20";"-";"4";"4";"2";"7";"8";"5";"14";"3";"1"
"101002";"101002";"1";"1";"1";"6453";"4095";"69";"6";"4020";"981";"542";"372";"349";"230";"10";"8";"3";"341";"13";"0";"0";"679";"1";"-";"1";"421";"1";"8";"12";"10";"7";"6";"4";"-";"0";"6";"0";"4";"1";"4";"6";"0";"0"
"101003";"101003";"1";"1";"1";"15951";"10463";"202";"15";"10246";"2646";"1466";"750";"1053";"536";"19";"19";"5";"497";"12";"0";"0";"1367";"10";"-";"1";"1645";"2";"31";"33";"30";"27";"13";"18";"-";"4";"11";"1";"13";"14";"7";"14";"1";"1"
"101005";"101005";"1";"1";"1";"12354";"7532";"146";"20";"7366";"2049";"818";"440";"713";"307";"26";"17";"4";"612";"24";"0";"0";"913";"7";"-";"1";"1245";"3";"36";"31";"27";"15";"13";"11";"-";"1";"10";"1";"8";"9";"4";"16";"1";"4"
"101006";"101006";"1";"1";"1";"10570";"6902";"161";"41";"6700";"1925";"815";"416";"559";"320";"26";"11";"4";"575";"14";"0";"0";"895";"7";"-";"0";"972";"3";"15";"22";"23";"20";"14";"12";"-";"11";"6";"2";"7";"7";"5";"9";"1";"4"
"101007";"101007";"2";"1";"1";"14768";"8443";"202";"36";"8205";"2462";"644";"349";"720";"275";"24";"23";"12";"1059";"16";"0";"39";"938";"19";"-";"5";"1425";"17";"22";"47";"19";"10";"12";"7";"-";"14";"7";"0";"5";"12";"3";"18";"1";"1"
"101008";"101008";"2";"1";"1";"14339";"8380";"199";"48";"8133";"2371";"892";"304";"820";"280";"21";"19";"13";"686";"13";"0";"5";"859";"14";"-";"2";"1613";"5";"24";"62";"27";"18";"14";"20";"-";"5";"6";"3";"9";"6";"1";"20";"1";"0"
"101009";"101009";"2";"1";"1";"10909";"6417";"100";"26";"6291";"1536";"743";"488";"492";"544";"16";"8";"2";"361";"18";"1";"2";"1138";"7";"-";"2";"802";"5";"17";"20";"14";"24";"5";"12";"-";"2";"4";"4";"2";"9";"0";"12";"1";"0"
"101010";"101010";"2";"1";"1";"10377";"7132";"0";"3";"7129";"1813";"950";"401";"713";"414";"10";"14";"2";"372";"13";"1";"2";"1162";"4";"-";"1";"1097";"1";"22";"42";"17";"8";"2";"17";"-";"0";"6";"10";"2";"18";"6";"7";"1";"1"
"101011";"101011";"3";"1";"1";"15899";"8513";"140";"4";"8369";"2082";"1191";"610";"758";"479";"23";"29";"5";"312";"9";"2";"0";"1067";"8";"-";"0";"1610";"3";"28";"37";"23";"14";"4";"21";"-";"3";"7";"3";"9";"7";"7";"12";"3";"3"
"101012";"101012";"3";"1";"1";"7183";"4713";"57";"11";"4645";"1155";"640";"432";"426";"275";"11";"7";"0";"202";"4";"2";"0";"702";"1";"-";"0";"712";"0";"3";"10";"13";"9";"10";"11";"-";"2";"0";"1";"9";"2";"2";"3";"1";"0"
"101013";"101013";"3";"1";"1";"9294";"6481";"80";"15";"6386";"1613";"667";"263";"576";"220";"7";"33";"8";"271";"4";"1";"0";"596";"5";"-";"0";"1702";"1";"28";"284";"18";"12";"7";"17";"-";"0";"6";"6";"9";"6";"9";"15";"1";"1"
"101014";"101014";"3";"1";"1";"13351";"8170";"121";"45";"8004";"1891";"976";"782";"660";"555";"25";"22";"4";"364";"9";"0";"1";"1355";"3";"-";"0";"1183";"3";"18";"33";"23";"21";"6";"25";"-";"2";"6";"6";"8";"6";"5";"8";"0";"4"
"101016";"101016";"4";"1";"1";"10146";"5915";"116";"35";"5764";"1678";"579";"231";"456";"181";"18";"17";"19";"602";"15";"1";"4";"657";"14";"-";"0";"1105";"9";"20";"49";"33";"12";"11";"13";"-";"1";"3";"0";"5";"3";"4";"22";"0";"2"
"101017";"101017";"4";"1";"1";"15815";"9145";"169";"38";"8938";"2542";"969";"369";"844";"352";"28";"29";"18";"732";"14";"1";"3";"1001";"11";"-";"0";"1752";"10";"31";"72";"43";"24";"11";"19";"-";"5";"7";"0";"11";"10";"3";"21";"2";"4"
"101018";"101018";"4";"1";"1";"8973";"5532";"122";"14";"5396";"1492";"526";"262";"502";"199";"22";"8";"11";"599";"17";"0";"7";"720";"9";"-";"5";"882";"3";"16";"23";"16";"19";"9";"9";"-";"1";"9";"0";"6";"6";"1";"14";"0";"3"
"101019";"101019";"4";"1";"1";"8921";"5839";"114";"20";"5705";"1540";"615";"318";"537";"222";"25";"10";"4";"556";"14";"0";"1";"907";"6";"-";"4";"838";"6";"14";"27";"12";"8";"9";"7";"-";"1";"9";"0";"2";"2";"1";"8";"0";"2"
"101020";"101020";"5";"1";"1";"11908";"7521";"161";"27";"7333";"1867";"1042";"213";"1000";"170";"19";"19";"5";"285";"16";"0";"1";"496";"3";"-";"0";"1956";"5";"36";"38";"31";"30";"14";"17";"-";"3";"14";"1";"16";"6";"6";"18";"5";"1"
"101021";"101021";"5";"1";"1";"16286";"9697";"197";"60";"9440";"2547";"1086";"253";"1173";"294";"25";"45";"7";"406";"27";"0";"0";"663";"10";"-";"2";"2564";"5";"73";"40";"43";"38";"17";"26";"-";"5";"13";"3";"19";"18";"7";"22";"2";"7"
"101022";"101022";"5";"1";"1";"7050";"4417";"70";"18";"4329";"1045";"489";"126";"584";"103";"18";"15";"5";"175";"9";"1";"0";"229";"1";"-";"1";"1371";"1";"46";"27";"11";"10";"13";"17";"-";"2";"4";"1";"6";"2";"1";"11";"3";"2"
"101023";"101023";"5";"1";"1";"5809";"3871";"0";"3";"3868";"1003";"610";"175";"450";"110";"10";"12";"3";"113";"5";"1";"0";"327";"1";"-";"0";"934";"2";"16";"17";"16";"15";"6";"9";"-";"1";"2";"2";"5";"4";"3";"14";"1";"1"
"101024";"101024";"5";"1";"1";"7949";"5078";"56";"16";"5006";"1299";"591";"139";"689";"126";"16";"16";"4";"214";"7";"0";"0";"315";"3";"-";"0";"1452";"3";"20";"32";"15";"14";"6";"18";"-";"0";"3";"0";"7";"4";"3";"10";"0";"0"
