"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"277";"350";"3";"34";"8691";"277";"3";"8691";"350";"34";"1248";"1248";"0";"1";"0";"350003";"1248";"350003";"350003"
"2";"277";"851";"11";"92";"9894";"277";"11";"9894";"851";"92";"5165";"5165";"0";"1";"0";"851011";"5165";"851011";"851011"
"3";"277";"756";"14";"79";"9161";"277";"14";"9161";"756";"79";"309";"309";"0";"1";"0";"756014";"309";"756014";"756014"
"4";"277";"671";"3";"73";"9130";"277";"3";"9130";"671";"73";"1291";"1291";"0";"1";"0";"671003";"1291";"671003";"671003"
"5";"277";"760";"25";"83";"9186";"277";"25";"9186";"760";"83";"944";"944";"0";"1";"0";"760025";"944";"760025";"760025"
"6";"277";"615";"22";"71";"9939";"277";"22";"9939";"615";"71";"396";"396";"0";"1";"0";"615022";"396";"615022";"615022"
"7";"277";"540";"11";"49";"9608";"277";"11";"9608";"540";"49";"5907";"5907";"0";"1";"0";"540011";"5907";"540011";"540011"
"8";"277";"751";"24";"63";"9869";"277";"24";"9869";"751";"63";"5118";"5118";"0";"1";"0";"751024";"5118";"751024";"751024"
"9";"277";"250";"1";"24";"10027";"277";"1";"10027";"250";"24";"5409";"5409";"0";"1";"0";"250001";"5409";"250001";"250001"
"10";"277";"561";"6";"52";"9852";"277";"6";"9852";"561";"52";"5151";"5151";"0";"1";"0";"561006";"5151";"561006";"561006"
"11";"277";"840";"1";"88";"9321";"277";"1";"9321";"840";"88";"5837";"5837";"0";"1";"0";"840001";"5837";"840001";"840001"
"12";"277";"480";"5";"45";"8833";"277";"5";"8833";"480";"45";"1490";"1490";"0";"1";"0";"480005";"1490";"480005";"480005"
"13";"277";"370";"23";"32";"10038";"277";"23";"10038";"370";"32";"4729";"4729";"0";"1";"0";"370023";"4729";"370023";"370023"
"14";"277";"420";"22";"44";"8815";"277";"22";"8815";"420";"44";"509";"509";"0";"1";"0";"420022";"509";"420022";"420022"
"15";"277";"751";"48";"65";"9031";"277";"48";"9031";"751";"65";"2471";"2471";"0";"1";"0";"751048";"2471";"751048";"751048"
"16";"277";"846";"22";"89";"9341";"277";"22";"9341";"846";"89";"1629";"1629";"0";"1";"0";"846022";"1629";"846022";"846022"
"17";"277";"330";"1";"40";"8754";"277";"1";"8754";"330";"40";"1364";"1364";"0";"1";"0";"330001";"1364";"330001";"330001"
"18";"277";"573";"4";"54";"10078";"277";"4";"10078";"573";"54";"812";"812";"0";"1";"0";"573004";"812";"573004";"573004"
"19";"277";"740";"2";"77";"9635";"277";"2";"9635";"740";"77";"1732";"1732";"0";"1";"0";"740002";"1732";"740002";"740002"
"20";"277";"630";"30";"56";"9515";"277";"30";"9515";"630";"56";"4859";"4859";"0";"1";"0";"630030";"4859";"630030";"630030"
"21";"277";"760";"14";"83";"9885";"277";"14";"9885";"760";"83";"7200";"7200";"0";"1";"0";"760014";"7200";"760014";"760014"
"22";"277";"461";"31";"43";"8793";"277";"31";"8793";"461";"43";"2442";"2442";"0";"1";"0";"461031";"2442";"461031";"461031"
"23";"277";"410";"6";"45";"8823";"277";"6";"8823";"410";"45";"2721";"2721";"0";"1";"0";"410006";"2721";"410006";"410006"
"24";"277";"621";"11";"60";"9398";"277";"11";"9398";"621";"60";"3172";"3172";"0";"1";"0";"621011";"3172";"621011";"621011"
"25";"277";"461";"24";"43";"8788";"277";"24";"8788";"461";"43";"4229";"4229";"0";"1";"0";"461024";"4229";"461024";"461024"
"26";"277";"530";"3";"55";"8943";"277";"3";"8943";"530";"55";"1549";"1549";"0";"1";"0";"530003";"1549";"530003";"530003"
"27";"277";"219";"12";"23";"9732";"277";"12";"9732";"219";"23";"2673";"2673";"0";"1";"0";"219012";"2673";"219012";"219012"
"28";"277";"561";"40";"53";"8917";"277";"40";"8917";"561";"53";"2768";"2768";"0";"1";"0";"561040";"2768";"561040";"561040"
"29";"277";"820";"8";"88";"9751";"277";"8";"9751";"820";"88";"1336";"1336";"0";"1";"0";"820008";"1336";"820008";"820008"
"30";"277";"706";"5";"66";"9037";"277";"5";"9037";"706";"66";"3352";"3352";"0";"1";"0";"706005";"3352";"706005";"706005"
"31";"277";"791";"10";"76";"9555";"277";"10";"9555";"791";"76";"2144";"2144";"0";"1";"0";"791010";"2144";"791010";"791010"
"32";"277";"492";"1";"48";"8885";"277";"1";"8885";"492";"48";"2547";"2547";"0";"1";"0";"492001";"2547";"492001";"492001"
"33";"277";"320";"2";"33";"8665";"277";"2";"8665";"320";"33";"5937";"5937";"0";"1";"0";"320002";"5937";"320002";"320002"
"34";"277";"779";"6";"74";"9137";"277";"6";"9137";"779";"74";"589";"589";"0";"1";"0";"779006";"589";"779006";"779006"
"35";"277";"813";"3";"84";"9195";"277";"3";"9195";"813";"84";"1436";"1436";"0";"1";"0";"813003";"1436";"813003";"813003"
"36";"277";"250";"2";"24";"8594";"277";"2";"8594";"250";"24";"4490";"4490";"0";"1";"0";"250002";"4490";"250002";"250002"
"37";"277";"270";"3";"23";"8584";"277";"3";"8584";"270";"23";"325";"325";"0";"1";"0";"270003";"325";"270003";"270003"
"38";"277";"730";"5";"67";"9043";"277";"5";"9043";"730";"67";"1177";"1177";"0";"1";"0";"730005";"1177";"730005";"730005"
"39";"277";"167";"8";"17";"9929";"277";"8";"9929";"167";"17";"5176";"5176";"0";"1";"0";"167008";"5176";"167008";"167008"
"40";"277";"630";"22";"56";"8953";"277";"22";"8953";"630";"56";"324";"324";"0";"1";"0";"630022";"324";"630022";"630022"
"41";"277";"410";"7";"45";"8824";"277";"7";"8824";"410";"45";"1282";"1282";"0";"1";"0";"410007";"1282";"410007";"410007"
"42";"277";"320";"3";"33";"8666";"277";"3";"8666";"320";"33";"3444";"3444";"0";"1";"0";"320003";"3444";"320003";"320003"
"43";"277";"217";"5";"21";"8563";"277";"5";"8563";"217";"21";"3760";"3760";"0";"1";"0";"217005";"3760";"217005";"217005"
"44";"277";"420";"23";"44";"8816";"277";"23";"8816";"420";"44";"592";"592";"0";"1";"0";"420023";"592";"420023";"420023"
"45";"277";"779";"15";"74";"9145";"277";"15";"9145";"779";"74";"1345";"1345";"0";"1";"0";"779015";"1345";"779015";"779015"
"46";"277";"751";"49";"65";"9032";"277";"49";"9032";"751";"65";"3640";"3640";"0";"1";"0";"751049";"3640";"751049";"751049"
"47";"277";"740";"21";"78";"9652";"277";"21";"9652";"740";"78";"3011";"3011";"0";"1";"0";"740021";"3011";"740021";"740021"
"48";"277";"573";"26";"54";"8934";"277";"26";"8934";"573";"54";"1032";"1032";"0";"1";"0";"573026";"1032";"573026";"573026"
"49";"277";"330";"2";"40";"8755";"277";"2";"8755";"330";"40";"963";"963";"0";"1";"0";"330002";"963";"330002";"330002"
"50";"277";"159";"7";"15";"9926";"277";"7";"9926";"159";"15";"3944";"3944";"0";"1";"0";"159007";"3944";"159007";"159007"
"51";"277";"329";"14";"39";"8746";"277";"14";"8746";"329";"39";"657";"657";"0";"1";"0";"329014";"657";"329014";"329014"
"52";"277";"157";"10";"13";"8504";"277";"10";"8504";"157";"13";"5063";"5063";"0";"1";"0";"157010";"5063";"157010";"157010"
"53";"277";"607";"2";"58";"8966";"277";"2";"8966";"607";"58";"1102";"1102";"0";"1";"0";"607002";"1102";"607002";"607002"
"54";"277";"851";"38";"91";"9354";"277";"38";"9354";"851";"91";"2515";"2515";"0";"1";"0";"851038";"2515";"851038";"851038"
"55";"277";"420";"5";"44";"8800";"277";"5";"8800";"420";"44";"187";"187";"0";"1";"0";"420005";"187";"420005";"420005"
"56";"277";"760";"26";"83";"9187";"277";"26";"9187";"760";"83";"638";"638";"0";"1";"0";"760026";"638";"760026";"760026"
"57";"277";"370";"24";"32";"10016";"277";"24";"10016";"370";"32";"4886";"4886";"0";"1";"0";"370024";"4886";"370024";"370024"
"58";"277";"360";"14";"29";"9363";"277";"14";"9363";"360";"29";"44";"44";"0";"1";"0";"360014";"44";"360014";"360014"
"59";"277";"510";"28";"61";"8989";"277";"28";"8989";"510";"61";"2668";"2668";"0";"1";"0";"510028";"2668";"510028";"510028"
"60";"277";"740";"3";"77";"9636";"277";"3";"9636";"740";"77";"1537";"1537";"0";"1";"0";"740003";"1537";"740003";"740003"
"61";"277";"480";"4";"45";"8832";"277";"4";"8832";"480";"45";"930";"930";"0";"1";"0";"480004";"930";"480004";"480004"
"62";"277";"360";"27";"29";"8623";"277";"27";"8623";"360";"29";"429";"429";"0";"1";"0";"360027";"429";"360027";"360027"
"63";"277";"810";"2";"86";"9237";"277";"2";"9237";"810";"86";"1469";"1469";"0";"1";"0";"810002";"1469";"810002";"810002"
"64";"277";"400";"6";"28";"9446";"277";"6";"9446";"400";"28";"4184";"4184";"0";"1";"0";"400006";"4184";"400006";"400006"
"65";"277";"420";"13";"44";"8807";"277";"13";"8807";"420";"44";"2551";"2551";"0";"1";"0";"420013";"2551";"420013";"420013"
