"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2005 - Stemmeberettigede";"KV2005 - Afgivne stemmer";"KV2005 - Blanke stemmer";"KV2005 - Andre ugyldige stemmer";"KV2005 - Gyldige stemmer";"KV2005 - A";"KV2005 - B";"KV2005 - C";"KV2005 - F";"KV2005 - I";"KV2005 - J";"KV2005 - K";"KV2005 - G";"KV2005 - M";"KV2005 - O";"KV2005 - N";"KV2005 - U";"KV2005 - S";"KV2005 - H";"KV2005 - Y";"KV2005 - V";"KV2005 - Z";"KV2005 - Ø";"KV2005 - R";"KV2005 - Å";"KV2005 - L";"KV2005 - D";"KV2005 - P";"KV2005 - E";"KV2005 - 1";"KV2005 - 2";"KV2005 - 3";"KV2005 - Æ";"KV2005 - Q";"KV2005 - T";"KV2005 - W"
"101001";"101001";"6";"2";"1";"10013";"6035";"66";"16";"5953";"2162";"744";"447";"594";"1";"16";"51";"9";"11";"356";"3";"3";"-";"1";"4";"933";"7";"482";"5";"45";"1";"34";"15";"3";"9";"5";"0";"8";"1";"3";"-"
"101002";"101002";"6";"2";"1";"4488";"2683";"17";"7";"2659";"1125";"256";"145";"268";"3";"6";"16";"2";"5";"254";"0";"1";"-";"1";"1";"337";"4";"209";"7";"9";"0";"3";"2";"1";"2";"0";"0";"2";"0";"0";"-"
"101003";"101003";"6";"2";"1";"18513";"10289";"109";"24";"10156";"3766";"1246";"711";"1102";"8";"29";"74";"9";"38";"625";"2";"3";"-";"0";"5";"1483";"11";"853";"20";"82";"3";"17";"21";"3";"20";"15";"2";"6";"0";"2";"-"
"101004";"101004";"1";"1";"1";"7662";"4823";"37";"14";"4772";"1746";"638";"268";"488";"1";"15";"20";"8";"6";"237";"1";"0";"-";"0";"2";"806";"6";"440";"11";"59";"1";"5";"0";"1";"5";"0";"0";"7";"0";"1";"-"
"101005";"101005";"1";"1";"1";"-";"2430";"23";"5";"2402";"889";"221";"124";"311";"2";"12";"9";"3";"5";"148";"0";"0";"-";"0";"1";"360";"6";"259";"3";"32";"0";"3";"3";"1";"6";"1";"0";"3";"0";"0";"-"
"101006";"101006";"1";"1";"1";"-";"6297";"43";"18";"6236";"2485";"729";"314";"693";"0";"13";"36";"6";"23";"398";"2";"0";"-";"0";"2";"833";"4";"566";"17";"80";"0";"6";"1";"6";"7";"2";"1";"8";"3";"1";"-"
"101008";"101008";"2";"1";"1";"-";"5688";"53";"15";"5620";"1935";"722";"356";"685";"2";"21";"15";"5";"5";"188";"1";"1";"-";"1";"6";"952";"5";"615";"16";"60";"1";"7";"1";"3";"9";"0";"1";"5";"0";"2";"-"
"101009";"101009";"2";"1";"1";"-";"4433";"38";"4";"4391";"1326";"572";"448";"413";"3";"12";"19";"5";"1";"136";"1";"0";"-";"2";"1";"991";"5";"370";"2";"42";"0";"12";"3";"3";"10";"0";"2";"11";"1";"0";"-"
"101010";"101010";"2";"1";"1";"-";"4775";"44";"17";"4714";"1505";"655";"433";"501";"2";"5";"23";"7";"9";"165";"1";"1";"-";"0";"0";"946";"2";"376";"5";"33";"1";"9";"4";"5";"11";"0";"2";"7";"0";"6";"-"
"101011";"101011";"3";"1";"1";"-";"5165";"49";"11";"5105";"1989";"528";"309";"554";"4";"15";"37";"5";"11";"385";"1";"0";"-";"1";"1";"771";"11";"386";"12";"54";"0";"6";"7";"4";"5";"1";"0";"4";"1";"3";"-"
"101012";"101012";"3";"1";"1";"-";"2871";"19";"16";"2836";"981";"312";"174";"281";"0";"7";"26";"2";"7";"223";"0";"0";"-";"0";"1";"551";"8";"232";"4";"17";"0";"1";"0";"3";"1";"0";"1";"2";"0";"2";"-"
"101013";"101013";"3";"1";"1";"-";"7698";"59";"35";"7604";"3213";"639";"369";"795";"1";"15";"43";"2";"24";"655";"6";"0";"-";"1";"1";"1069";"11";"611";"14";"81";"0";"9";"12";"5";"5";"11";"0";"7";"3";"2";"-"
"101014";"101014";"4";"1";"1";"-";"4470";"38";"16";"4416";"1556";"540";"156";"535";"2";"12";"21";"4";"83";"158";"0";"1";"-";"1";"2";"465";"2";"764";"12";"47";"0";"9";"4";"3";"6";"17";"0";"13";"1";"2";"-"
"101015";"101015";"4";"1";"1";"-";"2689";"28";"7";"2654";"947";"383";"178";"318";"3";"6";"16";"0";"4";"113";"0";"2";"-";"0";"0";"364";"2";"270";"2";"23";"3";"7";"2";"0";"3";"1";"2";"3";"0";"2";"-"
"101016";"101016";"4";"1";"1";"-";"3554";"37";"15";"3502";"1294";"514";"156";"427";"1";"14";"12";"1";"11";"108";"0";"2";"-";"1";"0";"393";"3";"481";"4";"36";"1";"8";"2";"0";"9";"10";"2";"10";"0";"2";"-"
"101017";"101017";"7";"2";"1";"-";"7184";"53";"15";"7116";"2509";"953";"597";"815";"8";"11";"37";"12";"5";"285";"0";"0";"-";"1";"0";"1164";"7";"603";"7";"61";"2";"11";"9";"6";"3";"0";"0";"6";"0";"4";"-"
"101018";"101018";"7";"2";"1";"-";"3462";"14";"6";"3442";"1152";"482";"273";"411";"2";"11";"13";"7";"5";"87";"1";"2";"-";"0";"2";"640";"3";"300";"4";"26";"1";"3";"2";"4";"5";"0";"0";"5";"0";"1";"-"
"101019";"101019";"8";"2";"1";"-";"5333";"53";"15";"5265";"2120";"445";"377";"544";"3";"16";"27";"5";"16";"540";"0";"0";"-";"1";"1";"759";"9";"340";"6";"17";"1";"7";"7";"7";"10";"1";"0";"5";"1";"0";"-"
"101020";"101020";"8";"2";"1";"-";"2001";"22";"17";"1962";"1092";"136";"41";"108";"1";"6";"10";"4";"46";"172";"0";"0";"-";"0";"0";"136";"6";"136";"5";"5";"0";"12";"3";"2";"20";"18";"1";"2";"0";"0";"-"
"101021";"101021";"8";"2";"1";"-";"3025";"20";"5";"3000";"1133";"335";"204";"338";"0";"7";"28";"2";"13";"229";"1";"1";"-";"1";"2";"387";"3";"280";"2";"14";"0";"3";"4";"3";"2";"3";"1";"4";"0";"0";"-"
"101022";"101022";"8";"2";"1";"-";"3866";"36";"16";"3814";"1582";"332";"230";"379";"0";"8";"23";"2";"20";"351";"0";"2";"-";"1";"0";"489";"10";"302";"4";"21";"4";"24";"15";"2";"5";"0";"1";"5";"0";"2";"-"
"101023";"101023";"14";"3";"1";"-";"4512";"49";"9";"4454";"1687";"530";"266";"519";"0";"13";"30";"1";"20";"306";"1";"0";"-";"1";"2";"608";"7";"401";"7";"24";"0";"13";"5";"2";"5";"3";"0";"3";"0";"0";"-"
"101024";"101024";"14";"3";"1";"-";"2815";"39";"9";"2767";"1063";"317";"148";"295";"1";"11";"29";"3";"4";"198";"2";"1";"-";"0";"0";"431";"7";"221";"5";"16";"0";"3";"3";"0";"1";"2";"0";"5";"0";"1";"-"
