"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"101001";"101001";"1";"1";"1";"17073";"11115";"133";"21";"10961";"3032";"1181";"918";"786";"566";"15";"38";"0";"18";"18";"389";"1";"-";"1211";"4";"2";"1502";"4";"1067";"18";"96";"1";"9";"73";"-";"-";"-";"2";"-";"1";"9"
"101002";"101002";"1";"1";"1";"6654";"4417";"33";"11";"4373";"1135";"442";"420";"303";"249";"6";"10";"0";"2";"12";"221";"3";"-";"585";"2";"1";"519";"1";"360";"16";"57";"1";"7";"18";"-";"-";"-";"0";"-";"0";"3"
"101003";"101003";"1";"1";"1";"16487";"11659";"125";"36";"11498";"3200";"1226";"949";"893";"542";"28";"37";"1";"17";"16";"363";"4";"-";"1142";"5";"5";"1696";"5";"1130";"28";"114";"5";"23";"56";"-";"-";"-";"4";"-";"0";"9"
"101005";"101005";"1";"1";"1";"12852";"7786";"91";"17";"7678";"2322";"683";"450";"535";"344";"14";"31";"0";"13";"31";"451";"3";"-";"651";"7";"2";"1236";"1";"714";"26";"95";"3";"13";"45";"-";"-";"-";"2";"-";"2";"4"
"101006";"101006";"1";"1";"1";"11101";"7300";"105";"26";"7169";"2134";"692";"461";"503";"341";"19";"27";"0";"13";"21";"424";"1";"-";"668";"11";"0";"1042";"3";"639";"18";"94";"5";"12";"28";"-";"-";"-";"5";"-";"0";"8"
"101007";"101007";"2";"1";"1";"15380";"8916";"148";"36";"8732";"2613";"669";"457";"762";"244";"24";"20";"1";"21";"53";"790";"1";"-";"636";"5";"0";"1509";"4";"673";"20";"127";"11";"20";"47";"-";"-";"-";"11";"-";"13";"1"
"101008";"101008";"2";"1";"1";"15044";"8598";"116";"40";"8442";"2261";"751";"380";"823";"284";"18";"23";"1";"16";"37";"472";"2";"-";"513";"9";"0";"1662";"3";"949";"34";"84";"4";"42";"53";"-";"-";"-";"8";"-";"3";"10"
"101009";"101009";"2";"1";"1";"14411";"7808";"97";"36";"7675";"1755";"789";"538";"683";"416";"12";"14";"0";"13";"30";"274";"2";"-";"1201";"6";"1";"980";"4";"768";"22";"93";"5";"16";"48";"-";"-";"-";"3";"-";"1";"1"
"101010";"101010";"2";"1";"1";"11600";"8081";"79";"39";"7963";"1995";"925";"598";"867";"440";"12";"3";"0";"10";"13";"255";"1";"-";"842";"5";"0";"1080";"3";"746";"18";"82";"3";"21";"34";"-";"-";"-";"3";"-";"0";"7"
"101011";"101011";"3";"1";"1";"16537";"8709";"94";"24";"8591";"2141";"942";"658";"669";"417";"11";"13";"0";"11";"12";"199";"3";"-";"838";"4";"1";"1442";"2";"1000";"28";"86";"1";"32";"63";"-";"-";"-";"5";"-";"0";"13"
