"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2009 - Stemmeberettigede";"KV2009 - Afgivne stemmer";"KV2009 - Blanke stemmer";"KV2009 - Andre ugyldige stemmer";"KV2009 - Gyldige stemmer";"KV2009 - A";"KV2009 - B";"KV2009 - C";"KV2009 - F";"KV2009 - I";"KV2009 - J";"KV2009 - K";"KV2009 - M";"KV2009 - G";"KV2009 - N";"KV2009 - O";"KV2009 - H";"KV2009 - S";"KV2009 - V";"KV2009 - U";"KV2009 - Z";"KV2009 - Ø";"KV2009 - L";"KV2009 - Å";"KV2009 - R";"KV2009 - D";"KV2009 - P";"KV2009 - E";"KV2009 - 1";"KV2009 - 2";"KV2009 - 3";"KV2009 - Æ";"KV2009 - W";"KV2009 - Q";"KV2009 - Y";"KV2009 - T"
"101001";"101001";"1";"1";"1";"14282";"8770";"107";"16";"8647";"2274";"934";"816";"1972";"101";"18";"10";"1";"2";"31";"455";"1";"-";"1030";"13";"10";"864";"1";"68";"4";"10";"0";"12";"1";"3";"1";"8";"-";"4";"1";"2"
"101002";"101002";"1";"1";"1";"6096";"3507";"35";"12";"3460";"922";"331";"405";"630";"46";"4";"2";"1";"1";"11";"300";"0";"-";"537";"7";"10";"215";"0";"14";"1";"2";"1";"6";"0";"0";"2";"8";"-";"1";"2";"1"
"101003";"101003";"1";"1";"1";"7107";"4295";"39";"6";"4250";"1158";"463";"345";"1013";"60";"7";"8";"0";"1";"18";"225";"0";"-";"412";"30";"7";"457";"1";"27";"0";"1";"3";"5";"2";"2";"1";"1";"-";"0";"0";"3"
"101004";"101004";"1";"1";"1";"7986";"4728";"41";"11";"4676";"1163";"545";"538";"906";"84";"8";"10";"1";"0";"10";"259";"0";"-";"644";"18";"9";"429";"2";"31";"0";"0";"1";"5";"0";"1";"2";"7";"-";"1";"1";"1"
"101005";"101005";"1";"1";"1";"11459";"6247";"57";"20";"6170";"1867";"513";"498";"1333";"70";"14";"8";"1";"0";"18";"562";"1";"-";"651";"10";"7";"540";"1";"38";"3";"11";"0";"7";"4";"2";"1";"5";"-";"1";"3";"1"
"101006";"101006";"1";"1";"1";"9866";"5683";"72";"14";"5597";"1709";"544";"491";"1102";"57";"20";"6";"0";"0";"22";"477";"0";"-";"615";"7";"13";"465";"1";"20";"1";"10";"2";"4";"5";"1";"0";"13";"-";"5";"4";"3"
"101007";"101007";"2";"1";"1";"14100";"7019";"83";"19";"6917";"2362";"413";"467";"1407";"47";"18";"14";"1";"2";"14";"820";"0";"-";"635";"6";"26";"557";"0";"49";"4";"36";"2";"10";"6";"0";"1";"14";"-";"1";"3";"2"
"101008";"101008";"2";"1";"1";"13218";"6033";"62";"17";"5954";"1819";"496";"285";"1347";"48";"15";"12";"122";"3";"22";"520";"2";"-";"506";"2";"15";"627";"2";"53";"3";"39";"1";"3";"2";"1";"1";"3";"-";"1";"1";"3"
"101009";"101009";"2";"1";"1";"8617";"4119";"34";"10";"4075";"1140";"377";"305";"808";"33";"8";"8";"5";"2";"30";"278";"3";"-";"680";"4";"7";"317";"1";"27";"0";"23";"1";"2";"3";"1";"1";"7";"-";"1";"2";"1"
"101010";"101010";"2";"1";"1";"9345";"5612";"53";"10";"5549";"1794";"548";"448";"996";"75";"13";"11";"4";"1";"25";"317";"1";"-";"726";"4";"10";"485";"4";"53";"1";"11";"2";"2";"4";"0";"1";"7";"-";"2";"2";"2"
"101011";"101011";"3";"1";"1";"12155";"5528";"51";"7";"5470";"1381";"606";"438";"1147";"81";"11";"24";"0";"0";"44";"253";"1";"-";"604";"73";"4";"696";"5";"63";"0";"5";"0";"6";"5";"4";"5";"9";"-";"1";"2";"2"
"101012";"101012";"3";"1";"1";"6787";"4437";"36";"3";"4398";"1132";"522";"480";"804";"64";"10";"7";"0";"0";"16";"229";"0";"-";"602";"46";"7";"420";"2";"31";"3";"1";"2";"1";"5";"1";"2";"8";"-";"1";"0";"2"
"101013";"101013";"3";"1";"1";"8730";"5600";"32";"14";"5554";"1258";"480";"421";"1126";"58";"18";"14";"1";"1";"25";"274";"0";"-";"434";"10";"10";"982";"2";"348";"1";"7";"0";"3";"3";"1";"0";"12";"-";"60";"1";"4"
"101014";"101014";"3";"1";"1";"7763";"4344";"38";"4";"4302";"1079";"471";"482";"729";"76";"12";"5";"0";"1";"19";"212";"0";"-";"671";"65";"11";"419";"0";"25";"2";"5";"0";"7";"5";"0";"0";"3";"-";"0";"1";"2"
"101015";"101015";"3";"1";"1";"7195";"4225";"31";"7";"4187";"1036";"449";"444";"783";"75";"11";"4";"0";"0";"33";"213";"1";"-";"620";"72";"5";"388";"0";"31";"3";"0";"0";"7";"1";"2";"0";"6";"-";"0";"0";"3"
"101016";"101016";"4";"1";"1";"9561";"4676";"51";"21";"4604";"1517";"349";"265";"1041";"38";"14";"11";"2";"9";"12";"444";"0";"-";"411";"2";"10";"397";"1";"45";"2";"15";"0";"3";"2";"1";"0";"10";"-";"0";"2";"1"
"101017";"101017";"4";"1";"1";"14765";"7562";"86";"18";"7458";"2212";"575";"415";"1870";"75";"19";"10";"13";"9";"36";"584";"0";"-";"635";"3";"10";"799";"2";"122";"1";"33";"1";"6";"5";"3";"2";"12";"-";"1";"1";"4"
"101018";"101018";"4";"1";"1";"8560";"4547";"45";"15";"4487";"1418";"322";"345";"972";"31";"10";"6";"4";"4";"19";"485";"1";"-";"430";"6";"20";"332";"2";"37";"5";"12";"2";"5";"4";"1";"1";"6";"-";"0";"6";"1"
"101019";"101019";"4";"1";"1";"8429";"4873";"52";"8";"4813";"1435";"402";"395";"974";"30";"8";"6";"3";"3";"15";"506";"1";"-";"557";"5";"16";"377";"3";"45";"3";"3";"2";"2";"2";"2";"1";"13";"-";"0";"3";"1"
"101020";"101020";"5";"1";"1";"11241";"6101";"81";"32";"5988";"1505";"671";"240";"1676";"58";"19";"9";"1";"0";"36";"273";"1";"-";"328";"4";"5";"999";"2";"54";"3";"50";"4";"10";"8";"4";"2";"18";"-";"2";"3";"3"
"101021";"101021";"5";"1";"1";"14720";"7426";"83";"26";"7317";"2090";"652";"333";"1969";"49";"28";"16";"4";"2";"57";"387";"2";"-";"463";"3";"6";"1027";"0";"60";"2";"114";"3";"6";"11";"4";"2";"19";"-";"3";"2";"3"
"101022";"101022";"5";"1";"1";"6614";"3727";"33";"10";"3684";"873";"377";"143";"921";"26";"13";"26";"0";"1";"25";"175";"1";"-";"230";"10";"2";"754";"1";"30";"3";"54";"2";"5";"2";"0";"0";"8";"-";"2";"0";"0"
"101023";"101023";"5";"1";"1";"5421";"3323";"39";"8";"3276";"812";"362";"196";"801";"39";"19";"10";"1";"1";"19";"154";"1";"-";"244";"11";"1";"541";"2";"32";"2";"5";"2";"3";"4";"2";"2";"7";"-";"0";"3";"0"
"101024";"101024";"5";"1";"1";"7377";"4249";"49";"10";"4190";"1167";"346";"160";"1096";"28";"11";"8";"1";"1";"21";"225";"0";"-";"235";"7";"8";"770";"0";"22";"1";"50";"4";"3";"6";"0";"4";"12";"-";"0";"1";"3"
"101025";"101025";"5";"1";"1";"10621";"5575";"74";"23";"5478";"1448";"495";"189";"1580";"38";"21";"12";"1";"2";"48";"286";"2";"-";"252";"35";"9";"948";"1";"43";"1";"23";"5";"5";"5";"2";"3";"19";"-";"2";"1";"2"
"101026";"101026";"5";"1";"1";"3420";"1878";"33";"8";"1837";"493";"191";"111";"459";"18";"5";"1";"1";"0";"12";"80";"0";"-";"107";"1";"5";"309";"0";"17";"0";"3";"3";"6";"1";"0";"0";"11";"-";"0";"0";"3"
"101027";"101027";"6";"1";"1";"17203";"7960";"84";"28";"7848";"2365";"499";"697";"1816";"54";"27";"23";"3";"2";"43";"763";"1";"-";"533";"4";"22";"817";"4";"56";"3";"70";"1";"6";"13";"1";"9";"9";"-";"3";"3";"1"
"101028";"101028";"6";"1";"1";"8028";"4210";"55";"7";"4148";"1430";"291";"273";"859";"26";"11";"16";"1";"1";"10";"445";"2";"-";"324";"2";"13";"365";"1";"25";"3";"19";"1";"8";"6";"1";"1";"7";"-";"0";"2";"5"
"101029";"101029";"6";"1";"1";"4496";"2451";"29";"5";"2417";"915";"113";"140";"466";"26";"4";"6";"2";"0";"10";"305";"0";"-";"178";"2";"3";"203";"0";"15";"2";"13";"3";"2";"1";"1";"0";"3";"-";"0";"2";"2"
"101030";"101030";"6";"1";"1";"10020";"4959";"61";"19";"4879";"1441";"311";"366";"1244";"38";"28";"25";"0";"2";"38";"373";"3";"-";"273";"3";"11";"579";"1";"46";"2";"54";"2";"3";"9";"0";"1";"18";"-";"2";"2";"4"
"101031";"101031";"7";"1";"1";"3946";"2520";"28";"9";"2483";"760";"147";"207";"521";"11";"2";"4";"0";"0";"5";"270";"1";"-";"277";"2";"10";"229";"0";"18";"3";"9";"0";"3";"1";"0";"0";"3";"-";"0";"0";"0"
"101032";"101032";"7";"1";"1";"4167";"1548";"21";"13";"1514";"793";"47";"21";"264";"3";"1";"1";"0";"0";"4";"160";"0";"-";"34";"0";"4";"92";"0";"8";"5";"72";"0";"2";"1";"0";"0";"1";"-";"0";"0";"1"
"101033";"101033";"7";"1";"1";"3633";"2257";"27";"3";"2227";"727";"137";"240";"473";"11";"5";"5";"0";"0";"4";"211";"1";"-";"188";"1";"6";"186";"1";"7";"2";"8";"1";"4";"2";"0";"1";"4";"-";"1";"1";"0"
"101034";"101034";"7";"1";"1";"2870";"1766";"13";"5";"1748";"560";"128";"130";"348";"7";"5";"2";"0";"0";"5";"176";"0";"-";"161";"1";"9";"195";"0";"5";"1";"9";"0";"0";"1";"0";"0";"2";"-";"1";"2";"0"
"101035";"101035";"7";"1";"1";"7085";"3428";"37";"19";"3372";"1201";"148";"253";"617";"11";"6";"4";"2";"4";"7";"478";"0";"-";"272";"2";"16";"279";"0";"19";"3";"37";"0";"3";"1";"0";"0";"6";"-";"1";"2";"0"
"101036";"101036";"7";"1";"1";"8509";"5007";"57";"12";"4938";"1765";"249";"384";"889";"26";"12";"3";"1";"0";"6";"730";"1";"-";"449";"2";"24";"331";"1";"17";"1";"36";"1";"1";"2";"0";"0";"7";"-";"0";"0";"0"
